Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549816336,2019-02-10T16:32:16Z,JAI384,"28.54866,77.056313",1350,186,282
1549816347,2019-02-10T16:32:27Z,JAI384,"28.550581,77.046524",1675,189,282
1549816373,2019-02-10T16:32:53Z,JAI384,"28.54184,77.022034",2150,220,219
1549816382,2019-02-10T16:33:02Z,JAI384,"28.531727,77.017555",2325,237,194
1549816388,2019-02-10T16:33:08Z,JAI384,"28.526373,77.016747",2425,240,190
1549816397,2019-02-10T16:33:17Z,JAI384,"28.514694,77.01606",2675,257,182
1549816403,2019-02-10T16:33:23Z,JAI384,"28.50856,77.015747",2825,261,183
1549816417,2019-02-10T16:33:37Z,JAI384,"28.490067,77.013474",3500,263,188
1549816427,2019-02-10T16:33:47Z,JAI384,"28.478518,77.010765",3925,264,192
1549816437,2019-02-10T16:33:57Z,JAI384,"28.466309,77.007874",4375,267,191
1549816448,2019-02-10T16:34:08Z,JAI384,"28.45352,77.005058",4600,278,190
1549816458,2019-02-10T16:34:18Z,JAI384,"28.440445,77.002327",4825,289,190
1549816467,2019-02-10T16:34:27Z,JAI384,"28.426565,76.999191",5000,301,191
1549816482,2019-02-10T16:34:42Z,JAI384,"28.40538,76.99398",5375,316,192
1549816498,2019-02-10T16:34:58Z,JAI384,"28.38327,76.988701",5775,327,191
1549816512,2019-02-10T16:35:12Z,JAI384,"28.360928,76.983406",6250,331,191
1549816528,2019-02-10T16:35:28Z,JAI384,"28.337952,76.977242",6575,336,194
1549816542,2019-02-10T16:35:42Z,JAI384,"28.316889,76.969894",6925,336,199
1549816548,2019-02-10T16:35:48Z,JAI384,"28.308105,76.965828",7000,336,203
1549816558,2019-02-10T16:35:58Z,JAI384,"28.294373,76.957436",7000,337,211
1549816567,2019-02-10T16:36:07Z,JAI384,"28.282066,76.946953",7000,336,219
1549816577,2019-02-10T16:36:17Z,JAI384,"28.270569,76.935104",7125,336,222
1549816597,2019-02-10T16:36:37Z,JAI384,"28.247339,76.913025",7575,335,219
1549816613,2019-02-10T16:36:53Z,JAI384,"28.227835,76.896324",7750,340,216
1549816628,2019-02-10T16:37:08Z,JAI384,"28.208422,76.879845",8000,342,216
1549816644,2019-02-10T16:37:24Z,JAI384,"28.188404,76.862778",8025,348,217
1549816662,2019-02-10T16:37:42Z,JAI384,"28.163452,76.841072",8525,353,217
1549816677,2019-02-10T16:37:57Z,JAI384,"28.1439,76.824379",8775,354,217
1549816693,2019-02-10T16:38:13Z,JAI384,"28.123764,76.807007",9025,354,217
1549816703,2019-02-10T16:38:23Z,JAI384,"28.111038,76.79586",9325,354,217
1549816718,2019-02-10T16:38:38Z,JAI384,"28.091309,76.778587",10000,354,218
1549816733,2019-02-10T16:38:53Z,JAI384,"28.072906,76.762321",10575,356,218
1549816746,2019-02-10T16:39:06Z,JAI384,"28.055603,76.746948",10850,357,218
1549816761,2019-02-10T16:39:21Z,JAI384,"28.035278,76.728935",11100,357,218
1549816778,2019-02-10T16:39:38Z,JAI384,"28.013786,76.709938",11725,356,218
1549816792,2019-02-10T16:39:52Z,JAI384,"27.99456,76.693077",12575,351,217
1549816826,2019-02-10T16:40:26Z,JAI384,"27.954758,76.658127",14125,347,218
1549816856,2019-02-10T16:40:56Z,JAI384,"27.913513,76.621811",15575,350,218
1549816890,2019-02-10T16:41:30Z,JAI384,"27.869335,76.582893",16750,363,218
1549816923,2019-02-10T16:42:03Z,JAI384,"27.824738,76.543808",17825,375,217
1549816956,2019-02-10T16:42:36Z,JAI384,"27.777008,76.504951",19075,383,213
1549817019,2019-02-10T16:43:39Z,JAI384,"27.682428,76.433678",21375,392,213
1549817083,2019-02-10T16:44:43Z,JAI384,"27.585226,76.360634",23225,402,213
1549817145,2019-02-10T16:45:45Z,JAI384,"27.486053,76.288857",24825,416,211
1549817207,2019-02-10T16:46:47Z,JAI384,"27.38768,76.22123",26575,419,211
1549817268,2019-02-10T16:47:48Z,JAI384,"27.284126,76.15036",27825,432,211
1549817334,2019-02-10T16:48:54Z,JAI384,"27.168259,76.071236",28825,449,211
1549817399,2019-02-10T16:49:59Z,JAI384,"27.050575,75.991219",30425,450,211
1549817460,2019-02-10T16:51:00Z,JAI384,"26.941828,75.917267",32050,442,211
1549817526,2019-02-10T16:52:06Z,JAI384,"26.820978,75.837669",33150,455,206
1549817590,2019-02-10T16:53:10Z,JAI384,"26.69957,75.785088",34550,453,200
1549817651,2019-02-10T16:54:11Z,JAI384,"26.578348,75.731773",35375,456,201
1549817712,2019-02-10T16:55:12Z,JAI384,"26.455637,75.681061",36000,461,200
1549817777,2019-02-10T16:56:17Z,JAI384,"26.326967,75.628242",35975,461,200
1549817801,2019-02-10T16:56:41Z,JAI384,"26.277237,75.607597",35975,462,200
1549817892,2019-02-10T16:58:12Z,JAI384,"26.095779,75.531578",36000,461,200
1549817947,2019-02-10T16:59:07Z,JAI384,"25.985413,75.485558",36000,463,200
1549818119,2019-02-10T17:01:59Z,JAI384,"25.641495,75.342865",36000,462,200
1549818179,2019-02-10T17:02:59Z,JAI384,"25.51882,75.292366",36000,463,200
1549818240,2019-02-10T17:04:00Z,JAI384,"25.396154,75.242409",35975,465,200
