Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550163282,2019-02-14T16:54:42Z,JAI384,"28.536484,77.120171",2000,161,105
1550163292,2019-02-14T16:54:52Z,JAI384,"28.532473,77.127419",2175,167,132
1550163302,2019-02-14T16:55:02Z,JAI384,"28.525589,77.132156",2325,180,157
1550163312,2019-02-14T16:55:12Z,JAI384,"28.517212,77.133636",2600,191,179
1550163333,2019-02-14T16:55:33Z,JAI384,"28.498861,77.12989",3100,207,191
1550163341,2019-02-14T16:55:41Z,JAI384,"28.490482,77.128059",3275,216,190
1550163353,2019-02-14T16:55:53Z,JAI384,"28.478239,77.125534",3600,225,190
1550163359,2019-02-14T16:55:59Z,JAI384,"28.471619,77.124184",3725,233,189
1550163371,2019-02-14T16:56:11Z,JAI384,"28.458361,77.121437",4000,243,191
1550163377,2019-02-14T16:56:17Z,JAI384,"28.452164,77.119957",4200,245,192
1550163383,2019-02-14T16:56:23Z,JAI384,"28.44516,77.11837",4350,251,190
1550163389,2019-02-14T16:56:29Z,JAI384,"28.437927,77.116837",4450,258,190
1550163395,2019-02-14T16:56:35Z,JAI384,"28.43074,77.115417",4575,264,190
1550163401,2019-02-14T16:56:41Z,JAI384,"28.42354,77.113953",4650,271,189
1550163407,2019-02-14T16:56:47Z,JAI384,"28.415998,77.112495",4725,277,189
1550163414,2019-02-14T16:56:54Z,JAI384,"28.408224,77.111046",4825,284,189
1550163426,2019-02-14T16:57:06Z,JAI384,"28.391697,77.107864",5050,296,189
1550163438,2019-02-14T16:57:18Z,JAI384,"28.375397,77.104691",5425,301,189
1550163450,2019-02-14T16:57:30Z,JAI384,"28.358826,77.101471",5850,304,189
1550163461,2019-02-14T16:57:41Z,JAI384,"28.34156,77.098068",6100,307,189
1550163474,2019-02-14T16:57:54Z,JAI384,"28.324768,77.093811",6350,306,197
1550163480,2019-02-14T16:58:00Z,JAI384,"28.316841,77.089882",6450,307,205
1550163487,2019-02-14T16:58:07Z,JAI384,"28.310045,77.085411",6550,307,212
1550163495,2019-02-14T16:58:15Z,JAI384,"28.29985,77.076416",6900,305,221
1550163502,2019-02-14T16:58:22Z,JAI384,"28.293844,77.069633",7125,305,225
1550163508,2019-02-14T16:58:28Z,JAI384,"28.287701,77.062576",7425,303,225
1550163517,2019-02-14T16:58:37Z,JAI384,"28.27858,77.052246",7850,301,225
1550163530,2019-02-14T16:58:50Z,JAI384,"28.266705,77.038506",8300,304,225
1550163541,2019-02-14T16:59:01Z,JAI384,"28.254959,77.024879",8775,304,225
1550163553,2019-02-14T16:59:13Z,JAI384,"28.243011,77.011253",9450,297,225
1550163565,2019-02-14T16:59:25Z,JAI384,"28.230999,76.998222",9950,297,223
1550163577,2019-02-14T16:59:37Z,JAI384,"28.219036,76.985458",10500,294,223
1550163589,2019-02-14T16:59:49Z,JAI384,"28.207214,76.972748",11025,292,223
1550163601,2019-02-14T17:00:01Z,JAI384,"28.195433,76.959824",11450,294,224
1550163612,2019-02-14T17:00:12Z,JAI384,"28.183731,76.946869",11775,298,224
1550163625,2019-02-14T17:00:25Z,JAI384,"28.171879,76.933701",12125,303,224
1550163656,2019-02-14T17:00:56Z,JAI384,"28.140501,76.898857",12925,318,224
1550163690,2019-02-14T17:01:30Z,JAI384,"28.105354,76.85981",13950,327,224
1550163723,2019-02-14T17:02:03Z,JAI384,"28.068811,76.81926",15150,330,224
1550163755,2019-02-14T17:02:35Z,JAI384,"28.032362,76.778923",16400,333,224
1550163786,2019-02-14T17:03:06Z,JAI384,"27.995316,76.737862",17500,339,224
1550163821,2019-02-14T17:03:41Z,JAI384,"27.958344,76.696899",18600,342,224
1550163851,2019-02-14T17:04:11Z,JAI384,"27.921986,76.661591",19575,345,214
1550163857,2019-02-14T17:04:17Z,JAI384,"27.914154,76.655968",19775,346,211
1550163863,2019-02-14T17:04:23Z,JAI384,"27.905645,76.650398",19925,349,209
1550163869,2019-02-14T17:04:29Z,JAI384,"27.896429,76.645012",20000,351,206
1550163875,2019-02-14T17:04:35Z,JAI384,"27.887863,76.640358",20000,352,205
1550163941,2019-02-14T17:05:41Z,JAI384,"27.790512,76.587814",20000,352,205
1550164005,2019-02-14T17:06:45Z,JAI384,"27.696301,76.536942",21225,360,205
1550164065,2019-02-14T17:07:45Z,JAI384,"27.603973,76.487282",22950,369,205
1550164127,2019-02-14T17:08:47Z,JAI384,"27.506786,76.435051",24775,375,205
1550164144,2019-02-14T17:09:04Z,JAI384,"27.480764,76.421112",25250,377,205
1550164235,2019-02-14T17:10:35Z,JAI384,"27.336592,76.343941",27400,392,205
1550164293,2019-02-14T17:11:33Z,JAI384,"27.236847,76.290672",28475,406,205
1550164356,2019-02-14T17:12:36Z,JAI384,"27.12678,76.232071",29575,417,205
1550164421,2019-02-14T17:13:41Z,JAI384,"27.016205,76.17334",30975,418,205
1550164479,2019-02-14T17:14:39Z,JAI384,"26.911469,76.117737",32050,423,205
1550164543,2019-02-14T17:15:43Z,JAI384,"26.798538,76.057884",33225,424,205
1550164613,2019-02-14T17:16:53Z,JAI384,"26.673176,75.991531",34075,432,205
1550164673,2019-02-14T17:17:53Z,JAI384,"26.563265,75.933701",34625,441,205
1550164764,2019-02-14T17:19:24Z,JAI384,"26.395445,75.845596",36000,433,205
1550164828,2019-02-14T17:20:28Z,JAI384,"26.281252,75.785172",36000,434,205
1550164887,2019-02-14T17:21:27Z,JAI384,"26.172367,75.7286",36000,436,205
1550164950,2019-02-14T17:22:30Z,JAI384,"26.054855,75.667198",36000,439,205
1550165015,2019-02-14T17:23:35Z,JAI384,"25.93808,75.6063",36000,438,205
1550165074,2019-02-14T17:24:34Z,JAI384,"25.827118,75.548805",36000,437,205
1550165139,2019-02-14T17:25:39Z,JAI384,"25.709747,75.488129",36000,437,205
1550165199,2019-02-14T17:26:39Z,JAI384,"25.598423,75.430626",36000,436,205
1550165262,2019-02-14T17:27:42Z,JAI384,"25.484024,75.371552",36000,435,205
1550165323,2019-02-14T17:28:43Z,JAI384,"25.372133,75.313919",36000,434,205
1550165386,2019-02-14T17:29:46Z,JAI384,"25.253357,75.260315",36000,439,201
1550165449,2019-02-14T17:30:49Z,JAI384,"25.133413,75.20919",36000,437,201
1550165513,2019-02-14T17:31:53Z,JAI384,"25.013214,75.157875",36000,434,201
1550165573,2019-02-14T17:32:53Z,JAI384,"24.900467,75.109688",36000,433,201
1550165638,2019-02-14T17:33:58Z,JAI384,"24.780687,75.058701",36000,433,201
1550165698,2019-02-14T17:34:58Z,JAI384,"24.667286,75.010506",36000,433,201
1550165759,2019-02-14T17:35:59Z,JAI384,"24.553419,74.961998",36000,435,201
1550165829,2019-02-14T17:37:09Z,JAI384,"24.42284,74.907066",36000,436,201
1550165891,2019-02-14T17:38:11Z,JAI384,"24.302782,74.856331",36000,436,201
1550165956,2019-02-14T17:39:16Z,JAI384,"24.183151,74.805756",36000,436,201
1550166016,2019-02-14T17:40:16Z,JAI384,"24.069305,74.758148",36000,437,201
1550166081,2019-02-14T17:41:21Z,JAI384,"23.947678,74.707031",36000,438,201
1550166144,2019-02-14T17:42:24Z,JAI384,"23.827789,74.656677",36000,440,201
1550166206,2019-02-14T17:43:26Z,JAI384,"23.709869,74.607445",36000,444,201
1550166265,2019-02-14T17:44:25Z,JAI384,"23.592768,74.558609",36000,446,201
1550166304,2019-02-14T17:45:04Z,JAI384,"23.520844,74.528557",36000,447,201
1550166393,2019-02-14T17:46:33Z,JAI384,"23.346506,74.456024",36000,447,200
1550166452,2019-02-14T17:47:32Z,JAI384,"23.230042,74.407753",36000,446,200
1550166513,2019-02-14T17:48:33Z,JAI384,"23.113092,74.359337",36000,445,200
1550166577,2019-02-14T17:49:37Z,JAI384,"22.99118,74.308975",36000,446,200
1550166637,2019-02-14T17:50:37Z,JAI384,"22.874699,74.260864",36000,446,200
1550166700,2019-02-14T17:51:40Z,JAI384,"22.751616,74.210258",36000,446,200
1550166763,2019-02-14T17:52:43Z,JAI384,"22.63002,74.160362",36000,444,200
1550166827,2019-02-14T17:53:47Z,JAI384,"22.507599,74.110123",36000,444,200
1550166888,2019-02-14T17:54:48Z,JAI384,"22.391672,74.062401",36000,445,200
1550166950,2019-02-14T17:55:50Z,JAI384,"22.268646,74.012093",36000,448,200
1550167011,2019-02-14T17:56:51Z,JAI384,"22.150223,73.96386",36000,452,200
1550167072,2019-02-14T17:57:52Z,JAI384,"22.032166,73.915619",36000,454,200
1550167131,2019-02-14T17:58:51Z,JAI384,"21.91293,73.867188",36000,454,200
1550167194,2019-02-14T17:59:54Z,JAI384,"21.788406,73.816742",36000,454,200
1550167258,2019-02-14T18:00:58Z,JAI384,"21.663345,73.765953",36000,453,200
1550167319,2019-02-14T18:01:59Z,JAI384,"21.544373,73.717712",36000,456,200
1550167382,2019-02-14T18:03:02Z,JAI384,"21.418173,73.66674",36000,458,200
1550167442,2019-02-14T18:04:02Z,JAI384,"21.298416,73.618439",35625,458,200
1550167505,2019-02-14T18:05:05Z,JAI384,"21.171539,73.567558",34600,463,200
1550167570,2019-02-14T18:06:10Z,JAI384,"21.039459,73.522507",33600,474,197
1550167630,2019-02-14T18:07:10Z,JAI384,"20.911972,73.479553",32650,483,197
1550167692,2019-02-14T18:08:12Z,JAI384,"20.775705,73.434319",31625,486,197
1550167752,2019-02-14T18:09:12Z,JAI384,"20.649353,73.392105",30675,474,197
1550167817,2019-02-14T18:10:17Z,JAI384,"20.518225,73.348518",29500,445,197
1550167879,2019-02-14T18:11:19Z,JAI384,"20.392813,73.305923",28325,446,197
1550167944,2019-02-14T18:12:24Z,JAI384,"20.2728,73.266571",27200,409,197
1550168004,2019-02-14T18:13:24Z,JAI384,"20.165871,73.232368",26075,377,196
1550168065,2019-02-14T18:14:25Z,JAI384,"20.067413,73.201157",24925,353,196
1550168093,2019-02-14T18:14:53Z,JAI384,"20.024643,73.189934",24350,356,184
1550168099,2019-02-14T18:14:59Z,JAI384,"20.014572,73.190231",24100,365,175
1550168105,2019-02-14T18:15:05Z,JAI384,"20.004148,73.192314",23925,370,166
1550168111,2019-02-14T18:15:11Z,JAI384,"19.994371,73.195915",23825,372,158
1550168117,2019-02-14T18:15:17Z,JAI384,"19.985016,73.200706",23750,372,151
1550168128,2019-02-14T18:15:28Z,JAI384,"19.971817,73.210144",23600,374,142
1550168135,2019-02-14T18:15:35Z,JAI384,"19.960464,73.221718",23450,374,131
1550168141,2019-02-14T18:15:41Z,JAI384,"19.954559,73.229668",23350,374,126
1550168151,2019-02-14T18:15:51Z,JAI384,"19.946365,73.24472",23200,372,115
1550168157,2019-02-14T18:15:57Z,JAI384,"19.942654,73.254692",23075,370,108
1550168163,2019-02-14T18:16:03Z,JAI384,"19.940046,73.264824",23000,367,102
1550168170,2019-02-14T18:16:10Z,JAI384,"19.938463,73.276512",22875,363,95
1550168191,2019-02-14T18:16:31Z,JAI384,"19.94256,73.312714",22525,349,72
1550168199,2019-02-14T18:16:39Z,JAI384,"19.948242,73.326729",22400,342,62
1550168208,2019-02-14T18:16:48Z,JAI384,"19.955795,73.339088",22250,334,53
1550168217,2019-02-14T18:16:57Z,JAI384,"19.965183,73.350021",22075,327,43
1550168226,2019-02-14T18:17:06Z,JAI384,"19.975891,73.359146",21925,320,35
1550168233,2019-02-14T18:17:13Z,JAI384,"19.983572,73.364052",21825,315,29
1550168240,2019-02-14T18:17:20Z,JAI384,"19.995117,73.369446",21675,309,20
1550168247,2019-02-14T18:17:27Z,JAI384,"20.003403,73.372192",21575,305,15
1550168253,2019-02-14T18:17:33Z,JAI384,"20.011364,73.374336",21475,304,14
1550168260,2019-02-14T18:17:40Z,JAI384,"20.024351,73.377983",21300,305,14
1550168266,2019-02-14T18:17:46Z,JAI384,"20.028214,73.379059",21250,305,14
1550168328,2019-02-14T18:18:48Z,JAI384,"20.114731,73.401817",20200,303,13
1550168382,2019-02-14T18:19:42Z,JAI384,"20.188889,73.418198",19300,292,1
1550168404,2019-02-14T18:20:04Z,JAI384,"20.216473,73.412994",18925,277,342
1550168410,2019-02-14T18:20:10Z,JAI384,"20.223907,73.409912",18800,272,336
1550168418,2019-02-14T18:20:18Z,JAI384,"20.233109,73.404854",18650,266,330
1550168425,2019-02-14T18:20:25Z,JAI384,"20.239883,73.400146",18525,261,324
1550168432,2019-02-14T18:20:32Z,JAI384,"20.245987,73.395012",18425,258,319
1550168439,2019-02-14T18:20:39Z,JAI384,"20.252924,73.387726",18275,255,313
1550168447,2019-02-14T18:20:47Z,JAI384,"20.257532,73.381783",18150,251,308
1550168455,2019-02-14T18:20:55Z,JAI384,"20.263771,73.371696",18000,250,300
1550168530,2019-02-14T18:22:10Z,JAI384,"20.264877,73.283569",16700,246,242
1550168537,2019-02-14T18:22:17Z,JAI384,"20.261261,73.277092",16600,247,238
1550168548,2019-02-14T18:22:28Z,JAI384,"20.252655,73.265121",16450,257,228
1550168555,2019-02-14T18:22:35Z,JAI384,"20.247757,73.259827",16375,260,223
1550168561,2019-02-14T18:22:41Z,JAI384,"20.241852,73.254387",16275,265,219
1550168567,2019-02-14T18:22:47Z,JAI384,"20.236025,73.249893",16200,268,214
1550168574,2019-02-14T18:22:54Z,JAI384,"20.229492,73.245705",16100,271,209
1550168580,2019-02-14T18:23:00Z,JAI384,"20.222855,73.242271",16025,273,204
1550168588,2019-02-14T18:23:08Z,JAI384,"20.211864,73.238213",15975,271,195
1550168598,2019-02-14T18:23:18Z,JAI384,"20.200739,73.235359",15975,267,193
1550168606,2019-02-14T18:23:26Z,JAI384,"20.190033,73.23246",15975,263,194
1550168639,2019-02-14T18:23:59Z,JAI384,"20.151718,73.222076",15975,257,194
1550168672,2019-02-14T18:24:32Z,JAI384,"20.112801,73.211891",15375,255,193
1550168705,2019-02-14T18:25:05Z,JAI384,"20.075047,73.201958",15000,249,193
1550168738,2019-02-14T18:25:38Z,JAI384,"20.037598,73.193863",15000,253,185
1550168769,2019-02-14T18:26:09Z,JAI384,"20.00235,73.190872",15000,253,184
1550168801,2019-02-14T18:26:41Z,JAI384,"19.963577,73.187584",15000,253,184
1550168836,2019-02-14T18:27:16Z,JAI384,"19.924171,73.184128",14850,254,184
1550168869,2019-02-14T18:27:49Z,JAI384,"19.8853,73.180817",14300,251,184
1550168901,2019-02-14T18:28:21Z,JAI384,"19.846848,73.177681",13725,247,184
1550168931,2019-02-14T18:28:51Z,JAI384,"19.812632,73.174637",13250,243,184
1550168966,2019-02-14T18:29:26Z,JAI384,"19.775757,73.171692",13000,239,184
1550168998,2019-02-14T18:29:58Z,JAI384,"19.738541,73.168556",13000,239,184
1550169033,2019-02-14T18:30:33Z,JAI384,"19.701874,73.165413",13000,238,184
1550169064,2019-02-14T18:31:04Z,JAI384,"19.665527,73.162323",12500,237,184
1550169097,2019-02-14T18:31:37Z,JAI384,"19.629169,73.15921",11950,234,184
1550169110,2019-02-14T18:31:50Z,JAI384,"19.616135,73.158157",11750,234,184
1550169121,2019-02-14T18:32:01Z,JAI384,"19.603821,73.157173",11550,233,184
1550169134,2019-02-14T18:32:14Z,JAI384,"19.590113,73.156013",11325,232,184
1550169145,2019-02-14T18:32:25Z,JAI384,"19.57745,73.153664",11125,229,195
1550169151,2019-02-14T18:32:31Z,JAI384,"19.574387,73.152763",11075,229,196
1550169158,2019-02-14T18:32:38Z,JAI384,"19.564957,73.14962",11000,228,197
1550169165,2019-02-14T18:32:45Z,JAI384,"19.559372,73.147705",11000,228,198
1550169182,2019-02-14T18:33:02Z,JAI384,"19.540628,73.141228",11000,227,198
1550169195,2019-02-14T18:33:15Z,JAI384,"19.528702,73.137161",11000,227,197
1550169208,2019-02-14T18:33:28Z,JAI384,"19.516375,73.132942",10825,227,197
1550169219,2019-02-14T18:33:39Z,JAI384,"19.504364,73.128746",10625,227,198
1550169232,2019-02-14T18:33:52Z,JAI384,"19.492167,73.12455",10425,229,198
1550169244,2019-02-14T18:34:04Z,JAI384,"19.479996,73.120491",10225,231,197
1550169255,2019-02-14T18:34:15Z,JAI384,"19.467354,73.116364",10025,232,197
1550169267,2019-02-14T18:34:27Z,JAI384,"19.455019,73.112167",10000,231,198
1550169281,2019-02-14T18:34:41Z,JAI384,"19.442356,73.107819",10000,231,198
1550169291,2019-02-14T18:34:51Z,JAI384,"19.430511,73.103714",10000,231,198
1550169303,2019-02-14T18:35:03Z,JAI384,"19.41806,73.099449",10000,232,197
1550169317,2019-02-14T18:35:17Z,JAI384,"19.405746,73.095276",10000,232,197
1550169328,2019-02-14T18:35:28Z,JAI384,"19.393476,73.091042",10000,231,198
1550169341,2019-02-14T18:35:41Z,JAI384,"19.380798,73.087234",10000,233,191
1550169368,2019-02-14T18:36:08Z,JAI384,"19.35116,73.087746",10000,236,177
1550169379,2019-02-14T18:36:19Z,JAI384,"19.337219,73.088409",10000,237,177
1550169392,2019-02-14T18:36:32Z,JAI384,"19.324036,73.089149",10000,237,176
1550169403,2019-02-14T18:36:43Z,JAI384,"19.310944,73.089935",10000,237,176
1550169415,2019-02-14T18:36:55Z,JAI384,"19.29744,73.090744",10000,237,176
1550169430,2019-02-14T18:37:10Z,JAI384,"19.281425,73.091789",10000,235,176
1550169442,2019-02-14T18:37:22Z,JAI384,"19.268234,73.092682",10000,235,176
1550169454,2019-02-14T18:37:34Z,JAI384,"19.25503,73.093536",10000,234,176
1550169466,2019-02-14T18:37:46Z,JAI384,"19.241867,73.094643",10000,235,172
1550169472,2019-02-14T18:37:52Z,JAI384,"19.235275,73.096504",10000,239,159
1550169479,2019-02-14T18:37:59Z,JAI384,"19.229324,73.099739",10000,241,149
1550169485,2019-02-14T18:38:05Z,JAI384,"19.22406,73.104256",10000,245,137
1550169493,2019-02-14T18:38:13Z,JAI384,"19.217741,73.113266",9900,252,121
1550169500,2019-02-14T18:38:20Z,JAI384,"19.215088,73.119904",9800,255,110
1550169506,2019-02-14T18:38:26Z,JAI384,"19.213531,73.127647",9675,257,97
1550169531,2019-02-14T18:38:51Z,JAI384,"19.213989,73.158203",9275,260,87
1550169541,2019-02-14T18:39:01Z,JAI384,"19.214584,73.173653",9075,259,87
1550169554,2019-02-14T18:39:14Z,JAI384,"19.215227,73.188667",8875,258,87
1550169567,2019-02-14T18:39:27Z,JAI384,"19.215834,73.2043",8650,257,87
1550169582,2019-02-14T18:39:42Z,JAI384,"19.216623,73.22258",8425,256,87
1550169593,2019-02-14T18:39:53Z,JAI384,"19.217331,73.238098",8200,255,87
1550169604,2019-02-14T18:40:04Z,JAI384,"19.217928,73.252289",8025,255,87
1550169617,2019-02-14T18:40:17Z,JAI384,"19.218626,73.26767",7975,251,87
1550169629,2019-02-14T18:40:29Z,JAI384,"19.219324,73.282356",8000,250,87
1550169641,2019-02-14T18:40:41Z,JAI384,"19.220032,73.297203",8000,251,87
1550169654,2019-02-14T18:40:54Z,JAI384,"19.220718,73.3125",8000,253,87
1550169666,2019-02-14T18:41:06Z,JAI384,"19.221405,73.327362",8000,250,87
1550169677,2019-02-14T18:41:17Z,JAI384,"19.222092,73.342079",8000,251,87
1550169690,2019-02-14T18:41:30Z,JAI384,"19.222778,73.356598",8000,253,87
1550169702,2019-02-14T18:41:42Z,JAI384,"19.223465,73.371803",8000,252,87
1550169714,2019-02-14T18:41:54Z,JAI384,"19.224197,73.386658",7975,253,87
1550169726,2019-02-14T18:42:06Z,JAI384,"19.22493,73.401474",7775,254,87
1550169752,2019-02-14T18:42:32Z,JAI384,"19.220306,73.430412",7375,245,120
1550169759,2019-02-14T18:42:39Z,JAI384,"19.213831,73.438164",7225,238,138
1550169770,2019-02-14T18:42:50Z,JAI384,"19.205219,73.443306",7075,233,158
1550169778,2019-02-14T18:42:58Z,JAI384,"19.195908,73.445198",6975,228,174
1550169785,2019-02-14T18:43:05Z,JAI384,"19.186295,73.445862",7000,227,177
1550169793,2019-02-14T18:43:13Z,JAI384,"19.179941,73.445648",7000,225,185
1550169803,2019-02-14T18:43:23Z,JAI384,"19.170959,73.442528",7000,220,205
1550169810,2019-02-14T18:43:30Z,JAI384,"19.163773,73.436539",7000,219,224
1550169816,2019-02-14T18:43:36Z,JAI384,"19.159597,73.431671",7000,219,229
1550169824,2019-02-14T18:43:44Z,JAI384,"19.155827,73.426971",7000,220,229
1550169831,2019-02-14T18:43:51Z,JAI384,"19.149775,73.41938",7000,220,230
1550169837,2019-02-14T18:43:57Z,JAI384,"19.145725,73.414238",7000,220,230
1550169848,2019-02-14T18:44:08Z,JAI384,"19.137955,73.404366",7000,221,230
1550169862,2019-02-14T18:44:22Z,JAI384,"19.129898,73.394264",7000,220,229
