Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550248564,2019-02-15T16:36:04Z,JAI384,"28.549393,77.052666",1775,177,280
1550248589,2019-02-15T16:36:29Z,JAI384,"28.542015,77.030746",2300,202,218
1550248595,2019-02-15T16:36:35Z,JAI384,"28.53772,77.028313",2400,207,203
1550248602,2019-02-15T16:36:42Z,JAI384,"28.530424,77.027031",2625,212,183
1550248609,2019-02-15T16:36:49Z,JAI384,"28.523115,77.026764",2875,212,182
1550248619,2019-02-15T16:36:59Z,JAI384,"28.513105,77.02536",3175,210,190
1550248634,2019-02-15T16:37:14Z,JAI384,"28.499233,77.021751",3675,208,193
1550248640,2019-02-15T16:37:20Z,JAI384,"28.494205,77.020302",3850,206,194
1550248655,2019-02-15T16:37:35Z,JAI384,"28.47995,77.01622",4150,216,194
1550248665,2019-02-15T16:37:45Z,JAI384,"28.470184,77.013512",4275,225,193
1550248675,2019-02-15T16:37:55Z,JAI384,"28.459534,77.01062",4475,234,193
1550248685,2019-02-15T16:38:05Z,JAI384,"28.448868,77.00782",4650,243,193
1550248694,2019-02-15T16:38:14Z,JAI384,"28.43779,77.004913",4850,250,193
1550248700,2019-02-15T16:38:20Z,JAI384,"28.431793,77.003334",4925,255,193
1550248710,2019-02-15T16:38:30Z,JAI384,"28.42012,77.00032",5075,265,192
1550248725,2019-02-15T16:38:45Z,JAI384,"28.401241,76.995529",5450,273,192
1550248739,2019-02-15T16:38:59Z,JAI384,"28.382946,76.990952",5950,275,192
1550248755,2019-02-15T16:39:15Z,JAI384,"28.364092,76.986153",6450,277,192
1550248770,2019-02-15T16:39:30Z,JAI384,"28.345047,76.981361",7075,276,192
1550248784,2019-02-15T16:39:44Z,JAI384,"28.326571,76.976624",7650,277,194
1550248796,2019-02-15T16:39:56Z,JAI384,"28.313873,76.971535",7975,279,203
1550248805,2019-02-15T16:40:05Z,JAI384,"28.302429,76.964668",8175,285,211
1550248811,2019-02-15T16:40:11Z,JAI384,"28.296707,76.960182",8275,288,215
1550248820,2019-02-15T16:40:20Z,JAI384,"28.286179,76.950722",8475,296,218
1550248830,2019-02-15T16:40:30Z,JAI384,"28.275284,76.941109",8625,304,218
1550248845,2019-02-15T16:40:45Z,JAI384,"28.258558,76.926323",8925,314,218
1550248860,2019-02-15T16:41:00Z,JAI384,"28.241474,76.911194",9575,311,218
1550248874,2019-02-15T16:41:14Z,JAI384,"28.224714,76.896378",10275,307,218
1550248889,2019-02-15T16:41:29Z,JAI384,"28.207443,76.880981",10875,308,218
1550248905,2019-02-15T16:41:45Z,JAI384,"28.190779,76.866165",11350,313,218
1550248921,2019-02-15T16:42:01Z,JAI384,"28.172483,76.849907",11625,324,218
1550248935,2019-02-15T16:42:15Z,JAI384,"28.155396,76.834732",12000,331,218
