Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550336321,2019-02-16T16:58:41Z,JAI384,"28.540146,77.029266",2250,218,219
1550336330,2019-02-16T16:58:50Z,JAI384,"28.531815,77.02446",2450,233,200
1550336336,2019-02-16T16:58:56Z,JAI384,"28.525349,77.023048",2525,244,186
1550336361,2019-02-16T16:59:21Z,JAI384,"28.494827,77.022507",3175,268,184
1550336372,2019-02-16T16:59:32Z,JAI384,"28.482422,77.020554",3600,271,189
1550336381,2019-02-16T16:59:41Z,JAI384,"28.470232,77.017822",3925,275,192
1550336392,2019-02-16T16:59:52Z,JAI384,"28.457657,77.014427",4050,279,193
1550336401,2019-02-16T17:00:01Z,JAI384,"28.444767,77.010551",4200,278,195
1550336411,2019-02-16T17:00:11Z,JAI384,"28.432198,77.006729",4350,277,194
1550336422,2019-02-16T17:00:22Z,JAI384,"28.419937,77.003174",4500,277,194
1550336431,2019-02-16T17:00:31Z,JAI384,"28.407532,76.999634",4675,279,194
1550336441,2019-02-16T17:00:41Z,JAI384,"28.394943,76.996147",4825,280,193
1550336451,2019-02-16T17:00:51Z,JAI384,"28.381989,76.992554",5000,279,193
1550336466,2019-02-16T17:01:06Z,JAI384,"28.363022,76.987183",5250,281,195
1550336482,2019-02-16T17:01:22Z,JAI384,"28.344587,76.978882",5575,284,206
1550336491,2019-02-16T17:01:31Z,JAI384,"28.333181,76.972206",5975,284,207
1550336507,2019-02-16T17:01:47Z,JAI384,"28.315338,76.961975",6725,282,206
1550336522,2019-02-16T17:02:02Z,JAI384,"28.297714,76.951942",7350,286,206
1550336536,2019-02-16T17:02:16Z,JAI384,"28.279449,76.941536",7600,303,206
1550336551,2019-02-16T17:02:31Z,JAI384,"28.259583,76.930199",7875,319,206
1550336566,2019-02-16T17:02:46Z,JAI384,"28.240036,76.919037",8225,328,206
1550336582,2019-02-16T17:03:02Z,JAI384,"28.218796,76.90699",8800,331,206
1550336596,2019-02-16T17:03:16Z,JAI384,"28.197968,76.895157",9375,334,206
1550336606,2019-02-16T17:03:26Z,JAI384,"28.184464,76.887497",9700,336,206
1550336621,2019-02-16T17:03:41Z,JAI384,"28.163361,76.875511",10275,338,206
1550336636,2019-02-16T17:03:56Z,JAI384,"28.141983,76.863419",10825,341,206
1550336652,2019-02-16T17:04:12Z,JAI384,"28.120789,76.851318",11325,344,206
1550336667,2019-02-16T17:04:27Z,JAI384,"28.099411,76.839172",11850,347,206
1550336682,2019-02-16T17:04:42Z,JAI384,"28.077145,76.82653",12425,350,206
1550336716,2019-02-16T17:05:16Z,JAI384,"28.025936,76.797394",13600,359,206
1550336750,2019-02-16T17:05:50Z,JAI384,"27.974716,76.768501",14850,365,206
1550336772,2019-02-16T17:06:12Z,JAI384,"27.94281,76.750542",15725,365,206
1550336916,2019-02-16T17:08:36Z,JAI384,"27.718643,76.623833",20625,387,206
1550336944,2019-02-16T17:09:04Z,JAI384,"27.677216,76.600563",21275,395,206
1550337034,2019-02-16T17:10:34Z,JAI384,"27.521172,76.512695",23700,419,206
1550337101,2019-02-16T17:11:41Z,JAI384,"27.406998,76.44883",25625,427,206
1550337162,2019-02-16T17:12:42Z,JAI384,"27.294088,76.385666",26725,426,206
1550337172,2019-02-16T17:12:52Z,JAI384,"27.277084,76.376228",26850,426,206
1550337264,2019-02-16T17:14:24Z,JAI384,"27.10788,76.281723",28525,452,206
1550337323,2019-02-16T17:15:23Z,JAI384,"26.99555,76.219604",30250,445,206
1550337422,2019-02-16T17:17:02Z,JAI384,"26.814102,76.118828",32000,452,206
1550337442,2019-02-16T17:17:22Z,JAI384,"26.776522,76.098068",32000,452,206
1550337532,2019-02-16T17:18:52Z,JAI384,"26.603952,76.003151",32000,456,206
1550337596,2019-02-16T17:19:56Z,JAI384,"26.483963,75.937241",32000,456,206
1550337659,2019-02-16T17:20:59Z,JAI384,"26.363649,75.870789",32000,459,206
1550337720,2019-02-16T17:22:00Z,JAI384,"26.247849,75.807838",32000,457,205
1550337783,2019-02-16T17:23:03Z,JAI384,"26.127676,75.742653",32000,457,206
1550337847,2019-02-16T17:24:07Z,JAI384,"26.007572,75.677101",32000,460,206
1550337906,2019-02-16T17:25:06Z,JAI384,"25.891708,75.614334",32000,461,206
1550337970,2019-02-16T17:26:10Z,JAI384,"25.769829,75.548576",32000,461,206
1550338031,2019-02-16T17:27:11Z,JAI384,"25.653168,75.485329",32000,460,206
1550338094,2019-02-16T17:28:14Z,JAI384,"25.532135,75.419518",32000,463,206
1550338154,2019-02-16T17:29:14Z,JAI384,"25.415085,75.356293",32000,469,206
1550338218,2019-02-16T17:30:18Z,JAI384,"25.290062,75.289413",32000,470,206
1550338282,2019-02-16T17:31:22Z,JAI384,"25.165695,75.222473",32000,471,205
1550338341,2019-02-16T17:32:21Z,JAI384,"25.046734,75.158768",32000,473,205
1550338404,2019-02-16T17:33:24Z,JAI384,"24.922073,75.092468",32000,477,205
1550338468,2019-02-16T17:34:28Z,JAI384,"24.790375,75.03347",32000,496,195
1550338477,2019-02-16T17:34:37Z,JAI384,"24.769562,75.028694",32000,508,189
1550338484,2019-02-16T17:34:44Z,JAI384,"24.754349,75.026192",32000,510,188
1550338551,2019-02-16T17:35:51Z,JAI384,"24.598854,75.0047",32000,505,187
