Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550507889,2019-02-18T16:38:09Z,JAI384,"28.537262,77.115517",1775,177,99
1550507899,2019-02-18T16:38:19Z,JAI384,"28.535498,77.125259",1975,184,105
1550507909,2019-02-18T16:38:29Z,JAI384,"28.530991,77.133583",2125,183,135
1550507920,2019-02-18T16:38:40Z,JAI384,"28.523487,77.137863",2325,179,164
1550507930,2019-02-18T16:38:50Z,JAI384,"28.515701,77.137703",2600,173,188
1550507939,2019-02-18T16:38:59Z,JAI384,"28.507799,77.134743",2900,171,201
1550507949,2019-02-18T16:39:09Z,JAI384,"28.50049,77.131996",3150,175,196
1550507965,2019-02-18T16:39:25Z,JAI384,"28.487915,77.128937",3525,179,190
1550507974,2019-02-18T16:39:34Z,JAI384,"28.479774,77.127419",3775,182,189
1550507984,2019-02-18T16:39:44Z,JAI384,"28.471344,77.125923",4025,184,189
1550507995,2019-02-18T16:39:55Z,JAI384,"28.462646,77.124344",4200,189,189
1550508010,2019-02-18T16:40:10Z,JAI384,"28.449423,77.121765",4475,198,190
1550508020,2019-02-18T16:40:20Z,JAI384,"28.44017,77.11985",4650,203,190
1550508029,2019-02-18T16:40:29Z,JAI384,"28.430708,77.117882",4800,210,190
1550508040,2019-02-18T16:40:40Z,JAI384,"28.420979,77.115784",4950,216,190
1550508050,2019-02-18T16:40:50Z,JAI384,"28.410784,77.113464",5150,224,191
1550508064,2019-02-18T16:41:04Z,JAI384,"28.395447,77.109871",5425,236,191
1550508074,2019-02-18T16:41:14Z,JAI384,"28.383831,77.107224",5600,247,191
1550508090,2019-02-18T16:41:30Z,JAI384,"28.36615,77.103424",5850,260,190
1550508105,2019-02-18T16:41:45Z,JAI384,"28.348206,77.09967",6300,265,190
1550508119,2019-02-18T16:41:59Z,JAI384,"28.330078,77.095764",6925,260,192
1550508129,2019-02-18T16:42:09Z,JAI384,"28.318983,77.091492",7350,256,203
1550508139,2019-02-18T16:42:19Z,JAI384,"28.309114,77.08503",7725,253,213
1550508149,2019-02-18T16:42:29Z,JAI384,"28.29985,77.076149",8125,252,223
1550508155,2019-02-18T16:42:35Z,JAI384,"28.295753,77.071571",8300,252,224
1550508170,2019-02-18T16:42:50Z,JAI384,"28.283138,77.057732",8850,253,223
1550508184,2019-02-18T16:43:04Z,JAI384,"28.270615,77.043945",9375,257,224
1550508194,2019-02-18T16:43:14Z,JAI384,"28.261826,77.03434",9700,262,224
1550508210,2019-02-18T16:43:30Z,JAI384,"28.248459,77.019547",10400,264,225
1550508225,2019-02-18T16:43:45Z,JAI384,"28.235596,77.00502",11200,260,225
1550508240,2019-02-18T16:44:00Z,JAI384,"28.223099,76.991028",12375,239,224
1550508275,2019-02-18T16:44:35Z,JAI384,"28.196274,76.960815",13875,235,225
1550508310,2019-02-18T16:45:10Z,JAI384,"28.16803,76.92907",14875,253,225
1550508346,2019-02-18T16:45:46Z,JAI384,"28.138733,76.896759",16175,258,223
1550508380,2019-02-18T16:46:20Z,JAI384,"28.108055,76.863258",17350,265,224
1550508405,2019-02-18T16:46:45Z,JAI384,"28.084686,76.840858",18300,277,208
1550508415,2019-02-18T16:46:55Z,JAI384,"28.071304,76.835999",18425,301,192
1550508425,2019-02-18T16:47:05Z,JAI384,"28.057022,76.834732",18575,320,182
1550508435,2019-02-18T16:47:15Z,JAI384,"28.041916,76.834366",18725,330,180
1550508509,2019-02-18T16:48:29Z,JAI384,"27.921007,76.833572",19725,388,180
1550508568,2019-02-18T16:49:28Z,JAI384,"27.809006,76.833351",21125,409,180
1550508631,2019-02-18T16:50:31Z,JAI384,"27.687836,76.833817",22800,423,179
1550508699,2019-02-18T16:51:39Z,JAI384,"27.55751,76.829514",24575,402,196
1550508708,2019-02-18T16:51:48Z,JAI384,"27.541561,76.823853",24825,401,197
1550508772,2019-02-18T16:52:52Z,JAI384,"27.427507,76.7826",26525,411,198
1550508804,2019-02-18T16:53:24Z,JAI384,"27.370527,76.755081",27275,399,208
1550508870,2019-02-18T16:54:30Z,JAI384,"27.26425,76.683563",28675,405,211
1550508935,2019-02-18T16:55:35Z,JAI384,"27.160252,76.613106",30000,410,211
1550508998,2019-02-18T16:56:38Z,JAI384,"27.055416,76.542274",31500,407,211
1550509061,2019-02-18T16:57:41Z,JAI384,"26.95505,76.474403",32800,406,211
1550509126,2019-02-18T16:58:46Z,JAI384,"26.850677,76.403954",33575,418,211
1550509188,2019-02-18T16:59:48Z,JAI384,"26.747681,76.33503",35050,405,210
1550509252,2019-02-18T17:00:52Z,JAI384,"26.647842,76.267761",36525,388,211
1550509310,2019-02-18T17:01:50Z,JAI384,"26.559216,76.208359",37425,381,210
1550509375,2019-02-18T17:02:55Z,JAI384,"26.461899,76.143387",38000,379,210
1550509439,2019-02-18T17:03:59Z,JAI384,"26.365698,76.079475",38000,387,210
1550509496,2019-02-18T17:04:56Z,JAI384,"26.2752,76.018791",38000,394,211
1550509561,2019-02-18T17:06:01Z,JAI384,"26.171249,75.949753",38000,397,210
1550509620,2019-02-18T17:07:00Z,JAI384,"26.079308,75.888908",38000,397,211
1550509688,2019-02-18T17:08:08Z,JAI384,"25.972891,75.818497",38000,398,210
1550509749,2019-02-18T17:09:09Z,JAI384,"25.87406,75.753639",38000,399,210
1550509785,2019-02-18T17:09:45Z,JAI384,"25.816544,75.715431",38000,397,211
1550509925,2019-02-18T17:12:05Z,JAI384,"25.595211,75.570084",38000,399,210
1550509988,2019-02-18T17:13:08Z,JAI384,"25.49452,75.504005",38000,399,210
1550510059,2019-02-18T17:14:19Z,JAI384,"25.383408,75.431267",38000,399,210
1550510121,2019-02-18T17:15:21Z,JAI384,"25.28252,75.36528",38000,396,210
1550510182,2019-02-18T17:16:22Z,JAI384,"25.187485,75.303551",38000,394,210
1550510245,2019-02-18T17:17:25Z,JAI384,"25.0877,75.238884",38000,394,210
1550510306,2019-02-18T17:18:26Z,JAI384,"24.992569,75.176849",38000,394,210
1550510367,2019-02-18T17:19:27Z,JAI384,"24.896881,75.114876",38000,393,210
1550510430,2019-02-18T17:20:30Z,JAI384,"24.797241,75.050606",38000,392,210
1550510490,2019-02-18T17:21:30Z,JAI384,"24.703308,74.990082",38000,392,210
1550510551,2019-02-18T17:22:31Z,JAI384,"24.607374,74.928154",38000,394,210
1550510587,2019-02-18T17:23:07Z,JAI384,"24.5476,74.896393",38000,412,200
1550510648,2019-02-18T17:24:08Z,JAI384,"24.437622,74.85199",38000,415,200
1550510709,2019-02-18T17:25:09Z,JAI384,"24.327036,74.807823",38000,416,200
1550510770,2019-02-18T17:26:10Z,JAI384,"24.216846,74.763519",38000,417,200
1550510833,2019-02-18T17:27:13Z,JAI384,"24.10042,74.716881",38000,421,200
1550510895,2019-02-18T17:28:15Z,JAI384,"23.988926,74.67231",38000,422,200
1550510958,2019-02-18T17:29:18Z,JAI384,"23.871382,74.625099",38000,427,200
1550511021,2019-02-18T17:30:21Z,JAI384,"23.753815,74.578194",38000,425,200
1550511085,2019-02-18T17:31:25Z,JAI384,"23.635828,74.531097",38000,425,200
1550511145,2019-02-18T17:32:25Z,JAI384,"23.523964,74.486595",38000,424,200
1550511207,2019-02-18T17:33:27Z,JAI384,"23.411728,74.441963",38000,421,200
1550511270,2019-02-18T17:34:30Z,JAI384,"23.295685,74.395821",38000,417,200
