Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550594771,2019-02-19T16:46:11Z,JAI384,"28.53511,77.120377",1825,178,105
1550594786,2019-02-19T16:46:26Z,JAI384,"28.529846,77.13221",2275,179,131
1550594795,2019-02-19T16:46:35Z,JAI384,"28.522659,77.137703",2525,185,156
1550594801,2019-02-19T16:46:41Z,JAI384,"28.518459,77.139046",2575,191,168
1550594821,2019-02-19T16:47:01Z,JAI384,"28.499268,77.135429",2525,226,200
1550594831,2019-02-19T16:47:11Z,JAI384,"28.48941,77.131187",2525,235,200
1550594841,2019-02-19T16:47:21Z,JAI384,"28.479216,77.12677",2750,237,203
1550594850,2019-02-19T16:47:30Z,JAI384,"28.469193,77.120483",3025,246,212
1550594856,2019-02-19T16:47:36Z,JAI384,"28.464294,77.116524",3100,253,217
1550594865,2019-02-19T16:47:45Z,JAI384,"28.455149,77.108139",3350,262,219
1550594876,2019-02-19T16:47:56Z,JAI384,"28.445791,77.099358",3725,264,219
1550594886,2019-02-19T16:48:06Z,JAI384,"28.436462,77.090591",4075,266,219
1550594895,2019-02-19T16:48:15Z,JAI384,"28.426613,77.081421",4450,270,218
1550594906,2019-02-19T16:48:26Z,JAI384,"28.416458,77.072258",4700,280,218
1550594916,2019-02-19T16:48:36Z,JAI384,"28.406158,77.062965",4925,289,218
1550594931,2019-02-19T16:48:51Z,JAI384,"28.389725,77.048279",5175,303,218
1550594946,2019-02-19T16:49:06Z,JAI384,"28.372467,77.032806",5450,318,218
1550594961,2019-02-19T16:49:21Z,JAI384,"28.355061,77.01712",6025,320,218
1550594977,2019-02-19T16:49:37Z,JAI384,"28.337997,77.001801",6550,324,218
1550594991,2019-02-19T16:49:51Z,JAI384,"28.320007,76.985741",7150,326,218
1550595007,2019-02-19T16:50:07Z,JAI384,"28.302383,76.969894",7700,328,218
1550595020,2019-02-19T16:50:20Z,JAI384,"28.285675,76.954788",8350,328,218
1550595037,2019-02-19T16:50:37Z,JAI384,"28.26622,76.936989",9075,328,219
1550595052,2019-02-19T16:50:52Z,JAI384,"28.248688,76.921143",9825,327,218
1550595066,2019-02-19T16:51:06Z,JAI384,"28.230721,76.905106",10425,331,218
