Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550681297,2019-02-20T16:48:17Z,JAI384,"28.537399,77.110611",1425,168,104
1550681307,2019-02-20T16:48:27Z,JAI384,"28.535614,77.11895",1725,170,104
1550681316,2019-02-20T16:48:36Z,JAI384,"28.532379,77.126877",1925,176,123
1550681323,2019-02-20T16:48:43Z,JAI384,"28.528887,77.130646",2025,180,142
1550681331,2019-02-20T16:48:51Z,JAI384,"28.520782,77.133636",2225,190,173
1550681351,2019-02-20T16:49:11Z,JAI384,"28.50293,77.12767",2575,214,200
1550681357,2019-02-20T16:49:17Z,JAI384,"28.498024,77.125961",2675,220,195
1550681372,2019-02-20T16:49:32Z,JAI384,"28.482559,77.120117",2900,242,208
1550681378,2019-02-20T16:49:38Z,JAI384,"28.477633,77.116592",3000,248,214
1550681388,2019-02-20T16:49:48Z,JAI384,"28.468781,77.108124",3275,257,221
1550681397,2019-02-20T16:49:57Z,JAI384,"28.459385,77.099144",3625,261,219
1550681407,2019-02-20T16:50:07Z,JAI384,"28.449795,77.090363",3950,266,218
1550681416,2019-02-20T16:50:16Z,JAI384,"28.440308,77.081978",4225,273,217
1550681427,2019-02-20T16:50:27Z,JAI384,"28.429733,77.072845",4600,275,217
1550681437,2019-02-20T16:50:37Z,JAI384,"28.419937,77.064499",5100,271,217
1550681452,2019-02-20T16:50:52Z,JAI384,"28.404873,77.05143",6025,262,217
1550681468,2019-02-20T16:51:08Z,JAI384,"28.390999,77.039421",7000,251,217
1550681481,2019-02-20T16:51:21Z,JAI384,"28.378052,77.028366",7900,243,216
1550681497,2019-02-20T16:51:37Z,JAI384,"28.363859,77.016205",8700,243,217
1550681512,2019-02-20T16:51:52Z,JAI384,"28.349987,77.004143",9325,248,217
1550681527,2019-02-20T16:52:07Z,JAI384,"28.336348,76.992081",9900,252,218
1550681542,2019-02-20T16:52:22Z,JAI384,"28.322525,76.979774",10400,260,218
1550681558,2019-02-20T16:52:38Z,JAI384,"28.307465,76.966202",10650,279,218
1550681567,2019-02-20T16:52:47Z,JAI384,"28.297165,76.957062",10800,290,218
1550681583,2019-02-20T16:53:03Z,JAI384,"28.280502,76.942329",11050,304,217
1550681597,2019-02-20T16:53:17Z,JAI384,"28.263885,76.92775",11525,310,217
1550681612,2019-02-20T16:53:32Z,JAI384,"28.246857,76.912857",12075,313,217
1550681642,2019-02-20T16:54:02Z,JAI384,"28.212797,76.88308",13050,322,217
1550681677,2019-02-20T16:54:37Z,JAI384,"28.170341,76.845917",14275,330,217
1550681713,2019-02-20T16:55:13Z,JAI384,"28.127188,76.808006",16000,321,217
1550681745,2019-02-20T16:55:45Z,JAI384,"28.090988,76.776741",17100,325,215
1550681763,2019-02-20T16:56:03Z,JAI384,"28.066484,76.760666",17700,335,206
1550681772,2019-02-20T16:56:12Z,JAI384,"28.054054,76.753883",17950,338,205
1550681804,2019-02-20T16:56:44Z,JAI384,"28.006165,76.727509",18900,345,205
