Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550766826,2019-02-21T16:33:46Z,JAI384,"28.528934,77.13533",2150,183,134
1550766834,2019-02-21T16:33:54Z,JAI384,"28.524418,77.138184",2325,185,152
1550766840,2019-02-21T16:34:00Z,JAI384,"28.519043,77.139496",2475,188,171
1550766864,2019-02-21T16:34:24Z,JAI384,"28.499792,77.131943",3200,187,217
1550766871,2019-02-21T16:34:31Z,JAI384,"28.495649,77.128006",3400,186,220
1550766881,2019-02-21T16:34:41Z,JAI384,"28.487921,77.12101",3775,187,218
1550766895,2019-02-21T16:34:55Z,JAI384,"28.478943,77.113197",4075,196,217
1550766904,2019-02-21T16:35:04Z,JAI384,"28.470016,77.105484",4300,209,217
1550766913,2019-02-21T16:35:13Z,JAI384,"28.465204,77.101242",4400,216,217
1550766924,2019-02-21T16:35:24Z,JAI384,"28.455139,77.092491",4600,230,217
1550766935,2019-02-21T16:35:35Z,JAI384,"28.444656,77.083244",4825,238,218
1550766942,2019-02-21T16:35:42Z,JAI384,"28.439117,77.078339",4950,245,218
1550766959,2019-02-21T16:35:59Z,JAI384,"28.422226,77.063545",5250,260,217
1550766972,2019-02-21T16:36:12Z,JAI384,"28.410971,77.053688",5425,265,217
1550766984,2019-02-21T16:36:24Z,JAI384,"28.398355,77.042702",5625,280,217
1550766995,2019-02-21T16:36:35Z,JAI384,"28.385599,77.031555",5800,293,217
1550767007,2019-02-21T16:36:47Z,JAI384,"28.372147,77.019707",5975,307,217
1550767019,2019-02-21T16:36:59Z,JAI384,"28.358505,77.00782",6275,315,217
1550767032,2019-02-21T16:37:12Z,JAI384,"28.34454,76.995636",6625,321,217
1550767044,2019-02-21T16:37:24Z,JAI384,"28.329758,76.982681",6950,330,217
1550767055,2019-02-21T16:37:35Z,JAI384,"28.315201,76.969948",7450,331,217
1550767068,2019-02-21T16:37:48Z,JAI384,"28.30134,76.957825",8100,326,217
1550767079,2019-02-21T16:37:59Z,JAI384,"28.286636,76.945023",8900,318,217
1550767092,2019-02-21T16:38:12Z,JAI384,"28.272995,76.933189",9625,312,217
1550767102,2019-02-21T16:38:22Z,JAI384,"28.259024,76.92099",10350,308,217
1550767116,2019-02-21T16:38:36Z,JAI384,"28.245392,76.90905",10925,308,217
1550767126,2019-02-21T16:38:46Z,JAI384,"28.232582,76.897835",11425,310,217
1550767140,2019-02-21T16:39:00Z,JAI384,"28.218246,76.885338",11900,313,217
1550767151,2019-02-21T16:39:11Z,JAI384,"28.205383,76.874084",12375,317,217
1550767183,2019-02-21T16:39:43Z,JAI384,"28.16835,76.841705",13625,327,217
1550767217,2019-02-21T16:40:17Z,JAI384,"28.128342,76.806953",15050,333,217
1550767250,2019-02-21T16:40:50Z,JAI384,"28.08728,76.771248",16550,339,217
1550767282,2019-02-21T16:41:22Z,JAI384,"28.045908,76.735245",17775,345,217
1550767314,2019-02-21T16:41:54Z,JAI384,"28.004059,76.698936",18575,348,217
1550767375,2019-02-21T16:42:55Z,JAI384,"27.924637,76.630211",19575,351,217
1550767440,2019-02-21T16:44:00Z,JAI384,"27.839634,76.556641",21800,355,217
1550767502,2019-02-21T16:45:02Z,JAI384,"27.753662,76.487335",23875,368,213
1550767564,2019-02-21T16:46:04Z,JAI384,"27.668322,76.423172",25775,371,213
1550767627,2019-02-21T16:47:07Z,JAI384,"27.576416,76.354149",27250,385,213
1550767690,2019-02-21T16:48:10Z,JAI384,"27.480623,76.284729",28750,394,211
1550767755,2019-02-21T16:49:15Z,JAI384,"27.376951,76.213799",30425,395,211
1550767792,2019-02-21T16:49:52Z,JAI384,"27.322449,76.176453",31250,396,211
1550767879,2019-02-21T16:51:19Z,JAI384,"27.183243,76.081413",33200,394,211
1550767946,2019-02-21T16:52:26Z,JAI384,"27.078415,76.009636",34000,396,211
1550768009,2019-02-21T16:53:29Z,JAI384,"26.983446,75.945053",34000,395,211
1550768070,2019-02-21T16:54:30Z,JAI384,"26.884735,75.878059",34000,394,211
1550768083,2019-02-21T16:54:43Z,JAI384,"26.863678,75.863754",34000,394,211
1550768115,2019-02-21T16:55:15Z,JAI384,"26.811436,75.83223",34000,401,203
1550768282,2019-02-21T16:58:02Z,JAI384,"26.523417,75.709953",34000,407,200
1550768345,2019-02-21T16:59:05Z,JAI384,"26.407362,75.660942",34000,408,200
1550768409,2019-02-21T17:00:09Z,JAI384,"26.29747,75.614754",34000,407,200
1550768771,2019-02-21T17:06:11Z,JAI384,"25.662712,75.350098",34000,398,200
1550768839,2019-02-21T17:07:19Z,JAI384,"25.5434,75.30117",34000,398,200
1550768889,2019-02-21T17:08:09Z,JAI384,"25.45793,75.26609",34000,398,200
1550769038,2019-02-21T17:10:38Z,JAI384,"25.202311,75.161568",34000,392,200
1550769098,2019-02-21T17:11:38Z,JAI384,"25.099104,75.119644",34000,393,200
1550769163,2019-02-21T17:12:43Z,JAI384,"24.98909,75.07502",34000,398,200
1550769224,2019-02-21T17:13:44Z,JAI384,"24.883667,75.032249",33975,399,200
1550769287,2019-02-21T17:14:47Z,JAI384,"24.773239,74.987495",34000,399,200
1550769347,2019-02-21T17:15:47Z,JAI384,"24.668015,74.944916",34000,401,200
1550769406,2019-02-21T17:16:46Z,JAI384,"24.56543,74.903511",34000,401,200
1550769471,2019-02-21T17:17:51Z,JAI384,"24.450211,74.857178",34000,404,200
1550769532,2019-02-21T17:18:52Z,JAI384,"24.342957,74.814148",34000,408,200
1550769592,2019-02-21T17:19:52Z,JAI384,"24.234955,74.770828",34000,411,200
1550769656,2019-02-21T17:20:56Z,JAI384,"24.120716,74.724602",34000,412,200
1550769717,2019-02-21T17:21:57Z,JAI384,"24.010986,74.680939",34000,413,199
1550769778,2019-02-21T17:22:58Z,JAI384,"23.902084,74.637756",34000,414,200
1550769842,2019-02-21T17:24:02Z,JAI384,"23.788008,74.591782",33975,411,200
1550769902,2019-02-21T17:25:02Z,JAI384,"23.680252,74.548851",33975,407,200
1550769962,2019-02-21T17:26:02Z,JAI384,"23.572861,74.506126",34000,405,199
1550770027,2019-02-21T17:27:07Z,JAI384,"23.459814,74.461311",34000,404,200
1550770087,2019-02-21T17:28:07Z,JAI384,"23.353729,74.418892",34000,401,200
1550770147,2019-02-21T17:29:07Z,JAI384,"23.25098,74.378105",33975,391,200
1550770212,2019-02-21T17:30:12Z,JAI384,"23.141397,74.334663",34000,389,200
1550770272,2019-02-21T17:31:12Z,JAI384,"23.037399,74.293617",34000,394,200
1550770333,2019-02-21T17:32:13Z,JAI384,"22.932005,74.252167",34000,393,200
1550770395,2019-02-21T17:33:15Z,JAI384,"22.827026,74.2108",34000,393,200
1550770460,2019-02-21T17:34:20Z,JAI384,"22.713581,74.166107",34000,397,200
1550770521,2019-02-21T17:35:21Z,JAI384,"22.608078,74.124809",34000,399,200
1550770585,2019-02-21T17:36:25Z,JAI384,"22.496246,74.08091",34000,403,200
1550770646,2019-02-21T17:37:26Z,JAI384,"22.387949,74.038544",34000,405,199
1550770710,2019-02-21T17:38:30Z,JAI384,"22.276316,73.994957",34000,405,199
1550770773,2019-02-21T17:39:33Z,JAI384,"22.164871,73.951569",34000,402,200
1550770833,2019-02-21T17:40:33Z,JAI384,"22.059429,73.910469",34000,401,199
1550770895,2019-02-21T17:41:35Z,JAI384,"21.952835,73.869072",34000,399,199
1550770958,2019-02-21T17:42:38Z,JAI384,"21.843018,73.826576",34000,395,199
1550771021,2019-02-21T17:43:41Z,JAI384,"21.734215,73.784279",34000,393,199
1550771081,2019-02-21T17:44:41Z,JAI384,"21.630777,73.744255",34000,392,199
1550771145,2019-02-21T17:45:45Z,JAI384,"21.522034,73.702278",34000,393,199
1550771209,2019-02-21T17:46:49Z,JAI384,"21.413099,73.660278",34000,394,199
1550771271,2019-02-21T17:47:51Z,JAI384,"21.304167,73.61837",34000,396,199
1550771333,2019-02-21T17:48:53Z,JAI384,"21.199423,73.578133",33550,397,200
1550771395,2019-02-21T17:49:55Z,JAI384,"21.086014,73.537788",32500,418,197
1550771458,2019-02-21T17:50:58Z,JAI384,"20.967041,73.498192",31500,424,197
