Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550940450,2019-02-23T16:47:30Z,JAI384,"28.546829,77.064339",1550,171,279
1550940480,2019-02-23T16:48:00Z,JAI384,"28.53964,77.038391",2625,191,209
1550940487,2019-02-23T16:48:07Z,JAI384,"28.53466,77.036346",2850,193,194
1550940496,2019-02-23T16:48:16Z,JAI384,"28.526367,77.034973",3250,191,187
1550940504,2019-02-23T16:48:24Z,JAI384,"28.518677,77.03344",3600,192,191
1550940511,2019-02-23T16:48:31Z,JAI384,"28.513247,77.03215",3800,193,192
1550940520,2019-02-23T16:48:40Z,JAI384,"28.505219,77.0299",4050,202,194
1550940533,2019-02-23T16:48:53Z,JAI384,"28.49382,77.026466",4225,221,195
1550940543,2019-02-23T16:49:03Z,JAI384,"28.481264,77.022453",4450,238,197
1550940549,2019-02-23T16:49:09Z,JAI384,"28.475445,77.019707",4550,244,205
1550940558,2019-02-23T16:49:18Z,JAI384,"28.466555,77.013031",4750,253,216
1550940565,2019-02-23T16:49:25Z,JAI384,"28.460642,77.008347",4900,262,214
1550940579,2019-02-23T16:49:39Z,JAI384,"28.443604,76.999687",5500,272,203
1550940585,2019-02-23T16:49:45Z,JAI384,"28.436325,76.995728",5825,271,206
1550940600,2019-02-23T16:50:00Z,JAI384,"28.423096,76.987907",6475,266,208
1550940610,2019-02-23T16:50:10Z,JAI384,"28.410273,76.980072",7000,268,208
1550940622,2019-02-23T16:50:22Z,JAI384,"28.396683,76.971909",7475,274,207
1550940636,2019-02-23T16:50:36Z,JAI384,"28.383041,76.964035",8025,276,206
1550940646,2019-02-23T16:50:46Z,JAI384,"28.369026,76.956108",8575,277,206
1550940658,2019-02-23T16:50:58Z,JAI384,"28.354828,76.948189",8850,291,206
1550940670,2019-02-23T16:51:10Z,JAI384,"28.3396,76.939789",9075,305,206
1550940683,2019-02-23T16:51:23Z,JAI384,"28.324448,76.931396",9275,319,206
1550940694,2019-02-23T16:51:34Z,JAI384,"28.30781,76.92218",9475,333,206
1550940706,2019-02-23T16:51:46Z,JAI384,"28.291563,76.913132",9875,338,206
1550940718,2019-02-23T16:51:58Z,JAI384,"28.274061,76.903381",10425,338,206
1550940730,2019-02-23T16:52:10Z,JAI384,"28.25679,76.89373",10950,341,206
1550940742,2019-02-23T16:52:22Z,JAI384,"28.24003,76.884369",11475,342,206
1550940755,2019-02-23T16:52:35Z,JAI384,"28.222248,76.874458",12000,346,206
1550940786,2019-02-23T16:53:06Z,JAI384,"28.174484,76.847725",13525,349,206
1550940821,2019-02-23T16:53:41Z,JAI384,"28.126211,76.820717",15025,354,206
1550940853,2019-02-23T16:54:13Z,JAI384,"28.081055,76.795509",16450,360,206
1550940884,2019-02-23T16:54:44Z,JAI384,"28.031662,76.768097",17925,364,206
1550940917,2019-02-23T16:55:17Z,JAI384,"27.982361,76.740608",19200,371,206
1550940982,2019-02-23T16:56:22Z,JAI384,"27.881332,76.684464",21600,384,206
1550941041,2019-02-23T16:57:21Z,JAI384,"27.782867,76.629745",23475,399,206
1550941104,2019-02-23T16:58:24Z,JAI384,"27.676609,76.571167",25675,402,206
1550941168,2019-02-23T16:59:28Z,JAI384,"27.571541,76.513069",27700,403,206
1550941232,2019-02-23T17:00:32Z,JAI384,"27.467171,76.455597",29875,394,206
1550941293,2019-02-23T17:01:33Z,JAI384,"27.362732,76.3983",31575,393,205
1550941356,2019-02-23T17:02:36Z,JAI384,"27.262527,76.343575",33000,394,205
1550941417,2019-02-23T17:03:37Z,JAI384,"27.161545,76.288437",34375,391,206
1550941480,2019-02-23T17:04:40Z,JAI384,"27.059652,76.232758",35475,392,206
1550941543,2019-02-23T17:05:43Z,JAI384,"26.956539,76.176613",36000,403,206
1550941607,2019-02-23T17:06:47Z,JAI384,"26.845779,76.116341",35975,410,206
1550941670,2019-02-23T17:07:50Z,JAI384,"26.738022,76.058083",35975,410,206
1550941730,2019-02-23T17:08:50Z,JAI384,"26.634863,76.002098",35975,410,206
1550941794,2019-02-23T17:09:54Z,JAI384,"26.526676,75.94352",35975,411,206
1550941856,2019-02-23T17:10:56Z,JAI384,"26.417929,75.884842",35975,413,205
1550941917,2019-02-23T17:11:57Z,JAI384,"26.313978,75.82859",35975,412,206
1550941979,2019-02-23T17:12:59Z,JAI384,"26.206629,75.770592",35975,412,205
1550942041,2019-02-23T17:14:01Z,JAI384,"26.101654,75.714287",35975,410,205
1550942105,2019-02-23T17:15:05Z,JAI384,"25.994202,75.656517",35975,407,205
1550942161,2019-02-23T17:16:01Z,JAI384,"25.895508,75.603767",35975,407,205
1550942250,2019-02-23T17:17:30Z,JAI384,"25.741154,75.52137",35975,414,205
1550942304,2019-02-23T17:18:24Z,JAI384,"25.648819,75.472359",35975,414,205
1550942343,2019-02-23T17:19:03Z,JAI384,"25.581665,75.43676",36000,415,205
1550942394,2019-02-23T17:19:54Z,JAI384,"25.491774,75.388908",35975,416,205
1550942505,2019-02-23T17:21:45Z,JAI384,"25.300861,75.28801",35975,419,205
1550942564,2019-02-23T17:22:44Z,JAI384,"25.193932,75.231682",35975,422,205
1550942628,2019-02-23T17:23:48Z,JAI384,"25.082886,75.173286",35975,421,205
1550942691,2019-02-23T17:24:51Z,JAI384,"24.971365,75.114563",35975,421,205
1550942752,2019-02-23T17:25:52Z,JAI384,"24.864994,75.0588",35975,420,205
1550942814,2019-02-23T17:26:54Z,JAI384,"24.753687,75.000603",35975,420,205
1550942876,2019-02-23T17:27:56Z,JAI384,"24.646042,74.944359",36000,423,205
1550942938,2019-02-23T17:28:58Z,JAI384,"24.531725,74.889961",35975,432,200
1550943002,2019-02-23T17:30:02Z,JAI384,"24.41217,74.841919",35975,433,200
1550943063,2019-02-23T17:31:03Z,JAI384,"24.296265,74.79538",35975,436,200
1550943127,2019-02-23T17:32:07Z,JAI384,"24.175873,74.747162",35975,438,200
1550943190,2019-02-23T17:33:10Z,JAI384,"24.053375,74.69828",35975,441,200
1550943251,2019-02-23T17:34:11Z,JAI384,"23.937813,74.65184",35975,442,200
1550943315,2019-02-23T17:35:15Z,JAI384,"23.815287,74.602608",35975,444,200
1550943374,2019-02-23T17:36:14Z,JAI384,"23.698347,74.556122",35975,446,200
1550943438,2019-02-23T17:37:18Z,JAI384,"23.574192,74.506683",35975,445,200
1550943501,2019-02-23T17:38:21Z,JAI384,"23.452011,74.457939",35975,445,200
1550943562,2019-02-23T17:39:22Z,JAI384,"23.333704,74.410957",35975,444,200
1550943626,2019-02-23T17:40:26Z,JAI384,"23.211136,74.362358",35975,444,200
1550943689,2019-02-23T17:41:29Z,JAI384,"23.093168,74.315742",35975,444,200
1550943749,2019-02-23T17:42:29Z,JAI384,"22.97567,74.269257",35975,443,200
1550943810,2019-02-23T17:43:30Z,JAI384,"22.853302,74.221039",35975,442,200
1550943874,2019-02-23T17:44:34Z,JAI384,"22.735601,74.174805",35975,442,200
1550943933,2019-02-23T17:45:33Z,JAI384,"22.620026,74.129448",35975,444,200
1550943997,2019-02-23T17:46:37Z,JAI384,"22.495102,74.08046",35975,446,200
1550944059,2019-02-23T17:47:39Z,JAI384,"22.371414,74.03212",35975,446,199
1550944121,2019-02-23T17:48:41Z,JAI384,"22.252213,73.98558",35975,447,200
1550944169,2019-02-23T17:49:29Z,JAI384,"22.1611,73.950142",35975,449,200
1550944257,2019-02-23T17:50:57Z,JAI384,"21.986063,73.881935",35975,451,199
1550944317,2019-02-23T17:51:57Z,JAI384,"21.86673,73.835617",35975,452,199
1550944381,2019-02-23T17:53:01Z,JAI384,"21.741617,73.787079",35975,452,199
1550944445,2019-02-23T17:54:05Z,JAI384,"21.615879,73.738556",35975,453,199
1550944504,2019-02-23T17:55:04Z,JAI384,"21.497589,73.692894",35975,452,199
1550944568,2019-02-23T17:56:08Z,JAI384,"21.371887,73.644302",35975,453,199
1550944628,2019-02-23T17:57:08Z,JAI384,"21.251999,73.598358",35975,454,199
1550944691,2019-02-23T17:58:11Z,JAI384,"21.12508,73.55143",35975,459,197
1550944755,2019-02-23T17:59:15Z,JAI384,"20.996155,73.508049",35000,458,197
1550944815,2019-02-23T18:00:15Z,JAI384,"20.876221,73.46759",33325,448,197
1550944879,2019-02-23T18:01:19Z,JAI384,"20.751526,73.426292",31075,431,197
1550944943,2019-02-23T18:02:23Z,JAI384,"20.633255,73.386726",28925,413,197
1550945003,2019-02-23T18:03:23Z,JAI384,"20.525208,73.350418",27000,397,197
1550945038,2019-02-23T18:03:58Z,JAI384,"20.4646,73.330109",25900,389,197
1550945139,2019-02-23T18:05:39Z,JAI384,"20.297424,73.274788",22900,363,197
1550945201,2019-02-23T18:06:41Z,JAI384,"20.195892,73.241287",21125,367,196
1550945264,2019-02-23T18:07:44Z,JAI384,"20.096043,73.210342",19325,359,196
1550945302,2019-02-23T18:08:22Z,JAI384,"20.033243,73.193565",18200,355,186
1550945308,2019-02-23T18:08:28Z,JAI384,"20.023087,73.192635",18050,353,184
1550945314,2019-02-23T18:08:34Z,JAI384,"20.013645,73.191765",17900,351,184
1550945348,2019-02-23T18:09:08Z,JAI384,"19.960236,73.187187",17050,341,184
1550945381,2019-02-23T18:09:41Z,JAI384,"19.907913,73.182823",16200,341,184
1550945413,2019-02-23T18:10:13Z,JAI384,"19.855545,73.178413",15375,341,184
1550945434,2019-02-23T18:10:34Z,JAI384,"19.823135,73.178261",14850,346,173
