Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551114980,2019-02-25T17:16:20Z,JAI384,"28.535917,77.11422",1825,166,108
1551115049,2019-02-25T17:17:29Z,JAI384,"28.480612,77.12365",3900,204,189
1551115110,2019-02-25T17:18:30Z,JAI384,"28.419388,77.095184",5175,269,221
1551115122,2019-02-25T17:18:42Z,JAI384,"28.409061,77.085083",5450,280,220
1551115136,2019-02-25T17:18:56Z,JAI384,"28.394817,77.071678",6325,274,219
1551115148,2019-02-25T17:19:08Z,JAI384,"28.383598,77.061501",7150,265,218
1551115160,2019-02-25T17:19:20Z,JAI384,"28.371447,77.050674",7925,263,218
1551115172,2019-02-25T17:19:32Z,JAI384,"28.360016,77.040253",8525,262,218
1551115185,2019-02-25T17:19:45Z,JAI384,"28.348389,77.02948",9125,263,219
1551115196,2019-02-25T17:19:56Z,JAI384,"28.337372,77.019279",9675,265,219
1551115209,2019-02-25T17:20:09Z,JAI384,"28.325407,77.008179",10250,267,219
1551115220,2019-02-25T17:20:20Z,JAI384,"28.313629,76.997253",10650,276,219
1551115232,2019-02-25T17:20:32Z,JAI384,"28.301559,76.985954",10825,292,219
1551115244,2019-02-25T17:20:44Z,JAI384,"28.288651,76.974121",11075,303,219
1551115256,2019-02-25T17:20:56Z,JAI384,"28.275742,76.962189",11575,306,219
1551115268,2019-02-25T17:21:08Z,JAI384,"28.262238,76.949776",12100,309,219
1551115301,2019-02-25T17:21:41Z,JAI384,"28.225159,76.915443",13575,315,219
1551115331,2019-02-25T17:22:11Z,JAI384,"28.19129,76.883835",14925,318,219
1551115364,2019-02-25T17:22:44Z,JAI384,"28.153025,76.849472",16325,325,214
1551115374,2019-02-25T17:22:54Z,JAI384,"28.140734,76.841019",16750,329,209
1551115380,2019-02-25T17:23:00Z,JAI384,"28.133011,76.836426",16950,330,206
1551115388,2019-02-25T17:23:08Z,JAI384,"28.124163,76.831596",17225,331,206
1551115422,2019-02-25T17:23:42Z,JAI384,"28.073933,76.803482",18525,339,206
1551115487,2019-02-25T17:24:47Z,JAI384,"27.983185,76.752602",20625,354,206
1551115548,2019-02-25T17:25:48Z,JAI384,"27.888565,76.6996",22500,367,206
1551115609,2019-02-25T17:26:49Z,JAI384,"27.794991,76.647438",24600,368,206
1551115672,2019-02-25T17:27:52Z,JAI384,"27.69672,76.59256",26000,383,206
1551115734,2019-02-25T17:28:54Z,JAI384,"27.598635,76.538261",27875,377,206
1551115796,2019-02-25T17:29:56Z,JAI384,"27.499146,76.48262",28900,391,206
1551115859,2019-02-25T17:30:59Z,JAI384,"27.39505,76.425201",29825,403,205
1551115921,2019-02-25T17:32:01Z,JAI384,"27.29204,76.369034",29975,407,205
1551115983,2019-02-25T17:33:03Z,JAI384,"27.18539,76.310402",30000,406,206
1551116046,2019-02-25T17:34:06Z,JAI384,"27.079102,76.251076",30000,406,206
1551116073,2019-02-25T17:34:33Z,JAI384,"27.037216,76.227806",29975,404,206
1551116160,2019-02-25T17:36:00Z,JAI384,"26.887548,76.145767",30000,402,206
1551116336,2019-02-25T17:38:56Z,JAI384,"26.594408,75.985931",29975,403,206
1551116393,2019-02-25T17:39:53Z,JAI384,"26.496464,75.932426",30000,405,205
1551116457,2019-02-25T17:40:57Z,JAI384,"26.387484,75.873482",29975,407,205
1551116521,2019-02-25T17:42:01Z,JAI384,"26.278427,75.814529",29975,408,206
1551116585,2019-02-25T17:43:05Z,JAI384,"26.172455,75.75721",30000,408,206
1551116648,2019-02-25T17:44:08Z,JAI384,"26.063187,75.698135",30000,407,206
1551116661,2019-02-25T17:44:21Z,JAI384,"26.040207,75.685692",30000,408,206
1551116863,2019-02-25T17:47:43Z,JAI384,"25.695099,75.500488",29975,410,205
1551116878,2019-02-25T17:47:58Z,JAI384,"25.669601,75.486908",30000,408,205
1551116966,2019-02-25T17:49:26Z,JAI384,"25.519192,75.406631",29975,403,205
1551116982,2019-02-25T17:49:42Z,JAI384,"25.493402,75.392799",29975,404,205
1551117072,2019-02-25T17:51:12Z,JAI384,"25.33843,75.310295",30000,408,205
1551117137,2019-02-25T17:52:17Z,JAI384,"25.229218,75.252304",30000,411,205
1551117197,2019-02-25T17:53:17Z,JAI384,"25.125174,75.197166",30000,411,205
1551117260,2019-02-25T17:54:20Z,JAI384,"25.01531,75.139076",30000,413,205
1551117323,2019-02-25T17:55:23Z,JAI384,"24.90596,75.081429",29975,414,205
1551117385,2019-02-25T17:56:25Z,JAI384,"24.801216,75.026207",30000,413,205
1551117449,2019-02-25T17:57:29Z,JAI384,"24.689941,74.967651",30000,415,205
1551117513,2019-02-25T17:58:33Z,JAI384,"24.578651,74.909554",30000,419,204
1551117573,2019-02-25T17:59:33Z,JAI384,"24.465528,74.863327",29975,431,200
1551117634,2019-02-25T18:00:34Z,JAI384,"24.352034,74.817772",29975,430,200
1551117697,2019-02-25T18:01:37Z,JAI384,"24.23378,74.770302",29975,429,200
1551117757,2019-02-25T18:02:37Z,JAI384,"24.120346,74.724884",30000,429,200
1551117822,2019-02-25T18:03:42Z,JAI384,"24.00174,74.677483",29975,429,200
1551117884,2019-02-25T18:04:44Z,JAI384,"23.883579,74.630074",29975,427,200
1551117948,2019-02-25T18:05:48Z,JAI384,"23.765213,74.582726",29975,427,200
1551118009,2019-02-25T18:06:49Z,JAI384,"23.653519,74.53817",29975,428,200
1551118072,2019-02-25T18:07:52Z,JAI384,"23.534363,74.490654",30000,430,200
1551118133,2019-02-25T18:08:53Z,JAI384,"23.420792,74.445557",30000,430,200
1551118196,2019-02-25T18:09:56Z,JAI384,"23.302689,74.398666",30000,430,200
1551118257,2019-02-25T18:10:57Z,JAI384,"23.189163,74.353722",30000,429,199
1551118320,2019-02-25T18:12:00Z,JAI384,"23.070099,74.306633",30000,428,200
1551118383,2019-02-25T18:13:03Z,JAI384,"22.952627,74.260307",30000,426,200
1551118443,2019-02-25T18:14:03Z,JAI384,"22.840164,74.215942",30000,424,200
1551118507,2019-02-25T18:15:07Z,JAI384,"22.722845,74.169769",31025,421,199
1551118570,2019-02-25T18:16:10Z,JAI384,"22.60817,74.124809",32000,413,200
1551118586,2019-02-25T18:16:26Z,JAI384,"22.580612,74.114021",31975,413,199
1551118648,2019-02-25T18:17:28Z,JAI384,"22.467646,74.069725",32000,411,200
1551118713,2019-02-25T18:18:33Z,JAI384,"22.352383,74.024605",32000,415,199
1551118772,2019-02-25T18:19:32Z,JAI384,"22.242783,73.98188",32000,419,199
1551118835,2019-02-25T18:20:35Z,JAI384,"22.12977,73.937889",31975,417,199
1551118895,2019-02-25T18:21:35Z,JAI384,"22.019674,73.895058",31975,418,200
1551118958,2019-02-25T18:22:38Z,JAI384,"21.904411,73.849945",32000,417,199
1551119021,2019-02-25T18:23:41Z,JAI384,"21.790312,73.805901",32000,416,199
1551119081,2019-02-25T18:24:41Z,JAI384,"21.679688,73.763153",31975,416,199
1551119145,2019-02-25T18:25:45Z,JAI384,"21.565475,73.719109",31975,417,199
1551119208,2019-02-25T18:26:48Z,JAI384,"21.448013,73.673706",32000,420,199
1551119269,2019-02-25T18:27:49Z,JAI384,"21.338013,73.631371",31975,421,199
1551119332,2019-02-25T18:28:52Z,JAI384,"21.221283,73.586578",32000,425,199
1551119395,2019-02-25T18:29:55Z,JAI384,"21.101385,73.543549",32000,429,197
1551119456,2019-02-25T18:30:56Z,JAI384,"20.986954,73.505203",31475,424,197
1551119519,2019-02-25T18:31:59Z,JAI384,"20.868347,73.465279",29725,424,197
1551119581,2019-02-25T18:33:01Z,JAI384,"20.751638,73.426224",27825,425,197
1551119644,2019-02-25T18:34:04Z,JAI384,"20.631765,73.386078",26200,434,197
1551119708,2019-02-25T18:35:08Z,JAI384,"20.509415,73.344971",24550,422,197
1551119803,2019-02-25T18:36:43Z,JAI384,"20.343521,73.290436",22725,367,197
1551119867,2019-02-25T18:37:47Z,JAI384,"20.24431,73.257034",21275,348,197
1551119927,2019-02-25T18:38:47Z,JAI384,"20.152975,73.228325",20025,326,196
1551119990,2019-02-25T18:39:50Z,JAI384,"20.064573,73.200058",18825,301,197
1551120011,2019-02-25T18:40:11Z,JAI384,"20.036453,73.19342",18450,304,187
1551120022,2019-02-25T18:40:22Z,JAI384,"20.023235,73.192169",18300,303,184
1551120028,2019-02-25T18:40:28Z,JAI384,"20.015135,73.191467",18200,301,184
1551120089,2019-02-25T18:41:29Z,JAI384,"19.929703,73.184441",16900,287,184
1551120122,2019-02-25T18:42:02Z,JAI384,"19.889053,73.181259",16300,282,183
1551120147,2019-02-25T18:42:27Z,JAI384,"19.855507,73.17868",15775,281,184
1551120194,2019-02-25T18:43:14Z,JAI384,"19.793314,73.17334",14900,274,184
1551120255,2019-02-25T18:44:15Z,JAI384,"19.716921,73.166801",13975,261,184
1551120288,2019-02-25T18:44:48Z,JAI384,"19.677351,73.163353",13975,256,184
1551120320,2019-02-25T18:45:20Z,JAI384,"19.637503,73.159904",13525,254,184
1551120352,2019-02-25T18:45:52Z,JAI384,"19.602448,73.157074",13050,249,183
1551120384,2019-02-25T18:46:24Z,JAI384,"19.564636,73.154083",12475,243,184
1551120420,2019-02-25T18:47:00Z,JAI384,"19.526802,73.15062",11975,244,184
1551120448,2019-02-25T18:47:28Z,JAI384,"19.492819,73.158112",12000,272,145
1551120454,2019-02-25T18:47:34Z,JAI384,"19.487045,73.163452",12000,278,135
1551120461,2019-02-25T18:47:41Z,JAI384,"19.481972,73.170097",12000,282,125
1551120469,2019-02-25T18:47:49Z,JAI384,"19.478014,73.177834",12000,287,115
1551120476,2019-02-25T18:47:56Z,JAI384,"19.474731,73.189644",12000,292,100
1551120503,2019-02-25T18:48:23Z,JAI384,"19.482101,73.226822",11850,290,58
1551120509,2019-02-25T18:48:29Z,JAI384,"19.487371,73.233864",11800,285,47
1551120517,2019-02-25T18:48:37Z,JAI384,"19.493238,73.23941",11725,282,39
1551120524,2019-02-25T18:48:44Z,JAI384,"19.502701,73.245163",11650,274,24
1551120531,2019-02-25T18:48:51Z,JAI384,"19.510368,73.24765",11600,269,14
1551120537,2019-02-25T18:48:57Z,JAI384,"19.517807,73.248596",11550,263,3
1551120557,2019-02-25T18:49:17Z,JAI384,"19.540924,73.241043",11375,242,324
1551120565,2019-02-25T18:49:25Z,JAI384,"19.54817,73.234467",11300,238,315
1551120571,2019-02-25T18:49:31Z,JAI384,"19.552591,73.229019",11250,235,308
1551120578,2019-02-25T18:49:38Z,JAI384,"19.556396,73.223091",11175,231,301
1551120584,2019-02-25T18:49:44Z,JAI384,"19.559296,73.217186",11125,230,296
1551120593,2019-02-25T18:49:53Z,JAI384,"19.562368,73.207748",11050,228,285
1551120600,2019-02-25T18:50:00Z,JAI384,"19.563532,73.200752",11000,226,277
1551120606,2019-02-25T18:50:06Z,JAI384,"19.563858,73.194252",10975,226,270
1551120626,2019-02-25T18:50:26Z,JAI384,"19.558504,73.172188",11000,226,239
1551120632,2019-02-25T18:50:32Z,JAI384,"19.554474,73.166885",11000,227,226
1551120640,2019-02-25T18:50:40Z,JAI384,"19.549425,73.162552",11000,232,214
1551120648,2019-02-25T18:50:48Z,JAI384,"19.540535,73.158356",11000,239,196
1551120654,2019-02-25T18:50:54Z,JAI384,"19.534012,73.157173",11000,246,185
1551120678,2019-02-25T18:51:18Z,JAI384,"19.506971,73.166451",11000,269,142
1551120684,2019-02-25T18:51:24Z,JAI384,"19.501152,73.172188",11000,272,134
1551120693,2019-02-25T18:51:33Z,JAI384,"19.494402,73.181679",10975,278,122
1551120699,2019-02-25T18:51:39Z,JAI384,"19.49077,73.188972",10975,281,115
1551120706,2019-02-25T18:51:46Z,JAI384,"19.487698,73.19841",10975,284,106
1551120713,2019-02-25T18:51:53Z,JAI384,"19.486395,73.205101",10950,285,100
1551120719,2019-02-25T18:51:59Z,JAI384,"19.485697,73.217133",10900,287,89
1551120726,2019-02-25T18:52:06Z,JAI384,"19.486673,73.225777",10850,286,79
1551120732,2019-02-25T18:52:12Z,JAI384,"19.489197,73.234322",10775,285,68
1551120739,2019-02-25T18:52:19Z,JAI384,"19.49263,73.241486",10725,283,60
1551120749,2019-02-25T18:52:29Z,JAI384,"19.499941,73.251091",10650,277,45
1551120755,2019-02-25T18:52:35Z,JAI384,"19.506086,73.256287",10600,273,35
1551120763,2019-02-25T18:52:43Z,JAI384,"19.515816,73.26133",10525,265,20
1551120769,2019-02-25T18:52:49Z,JAI384,"19.52317,73.26313",10475,261,10
1551120775,2019-02-25T18:52:55Z,JAI384,"19.530075,73.263557",10425,257,1
1551120796,2019-02-25T18:53:16Z,JAI384,"19.553101,73.254921",10250,242,325
1551120805,2019-02-25T18:53:25Z,JAI384,"19.559994,73.247749",10175,235,309
1551120812,2019-02-25T18:53:32Z,JAI384,"19.563717,73.241806",10125,234,299
1551120819,2019-02-25T18:53:39Z,JAI384,"19.567337,73.232315",10050,232,286
1551120825,2019-02-25T18:53:45Z,JAI384,"19.568573,73.225204",9975,230,276
1551120853,2019-02-25T18:54:13Z,JAI384,"19.561203,73.196365",9775,229,236
1551120861,2019-02-25T18:54:21Z,JAI384,"19.557247,73.191315",9725,230,227
1551120868,2019-02-25T18:54:28Z,JAI384,"19.549484,73.184692",9625,233,214
1551120877,2019-02-25T18:54:37Z,JAI384,"19.540907,73.180382",9550,236,200
1551120883,2019-02-25T18:54:43Z,JAI384,"19.534195,73.178658",9525,240,190
1551120889,2019-02-25T18:54:49Z,JAI384,"19.527966,73.177933",9450,242,184
