Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551200445,2019-02-26T17:00:45Z,JAI384,"28.534103,77.12233",2075,180,106
1551200454,2019-02-26T17:00:54Z,JAI384,"28.530807,77.130997",2500,179,115
1551200465,2019-02-26T17:01:05Z,JAI384,"28.524324,77.138077",2700,193,143
1551200474,2019-02-26T17:01:14Z,JAI384,"28.514923,77.141243",2675,217,171
1551200495,2019-02-26T17:01:35Z,JAI384,"28.493683,77.13575",2750,250,200
1551200504,2019-02-26T17:01:44Z,JAI384,"28.482382,77.130974",3125,258,200
1551200515,2019-02-26T17:01:55Z,JAI384,"28.470566,77.126663",3600,260,196
1551200524,2019-02-26T17:02:04Z,JAI384,"28.458893,77.123283",4175,258,193
1551200535,2019-02-26T17:02:15Z,JAI384,"28.447083,77.120377",4625,261,191
1551200545,2019-02-26T17:02:25Z,JAI384,"28.435318,77.117775",5125,261,190
1551200559,2019-02-26T17:02:39Z,JAI384,"28.417099,77.113991",5800,266,190
1551200575,2019-02-26T17:02:55Z,JAI384,"28.39854,77.10997",6350,275,191
1551200589,2019-02-26T17:03:09Z,JAI384,"28.37978,77.105927",6700,279,190
1551200605,2019-02-26T17:03:25Z,JAI384,"28.360336,77.101784",6925,278,190
1551200614,2019-02-26T17:03:34Z,JAI384,"28.347567,77.098984",7050,277,190
1551200629,2019-02-26T17:03:49Z,JAI384,"28.329254,77.095024",7225,277,191
1551200639,2019-02-26T17:03:59Z,JAI384,"28.316666,77.090012",7375,277,204
1551200651,2019-02-26T17:04:11Z,JAI384,"28.305483,77.082069",7500,279,215
1551200661,2019-02-26T17:04:21Z,JAI384,"28.296125,77.072105",7625,278,226
1551200670,2019-02-26T17:04:30Z,JAI384,"28.287188,77.061119",7775,288,227
1551200676,2019-02-26T17:04:36Z,JAI384,"28.282379,77.055412",7850,293,226
1551200696,2019-02-26T17:04:56Z,JAI384,"28.261818,77.032364",8025,319,223
1551200710,2019-02-26T17:05:10Z,JAI384,"28.24543,77.014755",8225,327,223
1551200725,2019-02-26T17:05:25Z,JAI384,"28.229004,76.996628",8675,333,224
1551200740,2019-02-26T17:05:40Z,JAI384,"28.213257,76.978668",9375,335,225
1551200754,2019-02-26T17:05:54Z,JAI384,"28.197327,76.960655",10025,338,224
1551200770,2019-02-26T17:06:10Z,JAI384,"28.178768,76.940002",10800,340,224
1551200785,2019-02-26T17:06:25Z,JAI384,"28.162241,76.921799",11550,340,224
1551200801,2019-02-26T17:06:41Z,JAI384,"28.145344,76.903275",12375,336,224
1551200835,2019-02-26T17:07:15Z,JAI384,"28.105728,76.859932",13025,335,224
1551200870,2019-02-26T17:07:50Z,JAI384,"28.066177,76.816406",13600,340,224
1551200900,2019-02-26T17:08:20Z,JAI384,"28.03278,76.779465",14650,340,224
1551200936,2019-02-26T17:08:56Z,JAI384,"27.993027,76.735435",16050,345,224
1551200972,2019-02-26T17:09:32Z,JAI384,"27.951462,76.68927",17300,354,224
1551201007,2019-02-26T17:10:07Z,JAI384,"27.910721,76.644272",18850,350,224
1551201072,2019-02-26T17:11:12Z,JAI384,"27.833443,76.559074",20775,368,224
1551201083,2019-02-26T17:11:23Z,JAI384,"27.818733,76.542854",21125,371,224
1551201200,2019-02-26T17:13:20Z,JAI384,"27.651398,76.410278",23900,382,213
1551201263,2019-02-26T17:14:23Z,JAI384,"27.557098,76.339539",25525,389,213
