Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551374095,2019-02-28T17:14:55Z,JAI384,"28.541922,77.024338",2650,204,222
1551374104,2019-02-28T17:15:04Z,JAI384,"28.533371,77.019814",3000,208,197
1551374113,2019-02-28T17:15:13Z,JAI384,"28.524418,77.018578",3350,209,183
1551374119,2019-02-28T17:15:19Z,JAI384,"28.51874,77.018471",3575,210,180
1551374125,2019-02-28T17:15:25Z,JAI384,"28.513779,77.01844",3800,209,180
1551374140,2019-02-28T17:15:40Z,JAI384,"28.498955,77.017395",4225,216,185
1551374150,2019-02-28T17:15:50Z,JAI384,"28.488647,77.01564",4400,226,189
1551374160,2019-02-28T17:16:00Z,JAI384,"28.478165,77.01326",4575,239,191
1551374169,2019-02-28T17:16:09Z,JAI384,"28.46727,77.01046",4750,250,193
1551374179,2019-02-28T17:16:19Z,JAI384,"28.455322,77.00724",4950,262,193
1551374190,2019-02-28T17:16:30Z,JAI384,"28.442905,77.004089",5300,267,192
1551374205,2019-02-28T17:16:45Z,JAI384,"28.424332,76.999672",5625,275,191
1551374219,2019-02-28T17:16:59Z,JAI384,"28.406315,76.995476",5975,281,191
1551374235,2019-02-28T17:17:15Z,JAI384,"28.386246,76.990814",6125,280,191
1551374250,2019-02-28T17:17:30Z,JAI384,"28.367445,76.986427",6475,281,191
1551374265,2019-02-28T17:17:45Z,JAI384,"28.348032,76.981743",7125,282,192
1551374280,2019-02-28T17:18:00Z,JAI384,"28.328573,76.976944",7750,282,192
1551374295,2019-02-28T17:18:15Z,JAI384,"28.310139,76.969566",8000,281,204
1551374306,2019-02-28T17:18:26Z,JAI384,"28.29878,76.961975",8000,277,212
1551374315,2019-02-28T17:18:35Z,JAI384,"28.288492,76.95282",8100,276,218
1551374325,2019-02-28T17:18:45Z,JAI384,"28.278442,76.943802",8325,279,218
1551374345,2019-02-28T17:19:05Z,JAI384,"28.258047,76.925568",9075,283,218
1551374359,2019-02-28T17:19:19Z,JAI384,"28.242691,76.912537",9625,286,214
1551374375,2019-02-28T17:19:35Z,JAI384,"28.225296,76.901184",10300,285,209
1551374395,2019-02-28T17:19:55Z,JAI384,"28.202316,76.886917",11075,286,209
1551374410,2019-02-28T17:20:10Z,JAI384,"28.183731,76.875038",11350,300,209
1551374426,2019-02-28T17:20:26Z,JAI384,"28.164616,76.862724",11600,314,209
