Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551457745,2019-03-01T16:29:05Z,JAI384,"28.549044,77.055466",1550,186,282
1551457782,2019-03-01T16:29:42Z,JAI384,"28.540237,77.022667",2650,195,206
1551457788,2019-03-01T16:29:48Z,JAI384,"28.534334,77.021057",2900,195,187
1551457809,2019-03-01T16:30:09Z,JAI384,"28.515289,77.020866",3625,195,186
1551457815,2019-03-01T16:30:15Z,JAI384,"28.510162,77.019974",3825,196,189
1551457821,2019-03-01T16:30:21Z,JAI384,"28.504486,77.018806",3975,200,191
1551457827,2019-03-01T16:30:27Z,JAI384,"28.498993,77.017433",4050,207,192
1551457833,2019-03-01T16:30:33Z,JAI384,"28.493135,77.015991",4100,218,192
1551457840,2019-03-01T16:30:40Z,JAI384,"28.487091,77.014374",4225,224,193
1551457846,2019-03-01T16:30:46Z,JAI384,"28.480591,77.01268",4350,229,193
1551457852,2019-03-01T16:30:52Z,JAI384,"28.474188,77.01104",4425,238,192
1551457859,2019-03-01T16:30:59Z,JAI384,"28.467438,77.009315",4550,245,192
1551457871,2019-03-01T16:31:11Z,JAI384,"28.453857,77.006027",4850,256,191
1551457883,2019-03-01T16:31:23Z,JAI384,"28.439301,77.002647",5050,270,192
1551457894,2019-03-01T16:31:34Z,JAI384,"28.424284,76.998863",5250,284,192
1551457907,2019-03-01T16:31:47Z,JAI384,"28.40799,76.994934",5475,296,192
1551457920,2019-03-01T16:32:00Z,JAI384,"28.391232,76.990952",5700,309,191
1551457931,2019-03-01T16:32:11Z,JAI384,"28.374147,76.987015",5925,319,191
1551457944,2019-03-01T16:32:24Z,JAI384,"28.356628,76.983047",6125,326,191
1551457954,2019-03-01T16:32:34Z,JAI384,"28.338913,76.979088",6300,331,191
1551457967,2019-03-01T16:32:47Z,JAI384,"28.320786,76.973282",6475,333,199
1551457973,2019-03-01T16:32:53Z,JAI384,"28.312094,76.969139",6575,334,203
1551457983,2019-03-01T16:33:03Z,JAI384,"28.2995,76.961449",6700,335,211
1551457990,2019-03-01T16:33:10Z,JAI384,"28.288055,76.952309",6825,335,217
1551457996,2019-03-01T16:33:16Z,JAI384,"28.280319,76.945442",6900,336,218
1551458002,2019-03-01T16:33:22Z,JAI384,"28.273087,76.939049",7025,338,218
1551458016,2019-03-01T16:33:36Z,JAI384,"28.258163,76.925743",7450,338,218
1551458026,2019-03-01T16:33:46Z,JAI384,"28.243744,76.912903",8075,334,218
1551458039,2019-03-01T16:33:59Z,JAI384,"28.228207,76.900475",8575,337,212
1551458052,2019-03-01T16:34:12Z,JAI384,"28.211494,76.890022",9125,341,206
1551458058,2019-03-01T16:34:18Z,JAI384,"28.203255,76.885391",9425,343,206
1551458069,2019-03-01T16:34:29Z,JAI384,"28.185331,76.875427",10050,346,206
1551458081,2019-03-01T16:34:41Z,JAI384,"28.169085,76.866272",10575,349,206
1551458092,2019-03-01T16:34:52Z,JAI384,"28.150635,76.855911",11175,354,206
1551458104,2019-03-01T16:35:04Z,JAI384,"28.13237,76.845566",11825,356,206
1551458118,2019-03-01T16:35:18Z,JAI384,"28.114746,76.835632",12450,357,206
1551458151,2019-03-01T16:35:51Z,JAI384,"28.065536,76.807846",14175,359,206
1551458183,2019-03-01T16:36:23Z,JAI384,"28.016348,76.780273",15775,362,206
1551458217,2019-03-01T16:36:57Z,JAI384,"27.965792,76.751831",16975,375,206
1551458250,2019-03-01T16:37:30Z,JAI384,"27.912909,76.722176",18225,385,206
1551458309,2019-03-01T16:38:29Z,JAI384,"27.821573,76.671104",22050,348,206
1551458374,2019-03-01T16:39:34Z,JAI384,"27.728119,76.618187",23825,372,206
1551458436,2019-03-01T16:40:36Z,JAI384,"27.624052,76.56002",24725,411,206
1551458496,2019-03-01T16:41:36Z,JAI384,"27.520615,76.502571",26400,415,206
1551458560,2019-03-01T16:42:40Z,JAI384,"27.41272,76.442558",28450,408,206
