Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551544318,2019-03-02T16:31:58Z,JAI384,"28.534986,77.119873",1750,174,105
1551544328,2019-03-02T16:32:08Z,JAI384,"28.531401,77.128281",2150,173,123
1551544337,2019-03-02T16:32:17Z,JAI384,"28.524324,77.13372",2425,179,152
1551544347,2019-03-02T16:32:27Z,JAI384,"28.515198,77.135277",2550,202,178
1551544368,2019-03-02T16:32:48Z,JAI384,"28.494719,77.129944",3100,233,196
1551544377,2019-03-02T16:32:57Z,JAI384,"28.484482,77.126984",3525,236,193
1551544392,2019-03-02T16:33:12Z,JAI384,"28.468002,77.123337",4125,242,190
1551544398,2019-03-02T16:33:18Z,JAI384,"28.462458,77.122192",4325,244,190
1551544407,2019-03-02T16:33:27Z,JAI384,"28.451097,77.119987",4750,249,189
1551544417,2019-03-02T16:33:37Z,JAI384,"28.439484,77.117737",5150,252,189
1551544432,2019-03-02T16:33:52Z,JAI384,"28.422501,77.113777",5950,243,196
1551544438,2019-03-02T16:33:58Z,JAI384,"28.416836,77.111259",6275,239,203
1551544447,2019-03-02T16:34:07Z,JAI384,"28.407387,77.104797",6850,234,214
1551544453,2019-03-02T16:34:13Z,JAI384,"28.403196,77.101082",7150,231,219
1551544463,2019-03-02T16:34:23Z,JAI384,"28.395081,77.092758",7700,229,222
1551544472,2019-03-02T16:34:32Z,JAI384,"28.387321,77.08503",8150,229,220
1551544487,2019-03-02T16:34:47Z,JAI384,"28.375032,77.073296",8825,230,219
1551544502,2019-03-02T16:35:02Z,JAI384,"28.363115,77.061821",9425,233,220
1551544517,2019-03-02T16:35:17Z,JAI384,"28.350403,77.049393",10000,238,220
1551544533,2019-03-02T16:35:33Z,JAI384,"28.337173,77.036453",10300,257,221
1551544548,2019-03-02T16:35:48Z,JAI384,"28.322708,77.022346",10575,277,220
1551544562,2019-03-02T16:36:02Z,JAI384,"28.307531,77.007805",10800,298,220
1551544579,2019-03-02T16:36:19Z,JAI384,"28.290756,76.991714",11400,307,220
1551544594,2019-03-02T16:36:34Z,JAI384,"28.274385,76.976135",12225,307,220
1551544625,2019-03-02T16:37:05Z,JAI384,"28.239611,76.942856",14125,301,220
1551544663,2019-03-02T16:37:43Z,JAI384,"28.200577,76.905403",16350,288,220
1551544699,2019-03-02T16:38:19Z,JAI384,"28.161987,76.871284",17575,310,211
1551544708,2019-03-02T16:38:28Z,JAI384,"28.149719,76.863838",17900,315,206
1551544714,2019-03-02T16:38:34Z,JAI384,"28.143265,76.860245",18075,316,206
1551544784,2019-03-02T16:39:44Z,JAI384,"28.048828,76.8069",20675,329,206
1551544844,2019-03-02T16:40:44Z,JAI384,"27.965057,76.759628",22575,344,206
1551544907,2019-03-02T16:41:47Z,JAI384,"27.868032,76.704956",24350,364,206
1551544937,2019-03-02T16:42:17Z,JAI384,"27.824387,76.680428",25125,369,206
1551545023,2019-03-02T16:43:43Z,JAI384,"27.685547,76.602226",26750,403,206
1551545043,2019-03-02T16:44:03Z,JAI384,"27.653612,76.584373",27025,410,206
1551545181,2019-03-02T16:46:21Z,JAI384,"27.416428,76.451324",30625,416,206
1551545241,2019-03-02T16:47:21Z,JAI384,"27.314026,76.394524",32200,411,206
1551545305,2019-03-02T16:48:25Z,JAI384,"27.20517,76.333885",33850,402,206
1551545365,2019-03-02T16:49:25Z,JAI384,"27.104645,76.277557",34000,404,206
1551545428,2019-03-02T16:50:28Z,JAI384,"26.998762,76.219078",33975,406,206
1551545490,2019-03-02T16:51:30Z,JAI384,"26.892344,76.160187",34000,406,206
1551545497,2019-03-02T16:51:37Z,JAI384,"26.880705,76.15374",34000,407,206
1551545594,2019-03-02T16:53:14Z,JAI384,"26.715958,76.062447",34000,406,206
1551545654,2019-03-02T16:54:14Z,JAI384,"26.613647,76.006012",33975,406,206
1551545717,2019-03-02T16:55:17Z,JAI384,"26.511686,75.950333",33975,405,206
1551545778,2019-03-02T16:56:18Z,JAI384,"26.4055,75.892235",34000,403,206
1551545841,2019-03-02T16:57:21Z,JAI384,"26.300152,75.83461",34000,406,206
1551545904,2019-03-02T16:58:24Z,JAI384,"26.19223,75.775864",33975,405,206
1551545943,2019-03-02T16:59:03Z,JAI384,"26.12735,75.740486",34000,403,206
1551545983,2019-03-02T16:59:43Z,JAI384,"26.06076,75.704094",33975,403,206
1551546179,2019-03-02T17:02:59Z,JAI384,"25.728678,75.524117",33975,405,206
1551546242,2019-03-02T17:04:02Z,JAI384,"25.621328,75.467728",34000,414,201
1551546303,2019-03-02T17:05:03Z,JAI384,"25.513512,75.420006",34000,414,201
1551546370,2019-03-02T17:06:10Z,JAI384,"25.392197,75.366417",34000,429,201
1551546429,2019-03-02T17:07:09Z,JAI384,"25.279953,75.317329",34000,433,201
1551546494,2019-03-02T17:08:14Z,JAI384,"25.161209,75.265099",33975,425,201
1551546554,2019-03-02T17:09:14Z,JAI384,"25.050522,75.216316",34000,425,201
1551546615,2019-03-02T17:10:15Z,JAI384,"24.939377,75.167595",34000,426,201
1551546678,2019-03-02T17:11:18Z,JAI384,"24.823013,75.116577",34000,427,201
1551546739,2019-03-02T17:12:19Z,JAI384,"24.711138,75.067871",33975,422,201
1551546803,2019-03-02T17:13:23Z,JAI384,"24.594896,75.017082",34000,421,201
1551546864,2019-03-02T17:14:24Z,JAI384,"24.483498,74.968788",34000,432,201
1551546924,2019-03-02T17:15:24Z,JAI384,"24.370283,74.919868",34000,434,201
1551546988,2019-03-02T17:16:28Z,JAI384,"24.250551,74.868042",33975,437,201
1551547049,2019-03-02T17:17:29Z,JAI384,"24.135315,74.818169",34000,440,201
1551547109,2019-03-02T17:18:29Z,JAI384,"24.018997,74.76812",34000,444,201
1551547173,2019-03-02T17:19:33Z,JAI384,"23.897499,74.715584",34000,442,201
1551547235,2019-03-02T17:20:35Z,JAI384,"23.781862,74.666199",34000,437,201
1551547299,2019-03-02T17:21:39Z,JAI384,"23.660843,74.614258",33975,439,201
1551547359,2019-03-02T17:22:39Z,JAI384,"23.545563,74.564728",33975,439,201
1551547419,2019-03-02T17:23:39Z,JAI384,"23.430813,74.515739",34000,440,201
1551547481,2019-03-02T17:24:41Z,JAI384,"23.312336,74.465279",34000,441,201
1551547542,2019-03-02T17:25:42Z,JAI384,"23.196487,74.416092",34000,440,201
1551547605,2019-03-02T17:26:45Z,JAI384,"23.078411,74.365845",33975,438,201
1551547666,2019-03-02T17:27:46Z,JAI384,"22.96352,74.316811",33975,438,201
1551547727,2019-03-02T17:28:47Z,JAI384,"22.847885,74.268242",34000,440,201
1551547787,2019-03-02T17:29:47Z,JAI384,"22.731085,74.218803",34000,445,201
1551547849,2019-03-02T17:30:49Z,JAI384,"22.612381,74.168755",34000,450,201
1551547910,2019-03-02T17:31:50Z,JAI384,"22.49231,74.118164",34000,452,201
1551547971,2019-03-02T17:32:51Z,JAI384,"22.372604,74.067627",34000,449,201
1551548007,2019-03-02T17:33:27Z,JAI384,"22.300461,74.042656",34000,481,186
1551548032,2019-03-02T17:33:52Z,JAI384,"22.243744,74.050545",33975,519,162
1551548039,2019-03-02T17:33:59Z,JAI384,"22.228647,74.057007",33975,525,157
1551548106,2019-03-02T17:35:06Z,JAI384,"22.079132,74.122307",34000,515,167
1551548114,2019-03-02T17:35:14Z,JAI384,"22.058126,74.125267",34000,503,173
1551548121,2019-03-02T17:35:21Z,JAI384,"22.043518,74.126007",33975,499,177
1551548128,2019-03-02T17:35:28Z,JAI384,"22.030334,74.126381",33950,498,178
1551548190,2019-03-02T17:36:30Z,JAI384,"21.885544,74.123711",33225,480,187
1551548247,2019-03-02T17:37:27Z,JAI384,"21.764614,74.101616",32600,466,198
1551548254,2019-03-02T17:37:34Z,JAI384,"21.746458,74.093269",32500,454,205
1551548278,2019-03-02T17:37:58Z,JAI384,"21.702839,74.061943",32200,432,219
1551548343,2019-03-02T17:39:03Z,JAI384,"21.603195,73.975189",30950,456,211
1551548408,2019-03-02T17:40:08Z,JAI384,"21.479668,73.907829",30000,458,206
1551548468,2019-03-02T17:41:08Z,JAI384,"21.363567,73.845924",30000,468,206
1551548532,2019-03-02T17:42:12Z,JAI384,"21.240715,73.780876",30000,470,206
1551548595,2019-03-02T17:43:15Z,JAI384,"21.116959,73.715515",29975,466,206
1551548656,2019-03-02T17:44:16Z,JAI384,"21.000504,73.653915",29950,467,206
1551548717,2019-03-02T17:45:17Z,JAI384,"20.879013,73.589859",29175,457,206
1551548783,2019-03-02T17:46:23Z,JAI384,"20.758987,73.52639",28425,454,206
1551548844,2019-03-02T17:47:24Z,JAI384,"20.639727,73.463631",27400,455,206
1551548908,2019-03-02T17:48:28Z,JAI384,"20.521391,73.401657",25675,442,206
1551548973,2019-03-02T17:49:33Z,JAI384,"20.406685,73.341232",23250,425,206
1551549036,2019-03-02T17:50:36Z,JAI384,"20.302641,73.287148",22425,373,206
1551549089,2019-03-02T17:51:29Z,JAI384,"20.220291,73.249748",21800,344,196
1551549150,2019-03-02T17:52:30Z,JAI384,"20.130911,73.220978",20600,327,197
1551549213,2019-03-02T17:53:33Z,JAI384,"20.042135,73.194611",19375,316,190
1551549222,2019-03-02T17:53:42Z,JAI384,"20.02803,73.192963",19225,315,184
