Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551630695,2019-03-03T16:31:35Z,JAI384,"28.531815,77.13221",2150,189,111
1551630704,2019-03-03T16:31:44Z,JAI384,"28.526793,77.139267",2275,201,137
1551630714,2019-03-03T16:31:54Z,JAI384,"28.51918,77.143616",2475,209,161
1551630739,2019-03-03T16:32:19Z,JAI384,"28.492447,77.138863",2600,228,198
1551630746,2019-03-03T16:32:26Z,JAI384,"28.486059,77.136414",2625,232,199
1551630756,2019-03-03T16:32:36Z,JAI384,"28.47702,77.132843",2800,234,198
1551630766,2019-03-03T16:32:46Z,JAI384,"28.464752,77.12841",3225,230,196
1551630773,2019-03-03T16:32:53Z,JAI384,"28.458872,77.12645",3375,232,196
1551630784,2019-03-03T16:33:04Z,JAI384,"28.445572,77.122284",3750,241,195
1551630790,2019-03-03T16:33:10Z,JAI384,"28.439878,77.120682",3925,244,193
1551630797,2019-03-03T16:33:17Z,JAI384,"28.432022,77.11869",4175,249,192
1551630804,2019-03-03T16:33:24Z,JAI384,"28.425385,77.11721",4425,252,190
1551630810,2019-03-03T16:33:30Z,JAI384,"28.418186,77.115677",4750,251,190
1551630826,2019-03-03T16:33:46Z,JAI384,"28.39747,77.111526",5400,265,189
1551630839,2019-03-03T16:33:59Z,JAI384,"28.382433,77.108566",5875,271,190
1551630851,2019-03-03T16:34:11Z,JAI384,"28.367397,77.105286",6525,272,191
1551630864,2019-03-03T16:34:24Z,JAI384,"28.353058,77.101891",7050,275,192
1551630875,2019-03-03T16:34:35Z,JAI384,"28.337494,77.097664",7600,280,194
1551630889,2019-03-03T16:34:49Z,JAI384,"28.322382,77.091766",8100,285,202
1551630895,2019-03-03T16:34:55Z,JAI384,"28.311674,77.085304",8475,287,210
1551630903,2019-03-03T16:35:03Z,JAI384,"28.305496,77.080551",8750,288,215
1551630910,2019-03-03T16:35:10Z,JAI384,"28.295654,77.071838",9250,286,220
1551630917,2019-03-03T16:35:17Z,JAI384,"28.290482,77.066399",9550,285,224
1551630925,2019-03-03T16:35:25Z,JAI384,"28.284115,77.059235",9875,286,224
1551630931,2019-03-03T16:35:31Z,JAI384,"28.276808,77.050835",10200,288,225
1551630943,2019-03-03T16:35:43Z,JAI384,"28.265076,77.03714",10725,292,225
1551630956,2019-03-03T16:35:56Z,JAI384,"28.252878,77.023155",11350,293,224
1551630970,2019-03-03T16:36:10Z,JAI384,"28.241055,77.009903",11650,304,224
1551630981,2019-03-03T16:36:21Z,JAI384,"28.228592,76.996201",12000,314,223
1551631016,2019-03-03T16:36:56Z,JAI384,"28.189661,76.954491",12975,340,223
1551631051,2019-03-03T16:37:31Z,JAI384,"28.151321,76.911217",14275,347,225
1551631082,2019-03-03T16:38:02Z,JAI384,"28.113548,76.868591",15500,358,224
1551631115,2019-03-03T16:38:35Z,JAI384,"28.074097,76.824593",16750,364,224
1551631147,2019-03-03T16:39:07Z,JAI384,"28.037247,76.783974",18250,359,224
1551631210,2019-03-03T16:40:10Z,JAI384,"27.961508,76.700401",20400,370,224
1551631274,2019-03-03T16:41:14Z,JAI384,"27.882183,76.61348",22375,378,224
1551631334,2019-03-03T16:42:14Z,JAI384,"27.801275,76.525589",23900,395,220
1551631351,2019-03-03T16:42:31Z,JAI384,"27.77907,76.506783",24200,407,214
1551631359,2019-03-03T16:42:39Z,JAI384,"27.769108,76.499229",24325,409,213
1551631422,2019-03-03T16:43:42Z,JAI384,"27.667532,76.422745",25750,419,213
1551631487,2019-03-03T16:44:47Z,JAI384,"27.56344,76.344681",27650,406,213
1551631547,2019-03-03T16:45:47Z,JAI384,"27.464859,76.275017",28475,413,207
1551631610,2019-03-03T16:46:50Z,JAI384,"27.35527,76.221123",29575,423,203
1551631674,2019-03-03T16:47:54Z,JAI384,"27.23996,76.165207",30000,425,203
1551631737,2019-03-03T16:48:57Z,JAI384,"27.125381,76.10981",30000,427,203
1551631800,2019-03-03T16:50:00Z,JAI384,"27.008677,76.053543",29975,430,203
1551631862,2019-03-03T16:51:02Z,JAI384,"26.892855,75.997658",30000,430,203
1551631926,2019-03-03T16:52:06Z,JAI384,"26.776848,75.942093",30000,431,203
1551631990,2019-03-03T16:53:10Z,JAI384,"26.661713,75.886871",30000,431,203
1551632051,2019-03-03T16:54:11Z,JAI384,"26.54686,75.831886",29975,432,203
1551632114,2019-03-03T16:55:14Z,JAI384,"26.430542,75.776382",29975,434,203
1551632176,2019-03-03T16:56:16Z,JAI384,"26.318848,75.723267",30000,435,203
1551632198,2019-03-03T16:56:38Z,JAI384,"26.27562,75.702774",30000,435,203
1551632609,2019-03-03T17:03:29Z,JAI384,"25.506226,75.339966",30000,443,203
1551632668,2019-03-03T17:04:28Z,JAI384,"25.391918,75.286354",30000,443,202
1551632732,2019-03-03T17:05:32Z,JAI384,"25.27186,75.230385",30000,442,202
1551632793,2019-03-03T17:06:33Z,JAI384,"25.157156,75.176903",30000,442,203
1551632854,2019-03-03T17:07:34Z,JAI384,"25.041824,75.123192",30000,442,203
1551632917,2019-03-03T17:08:37Z,JAI384,"24.92174,75.067505",30000,445,202
1551632977,2019-03-03T17:09:37Z,JAI384,"24.806625,75.014343",30000,447,202
1551633041,2019-03-03T17:10:41Z,JAI384,"24.686186,74.958733",30000,447,202
1551633102,2019-03-03T17:11:42Z,JAI384,"24.569733,74.905243",30000,447,201
1551633165,2019-03-03T17:12:45Z,JAI384,"24.444719,74.855034",30000,450,200
1551633226,2019-03-03T17:13:46Z,JAI384,"24.326202,74.807434",30000,454,200
1551633289,2019-03-03T17:14:49Z,JAI384,"24.199436,74.756729",30000,454,200
1551633350,2019-03-03T17:15:50Z,JAI384,"24.079378,74.708588",30000,454,200
1551633411,2019-03-03T17:16:51Z,JAI384,"23.959854,74.660851",30000,454,200
1551633475,2019-03-03T17:17:55Z,JAI384,"23.83386,74.610329",30000,454,200
1551633534,2019-03-03T17:18:54Z,JAI384,"23.714127,74.562378",30000,454,200
1551633598,2019-03-03T17:19:58Z,JAI384,"23.590254,74.512955",30000,454,200
1551633661,2019-03-03T17:21:01Z,JAI384,"23.463776,74.462486",30000,454,200
1551633725,2019-03-03T17:22:05Z,JAI384,"23.336426,74.412102",30000,457,200
1551633786,2019-03-03T17:23:06Z,JAI384,"23.214844,74.363907",29975,459,200
1551633849,2019-03-03T17:24:09Z,JAI384,"23.088327,74.313911",30000,459,200
1551633910,2019-03-03T17:25:10Z,JAI384,"22.967012,74.265999",29975,459,200
1551633970,2019-03-03T17:26:10Z,JAI384,"22.84552,74.218086",29975,459,200
1551634032,2019-03-03T17:27:12Z,JAI384,"22.72261,74.169746",30000,459,200
1551634093,2019-03-03T17:28:13Z,JAI384,"22.600754,74.121208",30000,461,200
1551634155,2019-03-03T17:29:15Z,JAI384,"22.476608,74.072723",30000,461,199
1551634214,2019-03-03T17:30:14Z,JAI384,"22.355921,74.025826",29975,460,199
1551634289,2019-03-03T17:31:29Z,JAI384,"22.210539,73.969215",29975,461,200
1551634350,2019-03-03T17:32:30Z,JAI384,"22.083206,73.919807",30000,462,199
1551634410,2019-03-03T17:33:30Z,JAI384,"21.961437,73.872429",30000,463,200
1551634474,2019-03-03T17:34:34Z,JAI384,"21.832907,73.822533",30000,463,199
1551634536,2019-03-03T17:35:36Z,JAI384,"21.704189,73.772835",30000,465,199
1551634598,2019-03-03T17:36:38Z,JAI384,"21.58168,73.725151",30000,465,199
1551634661,2019-03-03T17:37:41Z,JAI384,"21.453781,73.675613",29975,464,199
1551634724,2019-03-03T17:38:44Z,JAI384,"21.324883,73.626045",29975,464,199
1551634787,2019-03-03T17:39:47Z,JAI384,"21.197021,73.577484",30000,465,199
1551634848,2019-03-03T17:40:48Z,JAI384,"21.072056,73.533989",29975,469,197
1551634911,2019-03-03T17:41:51Z,JAI384,"20.941223,73.489952",30000,470,197
1551634975,2019-03-03T17:42:55Z,JAI384,"20.810526,73.4459",29975,440,197
1551635037,2019-03-03T17:43:57Z,JAI384,"20.701584,73.40947",29975,394,197
1551635098,2019-03-03T17:44:58Z,JAI384,"20.590393,73.372238",30000,394,197
1551635165,2019-03-03T17:46:05Z,JAI384,"20.474651,73.333687",30000,394,197
1551635230,2019-03-03T17:47:10Z,JAI384,"20.360319,73.295784",30000,395,197
1551635291,2019-03-03T17:48:11Z,JAI384,"20.254578,73.260414",29975,395,197
1551635354,2019-03-03T17:49:14Z,JAI384,"20.143799,73.225548",28650,386,195
1551635419,2019-03-03T17:50:19Z,JAI384,"20.034781,73.194366",26225,381,187
1551635425,2019-03-03T17:50:25Z,JAI384,"20.02384,73.193214",25975,384,184
1551635434,2019-03-03T17:50:34Z,JAI384,"20.007019,73.191704",25600,382,185
1551635495,2019-03-03T17:51:35Z,JAI384,"19.901413,73.182335",23375,371,184
1551635555,2019-03-03T17:52:35Z,JAI384,"19.798061,73.173492",21050,363,184
1551635617,2019-03-03T17:53:37Z,JAI384,"19.696655,73.165169",19025,348,184
1551635680,2019-03-03T17:54:40Z,JAI384,"19.60054,73.156708",17600,316,184
1551635710,2019-03-03T17:55:10Z,JAI384,"19.558044,73.153297",17050,301,184
1551635743,2019-03-03T17:55:43Z,JAI384,"19.511021,73.149422",15925,303,182
1551635778,2019-03-03T17:56:18Z,JAI384,"19.463745,73.148445",14575,308,180
1551635809,2019-03-03T17:56:49Z,JAI384,"19.416473,73.148018",13250,297,180
1551635862,2019-03-03T17:57:42Z,JAI384,"19.350861,73.156197",11875,275,152
1551635868,2019-03-03T17:57:48Z,JAI384,"19.343666,73.160156",11750,270,152
1551635880,2019-03-03T17:58:00Z,JAI384,"19.329933,73.167847",11450,262,152
1551635892,2019-03-03T17:58:12Z,JAI384,"19.317083,73.175087",11200,253,151
1551635905,2019-03-03T17:58:25Z,JAI384,"19.304747,73.182129",10800,248,151
1551635916,2019-03-03T17:58:36Z,JAI384,"19.292221,73.189201",10325,248,151
