Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551718276,2019-03-04T16:51:16Z,JAI384,"28.551466,77.037155",1950,205,278
1551718342,2019-03-04T16:52:22Z,JAI384,"28.496429,76.995255",3675,268,184
1551718350,2019-03-04T16:52:30Z,JAI384,"28.488419,76.994514",3875,270,184
1551718361,2019-03-04T16:52:41Z,JAI384,"28.472979,76.992729",4250,275,186
1551718368,2019-03-04T16:52:48Z,JAI384,"28.465576,76.991768",4475,277,186
1551718379,2019-03-04T16:52:59Z,JAI384,"28.449417,76.989761",4650,290,186
1551718385,2019-03-04T16:53:05Z,JAI384,"28.441269,76.988754",4775,295,186
1551718392,2019-03-04T16:53:12Z,JAI384,"28.433548,76.987717",4875,301,187
1551718403,2019-03-04T16:53:23Z,JAI384,"28.416325,76.983032",5075,309,198
1551718409,2019-03-04T16:53:29Z,JAI384,"28.408224,76.979477",5175,313,202
1551718415,2019-03-04T16:53:35Z,JAI384,"28.400543,76.975281",5275,317,207
1551718423,2019-03-04T16:53:43Z,JAI384,"28.392609,76.970268",5375,321,210
1551718439,2019-03-04T16:53:59Z,JAI384,"28.368376,76.954758",5825,331,209
1551718450,2019-03-04T16:54:10Z,JAI384,"28.3526,76.944756",6225,333,209
1551718463,2019-03-04T16:54:23Z,JAI384,"28.336212,76.934616",6625,336,208
1551718475,2019-03-04T16:54:35Z,JAI384,"28.319366,76.92437",7025,339,208
1551718487,2019-03-04T16:54:47Z,JAI384,"28.302597,76.914047",7500,340,208
1551718498,2019-03-04T16:54:58Z,JAI384,"28.286362,76.90403",8000,339,208
1551718511,2019-03-04T16:55:11Z,JAI384,"28.269405,76.893524",8550,338,208
1551718524,2019-03-04T16:55:24Z,JAI384,"28.252808,76.883171",9150,336,209
1551718535,2019-03-04T16:55:35Z,JAI384,"28.236786,76.873184",9725,333,208
1551718546,2019-03-04T16:55:46Z,JAI384,"28.220535,76.862991",10275,333,209
1551718559,2019-03-04T16:55:59Z,JAI384,"28.204185,76.852707",10775,334,209
1551718570,2019-03-04T16:56:10Z,JAI384,"28.187256,76.842445",11250,337,206
1551718584,2019-03-04T16:56:24Z,JAI384,"28.170435,76.833099",11700,340,206
1551718595,2019-03-04T16:56:35Z,JAI384,"28.153584,76.823784",12125,344,205
1551718629,2019-03-04T16:57:09Z,JAI384,"28.10433,76.796806",13025,364,206
1551718660,2019-03-04T16:57:40Z,JAI384,"28.057892,76.770927",14200,369,206
1551718694,2019-03-04T16:58:14Z,JAI384,"28.006805,76.742462",15750,370,206
1551718725,2019-03-04T16:58:45Z,JAI384,"27.956388,76.714729",17275,369,205
1551718759,2019-03-04T16:59:19Z,JAI384,"27.90477,76.686279",18425,377,206
1551718826,2019-03-04T17:00:26Z,JAI384,"27.798809,76.627792",20700,388,206
1551718888,2019-03-04T17:01:28Z,JAI384,"27.694252,76.570221",22725,398,206
1551718948,2019-03-04T17:02:28Z,JAI384,"27.592438,76.514389",23975,415,205
1551719011,2019-03-04T17:03:31Z,JAI384,"27.481064,76.453598",25575,419,205
1551719059,2019-03-04T17:04:19Z,JAI384,"27.397064,76.411728",27100,433,194
