Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1537389121,2018-09-19T20:32:01Z,IGO2624,"28.557703,77.125961",2000,160,104
1537389134,2018-09-19T20:32:14Z,IGO2624,"28.555235,77.137161",2300,175,104
1537389141,2018-09-19T20:32:21Z,IGO2624,"28.55365,77.144257",2500,184,104
1537389147,2018-09-19T20:32:27Z,IGO2624,"28.552349,77.1502",2650,195,104
1537389161,2018-09-19T20:32:41Z,IGO2624,"28.549231,77.162743",3000,203,104
1537389167,2018-09-19T20:32:47Z,IGO2624,"28.545181,77.171242",3250,226,122
1537389173,2018-09-19T20:32:53Z,IGO2624,"28.541519,77.175842",3400,235,132
1537389180,2018-09-19T20:33:00Z,IGO2624,"28.534653,77.181755",3650,248,145
1537389186,2018-09-19T20:33:06Z,IGO2624,"28.530609,77.184555",3775,248,145
1537389196,2018-09-19T20:33:16Z,IGO2624,"28.516226,77.189781",4050,272,167
1537389221,2018-09-19T20:33:41Z,IGO2624,"28.485443,77.182388",5150,286,198
1537389230,2018-09-19T20:33:50Z,IGO2624,"28.475027,77.178467",5675,288,198
1537389240,2018-09-19T20:34:00Z,IGO2624,"28.458801,77.172455",6500,286,198
1537389252,2018-09-19T20:34:12Z,IGO2624,"28.443836,77.166946",7175,289,197
1537389264,2018-09-19T20:34:24Z,IGO2624,"28.427683,77.161133",7725,296,197
1537389277,2018-09-19T20:34:37Z,IGO2624,"28.41218,77.15564",8300,303,197
1537389289,2018-09-19T20:34:49Z,IGO2624,"28.395081,77.149643",8925,308,197
1537389301,2018-09-19T20:35:01Z,IGO2624,"28.378803,77.143951",9575,312,197
1537389314,2018-09-19T20:35:14Z,IGO2624,"28.362091,77.138184",10275,314,197
1537389326,2018-09-19T20:35:26Z,IGO2624,"28.345413,77.132263",10700,325,197
1537389339,2018-09-19T20:35:39Z,IGO2624,"28.327011,77.12561",10975,342,197
1537389350,2018-09-19T20:35:50Z,IGO2624,"28.308426,77.118797",11475,352,198
1537389363,2018-09-19T20:36:03Z,IGO2624,"28.288958,77.111633",12325,349,197
1537389395,2018-09-19T20:36:35Z,IGO2624,"28.239937,77.093704",14350,342,197
