Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1537476585,2018-09-20T20:49:45Z,IGO2624,"28.53857,77.107224",2100,155,102
1537476596,2018-09-20T20:49:56Z,IGO2624,"28.536301,77.114677",2475,158,114
1537476605,2018-09-20T20:50:05Z,IGO2624,"28.530983,77.121117",2725,168,141
1537476612,2018-09-20T20:50:12Z,IGO2624,"28.526886,77.123161",2875,176,156
1537476620,2018-09-20T20:50:20Z,IGO2624,"28.519135,77.124077",3100,195,178
1537476640,2018-09-20T20:50:40Z,IGO2624,"28.499634,77.12207",3700,223,187
1537476649,2018-09-20T20:50:49Z,IGO2624,"28.489504,77.120415",3975,237,188
1537476655,2018-09-20T20:50:55Z,IGO2624,"28.482742,77.11927",4125,246,188
1537476663,2018-09-20T20:51:03Z,IGO2624,"28.475725,77.118042",4275,256,189
1537476670,2018-09-20T20:51:10Z,IGO2624,"28.467957,77.116631",4425,266,189
1537476678,2018-09-20T20:51:18Z,IGO2624,"28.454311,77.114166",4625,287,188
1537476686,2018-09-20T20:51:26Z,IGO2624,"28.44397,77.112404",4775,298,188
1537476693,2018-09-20T20:51:33Z,IGO2624,"28.435776,77.111031",4900,307,188
1537476711,2018-09-20T20:51:51Z,IGO2624,"28.407944,77.106644",5225,335,187
1537476721,2018-09-20T20:52:01Z,IGO2624,"28.390394,77.103989",5425,351,187
1537476734,2018-09-20T20:52:14Z,IGO2624,"28.368896,77.100731",5775,364,187
1537476746,2018-09-20T20:52:26Z,IGO2624,"28.34935,77.097824",6275,368,187
1537476758,2018-09-20T20:52:38Z,IGO2624,"28.328842,77.094818",6750,372,187
1537476771,2018-09-20T20:52:51Z,IGO2624,"28.307205,77.090363",7300,378,192
1537476782,2018-09-20T20:53:02Z,IGO2624,"28.285837,77.08358",7850,380,196
1537476795,2018-09-20T20:53:15Z,IGO2624,"28.26652,77.077011",8400,382,196
1537476807,2018-09-20T20:53:27Z,IGO2624,"28.244965,77.069794",8875,386,196
1537476818,2018-09-20T20:53:38Z,IGO2624,"28.225273,77.063171",9350,388,196
1537476833,2018-09-20T20:53:53Z,IGO2624,"28.202696,77.055733",9900,390,196
1537476845,2018-09-20T20:54:05Z,IGO2624,"28.182772,77.049164",10375,393,196
1537476855,2018-09-20T20:54:15Z,IGO2624,"28.160519,77.04184",10825,398,196
1537476867,2018-09-20T20:54:27Z,IGO2624,"28.140518,77.035233",11200,402,196
