Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1537648933,2018-09-22T20:42:13Z,IGO2624,"28.538523,77.105927",2025,145,103
1537648948,2018-09-22T20:42:28Z,IGO2624,"28.536026,77.117264",2500,149,107
1537648958,2018-09-22T20:42:38Z,IGO2624,"28.532318,77.124023",2725,157,127
1537648968,2018-09-22T20:42:48Z,IGO2624,"28.525675,77.129028",2900,171,152
1537648978,2018-09-22T20:42:58Z,IGO2624,"28.517157,77.130219",3075,191,180
1537648988,2018-09-22T20:43:08Z,IGO2624,"28.507782,77.12851",3200,215,190
1537648998,2018-09-22T20:43:18Z,IGO2624,"28.496952,77.126015",3475,231,191
1537649013,2018-09-22T20:43:33Z,IGO2624,"28.480042,77.122597",4000,248,189
1537649023,2018-09-22T20:43:43Z,IGO2624,"28.468369,77.119743",4500,255,193
1537649034,2018-09-22T20:43:54Z,IGO2624,"28.456741,77.116104",5025,261,195
1537649049,2018-09-22T20:44:09Z,IGO2624,"28.438902,77.110504",5800,266,195
1537649063,2018-09-22T20:44:23Z,IGO2624,"28.420761,77.104904",6600,270,195
1537649075,2018-09-22T20:44:35Z,IGO2624,"28.406548,77.10054",6975,282,194
1537649092,2018-09-22T20:44:52Z,IGO2624,"28.386297,77.094406",7300,304,194
1537649102,2018-09-22T20:45:02Z,IGO2624,"28.3694,77.089233",7650,318,195
1537649115,2018-09-22T20:45:15Z,IGO2624,"28.351896,77.083847",8225,322,195
1537649126,2018-09-22T20:45:26Z,IGO2624,"28.334671,77.078514",8825,323,195
1537649138,2018-09-22T20:45:38Z,IGO2624,"28.316889,77.073021",9425,324,195
1537649151,2018-09-22T20:45:51Z,IGO2624,"28.299246,77.067635",9950,328,195
1537649162,2018-09-22T20:46:02Z,IGO2624,"28.281555,77.062256",10525,329,195
1537649175,2018-09-22T20:46:15Z,IGO2624,"28.263865,77.056816",11125,328,195
1537649190,2018-09-22T20:46:30Z,IGO2624,"28.240952,77.049812",11675,334,195
1537649203,2018-09-22T20:46:43Z,IGO2624,"28.222015,77.044052",12125,338,195
1537649235,2018-09-22T20:47:15Z,IGO2624,"28.170776,77.028419",13275,349,195
1537649266,2018-09-22T20:47:46Z,IGO2624,"28.123169,77.013893",14300,357,195
1537649299,2018-09-22T20:48:19Z,IGO2624,"28.06909,76.99736",15475,363,195
1537649333,2018-09-22T20:48:53Z,IGO2624,"28.014112,76.980553",16625,368,195
1537649365,2018-09-22T20:49:25Z,IGO2624,"27.959015,76.963715",17775,373,195
1537649398,2018-09-22T20:49:58Z,IGO2624,"27.903086,76.946709",18900,375,195
1537649459,2018-09-22T20:50:59Z,IGO2624,"27.801224,76.915695",20975,374,195
1537649521,2018-09-22T20:52:01Z,IGO2624,"27.700562,76.885017",23025,368,195
1537649583,2018-09-22T20:53:03Z,IGO2624,"27.597336,76.856255",25200,355,188
1537649590,2018-09-22T20:53:10Z,IGO2624,"27.587311,76.855118",25350,355,185
1537649598,2018-09-22T20:53:18Z,IGO2624,"27.572191,76.854118",25550,356,182
1537649623,2018-09-22T20:53:43Z,IGO2624,"27.532343,76.857285",25975,363,170
1537649631,2018-09-22T20:53:51Z,IGO2624,"27.517731,76.860199",26125,365,169
1537649693,2018-09-22T20:54:53Z,IGO2624,"27.41424,76.886917",26875,386,163
1537649706,2018-09-22T20:55:06Z,IGO2624,"27.387131,76.892532",26925,392,175
1537649732,2018-09-22T20:55:32Z,IGO2624,"27.343369,76.884659",27050,405,198
1537649741,2018-09-22T20:55:41Z,IGO2624,"27.327421,76.877991",27150,408,200
1537649800,2018-09-22T20:56:40Z,IGO2624,"27.217697,76.829506",27625,432,201
1537649865,2018-09-22T20:57:45Z,IGO2624,"27.09857,76.777847",28850,432,201
1537649928,2018-09-22T20:58:48Z,IGO2624,"26.978806,76.726028",29750,440,201
1537649957,2018-09-22T20:59:17Z,IGO2624,"26.921112,76.707016",30050,446,190
