Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1538167994,2018-09-28T20:53:14Z,IGO2624,"28.547043,77.066132",1500,183,283
1538168005,2018-09-28T20:53:25Z,IGO2624,"28.549164,77.055832",1925,181,283
1538168013,2018-09-28T20:53:33Z,IGO2624,"28.55072,77.046112",2100,194,276
1538168034,2018-09-28T20:53:54Z,IGO2624,"28.542341,77.02655",2475,224,221
1538168040,2018-09-28T20:54:00Z,IGO2624,"28.537779,77.023529",2625,229,209
1538168050,2018-09-28T20:54:10Z,IGO2624,"28.527924,77.019333",2975,239,198
1538168059,2018-09-28T20:54:19Z,IGO2624,"28.516205,77.016273",3325,253,191
1538168069,2018-09-28T20:54:29Z,IGO2624,"28.505239,77.014374",3725,262,188
1538168079,2018-09-28T20:54:39Z,IGO2624,"28.492018,77.012489",4250,266,186
1538168095,2018-09-28T20:54:55Z,IGO2624,"28.47377,77.00985",5125,267,187
1538168104,2018-09-28T20:55:04Z,IGO2624,"28.461273,77.007713",5650,268,188
1538168119,2018-09-28T20:55:19Z,IGO2624,"28.443184,77.004089",6375,273,190
1538168135,2018-09-28T20:55:35Z,IGO2624,"28.422934,76.999565",7075,281,191
1538168150,2018-09-28T20:55:50Z,IGO2624,"28.403801,76.994987",7850,286,192
1538168165,2018-09-28T20:56:05Z,IGO2624,"28.384689,76.990341",8600,290,192
1538168180,2018-09-28T20:56:20Z,IGO2624,"28.364227,76.985428",9350,294,192
1538168195,2018-09-28T20:56:35Z,IGO2624,"28.343935,76.980606",10100,299,192
1538168210,2018-09-28T20:56:50Z,IGO2624,"28.324265,76.975868",10550,311,192
1538168219,2018-09-28T20:56:59Z,IGO2624,"28.309067,76.972435",10825,325,190
1538168236,2018-09-28T20:57:16Z,IGO2624,"28.28528,76.969032",11500,334,186
1538168250,2018-09-28T20:57:30Z,IGO2624,"28.261305,76.965744",12150,341,187
1538168281,2018-09-28T20:58:01Z,IGO2624,"28.213776,76.959015",14100,330,187
1538168315,2018-09-28T20:58:35Z,IGO2624,"28.161264,76.951309",15725,334,187
1538168352,2018-09-28T20:59:12Z,IGO2624,"28.105215,76.941238",17175,341,190
1538168387,2018-09-28T20:59:47Z,IGO2624,"28.051346,76.929863",18550,346,190
1538168452,2018-09-28T21:00:52Z,IGO2624,"27.948257,76.908203",21025,352,190
1538168516,2018-09-28T21:01:56Z,IGO2624,"27.841078,76.886078",23075,364,190
1538168577,2018-09-28T21:02:57Z,IGO2624,"27.739594,76.865105",24700,379,190
1538168642,2018-09-28T21:04:02Z,IGO2624,"27.624802,76.841537",26275,395,190
1538168708,2018-09-28T21:05:08Z,IGO2624,"27.501526,76.833611",27875,407,182
1538168767,2018-09-28T21:06:07Z,IGO2624,"27.387909,76.828377",29075,417,182
1538168832,2018-09-28T21:07:12Z,IGO2624,"27.259455,76.822319",30275,424,182
1538168898,2018-09-28T21:08:18Z,IGO2624,"27.130646,76.81646",31475,428,182
1538168958,2018-09-28T21:09:18Z,IGO2624,"27.011332,76.810753",32425,432,182
1538169020,2018-09-28T21:10:20Z,IGO2624,"26.884827,76.804955",33050,442,182
1538169037,2018-09-28T21:10:37Z,IGO2624,"26.852005,76.803505",33275,443,182
