Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1538253307,2018-09-29T20:35:07Z,IGO2624,"28.571915,77.063652",2275,173,284
1538253315,2018-09-29T20:35:15Z,IGO2624,"28.573288,77.057632",2425,179,284
1538253325,2018-09-29T20:35:25Z,IGO2624,"28.575859,77.046364",2750,195,284
1538253332,2018-09-29T20:35:32Z,IGO2624,"28.577316,77.039932",2900,205,284
1538253338,2018-09-29T20:35:38Z,IGO2624,"28.578606,77.034355",3075,209,284
1538253346,2018-09-29T20:35:46Z,IGO2624,"28.580235,77.027298",3400,218,284
1538253374,2018-09-29T20:36:14Z,IGO2624,"28.574835,76.992188",4975,240,234
1538253383,2018-09-29T20:36:23Z,IGO2624,"28.567526,76.984215",5475,243,221
1538253392,2018-09-29T20:36:32Z,IGO2624,"28.558868,76.978241",6000,250,207
1538253398,2018-09-29T20:36:38Z,IGO2624,"28.552368,76.975708",6300,254,196
1538253404,2018-09-29T20:36:44Z,IGO2624,"28.545088,76.974144",6650,257,190
1538253410,2018-09-29T20:36:50Z,IGO2624,"28.537266,76.972694",7000,258,189
1538253416,2018-09-29T20:36:56Z,IGO2624,"28.531075,76.971558",7325,259,189
1538253422,2018-09-29T20:37:02Z,IGO2624,"28.523441,76.970055",7650,260,189
1538253438,2018-09-29T20:37:18Z,IGO2624,"28.505192,76.966339",8475,264,190
1538253449,2018-09-29T20:37:29Z,IGO2624,"28.490574,76.963379",9075,268,190
1538253462,2018-09-29T20:37:42Z,IGO2624,"28.475632,76.960304",9650,274,190
1538253474,2018-09-29T20:37:54Z,IGO2624,"28.459534,76.957115",10150,282,189
1538253485,2018-09-29T20:38:05Z,IGO2624,"28.444519,76.954208",10450,299,189
1538253498,2018-09-29T20:38:18Z,IGO2624,"28.426798,76.950775",10900,310,189
1538253511,2018-09-29T20:38:31Z,IGO2624,"28.409912,76.947609",11500,314,189
1538253523,2018-09-29T20:38:43Z,IGO2624,"28.391418,76.944389",12250,314,188
1538253554,2018-09-29T20:39:14Z,IGO2624,"28.342958,76.937309",13975,318,187
1538253589,2018-09-29T20:39:49Z,IGO2624,"28.294876,76.930603",15775,318,187
1538253623,2018-09-29T20:40:23Z,IGO2624,"28.245617,76.923256",17425,318,187
1538253655,2018-09-29T20:40:55Z,IGO2624,"28.197947,76.916039",18850,319,187
1538253716,2018-09-29T20:41:56Z,IGO2624,"28.101105,76.901337",20050,366,187
1538253779,2018-09-29T20:42:59Z,IGO2624,"27.99391,76.885284",22325,373,187
1538253841,2018-09-29T20:44:01Z,IGO2624,"27.887009,76.86911",24000,390,187
1538253902,2018-09-29T20:45:02Z,IGO2624,"27.7726,76.851952",26025,395,187
1538253966,2018-09-29T20:46:06Z,IGO2624,"27.657803,76.834839",27750,401,187
1538254028,2018-09-29T20:47:08Z,IGO2624,"27.543732,76.817757",28975,409,187
1538254091,2018-09-29T20:48:11Z,IGO2624,"27.422791,76.807701",30075,420,181
1538254151,2018-09-29T20:49:11Z,IGO2624,"27.302856,76.803345",31325,424,181
1538254215,2018-09-29T20:50:15Z,IGO2624,"27.177521,76.79863",32450,429,181
1538254274,2018-09-29T20:51:14Z,IGO2624,"27.056999,76.794273",33775,423,181
1538254338,2018-09-29T20:52:18Z,IGO2624,"26.934174,76.789719",35000,419,181
1538254397,2018-09-29T20:53:17Z,IGO2624,"26.820793,76.785561",35875,420,181
1538254462,2018-09-29T20:54:22Z,IGO2624,"26.692774,76.780861",36575,425,181
1538254528,2018-09-29T20:55:28Z,IGO2624,"26.562799,76.776054",37000,425,181
1538254590,2018-09-29T20:56:30Z,IGO2624,"26.441666,76.771736",37000,433,181
1538254652,2018-09-29T20:57:32Z,IGO2624,"26.313234,76.767075",37000,433,181
1538254710,2018-09-29T20:58:30Z,IGO2624,"26.198296,76.762901",37025,436,181
1538254755,2018-09-29T20:59:15Z,IGO2624,"26.105576,76.759506",37025,437,181
1538254845,2018-09-29T21:00:45Z,IGO2624,"25.926041,76.753029",37025,437,181
1538254867,2018-09-29T21:01:07Z,IGO2624,"25.880671,76.751442",37000,437,181
1538254956,2018-09-29T21:02:36Z,IGO2624,"25.699997,76.744995",36975,438,181
1538254966,2018-09-29T21:02:46Z,IGO2624,"25.681705,76.744324",36975,438,181
1538255102,2018-09-29T21:05:02Z,IGO2624,"25.405325,76.734215",37025,438,181
1538255145,2018-09-29T21:05:45Z,IGO2624,"25.313919,76.740417",37025,439,173
1538255238,2018-09-29T21:07:18Z,IGO2624,"25.129715,76.761627",37000,434,174
1538255273,2018-09-29T21:07:53Z,IGO2624,"25.056931,76.770119",36950,433,173
1538255441,2018-09-29T21:10:41Z,IGO2624,"24.721891,76.808372",37025,436,174
1538255502,2018-09-29T21:11:42Z,IGO2624,"24.600344,76.822311",37050,436,173
1538255562,2018-09-29T21:12:42Z,IGO2624,"24.478004,76.836258",37000,436,174
1538255630,2018-09-29T21:13:50Z,IGO2624,"24.341328,76.851799",37000,438,174
1538255670,2018-09-29T21:14:30Z,IGO2624,"24.260931,76.860817",37000,438,174
1538255784,2018-09-29T21:16:24Z,IGO2624,"24.033197,76.886627",37000,438,173
1538255843,2018-09-29T21:17:23Z,IGO2624,"23.91069,76.900581",37000,438,173
1538255907,2018-09-29T21:18:27Z,IGO2624,"23.781006,76.91523",37025,437,174
1538255927,2018-09-29T21:18:47Z,IGO2624,"23.741089,76.919655",37000,437,174
1538255989,2018-09-29T21:19:49Z,IGO2624,"23.616302,76.933594",37025,435,174
1538256083,2018-09-29T21:21:23Z,IGO2624,"23.427292,76.954933",36975,433,174
1538256111,2018-09-29T21:21:51Z,IGO2624,"23.373413,76.960907",36975,432,174
1538256201,2018-09-29T21:23:21Z,IGO2624,"23.193237,76.981003",36975,432,174
1538256262,2018-09-29T21:24:22Z,IGO2624,"23.070786,77.00692",36975,434,166
1538256323,2018-09-29T21:25:23Z,IGO2624,"22.951509,77.037506",37000,438,166
1538256384,2018-09-29T21:26:24Z,IGO2624,"22.829315,77.068893",37025,440,166
1538256446,2018-09-29T21:27:26Z,IGO2624,"22.708229,77.099968",37050,441,166
1538256507,2018-09-29T21:28:27Z,IGO2624,"22.585842,77.131348",37025,442,166
1538256568,2018-09-29T21:29:28Z,IGO2624,"22.464993,77.162323",37000,439,166
1538256629,2018-09-29T21:30:29Z,IGO2624,"22.346146,77.192688",37000,439,166
1538256689,2018-09-29T21:31:29Z,IGO2624,"22.223969,77.224251",36950,439,166
1538256751,2018-09-29T21:32:31Z,IGO2624,"22.103439,77.255257",36975,440,166
1538256812,2018-09-29T21:33:32Z,IGO2624,"21.980667,77.28672",37000,440,166
1538256873,2018-09-29T21:34:33Z,IGO2624,"21.859814,77.31781",37025,441,166
1538256935,2018-09-29T21:35:35Z,IGO2624,"21.737055,77.349243",37000,439,166
1538256996,2018-09-29T21:36:36Z,IGO2624,"21.616392,77.380066",37000,439,166
1538257059,2018-09-29T21:37:39Z,IGO2624,"21.49247,77.409615",37000,439,167
1538257119,2018-09-29T21:38:39Z,IGO2624,"21.372412,77.437492",37000,440,167
1538257181,2018-09-29T21:39:41Z,IGO2624,"21.247652,77.466682",37000,440,167
1538257243,2018-09-29T21:40:43Z,IGO2624,"21.127029,77.494865",37000,439,167
1538257304,2018-09-29T21:41:44Z,IGO2624,"21.005766,77.523125",37000,438,167
1538257366,2018-09-29T21:42:46Z,IGO2624,"20.879284,77.552544",37000,437,167
1538257429,2018-09-29T21:43:49Z,IGO2624,"20.758993,77.580856",37000,436,167
1538257489,2018-09-29T21:44:49Z,IGO2624,"20.637165,77.609619",37000,437,167
1538257550,2018-09-29T21:45:50Z,IGO2624,"20.518131,77.637581",37000,439,167
1538257610,2018-09-29T21:46:50Z,IGO2624,"20.395931,77.666298",37025,439,167
1538257672,2018-09-29T21:47:52Z,IGO2624,"20.272385,77.695312",37025,437,167
1538257739,2018-09-29T21:48:59Z,IGO2624,"20.143204,77.724792",37000,436,170
1538257801,2018-09-29T21:50:01Z,IGO2624,"20.019417,77.741203",36975,437,172
1538257863,2018-09-29T21:51:03Z,IGO2624,"19.892532,77.758095",36975,439,172
1538257923,2018-09-29T21:52:03Z,IGO2624,"19.767242,77.774666",37000,442,172
1538257984,2018-09-29T21:53:04Z,IGO2624,"19.64566,77.790657",37025,444,172
1538258045,2018-09-29T21:54:05Z,IGO2624,"19.521261,77.807076",37025,445,172
1538258109,2018-09-29T21:55:09Z,IGO2624,"19.389084,77.824501",37025,444,172
1538258169,2018-09-29T21:56:09Z,IGO2624,"19.266621,77.840584",37025,443,172
1538258230,2018-09-29T21:57:10Z,IGO2624,"19.142653,77.856865",37000,440,172
1538258268,2018-09-29T21:57:48Z,IGO2624,"19.070217,77.866302",37000,439,172
1538258357,2018-09-29T21:59:17Z,IGO2624,"18.887375,77.890419",37000,436,172
1538258367,2018-09-29T21:59:27Z,IGO2624,"18.866877,77.89312",36975,437,172
1538258414,2018-09-29T22:00:14Z,IGO2624,"18.771957,77.905449",36975,437,172
1538258505,2018-09-29T22:01:45Z,IGO2624,"18.589096,77.929314",37000,439,172
1538258565,2018-09-29T22:02:45Z,IGO2624,"18.466919,77.945206",37000,438,172
1538258628,2018-09-29T22:03:48Z,IGO2624,"18.339798,77.961685",37000,436,173
1538258691,2018-09-29T22:04:51Z,IGO2624,"18.21666,77.977722",37000,435,172
1538258753,2018-09-29T22:05:53Z,IGO2624,"18.089813,77.994209",37000,436,172
1538258814,2018-09-29T22:06:54Z,IGO2624,"17.969421,78.009674",37000,438,172
1538258882,2018-09-29T22:08:02Z,IGO2624,"17.828659,78.027893",37025,437,172
1538258909,2018-09-29T22:08:29Z,IGO2624,"17.775513,78.034828",37025,436,172
1538258996,2018-09-29T22:09:56Z,IGO2624,"17.599915,78.057526",37000,434,172
1538259057,2018-09-29T22:10:57Z,IGO2624,"17.478653,78.073135",36975,432,172
1538259119,2018-09-29T22:11:59Z,IGO2624,"17.352951,78.08918",36975,434,172
1538259182,2018-09-29T22:13:02Z,IGO2624,"17.22963,78.105034",37000,435,173
1538259245,2018-09-29T22:14:05Z,IGO2624,"17.10347,78.121178",37000,437,172
1538259307,2018-09-29T22:15:07Z,IGO2624,"16.976669,78.137367",37000,439,172
1538259369,2018-09-29T22:16:09Z,IGO2624,"16.851471,78.153366",37025,440,172
1538259431,2018-09-29T22:17:11Z,IGO2624,"16.725082,78.169556",37025,441,172
1538259492,2018-09-29T22:18:12Z,IGO2624,"16.601715,78.185265",37025,439,172
1538259555,2018-09-29T22:19:15Z,IGO2624,"16.475628,78.20137",37000,438,172
1538259615,2018-09-29T22:20:15Z,IGO2624,"16.352142,78.217064",36950,439,172
1538259679,2018-09-29T22:21:19Z,IGO2624,"16.226994,78.233002",37000,440,172
1538259740,2018-09-29T22:22:20Z,IGO2624,"16.099207,78.249191",37025,440,172
1538259804,2018-09-29T22:23:24Z,IGO2624,"15.969699,78.265671",37000,441,172
1538259866,2018-09-29T22:24:26Z,IGO2624,"15.844148,78.281509",37000,441,173
1538259926,2018-09-29T22:25:26Z,IGO2624,"15.721203,78.296959",37025,440,173
1538259990,2018-09-29T22:26:30Z,IGO2624,"15.593811,78.313103",37000,438,172
1538260054,2018-09-29T22:27:34Z,IGO2624,"15.464328,78.32943",37000,437,173
1538260114,2018-09-29T22:28:34Z,IGO2624,"15.34399,78.344536",36975,436,173
1538260186,2018-09-29T22:29:46Z,IGO2624,"15.197845,78.351501",36975,440,184
1538260249,2018-09-29T22:30:49Z,IGO2624,"15.068481,78.332275",37025,442,188
1538260310,2018-09-29T22:31:50Z,IGO2624,"14.947505,78.313248",37050,441,188
1538260373,2018-09-29T22:32:53Z,IGO2624,"14.819951,78.292717",37000,439,188
1538260437,2018-09-29T22:33:57Z,IGO2624,"14.691561,78.271996",35625,431,188
1538260496,2018-09-29T22:34:56Z,IGO2624,"14.574993,78.253304",33725,423,188
1538260560,2018-09-29T22:36:00Z,IGO2624,"14.451462,78.233643",31725,413,188
1538260623,2018-09-29T22:37:03Z,IGO2624,"14.332596,78.214752",29675,408,188
