Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1538686001,2018-10-04T20:46:41Z,IGO2624,"28.540665,77.096237",1150,168,102
1538686025,2018-10-04T20:47:05Z,IGO2624,"28.536476,77.115944",1975,169,103
1538686070,2018-10-04T20:47:50Z,IGO2624,"28.503662,77.136017",2825,235,189
1538686076,2018-10-04T20:47:56Z,IGO2624,"28.496933,77.134216",3025,241,192
1538686092,2018-10-04T20:48:12Z,IGO2624,"28.480194,77.129196",3575,260,194
1538686102,2018-10-04T20:48:22Z,IGO2624,"28.465298,77.125153",4250,265,192
1538686109,2018-10-04T20:48:29Z,IGO2624,"28.458174,77.123428",4650,262,191
1538686126,2018-10-04T20:48:46Z,IGO2624,"28.437195,77.118637",5950,255,191
1538686139,2018-10-04T20:48:59Z,IGO2624,"28.424332,77.115837",6575,260,190
1538686152,2018-10-04T20:49:12Z,IGO2624,"28.408081,77.112297",7050,270,190
1538686165,2018-10-04T20:49:25Z,IGO2624,"28.392536,77.108948",7675,276,190
1538686175,2018-10-04T20:49:35Z,IGO2624,"28.377914,77.10585",8275,279,190
1538686188,2018-10-04T20:49:48Z,IGO2624,"28.363266,77.102737",8950,282,190
1538686199,2018-10-04T20:49:59Z,IGO2624,"28.345984,77.099144",9625,284,190
1538686211,2018-10-04T20:50:11Z,IGO2624,"28.330715,77.095909",10250,286,190
1538686223,2018-10-04T20:50:23Z,IGO2624,"28.314514,77.09214",10700,297,192
1538686235,2018-10-04T20:50:35Z,IGO2624,"28.297852,77.087051",11000,312,196
1538686247,2018-10-04T20:50:47Z,IGO2624,"28.280136,77.081131",11225,330,196
1538686260,2018-10-04T20:51:00Z,IGO2624,"28.262054,77.075111",11550,343,196
1538686272,2018-10-04T20:51:12Z,IGO2624,"28.243429,77.068932",12025,350,196
1538686302,2018-10-04T20:51:42Z,IGO2624,"28.195541,77.053246",13525,357,196
1538686334,2018-10-04T20:52:14Z,IGO2624,"28.14299,77.036026",14825,365,196
1538686368,2018-10-04T20:52:48Z,IGO2624,"28.088196,77.018013",15350,367,196
1538686401,2018-10-04T20:53:21Z,IGO2624,"28.033012,76.999886",16475,369,196
1538686435,2018-10-04T20:53:55Z,IGO2624,"27.977921,76.981888",17825,372,196
1538686465,2018-10-04T20:54:25Z,IGO2624,"27.927841,76.965553",19100,375,196
1538686528,2018-10-04T20:55:28Z,IGO2624,"27.819946,76.930206",21650,383,196
1538686591,2018-10-04T20:56:31Z,IGO2624,"27.709534,76.894035",23450,400,196
1538686652,2018-10-04T20:57:32Z,IGO2624,"27.600868,76.858658",25350,407,196
1538686715,2018-10-04T20:58:35Z,IGO2624,"27.487654,76.821846",27125,414,196
1538686778,2018-10-04T20:59:38Z,IGO2624,"27.368479,76.785873",28625,424,193
1538686840,2018-10-04T21:00:40Z,IGO2624,"27.250214,76.754112",30125,429,193
1538686904,2018-10-04T21:01:44Z,IGO2624,"27.126827,76.721069",31400,434,193
1538686965,2018-10-04T21:02:45Z,IGO2624,"27.002426,76.687836",32600,438,193
1538687029,2018-10-04T21:03:49Z,IGO2624,"26.878006,76.654617",33950,432,193
1538687090,2018-10-04T21:04:50Z,IGO2624,"26.759949,76.623245",34900,436,193
1538687112,2018-10-04T21:05:12Z,IGO2624,"26.713852,76.610931",35275,436,193
1538687156,2018-10-04T21:05:56Z,IGO2624,"26.630533,76.58886",36175,432,193
1538687246,2018-10-04T21:07:26Z,IGO2624,"26.451214,76.541328",37550,430,193
