Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1538859373,2018-10-06T20:56:13Z,IGO2624,"28.546783,77.068459",1475,173,284
1538859381,2018-10-06T20:56:21Z,IGO2624,"28.548431,77.060219",1850,172,282
1538859391,2018-10-06T20:56:31Z,IGO2624,"28.54937,77.050621",2100,181,270
1538859411,2018-10-06T20:56:51Z,IGO2624,"28.540741,77.032913",2375,212,219
1538859417,2018-10-06T20:56:57Z,IGO2624,"28.535543,77.029617",2425,224,205
1538859427,2018-10-06T20:57:07Z,IGO2624,"28.524994,77.026199",2625,238,192
1538859437,2018-10-06T20:57:17Z,IGO2624,"28.513897,77.024284",2850,254,187
1538859443,2018-10-06T20:57:23Z,IGO2624,"28.507919,77.023354",2975,260,188
1538859457,2018-10-06T20:57:37Z,IGO2624,"28.489597,77.01976",3500,271,190
1538859468,2018-10-06T20:57:48Z,IGO2624,"28.476934,77.016853",3975,273,191
1538859478,2018-10-06T20:57:58Z,IGO2624,"28.463947,77.013618",4500,274,192
1538859488,2018-10-06T20:58:08Z,IGO2624,"28.451284,77.010338",4950,278,192
1538859499,2018-10-06T20:58:19Z,IGO2624,"28.438522,77.006973",5325,284,193
1538859512,2018-10-06T20:58:32Z,IGO2624,"28.419296,77.001854",6000,287,193
1538859529,2018-10-06T20:58:49Z,IGO2624,"28.399612,76.996658",6800,286,193
1538859543,2018-10-06T20:59:03Z,IGO2624,"28.379791,76.991447",7550,287,193
1538859559,2018-10-06T20:59:19Z,IGO2624,"28.360382,76.986275",8275,289,192
1538859574,2018-10-06T20:59:34Z,IGO2624,"28.340025,76.980881",8900,295,193
1538859588,2018-10-06T20:59:48Z,IGO2624,"28.320053,76.975601",9200,312,192
1538859603,2018-10-06T21:00:03Z,IGO2624,"28.296732,76.971024",9425,334,187
1538859619,2018-10-06T21:00:19Z,IGO2624,"28.273129,76.967735",9900,344,186
1538859634,2018-10-06T21:00:34Z,IGO2624,"28.249374,76.964401",10650,344,187
1538859649,2018-10-06T21:00:49Z,IGO2624,"28.225204,76.960869",11300,347,187
1538859664,2018-10-06T21:01:04Z,IGO2624,"28.201485,76.957451",12100,344,187
1538859694,2018-10-06T21:01:34Z,IGO2624,"28.153118,76.950447",13425,352,187
1538859729,2018-10-06T21:02:09Z,IGO2624,"28.095749,76.939423",14925,356,190
1538859764,2018-10-06T21:02:44Z,IGO2624,"28.037476,76.927223",16075,370,190
1538859799,2018-10-06T21:03:19Z,IGO2624,"27.976456,76.91449",17250,380,190
1538859834,2018-10-06T21:03:54Z,IGO2624,"27.916073,76.90197",18450,387,190
1538859894,2018-10-06T21:04:54Z,IGO2624,"27.807129,76.879425",20450,397,190
1538859960,2018-10-06T21:06:00Z,IGO2624,"27.686478,76.854439",22275,411,190
1538860026,2018-10-06T21:07:06Z,IGO2624,"27.56282,76.828896",24225,417,190
1538860087,2018-10-06T21:08:07Z,IGO2624,"27.443665,76.81765",25900,428,182
1538860151,2018-10-06T21:09:11Z,IGO2624,"27.313129,76.81218",27225,442,182
1538860211,2018-10-06T21:10:11Z,IGO2624,"27.187134,76.807129",28550,448,182
1538860277,2018-10-06T21:11:17Z,IGO2624,"27.051413,76.80162",29900,451,182
1538860332,2018-10-06T21:12:12Z,IGO2624,"26.935684,76.796974",30725,458,181
1538860423,2018-10-06T21:13:43Z,IGO2624,"26.739792,76.789047",32100,462,182
1538860464,2018-10-06T21:14:24Z,IGO2624,"26.655905,76.785774",33100,453,181
1538860570,2018-10-06T21:16:10Z,IGO2624,"26.428123,76.776581",35075,443,181
1538860585,2018-10-06T21:16:25Z,IGO2624,"26.399727,76.775421",35250,443,182
1538860674,2018-10-06T21:17:54Z,IGO2624,"26.217382,76.768127",36775,431,182
1538860680,2018-10-06T21:18:00Z,IGO2624,"26.205048,76.767593",36800,431,182
1538860787,2018-10-06T21:19:47Z,IGO2624,"25.990395,76.758995",37000,434,181
1538860850,2018-10-06T21:20:50Z,IGO2624,"25.863831,76.75396",37000,435,181
1538860911,2018-10-06T21:21:51Z,IGO2624,"25.740372,76.749115",37000,436,181
1538860971,2018-10-06T21:22:51Z,IGO2624,"25.617882,76.744217",37000,437,181
1538861032,2018-10-06T21:23:52Z,IGO2624,"25.494644,76.739349",37050,435,181
1538861097,2018-10-06T21:24:57Z,IGO2624,"25.365417,76.734314",37000,433,181
1538861157,2018-10-06T21:25:57Z,IGO2624,"25.244064,76.72953",37000,433,181
1538861218,2018-10-06T21:26:58Z,IGO2624,"25.121542,76.724678",37000,433,181
1538861279,2018-10-06T21:27:59Z,IGO2624,"24.997925,76.730652",37000,446,172
1538861343,2018-10-06T21:29:03Z,IGO2624,"24.866364,76.749268",37000,445,172
1538861403,2018-10-06T21:30:03Z,IGO2624,"24.741304,76.766708",37000,446,172
1538861465,2018-10-06T21:31:05Z,IGO2624,"24.616196,76.784111",37000,447,172
1538861525,2018-10-06T21:32:05Z,IGO2624,"24.491737,76.801483",37000,447,172
1538861589,2018-10-06T21:33:09Z,IGO2624,"24.360031,76.81971",37000,447,172
1538861650,2018-10-06T21:34:10Z,IGO2624,"24.234583,76.837082",37000,449,172
1538861711,2018-10-06T21:35:11Z,IGO2624,"24.109219,76.854446",37000,451,172
1538861770,2018-10-06T21:36:10Z,IGO2624,"23.98255,76.87191",37025,451,172
1538861837,2018-10-06T21:37:17Z,IGO2624,"23.851597,76.889992",37000,452,172
1538861896,2018-10-06T21:38:16Z,IGO2624,"23.724838,76.907448",37025,451,172
1538861956,2018-10-06T21:39:16Z,IGO2624,"23.5979,76.924843",37000,450,172
1538862018,2018-10-06T21:40:18Z,IGO2624,"23.471359,76.942139",37000,449,172
1538862081,2018-10-06T21:41:21Z,IGO2624,"23.340176,76.960091",37000,448,172
1538862140,2018-10-06T21:42:20Z,IGO2624,"23.218208,76.976677",37000,448,172
1538862203,2018-10-06T21:43:23Z,IGO2624,"23.090012,77.001976",37000,456,166
1538862263,2018-10-06T21:44:23Z,IGO2624,"22.964905,77.034134",37000,456,166
1538862327,2018-10-06T21:45:27Z,IGO2624,"22.833847,77.067841",37025,455,166
1538862386,2018-10-06T21:46:26Z,IGO2624,"22.709532,77.099762",37025,453,166
1538862449,2018-10-06T21:47:29Z,IGO2624,"22.585602,77.131516",37025,449,166
1538862511,2018-10-06T21:48:31Z,IGO2624,"22.459442,77.163773",37000,444,166
1538862571,2018-10-06T21:49:31Z,IGO2624,"22.33674,77.195129",36950,445,166
1538862635,2018-10-06T21:50:35Z,IGO2624,"22.208542,77.228241",36975,448,166
1538862695,2018-10-06T21:51:35Z,IGO2624,"22.085312,77.259903",37000,451,166
1538862757,2018-10-06T21:52:37Z,IGO2624,"21.9608,77.291916",37025,452,166
1538862817,2018-10-06T21:53:37Z,IGO2624,"21.837341,77.323524",37025,454,166
1538862881,2018-10-06T21:54:41Z,IGO2624,"21.70661,77.356972",37000,454,166
1538862941,2018-10-06T21:55:41Z,IGO2624,"21.58185,77.388763",37000,454,167
1538863005,2018-10-06T21:56:45Z,IGO2624,"21.450806,77.419159",37025,453,167
1538863065,2018-10-06T21:57:45Z,IGO2624,"21.326889,77.448174",37000,452,167
1538863126,2018-10-06T21:58:46Z,IGO2624,"21.202728,77.477264",37025,449,167
1538863189,2018-10-06T21:59:49Z,IGO2624,"21.074341,77.507195",37000,448,167
1538863249,2018-10-06T22:00:49Z,IGO2624,"20.950562,77.536011",37000,447,167
1538863314,2018-10-06T22:01:54Z,IGO2624,"20.821198,77.566177",37000,448,167
1538863376,2018-10-06T22:02:56Z,IGO2624,"20.697823,77.595337",37025,447,167
1538863438,2018-10-06T22:03:58Z,IGO2624,"20.568375,77.625816",37000,446,167
1538863500,2018-10-06T22:05:00Z,IGO2624,"20.44194,77.655533",37000,446,167
1538863564,2018-10-06T22:06:04Z,IGO2624,"20.317383,77.684814",37025,446,167
1538863625,2018-10-06T22:07:05Z,IGO2624,"20.189566,77.714691",37000,444,167
1538863687,2018-10-06T22:08:07Z,IGO2624,"20.066803,77.743477",37000,442,167
1538863747,2018-10-06T22:09:07Z,IGO2624,"19.944328,77.772018",36975,442,167
1538863809,2018-10-06T22:10:09Z,IGO2624,"19.822874,77.800285",37000,443,167
1538863872,2018-10-06T22:11:12Z,IGO2624,"19.694855,77.830093",36975,443,167
1538863933,2018-10-06T22:12:13Z,IGO2624,"19.572601,77.85849",37000,445,167
1538863996,2018-10-06T22:13:16Z,IGO2624,"19.443832,77.888405",37000,448,167
1538864056,2018-10-06T22:14:16Z,IGO2624,"19.32132,77.91684",37025,449,167
1538864118,2018-10-06T22:15:18Z,IGO2624,"19.196182,77.946037",37000,450,167
1538864178,2018-10-06T22:16:18Z,IGO2624,"19.071213,77.975166",37000,451,167
1538864240,2018-10-06T22:17:20Z,IGO2624,"18.94611,77.999832",37000,450,169
1538864304,2018-10-06T22:18:24Z,IGO2624,"18.814957,78.024902",37000,451,169
1538864364,2018-10-06T22:19:24Z,IGO2624,"18.689793,78.048775",37000,452,169
1538864423,2018-10-06T22:20:23Z,IGO2624,"18.565592,78.072441",37000,452,169
1538864486,2018-10-06T22:21:26Z,IGO2624,"18.434313,78.097412",37025,448,169
1538864550,2018-10-06T22:22:30Z,IGO2624,"18.310501,78.120888",37000,445,169
1538864610,2018-10-06T22:23:30Z,IGO2624,"18.187225,78.144279",36975,444,169
1538864670,2018-10-06T22:24:30Z,IGO2624,"18.063629,78.167679",37000,441,169
1538864733,2018-10-06T22:25:33Z,IGO2624,"17.934483,78.192101",36975,442,169
1538864797,2018-10-06T22:26:37Z,IGO2624,"17.805813,78.216476",37000,443,169
1538864861,2018-10-06T22:27:41Z,IGO2624,"17.676443,78.240807",37000,444,169
1538864927,2018-10-06T22:28:47Z,IGO2624,"17.541138,78.266312",37000,444,169
