Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1539550602,2018-10-14T20:56:42Z,IGO2624,"28.545599,77.072052",1425,173,282
1539550609,2018-10-14T20:56:49Z,IGO2624,"28.546438,77.067528",1600,175,282
1539550619,2018-10-14T20:56:59Z,IGO2624,"28.548393,77.055679",1950,184,279
1539550644,2018-10-14T20:57:24Z,IGO2624,"28.539917,77.032066",2500,228,221
1539550650,2018-10-14T20:57:30Z,IGO2624,"28.533821,77.028107",2750,237,207
1539550656,2018-10-14T20:57:36Z,IGO2624,"28.527304,77.025146",2975,248,200
1539550662,2018-10-14T20:57:42Z,IGO2624,"28.520088,77.02272",3200,255,195
1539550670,2018-10-14T20:57:50Z,IGO2624,"28.513945,77.021111",3450,262,192
1539550676,2018-10-14T20:57:56Z,IGO2624,"28.506355,77.019493",3725,268,190
1539550682,2018-10-14T20:58:02Z,IGO2624,"28.498629,77.018089",4025,272,189
1539550688,2018-10-14T20:58:08Z,IGO2624,"28.490295,77.016693",4375,275,188
1539550700,2018-10-14T20:58:20Z,IGO2624,"28.476517,77.014374",5025,279,188
1539550710,2018-10-14T20:58:30Z,IGO2624,"28.459442,77.011147",5650,285,189
1539550722,2018-10-14T20:58:42Z,IGO2624,"28.444473,77.007927",6150,289,190
1539550734,2018-10-14T20:58:54Z,IGO2624,"28.427994,77.004074",6500,286,192
1539550747,2018-10-14T20:59:07Z,IGO2624,"28.412693,77.000214",6925,295,192
1539550758,2018-10-14T20:59:18Z,IGO2624,"28.395422,76.995583",7175,306,193
1539550771,2018-10-14T20:59:31Z,IGO2624,"28.379734,76.991379",7350,304,193
1539550783,2018-10-14T20:59:43Z,IGO2624,"28.362671,76.986801",7525,305,193
1539550795,2018-10-14T20:59:55Z,IGO2624,"28.346375,76.982468",7725,307,193
1539550807,2018-10-14T21:00:07Z,IGO2624,"28.328842,76.977821",7900,307,193
1539550819,2018-10-14T21:00:19Z,IGO2624,"28.313004,76.973701",7975,307,192
1539550831,2018-10-14T21:00:31Z,IGO2624,"28.295382,76.970703",8050,309,187
1539550843,2018-10-14T21:00:43Z,IGO2624,"28.278854,76.968369",8350,310,187
1539550854,2018-10-14T21:00:54Z,IGO2624,"28.261276,76.965828",8900,314,187
1539550866,2018-10-14T21:01:06Z,IGO2624,"28.243801,76.963318",9600,317,187
1539550879,2018-10-14T21:01:19Z,IGO2624,"28.22518,76.960632",10225,322,187
1539550892,2018-10-14T21:01:32Z,IGO2624,"28.207947,76.958176",10975,322,187
1539550903,2018-10-14T21:01:43Z,IGO2624,"28.189911,76.955582",11725,321,187
1539550916,2018-10-14T21:01:56Z,IGO2624,"28.17247,76.953049",12425,322,187
1539550946,2018-10-14T21:02:26Z,IGO2624,"28.126328,76.945602",13950,330,190
1539550979,2018-10-14T21:02:59Z,IGO2624,"28.076294,76.934875",15600,339,190
1539551014,2018-10-14T21:03:34Z,IGO2624,"28.023743,76.924049",17175,345,190
1539551045,2018-10-14T21:04:05Z,IGO2624,"27.969702,76.912964",18575,356,190
1539551108,2018-10-14T21:05:08Z,IGO2624,"27.862631,76.90451",21050,377,183
1539551172,2018-10-14T21:06:12Z,IGO2624,"27.750208,76.897064",23775,381,183
1539551236,2018-10-14T21:07:16Z,IGO2624,"27.635468,76.889214",25525,403,183
1539551300,2018-10-14T21:08:20Z,IGO2624,"27.514839,76.881424",27375,415,183
1539551358,2018-10-14T21:09:18Z,IGO2624,"27.401276,76.874397",29475,403,183
1539551422,2018-10-14T21:10:22Z,IGO2624,"27.280355,76.866058",30425,422,183
1539551486,2018-10-14T21:11:26Z,IGO2624,"27.156052,76.858017",31775,427,183
1539551544,2018-10-14T21:12:24Z,IGO2624,"27.04052,76.850471",32825,430,183
1539551611,2018-10-14T21:13:31Z,IGO2624,"26.907898,76.841797",33650,442,183
1539551672,2018-10-14T21:14:32Z,IGO2624,"26.777918,76.833466",34750,443,183
1539551736,2018-10-14T21:15:36Z,IGO2624,"26.649536,76.825111",36000,434,183
1539551800,2018-10-14T21:16:40Z,IGO2624,"26.522673,76.816826",36825,430,183
1539551860,2018-10-14T21:17:40Z,IGO2624,"26.402756,76.809044",37000,424,183
1539551892,2018-10-14T21:18:12Z,IGO2624,"26.346085,76.805367",37000,425,183
1539551986,2018-10-14T21:19:46Z,IGO2624,"26.153933,76.793114",37000,428,183
1539552032,2018-10-14T21:20:32Z,IGO2624,"26.062088,76.787125",37025,429,183
1539552170,2018-10-14T21:22:50Z,IGO2624,"25.790079,76.769768",37000,428,183
1539552234,2018-10-14T21:23:54Z,IGO2624,"25.664202,76.761627",36975,427,183
1539552293,2018-10-14T21:24:53Z,IGO2624,"25.544586,76.754097",37000,425,183
1539552357,2018-10-14T21:25:57Z,IGO2624,"25.418871,76.759453",37000,433,174
1539552421,2018-10-14T21:27:01Z,IGO2624,"25.292084,76.772255",36975,432,174
1539552481,2018-10-14T21:28:01Z,IGO2624,"25.16884,76.784637",36975,433,174
1539552541,2018-10-14T21:29:01Z,IGO2624,"25.04962,76.796768",37000,434,174
1539552605,2018-10-14T21:30:05Z,IGO2624,"24.920242,76.809792",37025,434,174
1539552665,2018-10-14T21:31:05Z,IGO2624,"24.799168,76.821953",37000,435,174
1539552730,2018-10-14T21:32:10Z,IGO2624,"24.669846,76.835007",37025,435,174
1539552792,2018-10-14T21:33:12Z,IGO2624,"24.548578,76.847137",37025,433,174
1539552856,2018-10-14T21:34:16Z,IGO2624,"24.422562,76.859726",36975,431,174
1539552917,2018-10-14T21:35:17Z,IGO2624,"24.300064,76.871948",36975,430,174
1539552978,2018-10-14T21:36:18Z,IGO2624,"24.176056,76.884308",36975,430,174
1539553038,2018-10-14T21:37:18Z,IGO2624,"24.05261,76.896576",36975,431,174
1539553104,2018-10-14T21:38:24Z,IGO2624,"23.92757,76.909012",37025,430,174
1539553163,2018-10-14T21:39:23Z,IGO2624,"23.807739,76.920776",37000,431,174
1539553224,2018-10-14T21:40:24Z,IGO2624,"23.685013,76.93293",36975,431,174
1539553286,2018-10-14T21:41:26Z,IGO2624,"23.560135,76.945244",37000,434,174
1539553348,2018-10-14T21:42:28Z,IGO2624,"23.436352,76.957397",37025,435,174
1539553411,2018-10-14T21:43:31Z,IGO2624,"23.308777,76.969963",37025,435,174
1539553472,2018-10-14T21:44:32Z,IGO2624,"23.186367,76.982018",37025,436,174
1539553537,2018-10-14T21:45:37Z,IGO2624,"23.059605,77.009682",37025,439,166
1539553597,2018-10-14T21:46:37Z,IGO2624,"22.93936,77.040352",37000,437,166
1539553658,2018-10-14T21:47:38Z,IGO2624,"22.818832,77.071342",36975,435,166
1539553719,2018-10-14T21:48:39Z,IGO2624,"22.699244,77.102051",36975,435,166
1539553782,2018-10-14T21:49:42Z,IGO2624,"22.573273,77.134346",37000,435,166
1539553843,2018-10-14T21:50:43Z,IGO2624,"22.455776,77.164459",37025,434,166
1539553877,2018-10-14T21:51:17Z,IGO2624,"22.387623,77.181854",37025,433,166
1539553965,2018-10-14T21:52:45Z,IGO2624,"22.216776,77.225853",36975,433,166
1539554031,2018-10-14T21:53:51Z,IGO2624,"22.085403,77.259605",36975,438,166
1539554097,2018-10-14T21:54:57Z,IGO2624,"21.958784,77.292175",37025,439,166
1539554157,2018-10-14T21:55:57Z,IGO2624,"21.841146,77.322334",37025,439,166
1539554176,2018-10-14T21:56:16Z,IGO2624,"21.796829,77.329865",37025,432,176
1539554183,2018-10-14T21:56:23Z,IGO2624,"21.783979,77.330116",37025,432,179
1539554246,2018-10-14T21:57:26Z,IGO2624,"21.663921,77.326965",37000,431,181
1539554304,2018-10-14T21:58:24Z,IGO2624,"21.540985,77.324028",37000,430,181
1539554369,2018-10-14T21:59:29Z,IGO2624,"21.41552,77.320763",36975,429,181
1539554430,2018-10-14T22:00:30Z,IGO2624,"21.294067,77.317131",37000,429,181
1539554493,2018-10-14T22:01:33Z,IGO2624,"21.168186,77.312775",37000,430,181
1539554552,2018-10-14T22:02:32Z,IGO2624,"21.047012,77.308655",37025,430,181
1539554614,2018-10-14T22:03:34Z,IGO2624,"20.926346,77.304413",37000,429,181
1539554639,2018-10-14T22:03:59Z,IGO2624,"20.877823,77.309074",37000,437,167
1539554648,2018-10-14T22:04:08Z,IGO2624,"20.859009,77.31427",37000,436,165
1539554708,2018-10-14T22:05:08Z,IGO2624,"20.742783,77.345764",37025,433,166
1539554773,2018-10-14T22:06:13Z,IGO2624,"20.617987,77.37851",36975,432,165
1539554834,2018-10-14T22:07:14Z,IGO2624,"20.493692,77.411469",36975,433,165
1539554896,2018-10-14T22:08:16Z,IGO2624,"20.375774,77.442825",37000,434,166
1539554960,2018-10-14T22:09:20Z,IGO2624,"20.248966,77.476135",37000,436,166
1539555020,2018-10-14T22:10:20Z,IGO2624,"20.12928,77.507645",37025,438,166
1539555085,2018-10-14T22:11:25Z,IGO2624,"20.004801,77.540405",37025,436,166
1539555147,2018-10-14T22:12:27Z,IGO2624,"19.884136,77.572067",37000,436,166
1539555206,2018-10-14T22:13:26Z,IGO2624,"19.766235,77.602959",37000,435,166
1539555269,2018-10-14T22:14:29Z,IGO2624,"19.645323,77.634537",37000,435,166
1539555327,2018-10-14T22:15:27Z,IGO2624,"19.527081,77.665451",36975,434,166
1539555391,2018-10-14T22:16:31Z,IGO2624,"19.401436,77.698212",36975,434,166
1539555453,2018-10-14T22:17:33Z,IGO2624,"19.283203,77.729004",37000,436,166
1539555512,2018-10-14T22:18:32Z,IGO2624,"19.162766,77.760345",37000,437,166
1539555573,2018-10-14T22:19:33Z,IGO2624,"19.043747,77.791298",37000,437,166
1539555638,2018-10-14T22:20:38Z,IGO2624,"18.916595,77.817711",37000,438,172
1539555700,2018-10-14T22:21:40Z,IGO2624,"18.79335,77.836174",37000,438,171
1539555761,2018-10-14T22:22:41Z,IGO2624,"18.67131,77.854416",37000,438,171
1539555822,2018-10-14T22:23:42Z,IGO2624,"18.548273,77.872742",36975,438,171
1539555881,2018-10-14T22:24:41Z,IGO2624,"18.427517,77.89077",36975,438,171
1539555944,2018-10-14T22:25:44Z,IGO2624,"18.297869,77.910042",37000,440,171
1539556004,2018-10-14T22:26:44Z,IGO2624,"18.174911,77.928291",37025,442,171
1539556067,2018-10-14T22:27:47Z,IGO2624,"18.051701,77.946625",37025,443,171
1539556126,2018-10-14T22:28:46Z,IGO2624,"17.926712,77.965202",37025,443,171
1539556188,2018-10-14T22:29:48Z,IGO2624,"17.799911,77.983894",37000,442,171
1539556251,2018-10-14T22:30:51Z,IGO2624,"17.67366,78.002541",37000,441,171
1539556312,2018-10-14T22:31:52Z,IGO2624,"17.55201,78.020439",37000,439,171
1539556374,2018-10-14T22:32:54Z,IGO2624,"17.422455,78.039467",36975,439,171
1539556436,2018-10-14T22:33:56Z,IGO2624,"17.299255,78.057671",37000,440,171
1539556500,2018-10-14T22:35:00Z,IGO2624,"17.172272,78.076317",37000,440,171
1539556517,2018-10-14T22:35:17Z,IGO2624,"17.134232,78.086342",37025,441,161
1539556525,2018-10-14T22:35:25Z,IGO2624,"17.124252,78.09024",37025,442,159
1539556531,2018-10-14T22:35:31Z,IGO2624,"17.112835,78.09494",37025,442,158
1539556537,2018-10-14T22:35:37Z,IGO2624,"17.099625,78.100845",37025,442,156
1539556599,2018-10-14T22:36:39Z,IGO2624,"16.986923,78.15963",37025,439,154
1539556613,2018-10-14T22:36:53Z,IGO2624,"16.955397,78.171059",37000,438,164
1539556619,2018-10-14T22:36:59Z,IGO2624,"16.948227,78.172775",37000,438,167
1539556629,2018-10-14T22:37:09Z,IGO2624,"16.932539,78.175377",37000,439,172
1539556638,2018-10-14T22:37:18Z,IGO2624,"16.91308,78.177383",37000,439,174
1539556700,2018-10-14T22:38:20Z,IGO2624,"16.784821,78.192055",36975,436,173
1539556763,2018-10-14T22:39:23Z,IGO2624,"16.660721,78.205688",36975,435,174
1539556823,2018-10-14T22:40:23Z,IGO2624,"16.536892,78.219124",36950,436,173
1539556885,2018-10-14T22:41:25Z,IGO2624,"16.413202,78.232414",37000,439,174
1539556946,2018-10-14T22:42:26Z,IGO2624,"16.288055,78.245979",37000,441,173
1539557008,2018-10-14T22:43:28Z,IGO2624,"16.163086,78.259521",37050,443,173
1539557069,2018-10-14T22:44:29Z,IGO2624,"16.037888,78.27282",37050,442,174
1539557131,2018-10-14T22:45:31Z,IGO2624,"15.913137,78.286171",37025,439,174
1539557192,2018-10-14T22:46:32Z,IGO2624,"15.78717,78.29966",36975,436,174
1539557252,2018-10-14T22:47:32Z,IGO2624,"15.664032,78.312622",36975,435,174
1539557315,2018-10-14T22:48:35Z,IGO2624,"15.539566,78.325821",36975,435,174
1539557378,2018-10-14T22:49:38Z,IGO2624,"15.413406,78.339172",36975,434,174
1539557386,2018-10-14T22:49:46Z,IGO2624,"15.399353,78.340614",36975,434,174
1539557484,2018-10-14T22:51:24Z,IGO2624,"15.202005,78.352188",37000,437,184
1539557548,2018-10-14T22:52:28Z,IGO2624,"15.073522,78.332718",37000,439,188
1539557607,2018-10-14T22:53:27Z,IGO2624,"14.951889,78.313538",37025,440,188
1539557675,2018-10-14T22:54:35Z,IGO2624,"14.817298,78.292091",36175,436,188
1539557735,2018-10-14T22:55:35Z,IGO2624,"14.694959,78.289536",33850,430,179
1539557796,2018-10-14T22:56:36Z,IGO2624,"14.575836,78.289665",31825,417,180
1539557856,2018-10-14T22:57:36Z,IGO2624,"14.459916,78.277832",30100,408,196
1539557863,2018-10-14T22:57:43Z,IGO2624,"14.448837,78.27359",30000,410,201
1539557869,2018-10-14T22:57:49Z,IGO2624,"14.440018,78.269821",29925,411,202
1539557876,2018-10-14T22:57:56Z,IGO2624,"14.426306,78.263954",29775,411,202
1539557941,2018-10-14T22:59:01Z,IGO2624,"14.316284,78.218346",28750,400,201
1539558003,2018-10-14T23:00:03Z,IGO2624,"14.206741,78.173264",27700,393,201
1539558065,2018-10-14T23:01:05Z,IGO2624,"14.103233,78.130379",26100,388,202
1539558111,2018-10-14T23:01:51Z,IGO2624,"14.027819,78.099205",24700,380,202
1539558231,2018-10-14T23:03:51Z,IGO2624,"13.83323,78.018593",21075,366,202
1539558293,2018-10-14T23:04:53Z,IGO2624,"13.737332,77.979126",19250,359,201
1539558352,2018-10-14T23:05:52Z,IGO2624,"13.646027,77.941322",17475,350,202
1539558374,2018-10-14T23:06:14Z,IGO2624,"13.615402,77.926071",16725,353,212
1539558380,2018-10-14T23:06:20Z,IGO2624,"13.607778,77.920197",16450,358,218
1539558386,2018-10-14T23:06:26Z,IGO2624,"13.59938,77.911392",16175,363,227
1539558392,2018-10-14T23:06:32Z,IGO2624,"13.593246,77.902725",15950,364,235
1539558398,2018-10-14T23:06:38Z,IGO2624,"13.588486,77.895248",15750,363,237
1539558404,2018-10-14T23:06:44Z,IGO2624,"13.582454,77.885696",15550,362,237
1539558411,2018-10-14T23:06:51Z,IGO2624,"13.576675,77.876396",15325,362,237
1539558417,2018-10-14T23:06:57Z,IGO2624,"13.571045,77.867447",15150,362,237
1539558446,2018-10-14T23:07:26Z,IGO2624,"13.544839,77.825989",14475,345,237
1539558480,2018-10-14T23:08:00Z,IGO2624,"13.514786,77.778656",12950,354,236
1539558514,2018-10-14T23:08:34Z,IGO2624,"13.484528,77.730927",11525,358,237
1539558525,2018-10-14T23:08:45Z,IGO2624,"13.474219,77.714729",11125,356,237
1539558537,2018-10-14T23:08:57Z,IGO2624,"13.462921,77.696877",10650,354,237
1539558549,2018-10-14T23:09:09Z,IGO2624,"13.45253,77.680588",10325,351,237
1539558561,2018-10-14T23:09:21Z,IGO2624,"13.442285,77.66452",10175,335,236
1539558575,2018-10-14T23:09:35Z,IGO2624,"13.431931,77.648338",10125,315,236
1539558587,2018-10-14T23:09:47Z,IGO2624,"13.422913,77.634178",9800,304,237
1539558598,2018-10-14T23:09:58Z,IGO2624,"13.413162,77.618736",9325,301,237
1539558610,2018-10-14T23:10:10Z,IGO2624,"13.404298,77.604485",8775,302,237
1539558623,2018-10-14T23:10:23Z,IGO2624,"13.394895,77.589447",8275,303,237
1539558634,2018-10-14T23:10:34Z,IGO2624,"13.386189,77.575523",8000,296,237
1539558649,2018-10-14T23:10:49Z,IGO2624,"13.376693,77.560776",7825,285,234
1539558655,2018-10-14T23:10:55Z,IGO2624,"13.368127,77.551186",7700,282,223
1539558663,2018-10-14T23:11:03Z,IGO2624,"13.363266,77.546761",7600,279,221
1539558669,2018-10-14T23:11:09Z,IGO2624,"13.356537,77.541077",7500,274,219
1539558676,2018-10-14T23:11:16Z,IGO2624,"13.350861,77.536438",7400,269,218
1539558683,2018-10-14T23:11:23Z,IGO2624,"13.342529,77.529663",7175,265,218
1539558695,2018-10-14T23:11:35Z,IGO2624,"13.330513,77.519867",6950,259,218
1539558707,2018-10-14T23:11:47Z,IGO2624,"13.319572,77.510857",6825,249,219
1539558720,2018-10-14T23:12:00Z,IGO2624,"13.308959,77.502037",6775,232,219
1539558732,2018-10-14T23:12:12Z,IGO2624,"13.299136,77.493851",6625,225,219
1539558743,2018-10-14T23:12:23Z,IGO2624,"13.289246,77.485909",6450,219,214
1539558750,2018-10-14T23:12:30Z,IGO2624,"13.283588,77.483009",6325,217,203
1539558758,2018-10-14T23:12:38Z,IGO2624,"13.278141,77.481606",6200,215,192
1539558767,2018-10-14T23:12:47Z,IGO2624,"13.268644,77.480598",6075,213,183
1539558773,2018-10-14T23:12:53Z,IGO2624,"13.262741,77.48037",5975,211,181
1539558781,2018-10-14T23:13:01Z,IGO2624,"13.253998,77.480179",5875,208,181
1539558819,2018-10-14T23:13:39Z,IGO2624,"13.218601,77.488884",5825,200,133
