Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1539809187,2018-10-17T20:46:27Z,IGO2624,"28.569201,77.077065",1925,163,284
1539809196,2018-10-17T20:46:36Z,IGO2624,"28.571274,77.068138",2150,176,284
1539809207,2018-10-17T20:46:47Z,IGO2624,"28.573288,77.058952",2425,186,284
1539809217,2018-10-17T20:46:57Z,IGO2624,"28.575577,77.048546",2750,200,283
1539809227,2018-10-17T20:47:07Z,IGO2624,"28.57782,77.03846",3100,212,284
1539809236,2018-10-17T20:47:16Z,IGO2624,"28.580561,77.02655",3525,225,284
1539809247,2018-10-17T20:47:27Z,IGO2624,"28.583405,77.014374",3925,238,284
1539809257,2018-10-17T20:47:37Z,IGO2624,"28.586197,77.002541",4300,252,284
1539809266,2018-10-17T20:47:46Z,IGO2624,"28.589451,76.988205",4750,264,283
1539809277,2018-10-17T20:47:57Z,IGO2624,"28.5905,76.974808",5300,270,270
1539809297,2018-10-17T20:48:17Z,IGO2624,"28.582352,76.947235",6600,270,236
1539809313,2018-10-17T20:48:33Z,IGO2624,"28.568363,76.933968",7575,272,210
1539809323,2018-10-17T20:48:43Z,IGO2624,"28.556446,76.929825",8200,276,191
1539809333,2018-10-17T20:48:53Z,IGO2624,"28.542946,76.928101",8775,282,185
1539809342,2018-10-17T20:49:02Z,IGO2624,"28.529526,76.926537",9350,286,186
1539809362,2018-10-17T20:49:22Z,IGO2624,"28.502817,76.923203",10500,292,186
1539809377,2018-10-17T20:49:37Z,IGO2624,"28.482521,76.920456",11150,306,186
1539809388,2018-10-17T20:49:48Z,IGO2624,"28.466812,76.918297",11675,312,187
1539809402,2018-10-17T20:50:02Z,IGO2624,"28.445513,76.91539",12450,319,186
1539809439,2018-10-17T20:50:39Z,IGO2624,"28.391556,76.908257",14550,326,185
1539809473,2018-10-17T20:51:13Z,IGO2624,"28.338722,76.902519",16400,336,185
1539809508,2018-10-17T20:51:48Z,IGO2624,"28.281649,76.896378",18175,345,185
1539809568,2018-10-17T20:52:48Z,IGO2624,"28.185658,76.885826",20975,358,184
1539809634,2018-10-17T20:53:54Z,IGO2624,"28.075003,76.880814",23625,371,183
1539809699,2018-10-17T20:54:59Z,IGO2624,"27.959368,76.873924",26050,383,182
1539809760,2018-10-17T20:56:00Z,IGO2624,"27.851028,76.868126",27850,399,182
1539809826,2018-10-17T20:57:06Z,IGO2624,"27.728142,76.861778",30100,398,182
1539809891,2018-10-17T20:58:11Z,IGO2624,"27.608047,76.855324",31800,400,182
1539809955,2018-10-17T20:59:15Z,IGO2624,"27.486629,76.848732",32800,416,182
1539810016,2018-10-17T21:00:16Z,IGO2624,"27.369783,76.842712",34175,415,182
1539810054,2018-10-17T21:00:54Z,IGO2624,"27.297533,76.838905",34950,414,182
1539810143,2018-10-17T21:02:23Z,IGO2624,"27.126617,76.829826",36625,413,182
1539810205,2018-10-17T21:03:25Z,IGO2624,"27.00621,76.823692",37975,402,182
1539810268,2018-10-17T21:04:28Z,IGO2624,"26.895229,76.817619",38725,401,182
1539810329,2018-10-17T21:05:29Z,IGO2624,"26.776056,76.81144",39000,402,182
1539810393,2018-10-17T21:06:33Z,IGO2624,"26.658464,76.805313",39000,405,182
1539810453,2018-10-17T21:07:33Z,IGO2624,"26.545809,76.799454",39000,406,182
