Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1540068618,2018-10-20T20:50:18Z,IGO2624,"28.546112,77.069092",1450,174,280
1540068628,2018-10-20T20:50:28Z,IGO2624,"28.547379,77.060272",1775,178,279
1540068639,2018-10-20T20:50:39Z,IGO2624,"28.548431,77.050186",2000,190,273
1540068659,2018-10-20T20:50:59Z,IGO2624,"28.539825,77.030533",2325,234,223
1540068674,2018-10-20T20:51:14Z,IGO2624,"28.524765,77.02224",2825,260,198
1540068680,2018-10-20T20:51:20Z,IGO2624,"28.518133,77.020195",3050,267,194
1540068688,2018-10-20T20:51:28Z,IGO2624,"28.505539,77.01754",3575,272,188
1540068694,2018-10-20T20:51:34Z,IGO2624,"28.498489,77.016479",3925,272,187
1540068710,2018-10-20T20:51:50Z,IGO2624,"28.480007,77.013893",4675,281,187
1540068720,2018-10-20T20:52:00Z,IGO2624,"28.466181,77.011734",5000,292,188
1540068734,2018-10-20T20:52:14Z,IGO2624,"28.445023,77.00766",5300,317,190
1540068749,2018-10-20T20:52:29Z,IGO2624,"28.423075,77.002632",5550,337,191
1540068764,2018-10-20T20:52:44Z,IGO2624,"28.399017,76.996574",5925,341,192
1540068779,2018-10-20T20:52:59Z,IGO2624,"28.376358,76.990547",7000,336,193
1540068795,2018-10-20T20:53:15Z,IGO2624,"28.355072,76.984848",8225,323,193
1540068804,2018-10-20T20:53:24Z,IGO2624,"28.340378,76.980934",8725,326,193
1540068819,2018-10-20T20:53:39Z,IGO2624,"28.317307,76.974808",9500,333,193
1540068835,2018-10-20T20:53:55Z,IGO2624,"28.293503,76.970482",10300,339,187
1540068850,2018-10-20T20:54:10Z,IGO2624,"28.270248,76.967201",11150,342,187
1540068864,2018-10-20T20:54:24Z,IGO2624,"28.245346,76.963615",12050,342,187
1540068900,2018-10-20T20:55:00Z,IGO2624,"28.190498,76.955566",13850,351,187
1540068936,2018-10-20T20:55:36Z,IGO2624,"28.131638,76.946503",15600,357,189
1540068970,2018-10-20T20:56:10Z,IGO2624,"28.073933,76.934402",16975,372,190
