Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1540499351,2018-10-25T20:29:11Z,IGO2624,"28.557564,77.125313",1725,154,105
1540499358,2018-10-25T20:29:18Z,IGO2624,"28.556305,77.130569",1850,163,105
1540499365,2018-10-25T20:29:25Z,IGO2624,"28.55452,77.138229",2025,174,104
1540499371,2018-10-25T20:29:31Z,IGO2624,"28.553467,77.142876",2150,181,104
1540499377,2018-10-25T20:29:37Z,IGO2624,"28.552256,77.148041",2275,191,104
1540499383,2018-10-25T20:29:43Z,IGO2624,"28.550394,77.156174",2500,202,104
1540499389,2018-10-25T20:29:49Z,IGO2624,"28.548998,77.162315",2650,209,104
1540499395,2018-10-25T20:29:55Z,IGO2624,"28.547653,77.168289",2850,217,104
1540499401,2018-10-25T20:30:01Z,IGO2624,"28.546051,77.175415",3050,227,104
1540499407,2018-10-25T20:30:07Z,IGO2624,"28.544296,77.183319",3275,237,104
1540499414,2018-10-25T20:30:14Z,IGO2624,"28.54262,77.191017",3475,246,104
1540499425,2018-10-25T20:30:25Z,IGO2624,"28.539082,77.206795",3875,264,104
1540499431,2018-10-25T20:30:31Z,IGO2624,"28.537216,77.215027",4100,271,104
1540499438,2018-10-25T20:30:38Z,IGO2624,"28.535248,77.223694",4400,275,104
1540499444,2018-10-25T20:30:44Z,IGO2624,"28.533588,77.230766",4725,278,104
1540499461,2018-10-25T20:31:01Z,IGO2624,"28.526047,77.257797",5750,286,114
1540499467,2018-10-25T20:31:07Z,IGO2624,"28.522614,77.264206",6100,287,122
1540499473,2018-10-25T20:31:13Z,IGO2624,"28.51697,77.271851",6450,288,131
1540499481,2018-10-25T20:31:21Z,IGO2624,"28.510574,77.278305",6775,291,140
1540499489,2018-10-25T20:31:29Z,IGO2624,"28.49942,77.28521",7250,293,156
1540499499,2018-10-25T20:31:39Z,IGO2624,"28.488876,77.287971",7775,289,171
1540499519,2018-10-25T20:31:59Z,IGO2624,"28.461823,77.281952",9050,283,199
1540499537,2018-10-25T20:32:17Z,IGO2624,"28.438248,77.272392",10025,290,199
1540499549,2018-10-25T20:32:29Z,IGO2624,"28.423166,77.266357",10500,301,199
1540499561,2018-10-25T20:32:41Z,IGO2624,"28.405701,77.259399",10825,317,199
1540499575,2018-10-25T20:32:55Z,IGO2624,"28.388901,77.252747",11350,327,199
1540499586,2018-10-25T20:33:06Z,IGO2624,"28.371231,77.24588",11950,332,199
1540499597,2018-10-25T20:33:17Z,IGO2624,"28.354269,77.239273",12600,334,199
1540499631,2018-10-25T20:33:51Z,IGO2624,"28.304352,77.219788",14200,347,199
1540499663,2018-10-25T20:34:23Z,IGO2624,"28.254318,77.200134",15950,352,199
1540499694,2018-10-25T20:34:54Z,IGO2624,"28.20805,77.178635",17325,359,203
1540499729,2018-10-25T20:35:29Z,IGO2624,"28.15567,77.153229",18850,366,203
1540499790,2018-10-25T20:36:30Z,IGO2624,"28.056429,77.105286",21600,374,203
1540499851,2018-10-25T20:37:31Z,IGO2624,"27.959227,77.058479",23850,386,203
1540499914,2018-10-25T20:38:34Z,IGO2624,"27.852997,77.00737",26100,394,203
1540499977,2018-10-25T20:39:37Z,IGO2624,"27.745834,76.955963",27900,405,203
1540500039,2018-10-25T20:40:39Z,IGO2624,"27.639816,76.905281",29525,412,203
1540500102,2018-10-25T20:41:42Z,IGO2624,"27.527939,76.851746",31150,414,203
1540500165,2018-10-25T20:42:45Z,IGO2624,"27.415878,76.799561",32575,419,198
1540500171,2018-10-25T20:42:51Z,IGO2624,"27.403793,76.796196",32800,421,193
1540500179,2018-10-25T20:42:59Z,IGO2624,"27.385517,76.793274",33075,425,185
1540500185,2018-10-25T20:43:05Z,IGO2624,"27.373274,76.792641",33225,428,182
1540500195,2018-10-25T20:43:15Z,IGO2624,"27.356552,76.792259",33325,430,181
1540500257,2018-10-25T20:44:17Z,IGO2624,"27.233896,76.788673",34200,436,181
