Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1540672925,2018-10-27T20:42:05Z,IGO2624,"28.569155,77.076256",1750,159,284
1540672935,2018-10-27T20:42:15Z,IGO2624,"28.570908,77.068726",1925,167,284
1540672946,2018-10-27T20:42:26Z,IGO2624,"28.573105,77.059586",2150,177,284
1540672952,2018-10-27T20:42:32Z,IGO2624,"28.57489,77.052032",2350,192,285
1540672959,2018-10-27T20:42:39Z,IGO2624,"28.576447,77.045532",2500,201,285
1540672965,2018-10-27T20:42:45Z,IGO2624,"28.57786,77.039581",2675,210,285
1540672971,2018-10-27T20:42:51Z,IGO2624,"28.579239,77.033653",2875,217,284
1540672977,2018-10-27T20:42:57Z,IGO2624,"28.580933,77.026329",3125,225,284
1540672987,2018-10-27T20:43:07Z,IGO2624,"28.584045,77.01268",3550,239,284
1540672994,2018-10-27T20:43:14Z,IGO2624,"28.585922,77.004387",3800,248,284
1540673001,2018-10-27T20:43:21Z,IGO2624,"28.587799,76.995781",4075,256,284
1540673013,2018-10-27T20:43:33Z,IGO2624,"28.591221,76.979691",4675,262,281
1540673038,2018-10-27T20:43:58Z,IGO2624,"28.585098,76.945915",6000,280,239
1540673046,2018-10-27T20:44:06Z,IGO2624,"28.578047,76.937096",6500,286,221
1540673055,2018-10-27T20:44:15Z,IGO2624,"28.566595,76.929665",7100,287,204
1540673061,2018-10-27T20:44:21Z,IGO2624,"28.559193,76.927399",7450,287,193
1540673069,2018-10-27T20:44:29Z,IGO2624,"28.551744,76.926376",7825,287,186
1540673076,2018-10-27T20:44:36Z,IGO2624,"28.538897,76.925087",8350,291,184
1540673083,2018-10-27T20:44:43Z,IGO2624,"28.530516,76.924278",8675,292,184
1540673100,2018-10-27T20:45:00Z,IGO2624,"28.506317,76.921936",9575,301,185
1540673113,2018-10-27T20:45:13Z,IGO2624,"28.489563,76.920197",10250,303,185
1540673126,2018-10-27T20:45:26Z,IGO2624,"28.472397,76.91835",10625,315,185
1540673136,2018-10-27T20:45:36Z,IGO2624,"28.454407,76.916336",11025,328,185
1540673148,2018-10-27T20:45:48Z,IGO2624,"28.435642,76.914261",11575,334,185
1540673161,2018-10-27T20:46:01Z,IGO2624,"28.417328,76.91217",12250,336,185
1540673195,2018-10-27T20:46:35Z,IGO2624,"28.363813,76.906075",13875,346,185
1540673223,2018-10-27T20:47:03Z,IGO2624,"28.314697,76.900444",15350,354,185
1540673260,2018-10-27T20:47:40Z,IGO2624,"28.256975,76.893852",17050,361,185
1540673294,2018-10-27T20:48:14Z,IGO2624,"28.198832,76.887169",18525,369,185
1540673357,2018-10-27T20:49:17Z,IGO2624,"28.088516,76.874664",20775,393,185
1540673420,2018-10-27T20:50:20Z,IGO2624,"27.97068,76.86132",23175,402,185
1540673482,2018-10-27T20:51:22Z,IGO2624,"27.85199,76.847809",25100,420,185
1540673546,2018-10-27T20:52:26Z,IGO2624,"27.726513,76.833626",26700,440,185
1540673609,2018-10-27T20:53:29Z,IGO2624,"27.600449,76.827339",28325,450,181
1540673671,2018-10-27T20:54:31Z,IGO2624,"27.467775,76.822533",29775,459,182
1540673732,2018-10-27T20:55:32Z,IGO2624,"27.332123,76.816673",31175,465,182
1540673795,2018-10-27T20:56:35Z,IGO2624,"27.198761,76.811119",32025,477,182
1540673858,2018-10-27T20:57:38Z,IGO2624,"27.05809,76.804955",32925,487,182
1540673919,2018-10-27T20:58:39Z,IGO2624,"26.922508,76.799561",34075,485,182
1540673981,2018-10-27T20:59:41Z,IGO2624,"26.78064,76.793396",35500,473,182
1540674049,2018-10-27T21:00:49Z,IGO2624,"26.633972,76.787125",36600,469,182
1540674110,2018-10-27T21:01:50Z,IGO2624,"26.497812,76.781548",37000,462,182
1540674176,2018-10-27T21:02:56Z,IGO2624,"26.36261,76.775986",37000,464,182
1540674237,2018-10-27T21:03:57Z,IGO2624,"26.228943,76.770233",37000,463,182
1540674244,2018-10-27T21:04:04Z,IGO2624,"26.217773,76.769768",37000,464,182
1540674335,2018-10-27T21:05:35Z,IGO2624,"26.019396,76.761635",37000,463,182
1540674396,2018-10-27T21:06:36Z,IGO2624,"25.888916,76.756241",37025,463,182
1540674461,2018-10-27T21:07:41Z,IGO2624,"25.747375,76.750336",37000,461,182
1540674525,2018-10-27T21:08:45Z,IGO2624,"25.610899,76.744682",37000,459,182
1540674585,2018-10-27T21:09:45Z,IGO2624,"25.483017,76.739449",37000,458,182
1540674649,2018-10-27T21:10:49Z,IGO2624,"25.348892,76.734009",37000,458,182
1540674710,2018-10-27T21:11:50Z,IGO2624,"25.218796,76.728569",37000,457,182
1540674771,2018-10-27T21:12:51Z,IGO2624,"25.089794,76.731262",37025,467,169
1540674777,2018-10-27T21:12:57Z,IGO2624,"25.077896,76.733704",37025,467,169
1540674838,2018-10-27T21:13:58Z,IGO2624,"24.949205,76.758987",37025,463,170
1540674902,2018-10-27T21:15:02Z,IGO2624,"24.813274,76.784798",37025,457,170
1540674962,2018-10-27T21:16:02Z,IGO2624,"24.688839,76.808578",37000,451,170
1540675026,2018-10-27T21:17:06Z,IGO2624,"24.556778,76.833748",36950,447,170
