Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1540759374,2018-10-28T20:42:54Z,IGO2624,"28.547089,77.065216",1575,172,282
1540759386,2018-10-28T20:43:06Z,IGO2624,"28.549185,77.054443",1900,176,282
1540759392,2018-10-28T20:43:12Z,IGO2624,"28.549713,77.049019",1975,185,273
1540759412,2018-10-28T20:43:32Z,IGO2624,"28.542061,77.029404",2250,220,222
1540759419,2018-10-28T20:43:39Z,IGO2624,"28.536072,77.02504",2275,237,206
1540759427,2018-10-28T20:43:47Z,IGO2624,"28.530029,77.0224",2400,244,198
1540759434,2018-10-28T20:43:54Z,IGO2624,"28.519344,77.01992",2625,258,188
1540759442,2018-10-28T20:44:02Z,IGO2624,"28.511848,77.018791",2800,266,186
1540759449,2018-10-28T20:44:09Z,IGO2624,"28.501007,77.017227",3125,273,187
1540759455,2018-10-28T20:44:15Z,IGO2624,"28.493088,77.0159",3400,277,188
1540759462,2018-10-28T20:44:22Z,IGO2624,"28.485397,77.014526",3725,278,189
1540759471,2018-10-28T20:44:31Z,IGO2624,"28.47377,77.012115",4175,282,190
1540759477,2018-10-28T20:44:37Z,IGO2624,"28.466042,77.010391",4450,283,191
1540759484,2018-10-28T20:44:44Z,IGO2624,"28.458315,77.008667",4675,282,191
1540759494,2018-10-28T20:44:54Z,IGO2624,"28.442999,77.005058",5000,277,191
1540759506,2018-10-28T20:45:06Z,IGO2624,"28.427544,77.001343",5400,278,192
1540759518,2018-10-28T20:45:18Z,IGO2624,"28.411926,76.99752",5825,288,192
1540759531,2018-10-28T20:45:31Z,IGO2624,"28.395515,76.993477",6100,303,192
1540759543,2018-10-28T20:45:43Z,IGO2624,"28.378477,76.989281",6325,321,192
1540759557,2018-10-28T20:45:57Z,IGO2624,"28.360554,76.984917",6675,332,192
1540759568,2018-10-28T20:46:08Z,IGO2624,"28.341797,76.980354",7225,335,192
1540759579,2018-10-28T20:46:19Z,IGO2624,"28.323624,76.975868",7825,336,192
1540759591,2018-10-28T20:46:31Z,IGO2624,"28.304947,76.972008",8400,339,188
1540759604,2018-10-28T20:46:44Z,IGO2624,"28.286224,76.969162",8875,342,187
1540759615,2018-10-28T20:46:55Z,IGO2624,"28.267181,76.966461",9400,344,187
1540759627,2018-10-28T20:47:07Z,IGO2624,"28.247131,76.963562",9850,350,187
1540759640,2018-10-28T20:47:20Z,IGO2624,"28.227415,76.960739",10275,355,187
1540759652,2018-10-28T20:47:32Z,IGO2624,"28.207809,76.957909",10825,356,187
1540759667,2018-10-28T20:47:47Z,IGO2624,"28.183424,76.954384",11450,358,187
1540759679,2018-10-28T20:47:59Z,IGO2624,"28.1628,76.951416",11925,362,187
1540759690,2018-10-28T20:48:10Z,IGO2624,"28.142487,76.948402",12425,365,187
1540759725,2018-10-28T20:48:45Z,IGO2624,"28.085756,76.937523",13600,375,187
