Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1541106320,2018-11-01T21:05:20Z,IGO2624,"28.533869,77.122192",2025,178,121
1541106327,2018-11-01T21:05:27Z,IGO2624,"28.529572,77.126877",2125,185,140
1541106334,2018-11-01T21:05:34Z,IGO2624,"28.525131,77.129196",2175,193,160
1541106343,2018-11-01T21:05:43Z,IGO2624,"28.51683,77.130272",2300,205,178
1541106363,2018-11-01T21:06:03Z,IGO2624,"28.495043,77.127525",2650,240,190
1541106371,2018-11-01T21:06:11Z,IGO2624,"28.485128,77.125313",2875,251,191
1541106378,2018-11-01T21:06:18Z,IGO2624,"28.477215,77.123375",3100,258,192
1541106385,2018-11-01T21:06:25Z,IGO2624,"28.470045,77.121651",3350,262,192
1541106398,2018-11-01T21:06:38Z,IGO2624,"28.455826,77.118263",3900,269,191
1541106409,2018-11-01T21:06:49Z,IGO2624,"28.44067,77.114922",4425,275,190
1541106415,2018-11-01T21:06:55Z,IGO2624,"28.434036,77.11351",4700,280,190
1541106421,2018-11-01T21:07:01Z,IGO2624,"28.424789,77.111664",5000,283,189
1541106433,2018-11-01T21:07:13Z,IGO2624,"28.409271,77.108704",5650,284,189
1541106446,2018-11-01T21:07:26Z,IGO2624,"28.39357,77.105904",6250,287,188
1541106456,2018-11-01T21:07:36Z,IGO2624,"28.377777,77.103157",6850,290,188
1541106469,2018-11-01T21:07:49Z,IGO2624,"28.361252,77.10038",7500,292,188
1541106480,2018-11-01T21:08:00Z,IGO2624,"28.345705,77.097687",8075,295,188
1541106492,2018-11-01T21:08:12Z,IGO2624,"28.328806,77.09478",8625,300,188
1541106505,2018-11-01T21:08:25Z,IGO2624,"28.312326,77.091492",9200,302,191
1541106519,2018-11-01T21:08:39Z,IGO2624,"28.295883,77.086365",9800,302,196
1541106530,2018-11-01T21:08:50Z,IGO2624,"28.279787,77.080994",10325,305,196
1541106541,2018-11-01T21:09:01Z,IGO2624,"28.262833,77.075272",10625,319,196
1541106553,2018-11-01T21:09:13Z,IGO2624,"28.245346,77.069412",10800,334,196
1541106567,2018-11-01T21:09:27Z,IGO2624,"28.22681,77.063225",11000,348,196
1541106578,2018-11-01T21:09:38Z,IGO2624,"28.207676,77.056816",11350,356,196
1541106588,2018-11-01T21:09:48Z,IGO2624,"28.188683,77.050514",11875,356,196
1541106601,2018-11-01T21:10:01Z,IGO2624,"28.169495,77.044159",12550,353,196
1541106636,2018-11-01T21:10:36Z,IGO2624,"28.117785,77.027138",13875,357,196
1541106667,2018-11-01T21:11:07Z,IGO2624,"28.065628,77.010147",15475,350,196
1541106700,2018-11-01T21:11:40Z,IGO2624,"28.012939,76.992874",16525,358,196
1541106734,2018-11-01T21:12:14Z,IGO2624,"27.9596,76.975281",17525,367,196
1541106767,2018-11-01T21:12:47Z,IGO2624,"27.906967,76.957985",18800,367,196
1541106828,2018-11-01T21:13:48Z,IGO2624,"27.808456,76.925957",21300,358,196
1541106889,2018-11-01T21:14:49Z,IGO2624,"27.705414,76.89212",22700,375,196
1541106952,2018-11-01T21:15:52Z,IGO2624,"27.59761,76.856972",24400,382,196
1541107016,2018-11-01T21:16:56Z,IGO2624,"27.488617,76.824181",25800,398,188
1541107023,2018-11-01T21:17:03Z,IGO2624,"27.477356,76.82309",25825,406,184
1541107029,2018-11-01T21:17:09Z,IGO2624,"27.46637,76.822418",25850,412,182
1541107038,2018-11-01T21:17:18Z,IGO2624,"27.448317,76.821579",25925,418,182
1541107097,2018-11-01T21:18:17Z,IGO2624,"27.328213,76.81662",26450,445,182
1541107165,2018-11-01T21:19:25Z,IGO2624,"27.187592,76.8106",27500,460,182
1541107226,2018-11-01T21:20:26Z,IGO2624,"27.053284,76.805054",28575,467,182
1541107291,2018-11-01T21:21:31Z,IGO2624,"26.915771,76.799515",30425,453,181
1541107354,2018-11-01T21:22:34Z,IGO2624,"26.784342,76.793907",31600,454,182
1541107416,2018-11-01T21:23:36Z,IGO2624,"26.656929,76.788361",32600,456,182
1541107476,2018-11-01T21:24:36Z,IGO2624,"26.524796,76.782822",33000,453,182
1541107542,2018-11-01T21:25:42Z,IGO2624,"26.385902,76.776901",33000,454,182
1541107871,2018-11-01T21:31:11Z,IGO2624,"25.689743,76.747841",33025,461,182
1541107931,2018-11-01T21:32:11Z,IGO2624,"25.559875,76.7425",33025,461,182
1541108001,2018-11-01T21:33:21Z,IGO2624,"25.410782,76.742401",33025,472,171
1541108007,2018-11-01T21:33:27Z,IGO2624,"25.397919,76.744843",33025,473,169
1541108070,2018-11-01T21:34:30Z,IGO2624,"25.260408,76.771164",33000,470,170
1541108133,2018-11-01T21:35:33Z,IGO2624,"25.130081,76.793617",33000,468,171
1541108194,2018-11-01T21:36:34Z,IGO2624,"25.000076,76.815643",33025,464,171
1541108255,2018-11-01T21:37:35Z,IGO2624,"24.870859,76.837807",33000,460,171
1541108316,2018-11-01T21:38:36Z,IGO2624,"24.736725,76.860657",32975,457,171
1541108380,2018-11-01T21:39:40Z,IGO2624,"24.609695,76.882324",32975,455,171
1541108439,2018-11-01T21:40:39Z,IGO2624,"24.482613,76.903885",33000,454,171
1541108501,2018-11-01T21:41:41Z,IGO2624,"24.356735,76.925255",32975,453,171
1541108563,2018-11-01T21:42:43Z,IGO2624,"24.229788,76.946793",32975,455,171
1541108625,2018-11-01T21:43:45Z,IGO2624,"24.09668,76.9692",32975,461,171
1541108685,2018-11-01T21:44:45Z,IGO2624,"23.967327,76.991051",33050,463,171
1541108748,2018-11-01T21:45:48Z,IGO2624,"23.832838,77.013641",33025,465,171
1541108812,2018-11-01T21:46:52Z,IGO2624,"23.696346,77.036652",33025,464,171
1541108873,2018-11-01T21:47:53Z,IGO2624,"23.567768,77.058212",33050,462,171
1541108937,2018-11-01T21:48:57Z,IGO2624,"23.434071,77.080589",32975,461,171
1541108999,2018-11-01T21:49:59Z,IGO2624,"23.303192,77.102402",33000,460,171
1541109068,2018-11-01T21:51:08Z,IGO2624,"23.156805,77.12677",33000,458,171
1541109127,2018-11-01T21:52:07Z,IGO2624,"23.030882,77.147774",33000,458,171
1541109193,2018-11-01T21:53:13Z,IGO2624,"22.894762,77.170464",32975,458,171
1541109214,2018-11-01T21:53:34Z,IGO2624,"22.849468,77.177887",32975,458,171
1541109303,2018-11-01T21:55:03Z,IGO2624,"22.661816,77.208961",33000,459,171
1541109366,2018-11-01T21:56:06Z,IGO2624,"22.532181,77.230392",33000,461,171
1541109427,2018-11-01T21:57:07Z,IGO2624,"22.40451,77.251411",33000,463,171
1541109486,2018-11-01T21:58:06Z,IGO2624,"22.273617,77.272896",33000,464,171
1541109548,2018-11-01T21:59:08Z,IGO2624,"22.143131,77.294312",33025,465,171
1541109608,2018-11-01T22:00:08Z,IGO2624,"22.013577,77.315575",33025,464,171
1541109669,2018-11-01T22:01:09Z,IGO2624,"21.884254,77.336678",33000,464,171
1541109732,2018-11-01T22:02:12Z,IGO2624,"21.753489,77.357941",32975,465,171
1541109793,2018-11-01T22:03:13Z,IGO2624,"21.622629,77.379303",33000,466,171
1541109852,2018-11-01T22:04:12Z,IGO2624,"21.493122,77.408699",33025,469,167
1541109914,2018-11-01T22:05:14Z,IGO2624,"21.363846,77.438911",33025,468,167
1541109974,2018-11-01T22:06:14Z,IGO2624,"21.235641,77.468971",33000,468,167
1541110036,2018-11-01T22:07:16Z,IGO2624,"21.10524,77.499359",33000,467,167
1541110096,2018-11-01T22:08:16Z,IGO2624,"20.976158,77.529518",33025,465,167
1541110158,2018-11-01T22:09:18Z,IGO2624,"20.84721,77.559532",33000,463,167
1541110221,2018-11-01T22:10:21Z,IGO2624,"20.714676,77.590843",32975,464,167
1541110286,2018-11-01T22:11:26Z,IGO2624,"20.579819,77.622627",32975,464,167
1541110346,2018-11-01T22:12:26Z,IGO2624,"20.450352,77.653069",33000,466,167
1541110403,2018-11-01T22:13:23Z,IGO2624,"20.330521,77.68119",33000,467,167
1541110489,2018-11-01T22:14:49Z,IGO2624,"20.147808,77.723976",33000,469,167
1541110550,2018-11-01T22:15:50Z,IGO2624,"20.018393,77.754341",33025,468,167
1541110616,2018-11-01T22:16:56Z,IGO2624,"19.883194,77.785851",33025,464,167
1541110678,2018-11-01T22:17:58Z,IGO2624,"19.749275,77.817062",33025,461,167
1541110738,2018-11-01T22:18:58Z,IGO2624,"19.623304,77.846321",32975,458,167
1541110804,2018-11-01T22:20:04Z,IGO2624,"19.491577,77.87693",32975,458,167
1541110863,2018-11-01T22:21:03Z,IGO2624,"19.365967,77.906013",32975,459,167
1541110927,2018-11-01T22:22:07Z,IGO2624,"19.232964,77.936859",33000,460,167
1541110986,2018-11-01T22:23:06Z,IGO2624,"19.107422,77.96624",33025,460,167
1541111052,2018-11-01T22:24:12Z,IGO2624,"18.974413,77.988899",33025,456,175
1541111110,2018-11-01T22:25:10Z,IGO2624,"18.845369,78.001579",33000,456,174
