Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1541191860,2018-11-02T20:51:00Z,IGO2624,"28.53804,77.112877",1850,166,97
1541191896,2018-11-02T20:51:36Z,IGO2624,"28.519363,77.13121",2300,177,163
1541191917,2018-11-02T20:51:57Z,IGO2624,"28.500732,77.127823",2550,212,190
1541191925,2018-11-02T20:52:05Z,IGO2624,"28.493973,77.126343",2650,222,191
1541191935,2018-11-02T20:52:15Z,IGO2624,"28.481003,77.12339",2900,239,191
1541191942,2018-11-02T20:52:22Z,IGO2624,"28.474049,77.121819",3075,247,191
1541191948,2018-11-02T20:52:28Z,IGO2624,"28.467205,77.120361",3275,253,190
1541191954,2018-11-02T20:52:34Z,IGO2624,"28.459946,77.118851",3550,257,190
1541191961,2018-11-02T20:52:41Z,IGO2624,"28.452913,77.117455",3850,258,190
1541191972,2018-11-02T20:52:52Z,IGO2624,"28.43811,77.114601",4475,260,189
1541191984,2018-11-02T20:53:04Z,IGO2624,"28.423773,77.111961",5075,264,189
1541191996,2018-11-02T20:53:16Z,IGO2624,"28.408905,77.109238",5650,269,189
1541192007,2018-11-02T20:53:27Z,IGO2624,"28.394258,77.106628",6225,272,189
1541192019,2018-11-02T20:53:39Z,IGO2624,"28.378647,77.10379",6800,277,189
1541192032,2018-11-02T20:53:52Z,IGO2624,"28.363907,77.101097",7350,280,189
1541192044,2018-11-02T20:54:04Z,IGO2624,"28.347382,77.098145",7975,283,189
1541192058,2018-11-02T20:54:18Z,IGO2624,"28.331972,77.095375",8475,288,189
1541192070,2018-11-02T20:54:30Z,IGO2624,"28.315399,77.092194",8750,305,190
1541192080,2018-11-02T20:54:40Z,IGO2624,"28.298264,77.087212",8975,319,196
1541192094,2018-11-02T20:54:54Z,IGO2624,"28.280823,77.081345",9250,330,196
1541192105,2018-11-02T20:55:05Z,IGO2624,"28.262701,77.07518",9750,337,196
1541192118,2018-11-02T20:55:18Z,IGO2624,"28.244385,77.068985",10275,340,196
1541192129,2018-11-02T20:55:29Z,IGO2624,"28.226112,77.062843",10725,345,196
1541192141,2018-11-02T20:55:41Z,IGO2624,"28.206932,77.056541",11225,350,196
1541192153,2018-11-02T20:55:53Z,IGO2624,"28.188217,77.050354",11725,353,196
1541192164,2018-11-02T20:56:04Z,IGO2624,"28.168991,77.044006",12225,356,196
1541192200,2018-11-02T20:56:40Z,IGO2624,"28.117598,77.027138",13600,361,196
1541192231,2018-11-02T20:57:11Z,IGO2624,"28.063457,77.009422",15300,355,196
1541192265,2018-11-02T20:57:45Z,IGO2624,"28.010925,76.992134",16575,358,196
1541192297,2018-11-02T20:58:17Z,IGO2624,"27.957138,76.974442",17600,366,196
1541192330,2018-11-02T20:58:50Z,IGO2624,"27.902481,76.956482",18550,373,196
1541192395,2018-11-02T20:59:55Z,IGO2624,"27.795822,76.921608",20650,379,196
1541192425,2018-11-02T21:00:25Z,IGO2624,"27.742805,76.90815",21275,397,186
1541192431,2018-11-02T21:00:31Z,IGO2624,"27.732147,76.90715",21400,402,184
1541192437,2018-11-02T21:00:37Z,IGO2624,"27.721024,76.906265",21500,404,184
1541192500,2018-11-02T21:01:40Z,IGO2624,"27.60017,76.897903",22950,416,183
1541192561,2018-11-02T21:02:41Z,IGO2624,"27.483032,76.889893",24250,425,183
1541192623,2018-11-02T21:03:43Z,IGO2624,"27.357513,76.881233",26050,421,183
1541192686,2018-11-02T21:04:46Z,IGO2624,"27.235062,76.872528",27250,430,183
1541192751,2018-11-02T21:05:51Z,IGO2624,"27.106842,76.863564",28425,438,183
1541192811,2018-11-02T21:06:51Z,IGO2624,"26.980886,76.854752",29300,450,183
1541192874,2018-11-02T21:07:54Z,IGO2624,"26.847336,76.845528",30550,451,183
1541192938,2018-11-02T21:08:58Z,IGO2624,"26.712372,76.836266",31775,450,183
1541193010,2018-11-02T21:10:10Z,IGO2624,"26.565639,76.826126",33075,447,183
1541193023,2018-11-02T21:10:23Z,IGO2624,"26.537336,76.824173",33300,447,183
1541193112,2018-11-02T21:11:52Z,IGO2624,"26.35243,76.811279",34700,445,183
1541193177,2018-11-02T21:12:57Z,IGO2624,"26.221991,76.802406",35000,442,183
1541193234,2018-11-02T21:13:54Z,IGO2624,"26.102417,76.794228",35000,443,183
1541193281,2018-11-02T21:14:41Z,IGO2624,"26.008177,76.787781",35000,444,183
1541193377,2018-11-02T21:16:17Z,IGO2624,"25.810423,76.774277",35000,445,183
1541193436,2018-11-02T21:17:16Z,IGO2624,"25.687042,76.765846",35000,446,183
1541193500,2018-11-02T21:18:20Z,IGO2624,"25.556488,76.756996",35000,446,183
1541193562,2018-11-02T21:19:22Z,IGO2624,"25.426693,76.748207",35000,444,183
1541193625,2018-11-02T21:20:25Z,IGO2624,"25.295792,76.739296",34975,445,183
1541193686,2018-11-02T21:21:26Z,IGO2624,"25.170776,76.730804",35000,447,183
1541193745,2018-11-02T21:22:25Z,IGO2624,"25.049515,76.730141",35050,464,171
1541193751,2018-11-02T21:22:31Z,IGO2624,"25.036306,76.732658",35050,466,169
1541193814,2018-11-02T21:23:34Z,IGO2624,"24.901676,76.758522",35025,461,170
1541193878,2018-11-02T21:24:38Z,IGO2624,"24.767513,76.784378",34975,461,170
1541193939,2018-11-02T21:25:39Z,IGO2624,"24.640091,76.809082",34975,460,170
1541193999,2018-11-02T21:26:39Z,IGO2624,"24.511568,76.83387",35000,460,170
