Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1541277985,2018-11-03T20:46:25Z,IGO2624,"28.559006,77.118423",1725,149,108
1541277991,2018-11-03T20:46:31Z,IGO2624,"28.55777,77.123016",1950,149,106
1541278004,2018-11-03T20:46:44Z,IGO2624,"28.555344,77.133057",2225,164,104
1541278016,2018-11-03T20:46:56Z,IGO2624,"28.553009,77.143829",2500,183,103
1541278026,2018-11-03T20:47:06Z,IGO2624,"28.550491,77.155876",2800,203,103
1541278034,2018-11-03T20:47:14Z,IGO2624,"28.549231,77.16188",2975,210,103
1541278046,2018-11-03T20:47:26Z,IGO2624,"28.546112,77.176048",3350,232,104
1541278052,2018-11-03T20:47:32Z,IGO2624,"28.54422,77.184181",3500,244,104
1541278063,2018-11-03T20:47:43Z,IGO2624,"28.540665,77.19931",3925,261,104
1541278070,2018-11-03T20:47:50Z,IGO2624,"28.538849,77.207123",4150,267,104
1541278082,2018-11-03T20:48:02Z,IGO2624,"28.535019,77.22348",4775,274,104
1541278090,2018-11-03T20:48:10Z,IGO2624,"28.533005,77.232193",5125,276,104
1541278100,2018-11-03T20:48:20Z,IGO2624,"28.528885,77.25",5825,279,104
1541278112,2018-11-03T20:48:32Z,IGO2624,"28.525164,77.26609",6425,284,104
1541278125,2018-11-03T20:48:45Z,IGO2624,"28.520275,77.284996",6975,288,110
1541278131,2018-11-03T20:48:51Z,IGO2624,"28.517578,77.291351",7125,290,116
1541278139,2018-11-03T20:48:59Z,IGO2624,"28.509201,77.303604",7375,295,133
1541278146,2018-11-03T20:49:06Z,IGO2624,"28.502289,77.309525",7550,302,144
1541278152,2018-11-03T20:49:12Z,IGO2624,"28.494112,77.314079",7725,307,155
1541278161,2018-11-03T20:49:21Z,IGO2624,"28.482285,77.317818",7925,317,167
1541278169,2018-11-03T20:49:29Z,IGO2624,"28.468277,77.318924",8050,327,180
1541278177,2018-11-03T20:49:37Z,IGO2624,"28.45871,77.317551",8100,325,189
1541278184,2018-11-03T20:49:44Z,IGO2624,"28.447037,77.313171",8175,323,200
1541278190,2018-11-03T20:49:50Z,IGO2624,"28.438431,77.309258",8250,322,201
1541278196,2018-11-03T20:49:56Z,IGO2624,"28.42955,77.305191",8325,322,202
1541278203,2018-11-03T20:50:03Z,IGO2624,"28.42205,77.301689",8425,324,202
1541278215,2018-11-03T20:50:15Z,IGO2624,"28.404825,77.293716",8600,323,202
1541278226,2018-11-03T20:50:26Z,IGO2624,"28.388718,77.286285",8800,322,202
1541278238,2018-11-03T20:50:38Z,IGO2624,"28.371277,77.278305",9025,322,202
1541278251,2018-11-03T20:50:51Z,IGO2624,"28.355209,77.270912",9225,322,202
1541278262,2018-11-03T20:51:02Z,IGO2624,"28.338303,77.263077",9475,322,202
1541278274,2018-11-03T20:51:14Z,IGO2624,"28.322195,77.255371",9975,326,203
1541278287,2018-11-03T20:51:27Z,IGO2624,"28.304459,77.246384",10650,328,204
1541278299,2018-11-03T20:51:39Z,IGO2624,"28.288864,77.238358",11275,330,204
1541278311,2018-11-03T20:51:51Z,IGO2624,"28.271301,77.229187",11975,331,204
1541278323,2018-11-03T20:52:03Z,IGO2624,"28.254694,77.220581",12500,335,204
1541278356,2018-11-03T20:52:36Z,IGO2624,"28.206047,77.195595",14025,348,204
1541278376,2018-11-03T20:52:56Z,IGO2624,"28.178833,77.184555",14775,358,194
1541278384,2018-11-03T20:53:04Z,IGO2624,"28.163498,77.181755",15200,365,188
1541278391,2018-11-03T20:53:11Z,IGO2624,"28.152699,77.180138",15475,367,187
1541278398,2018-11-03T20:53:18Z,IGO2624,"28.138128,77.17804",15925,369,187
1541278433,2018-11-03T20:53:53Z,IGO2624,"28.081238,77.169662",17525,372,187
1541278464,2018-11-03T20:54:24Z,IGO2624,"28.022919,77.160835",18800,383,187
1541278527,2018-11-03T20:55:27Z,IGO2624,"27.909851,77.143822",21125,397,187
1541278591,2018-11-03T20:56:31Z,IGO2624,"27.791174,77.126083",23175,416,187
1541278653,2018-11-03T20:57:33Z,IGO2624,"27.667648,77.107803",25300,423,187
1541278716,2018-11-03T20:58:36Z,IGO2624,"27.544353,77.089478",27150,431,187
1541278780,2018-11-03T20:59:40Z,IGO2624,"27.41736,77.070412",28475,445,187
1541278841,2018-11-03T21:00:41Z,IGO2624,"27.291367,77.051834",29775,453,187
1541278902,2018-11-03T21:01:42Z,IGO2624,"27.165527,77.033386",31275,450,187
1541278967,2018-11-03T21:02:47Z,IGO2624,"27.03035,77.013435",32800,445,187
1541279026,2018-11-03T21:03:46Z,IGO2624,"26.911423,76.996025",34175,438,187
1541279092,2018-11-03T21:04:52Z,IGO2624,"26.781418,76.976952",35250,438,187
1541279155,2018-11-03T21:05:55Z,IGO2624,"26.655487,76.958557",36500,427,187
