Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1541623108,2018-11-07T20:38:28Z,IGO2624,"28.545553,77.072327",1375,171,282
1541623119,2018-11-07T20:38:39Z,IGO2624,"28.547508,77.062141",1950,165,282
1541623125,2018-11-07T20:38:45Z,IGO2624,"28.548386,77.057312",2150,166,280
1541623149,2018-11-07T20:39:09Z,IGO2624,"28.542114,77.035606",2550,205,225
1541623156,2018-11-07T20:39:16Z,IGO2624,"28.536709,77.031448",2550,223,209
1541623165,2018-11-07T20:39:25Z,IGO2624,"28.528189,77.027626",2625,242,197
1541623171,2018-11-07T20:39:31Z,IGO2624,"28.521378,77.025833",2800,252,191
1541623177,2018-11-07T20:39:37Z,IGO2624,"28.513916,77.024406",3000,262,188
1541623185,2018-11-07T20:39:45Z,IGO2624,"28.502028,77.022186",3375,270,189
1541623194,2018-11-07T20:39:54Z,IGO2624,"28.491739,77.020081",3875,273,190
1541623201,2018-11-07T20:40:01Z,IGO2624,"28.483452,77.018196",4275,274,191
1541623207,2018-11-07T20:40:07Z,IGO2624,"28.475958,77.016418",4600,277,192
1541623220,2018-11-07T20:40:20Z,IGO2624,"28.460678,77.012627",5075,289,192
1541623231,2018-11-07T20:40:31Z,IGO2624,"28.443649,77.008141",5400,308,193
1541623244,2018-11-07T20:40:44Z,IGO2624,"28.426804,77.003647",5675,324,193
1541623256,2018-11-07T20:40:56Z,IGO2624,"28.407806,76.998581",5975,340,193
1541623268,2018-11-07T20:41:08Z,IGO2624,"28.389587,76.993721",6275,355,193
1541623279,2018-11-07T20:41:19Z,IGO2624,"28.369167,76.988312",6575,369,193
1541623291,2018-11-07T20:41:31Z,IGO2624,"28.349579,76.983047",6825,381,193
1541623303,2018-11-07T20:41:43Z,IGO2624,"28.327921,76.977325",6950,383,193
1541623315,2018-11-07T20:41:55Z,IGO2624,"28.307739,76.972748",7000,386,189
1541623328,2018-11-07T20:42:08Z,IGO2624,"28.285187,76.969139",7000,387,187
1541623339,2018-11-07T20:42:19Z,IGO2624,"28.264252,76.966202",7000,387,186
1541623351,2018-11-07T20:42:31Z,IGO2624,"28.241959,76.963081",7000,388,187
1541623363,2018-11-07T20:42:43Z,IGO2624,"28.221502,76.960144",7000,389,187
1541623379,2018-11-07T20:42:59Z,IGO2624,"28.194223,76.956268",7225,389,187
1541623390,2018-11-07T20:43:10Z,IGO2624,"28.171785,76.953087",7625,394,187
1541623402,2018-11-07T20:43:22Z,IGO2624,"28.15123,76.950142",8175,396,187
1541623415,2018-11-07T20:43:35Z,IGO2624,"28.128632,76.946304",8800,394,189
1541623429,2018-11-07T20:43:49Z,IGO2624,"28.106752,76.94178",9425,394,190
1541623439,2018-11-07T20:43:59Z,IGO2624,"28.084312,76.937042",10025,394,190
1541623451,2018-11-07T20:44:11Z,IGO2624,"28.063065,76.93261",10475,399,190
1541623463,2018-11-07T20:44:23Z,IGO2624,"28.040741,76.92794",10900,403,190
1541623475,2018-11-07T20:44:35Z,IGO2624,"28.018953,76.923416",11450,404,190
1541623488,2018-11-07T20:44:48Z,IGO2624,"27.996735,76.91877",11875,408,190
1541623500,2018-11-07T20:45:00Z,IGO2624,"27.973801,76.913963",12250,413,190
1541623533,2018-11-07T20:45:33Z,IGO2624,"27.909231,76.900597",13175,430,190
1541623562,2018-11-07T20:46:02Z,IGO2624,"27.849039,76.889351",14275,435,186
1541623595,2018-11-07T20:46:35Z,IGO2624,"27.782684,76.884705",15425,443,183
1541623629,2018-11-07T20:47:09Z,IGO2624,"27.713898,76.880478",16750,442,183
1541623662,2018-11-07T20:47:42Z,IGO2624,"27.643753,76.876106",17825,448,183
1541623695,2018-11-07T20:48:15Z,IGO2624,"27.577406,76.872078",19050,447,182
1541623758,2018-11-07T20:49:18Z,IGO2624,"27.442795,76.863976",20800,457,183
1541623818,2018-11-07T20:50:18Z,IGO2624,"27.316498,76.856308",22225,466,183
1541623883,2018-11-07T20:51:23Z,IGO2624,"27.176468,76.847969",23650,474,183
1541623944,2018-11-07T20:52:24Z,IGO2624,"27.038797,76.839699",26175,455,183
1541624007,2018-11-07T20:53:27Z,IGO2624,"26.911789,76.832161",27625,459,182
1541624069,2018-11-07T20:54:29Z,IGO2624,"26.775513,76.824074",29300,458,183
1541624131,2018-11-07T20:55:31Z,IGO2624,"26.646835,76.816406",30400,468,181
1541624189,2018-11-07T20:56:29Z,IGO2624,"26.514908,76.80941",31325,475,183
1541624299,2018-11-07T20:58:19Z,IGO2624,"26.274828,76.795174",33725,469,182
1541624336,2018-11-07T20:58:56Z,IGO2624,"26.192524,76.790207",34500,466,183
1541624366,2018-11-07T20:59:26Z,IGO2624,"26.128328,76.786407",35125,464,182
1541624454,2018-11-07T21:00:54Z,IGO2624,"25.940414,76.775154",36725,456,182
1541624555,2018-11-07T21:02:35Z,IGO2624,"25.728104,76.762543",37000,461,182
1541624618,2018-11-07T21:03:38Z,IGO2624,"25.591003,76.754555",37000,460,182
1541624672,2018-11-07T21:04:32Z,IGO2624,"25.476105,76.747795",37000,459,182
1541624763,2018-11-07T21:06:03Z,IGO2624,"25.282837,76.73645",37000,458,182
1541624823,2018-11-07T21:07:03Z,IGO2624,"25.15535,76.72892",37000,457,182
1541624884,2018-11-07T21:08:04Z,IGO2624,"25.023922,76.730125",37000,469,173
1541624949,2018-11-07T21:09:09Z,IGO2624,"24.886734,76.748985",37025,469,172
1541625013,2018-11-07T21:10:13Z,IGO2624,"24.750149,76.767845",37000,468,172
1541625074,2018-11-07T21:11:14Z,IGO2624,"24.618219,76.786041",37000,464,172
1541625137,2018-11-07T21:12:17Z,IGO2624,"24.484222,76.804451",37000,462,172
1541625197,2018-11-07T21:13:17Z,IGO2624,"24.354176,76.822311",36975,462,172
1541625258,2018-11-07T21:14:18Z,IGO2624,"24.223389,76.840111",37000,472,172
1541625322,2018-11-07T21:15:22Z,IGO2624,"24.083267,76.859337",37000,470,172
1541625383,2018-11-07T21:16:23Z,IGO2624,"23.952988,76.877037",37000,472,172
1541625443,2018-11-07T21:17:23Z,IGO2624,"23.820595,76.895126",37000,475,172
1541625504,2018-11-07T21:18:24Z,IGO2624,"23.686152,76.913467",37000,474,172
1541625565,2018-11-07T21:19:25Z,IGO2624,"23.55534,76.93119",37000,475,172
1541625625,2018-11-07T21:20:25Z,IGO2624,"23.420198,76.949463",37000,470,173
1541625689,2018-11-07T21:21:29Z,IGO2624,"23.283188,76.967918",37000,472,172
1541625750,2018-11-07T21:22:30Z,IGO2624,"23.150528,76.987144",37025,468,169
1541625811,2018-11-07T21:23:31Z,IGO2624,"23.022125,77.019402",37000,470,166
1541625873,2018-11-07T21:24:33Z,IGO2624,"22.891296,77.053108",37000,468,166
1541625933,2018-11-07T21:25:33Z,IGO2624,"22.763992,77.08577",37000,468,166
1541625994,2018-11-07T21:26:34Z,IGO2624,"22.635002,77.118835",37000,466,166
1541626055,2018-11-07T21:27:35Z,IGO2624,"22.507553,77.15139",37000,469,166
1541626117,2018-11-07T21:28:37Z,IGO2624,"22.374914,77.18531",37000,467,166
1541626177,2018-11-07T21:29:37Z,IGO2624,"22.24671,77.218422",37000,470,166
1541626239,2018-11-07T21:30:39Z,IGO2624,"22.116735,77.251892",37000,470,166
1541626303,2018-11-07T21:31:43Z,IGO2624,"21.979918,77.287041",37000,471,166
1541626363,2018-11-07T21:32:43Z,IGO2624,"21.852459,77.31974",37000,469,166
