Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1541710218,2018-11-08T20:50:18Z,IGO2624,"28.568848,77.078491",1750,159,284
1541710228,2018-11-08T20:50:28Z,IGO2624,"28.570971,77.069519",1975,171,284
1541710238,2018-11-08T20:50:38Z,IGO2624,"28.573112,77.060532",2250,185,285
1541710248,2018-11-08T20:50:48Z,IGO2624,"28.575623,77.049812",2550,199,284
1541710258,2018-11-08T20:50:58Z,IGO2624,"28.578186,77.038879",2900,216,284
1541710269,2018-11-08T20:51:09Z,IGO2624,"28.580841,77.027527",3350,227,284
1541710278,2018-11-08T20:51:18Z,IGO2624,"28.583725,77.01506",3800,238,284
1541710293,2018-11-08T20:51:33Z,IGO2624,"28.586746,76.996628",4475,253,274
1541710313,2018-11-08T20:51:53Z,IGO2624,"28.578964,76.971222",5500,269,235
1541710319,2018-11-08T20:51:59Z,IGO2624,"28.574276,76.965958",5750,274,222
1541710329,2018-11-08T20:52:09Z,IGO2624,"28.562218,76.95826",6100,289,204
1541710339,2018-11-08T20:52:19Z,IGO2624,"28.549276,76.954811",6400,308,191
1541710348,2018-11-08T20:52:28Z,IGO2624,"28.534332,76.952309",6700,323,187
1541710359,2018-11-08T20:52:39Z,IGO2624,"28.519913,76.950516",6950,336,185
1541710374,2018-11-08T20:52:54Z,IGO2624,"28.493362,76.947823",7350,358,185
1541710389,2018-11-08T20:53:09Z,IGO2624,"28.468416,76.945282",7700,375,185
1541710404,2018-11-08T20:53:24Z,IGO2624,"28.441462,76.942207",8025,379,185
1541710418,2018-11-08T20:53:38Z,IGO2624,"28.415909,76.939156",8300,379,186
1541710434,2018-11-08T20:53:54Z,IGO2624,"28.390301,76.935745",8550,380,186
1541710449,2018-11-08T20:54:09Z,IGO2624,"28.362808,76.931976",9050,385,187
1541710465,2018-11-08T20:54:25Z,IGO2624,"28.335741,76.928101",9900,387,187
1541710480,2018-11-08T20:54:40Z,IGO2624,"28.310074,76.924477",11050,378,187
1541710493,2018-11-08T20:54:53Z,IGO2624,"28.284861,76.920937",12200,367,187
1541710530,2018-11-08T20:55:30Z,IGO2624,"28.224609,76.912483",14125,370,187
1541710558,2018-11-08T20:55:58Z,IGO2624,"28.174347,76.905403",15650,374,187
1541710595,2018-11-08T20:56:35Z,IGO2624,"28.11001,76.896378",17325,381,187
1541710625,2018-11-08T20:57:05Z,IGO2624,"28.058058,76.889",18625,388,187
1541710685,2018-11-08T20:58:05Z,IGO2624,"27.947113,76.873344",20925,405,187
1541710751,2018-11-08T20:59:11Z,IGO2624,"27.823622,76.855965",23225,420,187
1541710810,2018-11-08T21:00:10Z,IGO2624,"27.703377,76.839012",24850,440,187
1541710876,2018-11-08T21:01:16Z,IGO2624,"27.571169,76.82074",26925,445,186
1541710937,2018-11-08T21:02:17Z,IGO2624,"27.445709,76.811966",28500,456,181
1541711001,2018-11-08T21:03:21Z,IGO2624,"27.304237,76.806473",29825,466,181
1541711067,2018-11-08T21:04:27Z,IGO2624,"27.166117,76.801353",31525,460,182
1541711128,2018-11-08T21:05:28Z,IGO2624,"27.037027,76.796227",32525,468,181
1541711192,2018-11-08T21:06:32Z,IGO2624,"26.900211,76.79158",34325,450,182
1541711256,2018-11-08T21:07:36Z,IGO2624,"26.767817,76.786354",35675,443,182
1541711320,2018-11-08T21:08:40Z,IGO2624,"26.637543,76.781067",36475,446,181
1541711384,2018-11-08T21:09:44Z,IGO2624,"26.50461,76.775948",37300,446,181
1541711430,2018-11-08T21:10:30Z,IGO2624,"26.40889,76.772461",38125,441,181
1541711522,2018-11-08T21:12:02Z,IGO2624,"26.224226,76.765327",39000,435,181
1541711586,2018-11-08T21:13:06Z,IGO2624,"26.095695,76.760574",39025,436,182
1541711652,2018-11-08T21:14:12Z,IGO2624,"25.958832,76.755455",39025,437,181
1541711713,2018-11-08T21:15:13Z,IGO2624,"25.837982,76.750908",39025,435,181
1541711777,2018-11-08T21:16:17Z,IGO2624,"25.711033,76.746185",39000,435,181
1541711836,2018-11-08T21:17:16Z,IGO2624,"25.588211,76.741585",39000,434,181
1541711891,2018-11-08T21:18:11Z,IGO2624,"25.477434,76.737427",39000,435,181
1541711981,2018-11-08T21:19:41Z,IGO2624,"25.296249,76.730705",39050,439,181
1541711995,2018-11-08T21:19:55Z,IGO2624,"25.269424,76.729683",39050,439,181
