Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1541796959,2018-11-09T20:55:59Z,IGO2624,"28.549072,77.056679",1775,179,282
1541796970,2018-11-09T20:56:10Z,IGO2624,"28.551086,77.046593",1975,191,280
1541796995,2018-11-09T20:56:35Z,IGO2624,"28.543991,77.020973",2325,226,230
1541797005,2018-11-09T20:56:45Z,IGO2624,"28.534567,77.014374",2475,244,205
1541797021,2018-11-09T20:57:01Z,IGO2624,"28.518272,77.010498",2825,267,185
1541797027,2018-11-09T20:57:07Z,IGO2624,"28.509056,77.009743",3075,273,183
1541797034,2018-11-09T20:57:14Z,IGO2624,"28.502518,77.009247",3325,273,183
1541797041,2018-11-09T20:57:21Z,IGO2624,"28.490993,77.008018",3825,277,185
1541797048,2018-11-09T20:57:28Z,IGO2624,"28.483566,77.007027",4150,276,186
1541797058,2018-11-09T20:57:38Z,IGO2624,"28.471527,77.00518",4600,282,188
1541797064,2018-11-09T20:57:44Z,IGO2624,"28.464924,77.004036",4750,288,188
1541797074,2018-11-09T20:57:54Z,IGO2624,"28.446991,77.000641",5025,307,189
1541797086,2018-11-09T20:58:06Z,IGO2624,"28.429173,76.997032",5325,321,190
1541797097,2018-11-09T20:58:17Z,IGO2624,"28.411762,76.99353",5675,333,190
1541797110,2018-11-09T20:58:30Z,IGO2624,"28.391785,76.989441",6000,345,190
1541797122,2018-11-09T20:58:42Z,IGO2624,"28.372421,76.985481",6300,358,190
1541797134,2018-11-09T20:58:54Z,IGO2624,"28.352407,76.981468",6575,368,190
1541797147,2018-11-09T20:59:07Z,IGO2624,"28.331692,76.977272",6850,370,190
1541797159,2018-11-09T20:59:19Z,IGO2624,"28.313965,76.973808",7125,373,189
1541797172,2018-11-09T20:59:32Z,IGO2624,"28.290306,76.970001",7425,376,187
1541797183,2018-11-09T20:59:43Z,IGO2624,"28.269424,76.967102",7725,378,186
1541797195,2018-11-09T20:59:55Z,IGO2624,"28.24827,76.964127",8025,376,186
1541797206,2018-11-09T21:00:06Z,IGO2624,"28.227814,76.961288",8325,374,186
1541797221,2018-11-09T21:00:21Z,IGO2624,"28.20694,76.958275",8625,377,187
