Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1542832455,2018-11-21T20:34:15Z,IGO2624,"28.567804,77.083473",1525,154,286
1542832464,2018-11-21T20:34:24Z,IGO2624,"28.569946,77.075127",1875,153,285
1542832475,2018-11-21T20:34:35Z,IGO2624,"28.571808,77.067421",2125,165,285
1542832485,2018-11-21T20:34:45Z,IGO2624,"28.573904,77.058159",2375,179,284
1542832494,2018-11-21T20:34:54Z,IGO2624,"28.575905,77.049057",2625,193,284
1542832505,2018-11-21T20:35:05Z,IGO2624,"28.578232,77.03846",2900,209,284
1542832515,2018-11-21T20:35:15Z,IGO2624,"28.581072,77.025955",3250,225,284
1542832526,2018-11-21T20:35:26Z,IGO2624,"28.583588,77.015007",3575,237,284
1542832534,2018-11-21T20:35:34Z,IGO2624,"28.586426,77.002045",3900,253,282
1542832544,2018-11-21T20:35:44Z,IGO2624,"28.587124,76.989708",4325,263,269
1542832555,2018-11-21T20:35:55Z,IGO2624,"28.584284,76.974304",4950,269,252
1542832565,2018-11-21T20:36:05Z,IGO2624,"28.577675,76.961487",5525,275,234
1542832575,2018-11-21T20:36:15Z,IGO2624,"28.56855,76.952499",6025,281,215
1542832585,2018-11-21T20:36:25Z,IGO2624,"28.555609,76.946625",6325,297,196
1542832591,2018-11-21T20:36:31Z,IGO2624,"28.548206,76.945007",6475,303,190
1542832601,2018-11-21T20:36:41Z,IGO2624,"28.53466,76.942909",6750,317,187
1542832610,2018-11-21T20:36:50Z,IGO2624,"28.519157,76.941025",7025,326,185
1542832625,2018-11-21T20:37:05Z,IGO2624,"28.495697,76.938522",7500,339,185
1542832635,2018-11-21T20:37:15Z,IGO2624,"28.47995,76.936836",8075,339,185
1542832651,2018-11-21T20:37:31Z,IGO2624,"28.456451,76.934242",8975,339,185
1542832666,2018-11-21T20:37:46Z,IGO2624,"28.433487,76.931496",9725,343,186
1542832681,2018-11-21T20:38:01Z,IGO2624,"28.408689,76.928368",10450,345,186
1542832696,2018-11-21T20:38:16Z,IGO2624,"28.384735,76.925262",11225,347,186
1542832711,2018-11-21T20:38:31Z,IGO2624,"28.360275,76.922066",11875,351,186
1542832725,2018-11-21T20:38:45Z,IGO2624,"28.335882,76.918839",12600,353,186
1542832762,2018-11-21T20:39:22Z,IGO2624,"28.277878,76.911247",14275,359,186
1542832792,2018-11-21T20:39:52Z,IGO2624,"28.22802,76.907585",15775,358,182
1542832831,2018-11-21T20:40:31Z,IGO2624,"28.16011,76.904716",17175,373,182
1542832866,2018-11-21T20:41:06Z,IGO2624,"28.09828,76.901443",18525,380,182
1542832927,2018-11-21T20:42:07Z,IGO2624,"27.988312,76.894684",20625,397,183
1542832992,2018-11-21T20:43:12Z,IGO2624,"27.865984,76.887291",22625,416,183
1542833053,2018-11-21T20:44:13Z,IGO2624,"27.749588,76.880356",24850,417,182
1542833118,2018-11-21T20:45:18Z,IGO2624,"27.619907,76.872604",26475,430,183
1542833183,2018-11-21T20:46:23Z,IGO2624,"27.488771,76.864838",28325,431,183
1542833249,2018-11-21T20:47:29Z,IGO2624,"27.357101,76.856773",29275,449,183
1542833312,2018-11-21T20:48:32Z,IGO2624,"27.223434,76.849052",30625,450,183
1542833380,2018-11-21T20:49:40Z,IGO2624,"27.084139,76.841072",32475,439,182
1542833444,2018-11-21T20:50:44Z,IGO2624,"26.954956,76.833405",33175,430,183
1542833452,2018-11-21T20:50:52Z,IGO2624,"26.940571,76.83252",33250,431,183
1542833539,2018-11-21T20:52:19Z,IGO2624,"26.765533,76.822052",35025,415,183
1542833600,2018-11-21T20:53:20Z,IGO2624,"26.650497,76.815056",35000,414,183
1542833662,2018-11-21T20:54:22Z,IGO2624,"26.531796,76.80822",35000,414,182
1542833725,2018-11-21T20:55:25Z,IGO2624,"26.409969,76.80114",35000,413,183
1542833786,2018-11-21T20:56:26Z,IGO2624,"26.292892,76.794067",35000,414,182
1542833849,2018-11-21T20:57:29Z,IGO2624,"26.171761,76.787247",35000,415,182
1542833910,2018-11-21T20:58:30Z,IGO2624,"26.05431,76.780487",35000,416,183
1542833970,2018-11-21T20:59:30Z,IGO2624,"25.937836,76.773621",35000,416,183
1542834034,2018-11-21T21:00:34Z,IGO2624,"25.816269,76.766762",35000,416,182
1542834095,2018-11-21T21:01:35Z,IGO2624,"25.698029,76.759743",35000,415,183
1542834155,2018-11-21T21:02:35Z,IGO2624,"25.582031,76.753029",34975,417,182
1542834220,2018-11-21T21:03:40Z,IGO2624,"25.45697,76.745964",35025,416,183
1542834281,2018-11-21T21:04:41Z,IGO2624,"25.341751,76.739197",35000,416,182
1542834345,2018-11-21T21:05:45Z,IGO2624,"25.218929,76.7323",35000,414,183
1542834408,2018-11-21T21:06:48Z,IGO2624,"25.095381,76.725197",35000,414,182
1542834468,2018-11-21T21:07:48Z,IGO2624,"24.978287,76.733551",35000,426,170
1542834529,2018-11-21T21:08:49Z,IGO2624,"24.859035,76.763855",35000,422,173
1542834535,2018-11-21T21:08:55Z,IGO2624,"24.847769,76.765205",35000,422,173
1542834542,2018-11-21T21:09:02Z,IGO2624,"24.836504,76.766502",35000,421,174
1542834605,2018-11-21T21:10:05Z,IGO2624,"24.711273,76.782074",34975,422,173
1542834666,2018-11-21T21:11:06Z,IGO2624,"24.594385,76.797546",35000,421,173
1542834727,2018-11-21T21:12:07Z,IGO2624,"24.475584,76.813141",35000,421,173
1542834790,2018-11-21T21:13:10Z,IGO2624,"24.351974,76.829224",34975,421,173
1542834851,2018-11-21T21:14:11Z,IGO2624,"24.235565,76.844582",35000,424,173
1542834914,2018-11-21T21:15:14Z,IGO2624,"24.110001,76.861015",35025,426,173
1542834979,2018-11-21T21:16:19Z,IGO2624,"23.983932,76.877441",35025,427,173
1542835043,2018-11-21T21:17:23Z,IGO2624,"23.859558,76.893723",35025,425,173
1542835106,2018-11-21T21:18:26Z,IGO2624,"23.734007,76.910156",34975,423,173
1542835171,2018-11-21T21:19:31Z,IGO2624,"23.608688,76.926422",34975,424,173
1542835232,2018-11-21T21:20:32Z,IGO2624,"23.491051,76.941734",34975,424,173
1542835293,2018-11-21T21:21:33Z,IGO2624,"23.370667,76.957344",35000,427,173
1542835354,2018-11-21T21:22:34Z,IGO2624,"23.251213,76.972809",35025,427,173
1542835415,2018-11-21T21:23:35Z,IGO2624,"23.131248,76.99102",35025,429,167
1542835479,2018-11-21T21:24:39Z,IGO2624,"23.007559,77.023109",35000,429,166
1542835540,2018-11-21T21:25:40Z,IGO2624,"22.889177,77.053429",34975,428,166
1542835603,2018-11-21T21:26:43Z,IGO2624,"22.766745,77.084862",35000,427,166
1542835667,2018-11-21T21:27:47Z,IGO2624,"22.645111,77.116081",34975,428,166
1542835730,2018-11-21T21:28:50Z,IGO2624,"22.519831,77.148285",35000,428,166
1542835764,2018-11-21T21:29:24Z,IGO2624,"22.456707,77.164406",35000,429,166
1542835851,2018-11-21T21:30:51Z,IGO2624,"22.285675,77.208168",35000,431,166
1542835904,2018-11-21T21:31:44Z,IGO2624,"22.18391,77.234444",35025,432,166
1542835993,2018-11-21T21:33:13Z,IGO2624,"22.009897,77.279259",35025,433,166
1542836054,2018-11-21T21:34:14Z,IGO2624,"21.890491,77.309929",35000,432,166
1542836115,2018-11-21T21:35:15Z,IGO2624,"21.771698,77.340355",35025,430,166
1542836178,2018-11-21T21:36:18Z,IGO2624,"21.64842,77.371826",34975,430,166
1542836239,2018-11-21T21:37:19Z,IGO2624,"21.52906,77.401123",34975,429,167
1542836303,2018-11-21T21:38:23Z,IGO2624,"21.408691,77.428894",34975,429,167
1542836368,2018-11-21T21:39:28Z,IGO2624,"21.282074,77.458504",35025,429,167
1542836431,2018-11-21T21:40:31Z,IGO2624,"21.158272,77.487488",35025,429,167
1542836496,2018-11-21T21:41:36Z,IGO2624,"21.028252,77.517883",35000,428,167
1542836560,2018-11-21T21:42:40Z,IGO2624,"20.910892,77.54525",35000,424,167
1542836619,2018-11-21T21:43:39Z,IGO2624,"20.795584,77.572166",34975,424,167
1542836684,2018-11-21T21:44:44Z,IGO2624,"20.671988,77.601326",34975,424,167
1542836747,2018-11-21T21:45:47Z,IGO2624,"20.548965,77.630379",35000,425,167
1542836810,2018-11-21T21:46:50Z,IGO2624,"20.429449,77.658455",35000,426,167
