Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1543353117,2018-11-27T21:11:57Z,IGO2624,"28.537918,77.109535",1700,159,102
1543353127,2018-11-27T21:12:07Z,IGO2624,"28.536346,77.117264",2000,162,102
1543353137,2018-11-27T21:12:17Z,IGO2624,"28.533682,77.126175",2200,169,115
1543353147,2018-11-27T21:12:27Z,IGO2624,"28.528152,77.133743",2375,181,137
1543353157,2018-11-27T21:12:37Z,IGO2624,"28.520647,77.137703",2500,194,164
1543353167,2018-11-27T21:12:47Z,IGO2624,"28.510685,77.137596",2650,212,186
1543353177,2018-11-27T21:12:57Z,IGO2624,"28.501373,77.135536",2825,230,192
1543353187,2018-11-27T21:13:07Z,IGO2624,"28.489563,77.132423",3075,246,192
1543353201,2018-11-27T21:13:21Z,IGO2624,"28.473083,77.12825",3600,259,192
1543353212,2018-11-27T21:13:32Z,IGO2624,"28.460541,77.125237",4125,262,191
1543353222,2018-11-27T21:13:42Z,IGO2624,"28.449326,77.12265",4650,265,191
1543353233,2018-11-27T21:13:53Z,IGO2624,"28.435968,77.119606",5175,269,191
1543353247,2018-11-27T21:14:07Z,IGO2624,"28.417969,77.115517",5800,279,191
1543353262,2018-11-27T21:14:22Z,IGO2624,"28.396957,77.11087",6150,301,191
1543353278,2018-11-27T21:14:38Z,IGO2624,"28.37558,77.106064",6425,324,191
1543353292,2018-11-27T21:14:52Z,IGO2624,"28.352005,77.100838",6900,337,190
1543353308,2018-11-27T21:15:08Z,IGO2624,"28.329254,77.095818",7600,340,191
1543353323,2018-11-27T21:15:23Z,IGO2624,"28.306461,77.089828",8250,344,194
1543353338,2018-11-27T21:15:38Z,IGO2624,"28.281975,77.081802",8975,344,196
1543353353,2018-11-27T21:15:53Z,IGO2624,"28.259583,77.074371",9525,350,196
1543353368,2018-11-27T21:16:08Z,IGO2624,"28.235733,77.066559",10125,355,196
1543353383,2018-11-27T21:16:23Z,IGO2624,"28.21089,77.058426",10825,355,196
1543353398,2018-11-27T21:16:38Z,IGO2624,"28.188171,77.050941",11600,351,196
1543353413,2018-11-27T21:16:53Z,IGO2624,"28.163177,77.042732",12150,357,196
1543353448,2018-11-27T21:17:28Z,IGO2624,"28.10939,77.025093",13650,357,196
1543353484,2018-11-27T21:18:04Z,IGO2624,"28.050201,77.0056",14950,364,196
1543353513,2018-11-27T21:18:33Z,IGO2624,"28.003006,76.990181",16000,369,196
1543353548,2018-11-27T21:19:08Z,IGO2624,"27.943314,76.970581",17350,370,196
1543353584,2018-11-27T21:19:44Z,IGO2624,"27.886374,76.951942",18825,365,196
1543353625,2018-11-27T21:20:25Z,IGO2624,"27.819534,76.934044",20150,371,185
1543353635,2018-11-27T21:20:35Z,IGO2624,"27.803558,76.93264",20400,374,184
1543353704,2018-11-27T21:21:44Z,IGO2624,"27.680565,76.92305",22425,381,183
1543353764,2018-11-27T21:22:44Z,IGO2624,"27.571472,76.914558",23950,389,183
1543353831,2018-11-27T21:23:51Z,IGO2624,"27.455486,76.905617",25975,385,183
1543353892,2018-11-27T21:24:52Z,IGO2624,"27.346786,76.89711",27800,378,183
1543353955,2018-11-27T21:25:55Z,IGO2624,"27.233688,76.888443",28775,393,183
1543354022,2018-11-27T21:27:02Z,IGO2624,"27.110779,76.879005",29950,401,183
1543354090,2018-11-27T21:28:10Z,IGO2624,"26.981644,76.86911",30925,414,184
1543354154,2018-11-27T21:29:14Z,IGO2624,"26.858643,76.859726",32325,408,183
1543354216,2018-11-27T21:30:16Z,IGO2624,"26.744074,76.851006",33525,403,183
1543354276,2018-11-27T21:31:16Z,IGO2624,"26.632095,76.842522",34800,393,183
1543354356,2018-11-27T21:32:36Z,IGO2624,"26.485291,76.831245",35000,404,183
1543354427,2018-11-27T21:33:47Z,IGO2624,"26.349125,76.820892",35000,416,183
1543354490,2018-11-27T21:34:50Z,IGO2624,"26.227066,76.811653",35000,418,183
1543354553,2018-11-27T21:35:53Z,IGO2624,"26.10379,76.803452",35000,421,180
1543354656,2018-11-27T21:37:36Z,IGO2624,"25.901779,76.81501",35000,424,176
1543354716,2018-11-27T21:38:36Z,IGO2624,"25.785233,76.822357",35000,424,176
1543354777,2018-11-27T21:39:37Z,IGO2624,"25.661736,76.830193",35000,423,176
1543354838,2018-11-27T21:40:38Z,IGO2624,"25.542793,76.837654",35000,424,176
1543354899,2018-11-27T21:41:39Z,IGO2624,"25.421997,76.845345",34975,425,176
1543354964,2018-11-27T21:42:44Z,IGO2624,"25.296719,76.853203",35000,427,176
1543355025,2018-11-27T21:43:45Z,IGO2624,"25.175903,76.860809",35000,429,176
1543355085,2018-11-27T21:44:45Z,IGO2624,"25.053391,76.868439",35000,430,176
1543355147,2018-11-27T21:45:47Z,IGO2624,"24.932465,76.875969",35000,432,176
1543355207,2018-11-27T21:46:47Z,IGO2624,"24.809597,76.883621",35025,433,176
1543355269,2018-11-27T21:47:49Z,IGO2624,"24.687397,76.891235",35000,434,176
