Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1543438655,2018-11-28T20:57:35Z,IGO2624,"28.536392,77.114464",1675,173,104
1543438669,2018-11-28T20:57:49Z,IGO2624,"28.532146,77.127739",1950,193,119
1543438679,2018-11-28T20:57:59Z,IGO2624,"28.525442,77.135712",2125,207,142
1543438689,2018-11-28T20:58:09Z,IGO2624,"28.516663,77.139709",2250,224,167
1543438714,2018-11-28T20:58:34Z,IGO2624,"28.488647,77.134903",2925,259,197
1543438720,2018-11-28T20:58:40Z,IGO2624,"28.482376,77.132683",3175,262,196
1543438729,2018-11-28T20:58:49Z,IGO2624,"28.470045,77.128761",3800,262,194
1543438739,2018-11-28T20:58:59Z,IGO2624,"28.458984,77.12561",4375,263,193
1543438749,2018-11-28T20:59:09Z,IGO2624,"28.446396,77.122353",5025,260,192
1543438764,2018-11-28T20:59:24Z,IGO2624,"28.429276,77.118317",5875,262,191
1543438780,2018-11-28T20:59:40Z,IGO2624,"28.411423,77.114197",6625,268,191
1543438794,2018-11-28T20:59:54Z,IGO2624,"28.392563,77.109924",7275,276,191
1543438810,2018-11-28T21:00:10Z,IGO2624,"28.372984,77.105553",7875,287,191
1543438825,2018-11-28T21:00:25Z,IGO2624,"28.352554,77.100998",8550,293,191
1543438840,2018-11-28T21:00:40Z,IGO2624,"28.332762,77.096558",9250,296,191
1543438855,2018-11-28T21:00:55Z,IGO2624,"28.313118,77.09182",9975,299,193
1543438871,2018-11-28T21:01:11Z,IGO2624,"28.29133,77.084869",10575,306,196
1543438886,2018-11-28T21:01:26Z,IGO2624,"28.271173,77.07814",10825,324,196
1543438901,2018-11-28T21:01:41Z,IGO2624,"28.24869,77.070709",11075,342,196
1543438915,2018-11-28T21:01:55Z,IGO2624,"28.224564,77.062805",11475,355,196
1543438930,2018-11-28T21:02:10Z,IGO2624,"28.201584,77.055252",12100,358,196
1543438965,2018-11-28T21:02:45Z,IGO2624,"28.14386,77.036346",13650,361,196
1543439001,2018-11-28T21:03:21Z,IGO2624,"28.087572,77.017822",15075,365,196
1543439036,2018-11-28T21:03:56Z,IGO2624,"28.029057,76.99865",16400,369,196
1543439070,2018-11-28T21:04:30Z,IGO2624,"27.971052,76.979637",17500,380,196
1543439101,2018-11-28T21:05:01Z,IGO2624,"27.919426,76.962769",18600,383,196
1543439166,2018-11-28T21:06:06Z,IGO2624,"27.80722,76.926064",20700,394,196
1543439230,2018-11-28T21:07:10Z,IGO2624,"27.690714,76.887978",22300,412,196
1543439296,2018-11-28T21:08:16Z,IGO2624,"27.568329,76.848152",24025,421,196
1543439362,2018-11-28T21:09:22Z,IGO2624,"27.442657,76.807236",25550,432,196
1543439392,2018-11-28T21:09:52Z,IGO2624,"27.381746,76.793854",26125,449,184
1543439402,2018-11-28T21:10:02Z,IGO2624,"27.359573,76.792618",26350,453,182
1543439473,2018-11-28T21:11:13Z,IGO2624,"27.208786,76.787697",27500,472,181
1543439533,2018-11-28T21:12:13Z,IGO2624,"27.078873,76.78376",29400,460,181
1543439593,2018-11-28T21:13:13Z,IGO2624,"26.94816,76.779541",30650,462,181
1543439657,2018-11-28T21:14:17Z,IGO2624,"26.811584,76.775314",32150,457,181
1543439718,2018-11-28T21:15:18Z,IGO2624,"26.688816,76.771454",33425,452,181
1543439778,2018-11-28T21:16:18Z,IGO2624,"26.562986,76.767654",34950,432,181
1543439880,2018-11-28T21:18:00Z,IGO2624,"26.355103,76.761162",35000,441,181
1543439943,2018-11-28T21:19:03Z,IGO2624,"26.226692,76.757195",35000,438,181
1543440003,2018-11-28T21:20:03Z,IGO2624,"26.104818,76.753502",34975,436,181
1543440068,2018-11-28T21:21:08Z,IGO2624,"25.974335,76.749451",34975,436,181
1543440129,2018-11-28T21:22:09Z,IGO2624,"25.852341,76.74572",35000,434,181
1543440192,2018-11-28T21:23:12Z,IGO2624,"25.722578,76.741783",35025,431,181
1543440257,2018-11-28T21:24:17Z,IGO2624,"25.595352,76.737892",35000,430,181
1543440317,2018-11-28T21:25:17Z,IGO2624,"25.474319,76.734261",35000,430,181
1543440378,2018-11-28T21:26:18Z,IGO2624,"25.351868,76.730499",35000,431,181
