Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1543524780,2018-11-29T20:53:00Z,IGO2624,"28.568985,77.077225",1750,154,284
1543524790,2018-11-29T20:53:10Z,IGO2624,"28.570724,77.069832",2025,158,284
1543524801,2018-11-29T20:53:21Z,IGO2624,"28.57283,77.060852",2225,168,284
1543524810,2018-11-29T20:53:30Z,IGO2624,"28.57489,77.051979",2450,179,284
1543524821,2018-11-29T20:53:41Z,IGO2624,"28.577255,77.041786",2700,193,284
1543524831,2018-11-29T20:53:51Z,IGO2624,"28.579559,77.031746",2875,208,284
1543524841,2018-11-29T20:54:01Z,IGO2624,"28.581482,77.019493",3100,226,274
1543524861,2018-11-29T20:54:21Z,IGO2624,"28.575394,76.995674",3750,258,239
1543524872,2018-11-29T20:54:32Z,IGO2624,"28.566175,76.98465",4225,271,216
1543524881,2018-11-29T20:54:41Z,IGO2624,"28.555389,76.978928",4775,277,196
1543524891,2018-11-29T20:54:51Z,IGO2624,"28.542202,76.976135",5425,278,188
1543524901,2018-11-29T20:55:01Z,IGO2624,"28.528282,76.974197",6050,279,186
1543524907,2018-11-29T20:55:07Z,IGO2624,"28.522835,76.973503",6325,280,186
1543524922,2018-11-29T20:55:22Z,IGO2624,"28.502335,76.970688",7150,286,187
1543524936,2018-11-29T20:55:36Z,IGO2624,"28.482941,76.967789",8025,286,187
1543524952,2018-11-29T20:55:52Z,IGO2624,"28.46269,76.964615",8875,289,187
1543524967,2018-11-29T20:56:07Z,IGO2624,"28.442322,76.961395",9775,286,187
1543524982,2018-11-29T20:56:22Z,IGO2624,"28.42205,76.958153",10600,287,187
1543524998,2018-11-29T20:56:38Z,IGO2624,"28.400803,76.954742",10950,304,188
1543525012,2018-11-29T20:56:52Z,IGO2624,"28.379734,76.951256",11200,322,188
1543525029,2018-11-29T20:57:09Z,IGO2624,"28.357203,76.947647",11575,335,188
1543525044,2018-11-29T20:57:24Z,IGO2624,"28.331879,76.943611",12225,340,187
1543525079,2018-11-29T20:57:59Z,IGO2624,"28.27803,76.935089",13800,342,187
1543525113,2018-11-29T20:58:33Z,IGO2624,"28.22113,76.926003",15075,353,188
1543525149,2018-11-29T20:59:09Z,IGO2624,"28.163406,76.916794",16375,363,187
1543525184,2018-11-29T20:59:44Z,IGO2624,"28.103668,76.90731",17625,370,188
1543525220,2018-11-29T21:00:20Z,IGO2624,"28.043152,76.897697",18900,376,187
1543525281,2018-11-29T21:01:21Z,IGO2624,"27.937069,76.880844",20850,388,188
1543525345,2018-11-29T21:02:25Z,IGO2624,"27.818594,76.866005",22825,403,182
1543525410,2018-11-29T21:03:30Z,IGO2624,"27.69548,76.859421",24575,412,182
1543525471,2018-11-29T21:04:31Z,IGO2624,"27.578979,76.853249",26325,413,182
1543525536,2018-11-29T21:05:36Z,IGO2624,"27.452972,76.846565",27900,419,182
1543525601,2018-11-29T21:06:41Z,IGO2624,"27.325558,76.839859",29575,418,182
1543525629,2018-11-29T21:07:09Z,IGO2624,"27.27095,76.836983",30100,420,182
1543525720,2018-11-29T21:08:40Z,IGO2624,"27.08884,76.827339",31400,438,182
1543525783,2018-11-29T21:09:43Z,IGO2624,"26.960129,76.820602",32725,435,182
1543525844,2018-11-29T21:10:44Z,IGO2624,"26.838249,76.81424",33825,436,182
1543525907,2018-11-29T21:11:47Z,IGO2624,"26.711069,76.807693",35325,426,182
1543525943,2018-11-29T21:12:23Z,IGO2624,"26.639658,76.803886",35750,428,182
1543526032,2018-11-29T21:13:52Z,IGO2624,"26.463181,76.794693",36800,432,182
1543526038,2018-11-29T21:13:58Z,IGO2624,"26.451214,76.794067",36900,432,182
1543526127,2018-11-29T21:15:27Z,IGO2624,"26.273199,76.784927",37000,429,182
1543526202,2018-11-29T21:16:42Z,IGO2624,"26.125069,76.777321",37000,430,182
1543526214,2018-11-29T21:16:54Z,IGO2624,"26.099579,76.775986",37000,430,182
1543526355,2018-11-29T21:19:15Z,IGO2624,"25.813293,76.761269",37000,443,182
1543526506,2018-11-29T21:21:46Z,IGO2624,"25.503178,76.745407",37000,442,182
1543526567,2018-11-29T21:22:47Z,IGO2624,"25.379164,76.739037",37000,443,182
1543526631,2018-11-29T21:23:51Z,IGO2624,"25.246815,76.732353",37000,443,182
1543526709,2018-11-29T21:25:09Z,IGO2624,"25.08593,76.729393",37000,453,174
1543526774,2018-11-29T21:26:14Z,IGO2624,"24.949493,76.753998",37000,459,170
1543526835,2018-11-29T21:27:15Z,IGO2624,"24.822968,76.778358",37000,458,170
1543526895,2018-11-29T21:28:15Z,IGO2624,"24.695217,76.802879",37000,458,170
1543526955,2018-11-29T21:29:15Z,IGO2624,"24.568548,76.82724",37000,457,170
1543527019,2018-11-29T21:30:19Z,IGO2624,"24.435455,76.852737",37000,455,170
1543527081,2018-11-29T21:31:21Z,IGO2624,"24.307484,76.877144",37000,455,170
1543527142,2018-11-29T21:32:22Z,IGO2624,"24.18338,76.900841",37000,455,170
1543527203,2018-11-29T21:33:23Z,IGO2624,"24.054054,76.925438",37000,456,170
1543527265,2018-11-29T21:34:25Z,IGO2624,"23.927059,76.949539",37000,458,170
1543527324,2018-11-29T21:35:24Z,IGO2624,"23.799133,76.973778",37000,458,170
1543527387,2018-11-29T21:36:27Z,IGO2624,"23.671906,76.997887",37000,459,170
1543527446,2018-11-29T21:37:26Z,IGO2624,"23.54291,77.022247",37000,458,170
1543527506,2018-11-29T21:38:26Z,IGO2624,"23.41507,77.046417",37000,459,170
1543527568,2018-11-29T21:39:28Z,IGO2624,"23.285568,77.07077",37000,459,170
1543527629,2018-11-29T21:40:29Z,IGO2624,"23.160624,77.094215",37000,459,170
1543527692,2018-11-29T21:41:32Z,IGO2624,"23.031626,77.118378",37000,460,170
1543527752,2018-11-29T21:42:32Z,IGO2624,"22.898438,77.143303",37000,461,170
1543527814,2018-11-29T21:43:34Z,IGO2624,"22.768047,77.16761",37000,462,170
1543527875,2018-11-29T21:44:35Z,IGO2624,"22.638353,77.191772",37000,463,170
1543527936,2018-11-29T21:45:36Z,IGO2624,"22.508148,77.216057",37000,464,170
1543527946,2018-11-29T21:45:46Z,IGO2624,"22.486633,77.220055",37000,464,170
1543528071,2018-11-29T21:47:51Z,IGO2624,"22.220993,77.269295",37000,463,170
1543528132,2018-11-29T21:48:52Z,IGO2624,"22.093323,77.292862",37000,463,170
1543528196,2018-11-29T21:49:56Z,IGO2624,"21.959156,77.317604",37000,463,170
