Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1543611850,2018-11-30T21:04:10Z,IGO2624,"28.546738,77.066711",1500,166,281
1543611860,2018-11-30T21:04:20Z,IGO2624,"28.54866,77.056465",1950,165,281
1543611866,2018-11-30T21:04:26Z,IGO2624,"28.549324,77.051376",2050,171,275
1543611892,2018-11-30T21:04:52Z,IGO2624,"28.540604,77.029587",2375,218,217
1543611900,2018-11-30T21:05:00Z,IGO2624,"28.532005,77.024551",2450,237,202
1543611906,2018-11-30T21:05:06Z,IGO2624,"28.525536,77.022453",2575,247,194
1543611913,2018-11-30T21:05:13Z,IGO2624,"28.518227,77.020889",2750,258,189
1543611919,2018-11-30T21:05:19Z,IGO2624,"28.510778,77.019653",2900,266,188
1543611926,2018-11-30T21:05:26Z,IGO2624,"28.50375,77.018524",3100,270,187
1543611933,2018-11-30T21:05:33Z,IGO2624,"28.492676,77.01664",3250,276,188
1543611939,2018-11-30T21:05:39Z,IGO2624,"28.484619,77.01506",3350,274,190
1543611948,2018-11-30T21:05:48Z,IGO2624,"28.476746,77.013367",3425,272,190
1543611960,2018-11-30T21:06:00Z,IGO2624,"28.46196,77.01004",3650,273,191
1543611972,2018-11-30T21:06:12Z,IGO2624,"28.446899,77.006447",3850,276,192
1543611978,2018-11-30T21:06:18Z,IGO2624,"28.439484,77.004601",3925,276,192
1543611990,2018-11-30T21:06:30Z,IGO2624,"28.423874,77.000793",4175,278,192
1543612002,2018-11-30T21:06:42Z,IGO2624,"28.408585,76.997047",4650,281,192
1543612012,2018-11-30T21:06:52Z,IGO2624,"28.392908,76.993156",5300,280,192
1543612026,2018-11-30T21:07:06Z,IGO2624,"28.377499,76.989334",5775,286,192
1543612036,2018-11-30T21:07:16Z,IGO2624,"28.361439,76.985352",6050,300,192
1543612048,2018-11-30T21:07:28Z,IGO2624,"28.345459,76.981361",6250,315,192
1543612060,2018-11-30T21:07:40Z,IGO2624,"28.326618,76.976677",6525,330,192
