Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1543783757,2018-12-02T20:49:17Z,IGO2624,"28.570587,77.071838",1750,168,285
1543783768,2018-12-02T20:49:28Z,IGO2624,"28.572601,77.063438",1925,179,284
1543783777,2018-12-02T20:49:37Z,IGO2624,"28.574936,77.053459",2100,192,284
1543783788,2018-12-02T20:49:48Z,IGO2624,"28.57744,77.042488",2275,205,284
1543783798,2018-12-02T20:49:58Z,IGO2624,"28.579815,77.03215",2400,220,284
1543783809,2018-12-02T20:50:09Z,IGO2624,"28.582609,77.019974",2600,236,284
1543783817,2018-12-02T20:50:17Z,IGO2624,"28.585144,77.008614",2875,250,284
1543783828,2018-12-02T20:50:28Z,IGO2624,"28.588335,76.994392",3275,259,284
1543783838,2018-12-02T20:50:38Z,IGO2624,"28.591187,76.981674",3800,261,284
1543783849,2018-12-02T20:50:49Z,IGO2624,"28.5942,76.968277",4375,262,284
1543783859,2018-12-02T20:50:59Z,IGO2624,"28.597504,76.953682",4950,264,284
1543783868,2018-12-02T20:51:08Z,IGO2624,"28.600433,76.940903",5450,267,284
1543783883,2018-12-02T20:51:23Z,IGO2624,"28.605232,76.919861",6275,268,284
1543783898,2018-12-02T20:51:38Z,IGO2624,"28.609772,76.89875",7100,271,280
1543783904,2018-12-02T20:51:44Z,IGO2624,"28.610399,76.891212",7325,275,273
1543783924,2018-12-02T20:52:04Z,IGO2624,"28.604301,76.862778",8250,286,241
1543783939,2018-12-02T20:52:19Z,IGO2624,"28.590958,76.846985",8825,296,216
1543783949,2018-12-02T20:52:29Z,IGO2624,"28.577499,76.839859",9000,312,197
1543783958,2018-12-02T20:52:38Z,IGO2624,"28.563721,76.838112",9150,325,180
1543783979,2018-12-02T20:52:59Z,IGO2624,"28.531168,76.84301",9725,342,169
1543783989,2018-12-02T20:53:09Z,IGO2624,"28.515713,76.846245",10150,345,169
1543784004,2018-12-02T20:53:24Z,IGO2624,"28.4909,76.850929",10750,350,170
1543784020,2018-12-02T20:53:40Z,IGO2624,"28.466949,76.855125",11275,356,171
1543784035,2018-12-02T20:53:55Z,IGO2624,"28.443237,76.859085",11925,359,171
1543784049,2018-12-02T20:54:09Z,IGO2624,"28.41679,76.861267",12550,361,179
1543784085,2018-12-02T20:54:45Z,IGO2624,"28.357864,76.858559",13825,370,182
