Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544216577,2018-12-07T21:02:57Z,IGO2624,"28.548569,77.057053",1825,178,280
1544216601,2018-12-07T21:03:21Z,IGO2624,"28.539967,77.033707",2150,222,218
1544216610,2018-12-07T21:03:30Z,IGO2624,"28.531401,77.028542",2250,238,203
1544216617,2018-12-07T21:03:37Z,IGO2624,"28.525223,77.0261",2400,248,197
1544216626,2018-12-07T21:03:46Z,IGO2624,"28.512779,77.022827",2725,262,190
1544216637,2018-12-07T21:03:57Z,IGO2624,"28.500584,77.020622",3175,268,188
1544216652,2018-12-07T21:04:12Z,IGO2624,"28.481964,77.017593",4075,268,188
1544216661,2018-12-07T21:04:21Z,IGO2624,"28.469788,77.015373",4600,272,189
1544216672,2018-12-07T21:04:32Z,IGO2624,"28.457153,77.012787",5100,275,190
1544216687,2018-12-07T21:04:47Z,IGO2624,"28.437691,77.00824",5925,278,192
1544216701,2018-12-07T21:05:01Z,IGO2624,"28.418518,77.003227",6425,292,193
1544216717,2018-12-07T21:05:17Z,IGO2624,"28.397564,76.99752",6725,314,193
1544216732,2018-12-07T21:05:32Z,IGO2624,"28.375534,76.991394",6925,327,193
1544216747,2018-12-07T21:05:47Z,IGO2624,"28.353477,76.985291",7150,332,193
1544216763,2018-12-07T21:06:03Z,IGO2624,"28.330673,76.978981",7400,330,193
1544216777,2018-12-07T21:06:17Z,IGO2624,"28.308416,76.973228",7650,328,190
1544216792,2018-12-07T21:06:32Z,IGO2624,"28.285767,76.969742",7900,327,187
1544216807,2018-12-07T21:06:47Z,IGO2624,"28.263586,76.96666",8000,327,186
1544216822,2018-12-07T21:07:02Z,IGO2624,"28.240173,76.963455",8225,327,187
1544216837,2018-12-07T21:07:17Z,IGO2624,"28.217499,76.960197",8750,332,187
1544216848,2018-12-07T21:07:28Z,IGO2624,"28.201447,76.957855",9250,334,187
1544216862,2018-12-07T21:07:42Z,IGO2624,"28.178255,76.954437",9825,341,187
1544216877,2018-12-07T21:07:57Z,IGO2624,"28.154388,76.950935",10425,346,187
1544216887,2018-12-07T21:08:07Z,IGO2624,"28.138454,76.948563",10825,349,188
1544216903,2018-12-07T21:08:23Z,IGO2624,"28.113968,76.943504",11425,353,190
1544216918,2018-12-07T21:08:38Z,IGO2624,"28.089294,76.938263",12075,355,190
1544216952,2018-12-07T21:09:12Z,IGO2624,"28.031988,76.926376",13550,360,190
1544216988,2018-12-07T21:09:48Z,IGO2624,"27.974808,76.914543",15150,358,190
1544217024,2018-12-07T21:10:24Z,IGO2624,"27.915655,76.90229",16375,367,190
1544217058,2018-12-07T21:10:58Z,IGO2624,"27.856339,76.889938",17275,383,190
1544217093,2018-12-07T21:11:33Z,IGO2624,"27.794758,76.877197",18750,380,190
1544217159,2018-12-07T21:12:39Z,IGO2624,"27.678703,76.853119",20650,394,190
1544217219,2018-12-07T21:13:39Z,IGO2624,"27.56535,76.845879",22075,414,182
1544217279,2018-12-07T21:14:39Z,IGO2624,"27.446688,76.840019",23425,427,182
1544217345,2018-12-07T21:15:45Z,IGO2624,"27.316132,76.833511",24900,438,182
1544217403,2018-12-07T21:16:43Z,IGO2624,"27.193954,76.827499",26125,447,182
1544217468,2018-12-07T21:17:48Z,IGO2624,"27.060928,76.820862",27525,452,182
1544217533,2018-12-07T21:18:53Z,IGO2624,"26.926931,76.814186",28775,456,182
1544217601,2018-12-07T21:20:01Z,IGO2624,"26.777033,76.806793",29775,468,182
1544217623,2018-12-07T21:20:23Z,IGO2624,"26.729364,76.804413",30125,470,182
1544217734,2018-12-07T21:22:14Z,IGO2624,"26.484283,76.792259",32075,472,182
1544217797,2018-12-07T21:23:17Z,IGO2624,"26.346426,76.785561",32825,479,182
1544217857,2018-12-07T21:24:17Z,IGO2624,"26.210724,76.778831",33400,487,182
1544217921,2018-12-07T21:25:21Z,IGO2624,"26.065483,76.771774",34100,493,182
1544217982,2018-12-07T21:26:22Z,IGO2624,"25.926151,76.765175",34975,489,182
1544218043,2018-12-07T21:27:23Z,IGO2624,"25.788116,76.758217",35000,490,182
1544218104,2018-12-07T21:28:24Z,IGO2624,"25.65065,76.751556",35000,491,182
1544218165,2018-12-07T21:29:25Z,IGO2624,"25.512255,76.744942",35000,491,182
1544218228,2018-12-07T21:30:28Z,IGO2624,"25.367432,76.737923",35000,489,182
1544218288,2018-12-07T21:31:28Z,IGO2624,"25.230522,76.731262",35000,488,182
1544218365,2018-12-07T21:32:45Z,IGO2624,"25.05744,76.727379",34975,499,176
1544218429,2018-12-07T21:33:49Z,IGO2624,"24.908474,76.746651",35000,506,172
1544218493,2018-12-07T21:34:53Z,IGO2624,"24.760065,76.767487",35000,503,172
1544218556,2018-12-07T21:35:56Z,IGO2624,"24.612762,76.787567",34975,502,172
1544218617,2018-12-07T21:36:57Z,IGO2624,"24.47172,76.806923",35000,503,172
1544218677,2018-12-07T21:37:57Z,IGO2624,"24.330597,76.826172",35000,504,172
1544218740,2018-12-07T21:39:00Z,IGO2624,"24.183655,76.846207",35000,505,172
1544218802,2018-12-07T21:40:02Z,IGO2624,"24.040512,76.865791",35025,505,172
1544218864,2018-12-07T21:41:04Z,IGO2624,"23.901123,76.884712",35025,504,172
1544218927,2018-12-07T21:42:07Z,IGO2624,"23.750952,76.905075",35000,504,172
1544218991,2018-12-07T21:43:11Z,IGO2624,"23.602497,76.925079",35000,504,172
1544219051,2018-12-07T21:44:11Z,IGO2624,"23.458883,76.944527",35000,505,172
1544219112,2018-12-07T21:45:12Z,IGO2624,"23.317179,76.963448",35000,505,172
1544219173,2018-12-07T21:46:13Z,IGO2624,"23.17403,76.983032",35000,506,171
1544219234,2018-12-07T21:47:14Z,IGO2624,"23.033249,77.016609",35025,511,166
1544219296,2018-12-07T21:48:16Z,IGO2624,"22.892994,77.052711",35025,508,166
1544219360,2018-12-07T21:49:20Z,IGO2624,"22.746643,77.090317",35000,507,166
1544219402,2018-12-07T21:50:02Z,IGO2624,"22.648222,77.115532",34975,507,166
1544219486,2018-12-07T21:51:26Z,IGO2624,"22.456474,77.164665",35000,510,166
1544219597,2018-12-07T21:53:17Z,IGO2624,"22.20281,77.229973",35025,506,166
1544219671,2018-12-07T21:54:31Z,IGO2624,"22.033453,77.27356",34975,505,166
1544219732,2018-12-07T21:55:32Z,IGO2624,"21.894379,77.309242",35000,504,166
1544219795,2018-12-07T21:56:35Z,IGO2624,"21.749588,77.346298",35000,503,166
1544219856,2018-12-07T21:57:36Z,IGO2624,"21.611389,77.381599",35000,502,166
1544219917,2018-12-07T21:58:37Z,IGO2624,"21.473053,77.414413",35025,499,168
1544219978,2018-12-07T21:59:38Z,IGO2624,"21.336044,77.44622",35000,498,167
1544220039,2018-12-07T22:00:39Z,IGO2624,"21.197981,77.478539",35000,498,167
1544220100,2018-12-07T22:01:40Z,IGO2624,"21.059647,77.510895",35000,498,167
1544220161,2018-12-07T22:02:41Z,IGO2624,"20.921219,77.543076",35025,496,167
1544220222,2018-12-07T22:03:42Z,IGO2624,"20.784531,77.573288",35000,494,168
1544220283,2018-12-07T22:04:43Z,IGO2624,"20.648293,77.601875",35000,491,168
1544220347,2018-12-07T22:05:47Z,IGO2624,"20.507126,77.631653",34975,490,168
1544220406,2018-12-07T22:06:46Z,IGO2624,"20.371864,77.660156",35000,489,168
1544220468,2018-12-07T22:07:48Z,IGO2624,"20.234619,77.689034",35000,489,168
1544220529,2018-12-07T22:08:49Z,IGO2624,"20.098883,77.717583",35025,489,168
1544220591,2018-12-07T22:09:51Z,IGO2624,"19.964172,77.745781",35025,486,168
1544220653,2018-12-07T22:10:53Z,IGO2624,"19.824457,77.775017",35000,484,168
1544220714,2018-12-07T22:11:54Z,IGO2624,"19.691025,77.802917",35000,483,168
1544220776,2018-12-07T22:12:56Z,IGO2624,"19.550449,77.832245",35000,484,168
1544220838,2018-12-07T22:13:58Z,IGO2624,"19.417145,77.860008",35000,484,168
1544220901,2018-12-07T22:15:01Z,IGO2624,"19.276657,77.889244",35025,483,168
1544220963,2018-12-07T22:16:03Z,IGO2624,"19.143311,77.916901",35000,484,168
1544221023,2018-12-07T22:17:03Z,IGO2624,"19.01049,77.944405",35025,481,168
1544221088,2018-12-07T22:18:08Z,IGO2624,"18.870695,77.973419",35000,479,168
1544221148,2018-12-07T22:19:08Z,IGO2624,"18.737694,78.000931",34975,480,168
1544221207,2018-12-07T22:20:07Z,IGO2624,"18.6064,78.027451",35000,476,171
1544221270,2018-12-07T22:21:10Z,IGO2624,"18.474014,78.040993",35000,474,174
1544221333,2018-12-07T22:22:13Z,IGO2624,"18.333939,78.054916",35000,474,174
1544221394,2018-12-07T22:23:14Z,IGO2624,"18.194916,78.068802",35025,472,174
1544221458,2018-12-07T22:24:18Z,IGO2624,"18.063107,78.081894",35000,470,174
1544221518,2018-12-07T22:25:18Z,IGO2624,"17.931152,78.095062",35000,469,174
1544221580,2018-12-07T22:26:20Z,IGO2624,"17.79315,78.108719",35000,468,174
1544221645,2018-12-07T22:27:25Z,IGO2624,"17.655588,78.122208",35000,468,174
1544221708,2018-12-07T22:28:28Z,IGO2624,"17.516722,78.135895",35000,467,174
1544221771,2018-12-07T22:29:31Z,IGO2624,"17.380508,78.14946",35000,463,174
1544221831,2018-12-07T22:30:31Z,IGO2624,"17.251701,78.161987",35000,463,174
1544221895,2018-12-07T22:31:35Z,IGO2624,"17.116333,78.175385",35000,459,174
1544221955,2018-12-07T22:32:35Z,IGO2624,"16.988728,78.187981",35000,455,174
1544222019,2018-12-07T22:33:39Z,IGO2624,"16.854584,78.201073",34975,454,174
1544222079,2018-12-07T22:34:39Z,IGO2624,"16.72822,78.213486",35000,452,174
1544222143,2018-12-07T22:35:43Z,IGO2624,"16.594757,78.226509",34975,453,174
1544222206,2018-12-07T22:36:46Z,IGO2624,"16.461336,78.239525",35000,456,174
1544222267,2018-12-07T22:37:47Z,IGO2624,"16.332962,78.252098",35025,460,174
