Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544302367,2018-12-08T20:52:47Z,IGO2624,"28.570877,77.068878",1825,170,284
1544302377,2018-12-08T20:52:57Z,IGO2624,"28.572926,77.059883",2025,182,284
1544302388,2018-12-08T20:53:08Z,IGO2624,"28.575348,77.0495",2225,195,284
1544302397,2018-12-08T20:53:17Z,IGO2624,"28.577721,77.039368",2450,207,284
1544302407,2018-12-08T20:53:27Z,IGO2624,"28.580383,77.028",2575,225,284
1544302417,2018-12-08T20:53:37Z,IGO2624,"28.583075,77.016258",2825,239,284
1544302427,2018-12-08T20:53:47Z,IGO2624,"28.586105,77.003281",3150,252,284
1544302437,2018-12-08T20:53:57Z,IGO2624,"28.58725,76.989967",3600,260,270
1544302457,2018-12-08T20:54:17Z,IGO2624,"28.578964,76.965675",4800,265,230
1544302467,2018-12-08T20:54:27Z,IGO2624,"28.570179,76.957504",5375,269,213
1544302475,2018-12-08T20:54:35Z,IGO2624,"28.559286,76.95282",5850,276,194
1544302481,2018-12-08T20:54:41Z,IGO2624,"28.551956,76.951256",6175,279,189
1544302488,2018-12-08T20:54:48Z,IGO2624,"28.544174,76.950089",6475,282,187
1544302495,2018-12-08T20:54:55Z,IGO2624,"28.531727,76.94873",6825,291,185
1544302502,2018-12-08T20:55:02Z,IGO2624,"28.523533,76.947922",7000,297,185
1544302514,2018-12-08T20:55:14Z,IGO2624,"28.50617,76.946037",7225,316,185
1544302526,2018-12-08T20:55:26Z,IGO2624,"28.487823,76.943802",7400,329,186
1544302538,2018-12-08T20:55:38Z,IGO2624,"28.469767,76.941513",7500,335,186
1544302552,2018-12-08T20:55:52Z,IGO2624,"28.450882,76.938995",7625,339,186
1544302563,2018-12-08T20:56:03Z,IGO2624,"28.431519,76.936409",7775,339,186
1544302575,2018-12-08T20:56:15Z,IGO2624,"28.412832,76.933861",7950,340,186
1544302587,2018-12-08T20:56:27Z,IGO2624,"28.393707,76.931236",8175,341,186
1544302598,2018-12-08T20:56:38Z,IGO2624,"28.37466,76.928696",8550,340,186
1544302610,2018-12-08T20:56:50Z,IGO2624,"28.356216,76.926109",9075,342,187
1544302623,2018-12-08T20:57:03Z,IGO2624,"28.336533,76.923416",9625,347,186
1544302633,2018-12-08T20:57:13Z,IGO2624,"28.317307,76.920776",10125,350,186
1544302647,2018-12-08T20:57:27Z,IGO2624,"28.297243,76.91803",10800,350,186
