Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544475083,2018-12-10T20:51:23Z,IGO2624,"28.537081,77.113579",2000,161,102
1544475094,2018-12-10T20:51:34Z,IGO2624,"28.534332,77.121964",2175,172,116
1544475103,2018-12-10T20:51:43Z,IGO2624,"28.528189,77.12925",2225,196,144
1544475113,2018-12-10T20:51:53Z,IGO2624,"28.519064,77.132858",2225,219,170
1544475139,2018-12-10T20:52:19Z,IGO2624,"28.490667,77.128006",2825,261,194
1544475148,2018-12-10T20:52:28Z,IGO2624,"28.478943,77.12471",3350,265,193
1544475159,2018-12-10T20:52:39Z,IGO2624,"28.466858,77.121643",3950,267,192
1544475169,2018-12-10T20:52:49Z,IGO2624,"28.454544,77.118851",4500,271,190
1544475179,2018-12-10T20:52:59Z,IGO2624,"28.441681,77.116203",5000,277,190
1544475193,2018-12-10T20:53:13Z,IGO2624,"28.422562,77.112549",5750,280,189
1544475204,2018-12-10T20:53:24Z,IGO2624,"28.409454,77.110077",6075,277,189
1544475219,2018-12-10T20:53:39Z,IGO2624,"28.391186,77.106682",6475,278,189
1544475234,2018-12-10T20:53:54Z,IGO2624,"28.371262,77.10302",6825,281,189
1544475249,2018-12-10T20:54:09Z,IGO2624,"28.351318,77.099304",7200,284,189
1544475264,2018-12-10T20:54:24Z,IGO2624,"28.331497,77.095604",7600,286,189
1544475280,2018-12-10T20:54:40Z,IGO2624,"28.311628,77.091331",8350,289,192
1544475294,2018-12-10T20:54:54Z,IGO2624,"28.29213,77.085152",9125,293,196
1544475309,2018-12-10T20:55:09Z,IGO2624,"28.272263,77.078545",9875,297,196
1544475324,2018-12-10T20:55:24Z,IGO2624,"28.252134,77.071892",10450,306,196
1544475339,2018-12-10T20:55:39Z,IGO2624,"28.230488,77.064781",10775,324,196
1544475354,2018-12-10T20:55:54Z,IGO2624,"28.207863,77.057297",11075,342,196
1544475370,2018-12-10T20:56:10Z,IGO2624,"28.185518,77.049919",11500,354,196
1544475379,2018-12-10T20:56:19Z,IGO2624,"28.169312,77.044586",11950,356,196
1544475395,2018-12-10T20:56:35Z,IGO2624,"28.14525,77.036728",12725,357,196
1544475429,2018-12-10T20:57:09Z,IGO2624,"28.08976,77.018578",14525,353,196
1544475465,2018-12-10T20:57:45Z,IGO2624,"28.032715,76.999847",15725,366,196
1544475500,2018-12-10T20:58:20Z,IGO2624,"27.975723,76.981201",17200,368,196
1544475530,2018-12-10T20:58:50Z,IGO2624,"27.925644,76.964722",18175,377,196
1544475595,2018-12-10T20:59:55Z,IGO2624,"27.813263,76.928032",20350,390,196
1544475646,2018-12-10T21:00:46Z,IGO2624,"27.723906,76.903503",21925,403,185
1544475656,2018-12-10T21:00:56Z,IGO2624,"27.705145,76.902023",22225,406,183
1544475720,2018-12-10T21:02:00Z,IGO2624,"27.579733,76.89315",23475,429,183
1544475785,2018-12-10T21:03:05Z,IGO2624,"27.44989,76.884293",25000,440,183
1544475822,2018-12-10T21:03:42Z,IGO2624,"27.371225,76.878944",25975,444,183
1544475911,2018-12-10T21:05:11Z,IGO2624,"27.186089,76.866211",27925,454,183
1544475964,2018-12-10T21:06:04Z,IGO2624,"27.07506,76.858658",28925,459,183
1544476050,2018-12-10T21:07:30Z,IGO2624,"26.889267,76.845894",30175,477,183
1544476065,2018-12-10T21:07:45Z,IGO2624,"26.853195,76.843559",30625,473,183
1544476155,2018-12-10T21:09:15Z,IGO2624,"26.661398,76.830666",32650,457,183
1544476214,2018-12-10T21:10:14Z,IGO2624,"26.537384,76.822212",33000,449,183
1544476279,2018-12-10T21:11:19Z,IGO2624,"26.400518,76.81292",33000,453,183
1544476292,2018-12-10T21:11:32Z,IGO2624,"26.374924,76.811226",33000,453,183
1544476381,2018-12-10T21:13:01Z,IGO2624,"26.192617,76.79892",33000,450,183
1544476445,2018-12-10T21:14:05Z,IGO2624,"26.061199,76.790207",33000,441,183
1544476505,2018-12-10T21:15:05Z,IGO2624,"25.933914,76.781685",33000,442,183
1544476566,2018-12-10T21:16:06Z,IGO2624,"25.80842,76.773293",33000,445,183
1544476628,2018-12-10T21:17:08Z,IGO2624,"25.681503,76.764885",33025,446,183
1544476689,2018-12-10T21:18:09Z,IGO2624,"25.554991,76.756393",33000,448,183
1544476753,2018-12-10T21:19:13Z,IGO2624,"25.422409,76.747688",33000,449,183
1544476813,2018-12-10T21:20:13Z,IGO2624,"25.295013,76.739296",33000,449,183
1544476875,2018-12-10T21:21:15Z,IGO2624,"25.167892,76.730804",33025,448,183
1544476937,2018-12-10T21:22:17Z,IGO2624,"25.0411,76.72271",32975,453,182
1544476996,2018-12-10T21:23:16Z,IGO2624,"24.912003,76.732582",32975,474,172
1544477059,2018-12-10T21:24:19Z,IGO2624,"24.776047,76.752419",33050,470,172
1544477120,2018-12-10T21:25:20Z,IGO2624,"24.644669,76.771492",33025,467,172
1544477183,2018-12-10T21:26:23Z,IGO2624,"24.50845,76.791168",33000,462,172
1544477245,2018-12-10T21:27:25Z,IGO2624,"24.378067,76.810097",32975,461,172
1544477306,2018-12-10T21:28:26Z,IGO2624,"24.248749,76.828712",33000,458,172
1544477367,2018-12-10T21:29:27Z,IGO2624,"24.119843,76.847282",32975,457,172
1544477430,2018-12-10T21:30:30Z,IGO2624,"23.988464,76.86615",33000,459,172
1544477493,2018-12-10T21:31:33Z,IGO2624,"23.856354,76.885071",33025,458,172
1544477553,2018-12-10T21:32:33Z,IGO2624,"23.72699,76.903687",33000,460,172
1544477614,2018-12-10T21:33:34Z,IGO2624,"23.596865,76.922226",32975,461,172
1544477674,2018-12-10T21:34:34Z,IGO2624,"23.469315,76.940453",32975,466,172
