Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544562624,2018-12-11T21:10:24Z,IGO2624,"28.537857,77.109657",1900,154,103
1544562633,2018-12-11T21:10:33Z,IGO2624,"28.536163,77.117577",2125,161,105
1544562639,2018-12-11T21:10:39Z,IGO2624,"28.534706,77.121872",2175,167,113
1544562649,2018-12-11T21:10:49Z,IGO2624,"28.529818,77.12941",2325,181,135
1544562659,2018-12-11T21:10:59Z,IGO2624,"28.522043,77.134148",2425,196,162
1544562665,2018-12-11T21:11:05Z,IGO2624,"28.517487,77.13485",2475,205,175
1544562688,2018-12-11T21:11:28Z,IGO2624,"28.491365,77.129944",2900,246,193
1544562694,2018-12-11T21:11:34Z,IGO2624,"28.485397,77.128357",3050,251,193
1544562704,2018-12-11T21:11:44Z,IGO2624,"28.473816,77.124763",3400,259,197
1544562715,2018-12-11T21:11:55Z,IGO2624,"28.462509,77.120064",3825,264,201
1544562723,2018-12-11T21:12:03Z,IGO2624,"28.451157,77.11499",4325,265,201
1544562735,2018-12-11T21:12:15Z,IGO2624,"28.439274,77.109642",4950,261,201
1544562745,2018-12-11T21:12:25Z,IGO2624,"28.42804,77.104691",5475,260,201
1544562758,2018-12-11T21:12:38Z,IGO2624,"28.411623,77.09774",6000,259,199
1544562775,2018-12-11T21:12:55Z,IGO2624,"28.393616,77.092072",6425,264,192
1544562794,2018-12-11T21:13:14Z,IGO2624,"28.36912,77.08654",6950,262,194
1544562804,2018-12-11T21:13:24Z,IGO2624,"28.357622,77.082451",7175,262,198
1544562814,2018-12-11T21:13:34Z,IGO2624,"28.34589,77.077599",7375,263,202
1544562820,2018-12-11T21:13:40Z,IGO2624,"28.340332,77.074692",7450,263,206
1544562830,2018-12-11T21:13:50Z,IGO2624,"28.329575,77.068192",7600,263,208
1544562838,2018-12-11T21:13:58Z,IGO2624,"28.319868,77.062035",7775,263,209
1544562854,2018-12-11T21:14:14Z,IGO2624,"28.302736,77.051048",8100,267,208
1544562865,2018-12-11T21:14:25Z,IGO2624,"28.291239,77.045128",8350,275,201
1544562875,2018-12-11T21:14:35Z,IGO2624,"28.278809,77.040764",8500,283,194
1544562884,2018-12-11T21:14:44Z,IGO2624,"28.2661,77.037964",8575,282,188
1544562891,2018-12-11T21:14:51Z,IGO2624,"28.259125,77.037086",8650,280,184
1544562899,2018-12-11T21:14:59Z,IGO2624,"28.246536,77.0364",8750,278,181
1544562905,2018-12-11T21:15:05Z,IGO2624,"28.239798,77.036186",8825,278,181
1544562920,2018-12-11T21:15:20Z,IGO2624,"28.220398,77.035713",9125,283,181
1544562935,2018-12-11T21:15:35Z,IGO2624,"28.200182,77.034897",9700,288,182
1544562949,2018-12-11T21:15:49Z,IGO2624,"28.180252,77.033752",10325,291,183
1544562966,2018-12-11T21:16:06Z,IGO2624,"28.159262,77.032204",10650,305,183
1544562980,2018-12-11T21:16:20Z,IGO2624,"28.137222,77.030693",10950,319,183
1544562995,2018-12-11T21:16:35Z,IGO2624,"28.114609,77.029373",11350,324,182
1544563010,2018-12-11T21:16:50Z,IGO2624,"28.091715,77.028267",11850,322,181
1544563026,2018-12-11T21:17:06Z,IGO2624,"28.069016,77.027733",12375,326,180
1544563056,2018-12-11T21:17:36Z,IGO2624,"28.021912,77.031113",13400,334,173
