Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544821920,2018-12-14T21:12:00Z,IGO2624,"28.545738,77.071892",1275,162,281
1544821931,2018-12-14T21:12:11Z,IGO2624,"28.546995,77.062897",1600,166,278
1544821941,2018-12-14T21:12:21Z,IGO2624,"28.547834,77.053848",1800,178,271
1544821961,2018-12-14T21:12:41Z,IGO2624,"28.53978,77.035645",2200,213,219
1544821976,2018-12-14T21:12:56Z,IGO2624,"28.525442,77.027946",2400,242,199
1544821986,2018-12-14T21:13:06Z,IGO2624,"28.513712,77.024933",2675,258,190
1544821996,2018-12-14T21:13:16Z,IGO2624,"28.501465,77.02256",3075,267,189
1544822011,2018-12-14T21:13:31Z,IGO2624,"28.483173,77.019005",3825,275,189
1544822021,2018-12-14T21:13:41Z,IGO2624,"28.470558,77.016418",4350,278,190
1544822031,2018-12-14T21:13:51Z,IGO2624,"28.457428,77.013367",4975,277,191
1544822041,2018-12-14T21:14:01Z,IGO2624,"28.444702,77.010094",5600,277,193
1544822056,2018-12-14T21:14:16Z,IGO2624,"28.425568,77.004761",6425,280,194
1544822071,2018-12-14T21:14:31Z,IGO2624,"28.406502,76.999352",7325,280,194
1544822086,2018-12-14T21:14:46Z,IGO2624,"28.387527,76.99398",8050,285,193
1544822100,2018-12-14T21:15:00Z,IGO2624,"28.369026,76.988739",8750,289,194
1544822116,2018-12-14T21:15:16Z,IGO2624,"28.348078,76.982765",9500,294,193
1544822132,2018-12-14T21:15:32Z,IGO2624,"28.327642,76.977112",10050,304,193
1544822146,2018-12-14T21:15:46Z,IGO2624,"28.30632,76.971886",10350,324,190
1544822161,2018-12-14T21:16:01Z,IGO2624,"28.283091,76.96833",10625,343,187
1544822176,2018-12-14T21:16:16Z,IGO2624,"28.258438,76.964882",11050,354,187
1544822192,2018-12-14T21:16:32Z,IGO2624,"28.233994,76.961449",11750,356,187
1544822206,2018-12-14T21:16:46Z,IGO2624,"28.211014,76.958176",12375,360,187
1544822241,2018-12-14T21:17:21Z,IGO2624,"28.15023,76.949585",13800,368,187
1544822271,2018-12-14T21:17:51Z,IGO2624,"28.099182,76.939735",15100,369,190
1544822308,2018-12-14T21:18:28Z,IGO2624,"28.039158,76.927292",16425,376,190
1544822343,2018-12-14T21:19:03Z,IGO2624,"27.977829,76.914543",17625,384,190
1544822376,2018-12-14T21:19:36Z,IGO2624,"27.916031,76.901756",18650,394,190
1544822443,2018-12-14T21:20:43Z,IGO2624,"27.798018,76.877304",21100,394,190
1544822508,2018-12-14T21:21:48Z,IGO2624,"27.678238,76.852585",22825,405,190
1544822572,2018-12-14T21:22:52Z,IGO2624,"27.552874,76.841179",24275,424,182
1544822638,2018-12-14T21:23:58Z,IGO2624,"27.424347,76.834961",25750,432,182
1544822703,2018-12-14T21:25:03Z,IGO2624,"27.292646,76.828552",27350,434,182
1544822767,2018-12-14T21:26:07Z,IGO2624,"27.163834,76.822365",28925,431,182
1544822816,2018-12-14T21:26:56Z,IGO2624,"27.066355,76.817513",29550,438,182
1544822856,2018-12-14T21:27:36Z,IGO2624,"26.98205,76.813446",29950,447,182
1544822975,2018-12-14T21:29:35Z,IGO2624,"26.743561,76.802261",32275,430,182
1544823045,2018-12-14T21:30:45Z,IGO2624,"26.601242,76.795311",32925,436,182
1544823099,2018-12-14T21:31:39Z,IGO2624,"26.490875,76.790031",33500,439,182
1544823185,2018-12-14T21:33:05Z,IGO2624,"26.314728,76.781792",34700,433,182
1544823248,2018-12-14T21:34:08Z,IGO2624,"26.188065,76.77562",35000,428,182
1544823311,2018-12-14T21:35:11Z,IGO2624,"26.06662,76.769821",35000,435,182
1544823373,2018-12-14T21:36:13Z,IGO2624,"25.943794,76.764061",35000,435,182
1544823436,2018-12-14T21:37:16Z,IGO2624,"25.814758,76.758018",35000,435,182
1544823499,2018-12-14T21:38:19Z,IGO2624,"25.686356,76.752068",35000,437,181
1544823560,2018-12-14T21:39:20Z,IGO2624,"25.560671,76.76075",35000,446,175
1544823620,2018-12-14T21:40:20Z,IGO2624,"25.436003,76.772514",34975,446,175
1544823681,2018-12-14T21:41:21Z,IGO2624,"25.310406,76.784431",35000,447,175
1544823745,2018-12-14T21:42:25Z,IGO2624,"25.177731,76.797028",35000,446,175
1544823804,2018-12-14T21:43:24Z,IGO2624,"25.051575,76.808945",35000,446,175
1544823867,2018-12-14T21:44:27Z,IGO2624,"24.92621,76.820763",35000,446,175
1544823929,2018-12-14T21:45:29Z,IGO2624,"24.793579,76.833191",35000,447,175
1544823993,2018-12-14T21:46:33Z,IGO2624,"24.667053,76.845116",35025,447,175
1544824054,2018-12-14T21:47:34Z,IGO2624,"24.535904,76.857399",35000,446,175
1544824116,2018-12-14T21:48:36Z,IGO2624,"24.410318,76.869164",35000,445,175
1544824176,2018-12-14T21:49:36Z,IGO2624,"24.284952,76.880875",35000,443,175
1544824239,2018-12-14T21:50:39Z,IGO2624,"24.159393,76.892494",34975,444,175
1544824299,2018-12-14T21:51:39Z,IGO2624,"24.0336,76.904144",34975,445,175
1544824361,2018-12-14T21:52:41Z,IGO2624,"23.905458,76.916008",35000,446,175
1544824424,2018-12-14T21:53:44Z,IGO2624,"23.77972,76.927719",35025,446,175
1544824485,2018-12-14T21:54:45Z,IGO2624,"23.651423,76.93959",35025,444,175
1544824546,2018-12-14T21:55:46Z,IGO2624,"23.524521,76.951241",35000,443,175
1544824610,2018-12-14T21:56:50Z,IGO2624,"23.394083,76.963249",34975,444,175
1544824671,2018-12-14T21:57:51Z,IGO2624,"23.267441,76.974808",35000,445,175
1544824733,2018-12-14T21:58:53Z,IGO2624,"23.141235,76.989388",35000,452,169
1544824793,2018-12-14T21:59:53Z,IGO2624,"23.016729,77.020622",35025,454,166
1544824853,2018-12-14T22:00:53Z,IGO2624,"22.894043,77.052162",35050,450,166
1544824918,2018-12-14T22:01:58Z,IGO2624,"22.764509,77.085472",34975,448,166
1544824978,2018-12-14T22:02:58Z,IGO2624,"22.640354,77.11721",34975,448,166
1544825042,2018-12-14T22:04:02Z,IGO2624,"22.510475,77.15052",35000,449,166
1544825055,2018-12-14T22:04:15Z,IGO2624,"22.484732,77.157082",35000,450,166
1544825143,2018-12-14T22:05:43Z,IGO2624,"22.304108,77.203369",35025,449,166
1544825205,2018-12-14T22:06:45Z,IGO2624,"22.181351,77.235008",35000,450,166
1544825264,2018-12-14T22:07:44Z,IGO2624,"22.057983,77.266747",35000,451,166
1544825326,2018-12-14T22:08:46Z,IGO2624,"21.933838,77.298653",35000,453,166
1544825390,2018-12-14T22:09:50Z,IGO2624,"21.803421,77.332062",35050,449,166
1544825449,2018-12-14T22:10:49Z,IGO2624,"21.681519,77.363335",35000,446,166
1544825510,2018-12-14T22:11:50Z,IGO2624,"21.559158,77.39389",34975,442,167
1544825574,2018-12-14T22:12:54Z,IGO2624,"21.431114,77.423607",34975,443,167
1544825636,2018-12-14T22:13:56Z,IGO2624,"21.307518,77.452545",34975,444,167
1544825698,2018-12-14T22:14:58Z,IGO2624,"21.180803,77.482147",35025,442,167
1544825761,2018-12-14T22:16:01Z,IGO2624,"21.057625,77.510887",35000,439,167
1544825822,2018-12-14T22:17:02Z,IGO2624,"20.935751,77.539307",35025,437,167
1544825883,2018-12-14T22:18:03Z,IGO2624,"20.815926,77.567223",35000,435,167
1544825946,2018-12-14T22:19:06Z,IGO2624,"20.689398,77.597137",35000,434,167
1544826007,2018-12-14T22:20:07Z,IGO2624,"20.569944,77.625198",35000,433,167
1544826067,2018-12-14T22:21:07Z,IGO2624,"20.450397,77.653366",35000,433,167
1544826132,2018-12-14T22:22:12Z,IGO2624,"20.324936,77.682808",35000,433,167
1544826191,2018-12-14T22:23:11Z,IGO2624,"20.207302,77.710342",35000,433,167
1544826253,2018-12-14T22:24:13Z,IGO2624,"20.0896,77.737885",35000,432,167
1544826313,2018-12-14T22:25:13Z,IGO2624,"19.96863,77.766174",34975,434,167
1544826375,2018-12-14T22:26:15Z,IGO2624,"19.844801,77.795036",35000,437,167
1544826439,2018-12-14T22:27:19Z,IGO2624,"19.723251,77.823372",35050,438,167
1544826499,2018-12-14T22:28:19Z,IGO2624,"19.601898,77.851624",35025,437,167
1544826562,2018-12-14T22:29:22Z,IGO2624,"19.476572,77.880684",35000,437,167
1544826624,2018-12-14T22:30:24Z,IGO2624,"19.349075,77.910233",34975,439,167
1544826686,2018-12-14T22:31:26Z,IGO2624,"19.2285,77.93824",35000,439,167
1544826746,2018-12-14T22:32:26Z,IGO2624,"19.105865,77.966881",35000,440,167
1544826809,2018-12-14T22:33:29Z,IGO2624,"18.983723,77.995338",35000,441,167
1544826868,2018-12-14T22:34:28Z,IGO2624,"18.864037,78.023407",35000,442,167
1544826931,2018-12-14T22:35:31Z,IGO2624,"18.739792,78.052567",35000,442,167
1544826991,2018-12-14T22:36:31Z,IGO2624,"18.617496,78.08123",35000,443,167
1544827052,2018-12-14T22:37:32Z,IGO2624,"18.495712,78.109749",35025,440,167
1544827112,2018-12-14T22:38:32Z,IGO2624,"18.37413,78.138153",35025,436,167
1544827174,2018-12-14T22:39:34Z,IGO2624,"18.253555,78.166206",34975,435,167
1544827236,2018-12-14T22:40:36Z,IGO2624,"18.132189,78.187981",35000,430,175
1544827296,2018-12-14T22:41:36Z,IGO2624,"18.009991,78.195335",35000,427,176
1544827359,2018-12-14T22:42:39Z,IGO2624,"17.888901,78.20256",34975,426,176
1544827422,2018-12-14T22:43:42Z,IGO2624,"17.761826,78.210228",35000,427,176
1544827488,2018-12-14T22:44:48Z,IGO2624,"17.633244,78.217804",35000,429,176
1544827521,2018-12-14T22:45:21Z,IGO2624,"17.566727,78.221741",35000,429,176
1544827605,2018-12-14T22:46:45Z,IGO2624,"17.400238,78.231712",35025,428,176
1544827697,2018-12-14T22:48:17Z,IGO2624,"17.215065,78.242569",35000,431,176
1544827761,2018-12-14T22:49:21Z,IGO2624,"17.087585,78.250122",35000,431,176
1544827821,2018-12-14T22:50:21Z,IGO2624,"16.966707,78.257233",35000,432,176
1544827884,2018-12-14T22:51:24Z,IGO2624,"16.839714,78.264687",35025,431,176
1544827945,2018-12-14T22:52:25Z,IGO2624,"16.718538,78.271797",35000,432,176
1544828008,2018-12-14T22:53:28Z,IGO2624,"16.591232,78.27932",35000,433,176
1544828069,2018-12-14T22:54:29Z,IGO2624,"16.468552,78.286514",35025,434,176
1544828150,2018-12-14T22:55:50Z,IGO2624,"16.304457,78.290779",35000,433,184
1544828211,2018-12-14T22:56:51Z,IGO2624,"16.184351,78.27533",35000,432,187
1544828276,2018-12-14T22:57:56Z,IGO2624,"16.057526,78.258652",35000,431,187
1544828335,2018-12-14T22:58:55Z,IGO2624,"15.937624,78.243011",35000,431,187
1544828398,2018-12-14T22:59:58Z,IGO2624,"15.810837,78.226318",34975,431,187
1544828462,2018-12-14T23:01:02Z,IGO2624,"15.684265,78.209793",35000,432,187
1544828522,2018-12-14T23:02:02Z,IGO2624,"15.564011,78.194084",35000,432,187
1544828582,2018-12-14T23:03:02Z,IGO2624,"15.443751,78.178322",35000,432,187
1544828648,2018-12-14T23:04:08Z,IGO2624,"15.317362,78.161934",35000,432,187
1544828706,2018-12-14T23:05:06Z,IGO2624,"15.196512,78.146141",35000,433,187
1544828769,2018-12-14T23:06:09Z,IGO2624,"15.069626,78.129662",35000,434,187
1544828835,2018-12-14T23:07:15Z,IGO2624,"14.943035,78.113235",35000,436,187
1544828895,2018-12-14T23:08:15Z,IGO2624,"14.816528,78.096832",34675,436,187
1544828959,2018-12-14T23:09:19Z,IGO2624,"14.692017,78.080734",32350,444,187
1544829020,2018-12-14T23:10:20Z,IGO2624,"14.563821,78.064125",30200,439,187
1544829080,2018-12-14T23:11:20Z,IGO2624,"14.442719,78.048485",28150,434,187
1544829143,2018-12-14T23:12:23Z,IGO2624,"14.319748,78.032661",26250,418,187
1544829150,2018-12-14T23:12:30Z,IGO2624,"14.306108,78.030876",26000,418,187
1544829242,2018-12-14T23:14:02Z,IGO2624,"14.134005,78.008713",23200,400,187
1544829306,2018-12-14T23:15:06Z,IGO2624,"14.016953,77.993034",21150,391,191
1544829316,2018-12-14T23:15:16Z,IGO2624,"13.99891,77.986931",20875,387,202
1544829328,2018-12-14T23:15:28Z,IGO2624,"13.981872,77.977005",20600,383,213
1544829338,2018-12-14T23:15:38Z,IGO2624,"13.968698,77.965202",20475,376,223
1544829348,2018-12-14T23:15:48Z,IGO2624,"13.955109,77.951645",20350,368,224
1544829354,2018-12-14T23:15:54Z,IGO2624,"13.947968,77.944496",20300,363,224
1544829417,2018-12-14T23:16:57Z,IGO2624,"13.875081,77.87114",19150,336,224
1544829481,2018-12-14T23:18:01Z,IGO2624,"13.806427,77.80191",18075,312,224
1544829545,2018-12-14T23:19:05Z,IGO2624,"13.743027,77.737648",16775,301,224
1544829577,2018-12-14T23:19:37Z,IGO2624,"13.710342,77.704689",15975,299,224
1544829611,2018-12-14T23:20:11Z,IGO2624,"13.676768,77.670738",15275,294,224
