Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544909346,2018-12-15T21:29:06Z,IGO2624,"28.571016,77.069794",1675,162,284
1544909357,2018-12-15T21:29:17Z,IGO2624,"28.573065,77.061066",1825,174,284
1544909366,2018-12-15T21:29:26Z,IGO2624,"28.575253,77.05159",2000,188,284
1544909377,2018-12-15T21:29:37Z,IGO2624,"28.577627,77.041306",2175,202,284
1544909387,2018-12-15T21:29:47Z,IGO2624,"28.580141,77.030586",2325,218,284
1544909396,2018-12-15T21:29:56Z,IGO2624,"28.582888,77.018684",2450,236,284
1544909407,2018-12-15T21:30:07Z,IGO2624,"28.585821,77.005974",2700,251,284
1544909416,2018-12-15T21:30:16Z,IGO2624,"28.5888,76.992889",3075,261,284
1544909426,2018-12-15T21:30:26Z,IGO2624,"28.591873,76.979263",3575,265,284
1544909436,2018-12-15T21:30:36Z,IGO2624,"28.594803,76.966515",4200,264,284
1544909442,2018-12-15T21:30:42Z,IGO2624,"28.596451,76.959122",4525,263,284
1544909451,2018-12-15T21:30:51Z,IGO2624,"28.599472,76.945816",5050,266,284
1544909462,2018-12-15T21:31:02Z,IGO2624,"28.602768,76.93129",5600,269,284
1544909477,2018-12-15T21:31:17Z,IGO2624,"28.60742,76.910759",6375,273,284
1544909488,2018-12-15T21:31:28Z,IGO2624,"28.609562,76.896004",6875,276,274
1544909512,2018-12-15T21:31:52Z,IGO2624,"28.599472,76.861992",8000,293,234
1544909518,2018-12-15T21:31:58Z,IGO2624,"28.593979,76.855438",8125,301,225
1544909527,2018-12-15T21:32:07Z,IGO2624,"28.581619,76.846725",8275,320,206
1544909537,2018-12-15T21:32:17Z,IGO2624,"28.566971,76.842606",8450,334,189
1544909547,2018-12-15T21:32:27Z,IGO2624,"28.551279,76.841286",8725,346,182
1544909573,2018-12-15T21:32:53Z,IGO2624,"28.510483,76.841492",9825,353,180
1544909587,2018-12-15T21:33:07Z,IGO2624,"28.485489,76.841072",10500,355,181
1544909602,2018-12-15T21:33:22Z,IGO2624,"28.459896,76.840263",11175,359,181
1544909617,2018-12-15T21:33:37Z,IGO2624,"28.434769,76.839333",11925,358,181
1544909633,2018-12-15T21:33:53Z,IGO2624,"28.40962,76.838272",12525,362,182
1544909663,2018-12-15T21:34:23Z,IGO2624,"28.358505,76.836227",13750,367,182
1544909697,2018-12-15T21:34:57Z,IGO2624,"28.298721,76.833733",15225,369,182
1544909733,2018-12-15T21:35:33Z,IGO2624,"28.23761,76.831268",16575,374,181
1544909768,2018-12-15T21:36:08Z,IGO2624,"28.176956,76.829086",17800,379,181
1544909798,2018-12-15T21:36:38Z,IGO2624,"28.123184,76.827232",18950,379,181
1544909863,2018-12-15T21:37:43Z,IGO2624,"28.007492,76.823166",21200,382,181
1544909923,2018-12-15T21:38:43Z,IGO2624,"27.89992,76.819366",22550,397,181
1544909989,2018-12-15T21:39:49Z,IGO2624,"27.777021,76.815033",24050,409,181
1544910055,2018-12-15T21:40:55Z,IGO2624,"27.651331,76.810593",25525,418,181
1544910119,2018-12-15T21:41:59Z,IGO2624,"27.525742,76.806404",27700,405,181
1544910179,2018-12-15T21:42:59Z,IGO2624,"27.417664,76.802673",29875,377,181
1544910223,2018-12-15T21:43:43Z,IGO2624,"27.339066,76.799721",30025,393,181
1544910309,2018-12-15T21:45:09Z,IGO2624,"27.178802,76.794121",30825,406,181
1544910333,2018-12-15T21:45:33Z,IGO2624,"27.133575,76.792618",31150,406,181
1544910422,2018-12-15T21:47:02Z,IGO2624,"26.969061,76.787041",32825,394,181
1544910486,2018-12-15T21:48:06Z,IGO2624,"26.853928,76.782982",33775,391,181
1544910547,2018-12-15T21:49:07Z,IGO2624,"26.743195,76.779144",34675,387,181
1544910610,2018-12-15T21:50:10Z,IGO2624,"26.629211,76.775208",35000,400,181
1544910671,2018-12-15T21:51:11Z,IGO2624,"26.513409,76.771248",35000,410,181
1544910733,2018-12-15T21:52:13Z,IGO2624,"26.397959,76.767288",35000,398,181
1544910745,2018-12-15T21:52:25Z,IGO2624,"26.376497,76.766495",35000,399,181
1544910834,2018-12-15T21:53:54Z,IGO2624,"26.21026,76.760895",35000,399,181
1544910896,2018-12-15T21:54:56Z,IGO2624,"26.093445,76.756813",35000,400,181
1544910966,2018-12-15T21:56:06Z,IGO2624,"25.969353,76.752548",35000,400,181
1544911026,2018-12-15T21:57:06Z,IGO2624,"25.852972,76.748642",35000,402,181
1544911090,2018-12-15T21:58:10Z,IGO2624,"25.734695,76.744637",35025,403,181
1544911150,2018-12-15T21:59:10Z,IGO2624,"25.621328,76.739449",35025,402,182
1544911215,2018-12-15T22:00:15Z,IGO2624,"25.503113,76.733757",35025,405,181
1544911275,2018-12-15T22:01:15Z,IGO2624,"25.3888,76.732712",35000,404,181
1544911336,2018-12-15T22:02:16Z,IGO2624,"25.274734,76.729073",35000,404,181
1544911400,2018-12-15T22:03:20Z,IGO2624,"25.155441,76.725105",35000,405,181
1544911459,2018-12-15T22:04:19Z,IGO2624,"25.040543,76.723885",35000,412,176
1544911523,2018-12-15T22:05:23Z,IGO2624,"24.918411,76.740364",35000,419,173
1544911585,2018-12-15T22:06:25Z,IGO2624,"24.801132,76.756645",35000,420,172
1544911647,2018-12-15T22:07:27Z,IGO2624,"24.677399,76.774139",35000,421,172
1544911711,2018-12-15T22:08:31Z,IGO2624,"24.553436,76.791435",35000,423,172
1544911775,2018-12-15T22:09:35Z,IGO2624,"24.429016,76.808876",35025,424,172
1544911835,2018-12-15T22:10:35Z,IGO2624,"24.311005,76.82531",35000,424,172
1544911900,2018-12-15T22:11:40Z,IGO2624,"24.186081,76.842751",35000,424,172
1544911960,2018-12-15T22:12:40Z,IGO2624,"24.067932,76.859184",35000,424,172
1544912023,2018-12-15T22:13:43Z,IGO2624,"23.944336,76.87632",35000,424,172
1544912084,2018-12-15T22:14:44Z,IGO2624,"23.825109,76.892845",35000,423,172
1544912145,2018-12-15T22:15:45Z,IGO2624,"23.707844,76.909119",35000,423,172
1544912209,2018-12-15T22:16:49Z,IGO2624,"23.582664,76.926376",35000,424,172
1544912269,2018-12-15T22:17:49Z,IGO2624,"23.464233,76.942696",35000,425,172
1544912332,2018-12-15T22:18:52Z,IGO2624,"23.340408,76.95974",35000,426,172
1544912397,2018-12-15T22:19:57Z,IGO2624,"23.215393,76.976959",35000,426,172
1544912457,2018-12-15T22:20:57Z,IGO2624,"23.096148,77.000427",35025,432,166
1544912520,2018-12-15T22:22:00Z,IGO2624,"22.971575,77.032417",35000,432,166
1544912581,2018-12-15T22:23:01Z,IGO2624,"22.85321,77.062851",35000,432,166
1544912640,2018-12-15T22:24:00Z,IGO2624,"22.738312,77.092361",35000,432,166
1544912671,2018-12-15T22:24:31Z,IGO2624,"22.678017,77.10775",35000,432,166
1544912760,2018-12-15T22:26:00Z,IGO2624,"22.503845,77.15239",35025,432,166
1544912795,2018-12-15T22:26:35Z,IGO2624,"22.435152,77.169952",35025,431,166
1544912997,2018-12-15T22:29:57Z,IGO2624,"22.045441,77.270195",34975,428,166
1544913056,2018-12-15T22:30:56Z,IGO2624,"21.927732,77.300415",34975,429,166
1544913119,2018-12-15T22:31:59Z,IGO2624,"21.806305,77.331512",35000,431,166
1544913182,2018-12-15T22:33:02Z,IGO2624,"21.682775,77.363129",35000,432,166
1544913244,2018-12-15T22:34:04Z,IGO2624,"21.561321,77.393494",35025,432,167
1544913307,2018-12-15T22:35:07Z,IGO2624,"21.439865,77.421669",35000,435,167
1544913366,2018-12-15T22:36:06Z,IGO2624,"21.318649,77.450066",35000,436,167
1544913427,2018-12-15T22:37:07Z,IGO2624,"21.197981,77.478279",35025,437,167
1544913488,2018-12-15T22:38:08Z,IGO2624,"21.076859,77.506546",35000,437,167
1544913552,2018-12-15T22:39:12Z,IGO2624,"20.954372,77.53511",35000,438,167
1544913614,2018-12-15T22:40:14Z,IGO2624,"20.832172,77.563576",35025,440,167
1544913675,2018-12-15T22:41:15Z,IGO2624,"20.709045,77.592659",35025,439,167
1544913737,2018-12-15T22:42:17Z,IGO2624,"20.586777,77.621498",35000,438,167
1544913797,2018-12-15T22:43:17Z,IGO2624,"20.4659,77.649818",35000,438,167
1544913859,2018-12-15T22:44:19Z,IGO2624,"20.343187,77.678734",35000,438,167
1544913918,2018-12-15T22:45:18Z,IGO2624,"20.222525,77.707001",35000,437,167
1544913978,2018-12-15T22:46:18Z,IGO2624,"20.104748,77.734566",35025,435,167
1544914041,2018-12-15T22:47:21Z,IGO2624,"19.980972,77.763489",35000,434,167
1544914103,2018-12-15T22:48:23Z,IGO2624,"19.858429,77.791985",34975,434,167
1544914166,2018-12-15T22:49:26Z,IGO2624,"19.73584,77.82058",34975,433,167
1544914229,2018-12-15T22:50:29Z,IGO2624,"19.61055,77.849709",35000,434,167
1544914292,2018-12-15T22:51:32Z,IGO2624,"19.48686,77.878387",35000,435,167
1544914352,2018-12-15T22:52:32Z,IGO2624,"19.365234,77.904785",35000,434,170
1544914416,2018-12-15T22:53:36Z,IGO2624,"19.24139,77.928719",35000,435,169
1544914476,2018-12-15T22:54:36Z,IGO2624,"19.121006,77.952339",35000,436,169
1544914539,2018-12-15T22:55:39Z,IGO2624,"18.99852,77.976448",35025,436,169
1544914599,2018-12-15T22:56:39Z,IGO2624,"18.878376,77.999985",35000,436,169
1544914661,2018-12-15T22:57:41Z,IGO2624,"18.754919,78.024155",35000,436,169
1544914722,2018-12-15T22:58:42Z,IGO2624,"18.631649,78.048225",35000,436,169
1544914785,2018-12-15T22:59:45Z,IGO2624,"18.507914,78.072395",35000,437,169
1544914847,2018-12-15T23:00:47Z,IGO2624,"18.383944,78.096565",35000,437,169
1544914909,2018-12-15T23:01:49Z,IGO2624,"18.258999,78.12088",35000,438,169
1544914970,2018-12-15T23:02:50Z,IGO2624,"18.136007,78.144821",35025,438,169
1544915033,2018-12-15T23:03:53Z,IGO2624,"18.0112,78.169052",35025,435,169
1544915094,2018-12-15T23:04:54Z,IGO2624,"17.88793,78.192932",35000,434,169
1544915157,2018-12-15T23:05:57Z,IGO2624,"17.764706,78.216721",34975,434,169
1544915218,2018-12-15T23:06:58Z,IGO2624,"17.64246,78.24041",35000,434,169
1544915279,2018-12-15T23:07:59Z,IGO2624,"17.521042,78.263756",35000,434,169
1544915340,2018-12-15T23:09:00Z,IGO2624,"17.400434,78.287056",35000,434,169
1544915403,2018-12-15T23:10:03Z,IGO2624,"17.278002,78.310593",35000,434,169
1544915464,2018-12-15T23:11:04Z,IGO2624,"17.157257,78.333771",35000,435,169
1544915500,2018-12-15T23:11:40Z,IGO2624,"17.084015,78.347839",35000,436,169
1544915589,2018-12-15T23:13:09Z,IGO2624,"16.907167,78.381714",35000,438,169
1544915654,2018-12-15T23:14:14Z,IGO2624,"16.775377,78.406975",35000,439,169
1544915717,2018-12-15T23:15:17Z,IGO2624,"16.648682,78.431206",35025,438,169
