Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545084799,2018-12-17T22:13:19Z,IGO2624,"28.54628,77.069305",1525,162,280
1545084809,2018-12-17T22:13:29Z,IGO2624,"28.547791,77.060745",1750,170,281
1545084819,2018-12-17T22:13:39Z,IGO2624,"28.548843,77.051346",1925,188,269
1545084829,2018-12-17T22:13:49Z,IGO2624,"28.547089,77.041573",2050,204,250
1545084840,2018-12-17T22:14:00Z,IGO2624,"28.541317,77.03215",2125,227,226
1545084849,2018-12-17T22:14:09Z,IGO2624,"28.531998,77.025566",2325,246,204
1545084860,2018-12-17T22:14:20Z,IGO2624,"28.519867,77.022034",2650,260,189
1545084869,2018-12-17T22:14:29Z,IGO2624,"28.507416,77.020393",3100,268,185
1545084875,2018-12-17T22:14:35Z,IGO2624,"28.501421,77.0196",3350,269,186
1545084885,2018-12-17T22:14:45Z,IGO2624,"28.488806,77.017609",3850,275,188
1545084895,2018-12-17T22:14:55Z,IGO2624,"28.475632,77.014915",4375,280,190
1545084905,2018-12-17T22:15:05Z,IGO2624,"28.462969,77.012009",4925,282,191
1545084915,2018-12-17T22:15:15Z,IGO2624,"28.450027,77.008827",5375,288,192
1545084930,2018-12-17T22:15:30Z,IGO2624,"28.429459,77.003593",5700,311,192
1545084945,2018-12-17T22:15:45Z,IGO2624,"28.407152,76.997841",6075,332,192
1545084960,2018-12-17T22:16:00Z,IGO2624,"28.384415,76.991974",6650,341,192
1545084976,2018-12-17T22:16:16Z,IGO2624,"28.360741,76.985832",7375,347,192
1545084990,2018-12-17T22:16:30Z,IGO2624,"28.338089,76.979935",8300,342,192
1545085000,2018-12-17T22:16:40Z,IGO2624,"28.321701,76.975708",8950,341,192
1545085015,2018-12-17T22:16:55Z,IGO2624,"28.297989,76.971024",9625,346,187
1545085030,2018-12-17T22:17:10Z,IGO2624,"28.273636,76.967522",10100,356,187
1545085045,2018-12-17T22:17:25Z,IGO2624,"28.248642,76.963913",10600,365,187
1545085060,2018-12-17T22:17:40Z,IGO2624,"28.222666,76.960197",11250,370,187
1545085071,2018-12-17T22:17:51Z,IGO2624,"28.205721,76.957718",11800,368,187
1545085085,2018-12-17T22:18:05Z,IGO2624,"28.180298,76.954155",12525,368,187
1545085121,2018-12-17T22:18:41Z,IGO2624,"28.120903,76.944687",14150,370,190
1545085155,2018-12-17T22:19:15Z,IGO2624,"28.060181,76.931923",15375,381,190
1545085191,2018-12-17T22:19:51Z,IGO2624,"27.998005,76.918945",16650,388,190
1545085226,2018-12-17T22:20:26Z,IGO2624,"27.93502,76.905777",17925,394,190
1545085261,2018-12-17T22:21:01Z,IGO2624,"27.870346,76.89238",18850,407,190
1545085326,2018-12-17T22:22:06Z,IGO2624,"27.746344,76.870125",20850,422,182
1545085392,2018-12-17T22:23:12Z,IGO2624,"27.618942,76.862892",23325,414,182
1545085457,2018-12-17T22:24:17Z,IGO2624,"27.495026,76.855896",25725,401,182
1545085518,2018-12-17T22:25:18Z,IGO2624,"27.383286,76.849571",27275,405,182
1545085583,2018-12-17T22:26:23Z,IGO2624,"27.261129,76.842972",28950,404,182
1545085644,2018-12-17T22:27:24Z,IGO2624,"27.143417,76.836357",29600,425,182
1545085664,2018-12-17T22:27:44Z,IGO2624,"27.103691,76.830406",29775,421,195
1545085673,2018-12-17T22:27:53Z,IGO2624,"27.087753,76.823509",29850,417,200
1545085679,2018-12-17T22:27:59Z,IGO2624,"27.077528,76.81736",29925,412,209
1545085689,2018-12-17T22:28:09Z,IGO2624,"27.06142,76.805893",30075,409,214
1545085697,2018-12-17T22:28:17Z,IGO2624,"27.049875,76.795441",30150,403,220
