Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545598547,2018-12-23T20:55:47Z,IGO2624,"28.569626,77.075111",1650,167,285
1545598553,2018-12-23T20:55:53Z,IGO2624,"28.571136,77.069038",1750,175,285
1545598565,2018-12-23T20:56:05Z,IGO2624,"28.573811,77.057838",2000,187,284
1545598575,2018-12-23T20:56:15Z,IGO2624,"28.576464,77.046471",2200,202,284
1545598581,2018-12-23T20:56:21Z,IGO2624,"28.577957,77.03978",2325,211,284
1545598587,2018-12-23T20:56:27Z,IGO2624,"28.579489,77.032959",2425,220,284
1545598594,2018-12-23T20:56:34Z,IGO2624,"28.581072,77.025955",2525,231,284
1545598600,2018-12-23T20:56:40Z,IGO2624,"28.582794,77.018364",2625,242,284
1545598606,2018-12-23T20:56:46Z,IGO2624,"28.584564,77.010498",2775,253,284
1545598612,2018-12-23T20:56:52Z,IGO2624,"28.58638,77.002541",2950,261,284
1545598625,2018-12-23T20:57:05Z,IGO2624,"28.590103,76.986267",3525,267,284
1545598636,2018-12-23T20:57:16Z,IGO2624,"28.593781,76.970268",4300,265,284
1545598643,2018-12-23T20:57:23Z,IGO2624,"28.595627,76.961922",4725,263,284
1545598659,2018-12-23T20:57:39Z,IGO2624,"28.599152,76.942062",5750,259,274
1545598679,2018-12-23T20:57:59Z,IGO2624,"28.592106,76.915016",6925,263,237
1545598687,2018-12-23T20:58:07Z,IGO2624,"28.583912,76.905052",7325,274,221
1545598693,2018-12-23T20:58:13Z,IGO2624,"28.577866,76.900337",7500,281,213
1545598700,2018-12-23T20:58:20Z,IGO2624,"28.570038,76.896217",7600,289,201
1545598708,2018-12-23T20:58:28Z,IGO2624,"28.558123,76.893311",7700,290,186
1545598734,2018-12-23T20:58:54Z,IGO2624,"28.526093,76.89785",7975,289,168
1545598741,2018-12-23T20:59:01Z,IGO2624,"28.514688,76.900528",7975,288,168
1545598752,2018-12-23T20:59:12Z,IGO2624,"28.499466,76.90419",8000,285,167
1545598766,2018-12-23T20:59:26Z,IGO2624,"28.483475,76.908096",8000,284,167
1545598778,2018-12-23T20:59:38Z,IGO2624,"28.467625,76.911942",8000,285,167
1545598792,2018-12-23T20:59:52Z,IGO2624,"28.452209,76.915604",8250,284,168
1545598804,2018-12-23T21:00:04Z,IGO2624,"28.436508,76.919243",8775,287,168
1545598813,2018-12-23T21:00:13Z,IGO2624,"28.420607,76.922981",9400,290,167
1545598830,2018-12-23T21:00:30Z,IGO2624,"28.400496,76.928154",10100,295,166
1545598842,2018-12-23T21:00:42Z,IGO2624,"28.384529,76.932571",10500,304,166
1545598854,2018-12-23T21:00:54Z,IGO2624,"28.367432,76.937469",10750,318,165
1545598865,2018-12-23T21:01:05Z,IGO2624,"28.349716,76.942535",10925,334,165
1545598878,2018-12-23T21:01:18Z,IGO2624,"28.330435,76.947975",11175,347,166
1545598891,2018-12-23T21:01:31Z,IGO2624,"28.311676,76.953102",11600,352,166
1545598900,2018-12-23T21:01:40Z,IGO2624,"28.29213,76.958328",12150,354,166
1545598917,2018-12-23T21:01:57Z,IGO2624,"28.267776,76.962395",12750,353,178
1545598937,2018-12-23T21:02:17Z,IGO2624,"28.234631,76.956856",13750,345,190
1545598944,2018-12-23T21:02:24Z,IGO2624,"28.225088,76.954865",13975,347,190
1545598974,2018-12-23T21:02:54Z,IGO2624,"28.17627,76.945229",15150,353,189
1545599008,2018-12-23T21:03:28Z,IGO2624,"28.12244,76.934883",16550,355,189
1545599040,2018-12-23T21:04:00Z,IGO2624,"28.068718,76.924492",17950,353,189
1545599073,2018-12-23T21:04:33Z,IGO2624,"28.015324,76.914101",19125,357,189
1545599137,2018-12-23T21:05:37Z,IGO2624,"27.9104,76.893623",21000,369,189
1545599197,2018-12-23T21:06:37Z,IGO2624,"27.805847,76.873154",22525,380,189
1545599260,2018-12-23T21:07:40Z,IGO2624,"27.695755,76.852165",24100,382,189
1545599324,2018-12-23T21:08:44Z,IGO2624,"27.583597,76.830559",25700,382,189
1545599384,2018-12-23T21:09:44Z,IGO2624,"27.477039,76.810013",26900,387,189
1545599447,2018-12-23T21:10:47Z,IGO2624,"27.364838,76.784225",27725,397,193
