Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546030600,2018-12-28T20:56:40Z,IGO2624,"28.547012,77.066612",1475,163,282
1546030613,2018-12-28T20:56:53Z,IGO2624,"28.548752,77.056259",1875,168,277
1546030637,2018-12-28T20:57:17Z,IGO2624,"28.540571,77.034676",2200,216,220
1546030646,2018-12-28T20:57:26Z,IGO2624,"28.53241,77.029587",2325,237,203
1546030652,2018-12-28T20:57:32Z,IGO2624,"28.52536,77.027153",2450,248,194
1546030660,2018-12-28T20:57:40Z,IGO2624,"28.514694,77.02504",2700,261,188
1546030668,2018-12-28T20:57:48Z,IGO2624,"28.507753,77.023857",2875,267,188
1546030676,2018-12-28T20:57:56Z,IGO2624,"28.496384,77.021873",3225,273,189
1546030682,2018-12-28T20:58:02Z,IGO2624,"28.488419,77.020287",3475,277,190
1546030689,2018-12-28T20:58:09Z,IGO2624,"28.48082,77.0186",3700,280,191
1546030698,2018-12-28T20:58:18Z,IGO2624,"28.46525,77.014755",4300,282,192
1546030706,2018-12-28T20:58:26Z,IGO2624,"28.457708,77.012817",4600,283,192
1546030712,2018-12-28T20:58:32Z,IGO2624,"28.449608,77.010712",4900,284,193
1546030719,2018-12-28T20:58:39Z,IGO2624,"28.442276,77.008774",5150,286,193
1546030731,2018-12-28T20:58:51Z,IGO2624,"28.426472,77.004463",5575,296,193
1546030741,2018-12-28T20:59:01Z,IGO2624,"28.409714,76.999886",6025,303,193
1546030753,2018-12-28T20:59:13Z,IGO2624,"28.393932,76.995529",6500,307,193
1546030767,2018-12-28T20:59:27Z,IGO2624,"28.376057,76.990623",6800,320,193
1546030777,2018-12-28T20:59:37Z,IGO2624,"28.357855,76.985619",7025,336,193
1546030790,2018-12-28T20:59:50Z,IGO2624,"28.339371,76.980568",7275,346,193
1546030802,2018-12-28T21:00:02Z,IGO2624,"28.320053,76.975388",7850,348,192
1546030815,2018-12-28T21:00:15Z,IGO2624,"28.301247,76.971558",8525,346,188
1546030827,2018-12-28T21:00:27Z,IGO2624,"28.28216,76.968758",9200,345,187
1546030838,2018-12-28T21:00:38Z,IGO2624,"28.262794,76.966011",9775,345,187
1546030851,2018-12-28T21:00:51Z,IGO2624,"28.244314,76.963379",10325,345,187
1546030864,2018-12-28T21:01:04Z,IGO2624,"28.224762,76.960518",10850,347,187
1546030874,2018-12-28T21:01:14Z,IGO2624,"28.204929,76.957664",11350,350,187
1546030887,2018-12-28T21:01:27Z,IGO2624,"28.184679,76.954758",11825,353,187
1546030899,2018-12-28T21:01:39Z,IGO2624,"28.164803,76.951904",12300,355,187
