Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546203103,2018-12-30T20:51:43Z,IGO2624,"28.54504,77.074478",1175,165,281
1546203112,2018-12-30T20:51:52Z,IGO2624,"28.546577,77.065697",1475,172,280
1546203123,2018-12-30T20:52:03Z,IGO2624,"28.548019,77.056519",1750,180,280
1546203148,2018-12-30T20:52:28Z,IGO2624,"28.53978,77.032257",2325,223,221
1546203156,2018-12-30T20:52:36Z,IGO2624,"28.532272,77.027527",2650,235,206
1546203164,2018-12-30T20:52:44Z,IGO2624,"28.524466,77.024231",2925,244,199
1546203173,2018-12-30T20:52:53Z,IGO2624,"28.513458,77.021294",3375,256,191
1546203179,2018-12-30T20:52:59Z,IGO2624,"28.507507,77.02018",3600,261,189
1546203187,2018-12-30T20:53:07Z,IGO2624,"28.495462,77.018417",4075,269,187
1546203193,2018-12-30T20:53:13Z,IGO2624,"28.489197,77.01754",4375,273,186
1546203203,2018-12-30T20:53:23Z,IGO2624,"28.47633,77.015617",5000,274,187
1546203218,2018-12-30T20:53:38Z,IGO2624,"28.457382,77.012154",5950,277,189
1546203233,2018-12-30T20:53:53Z,IGO2624,"28.437599,77.007645",6850,279,191
1546203248,2018-12-30T20:54:08Z,IGO2624,"28.41921,77.00296",7825,277,193
1546203257,2018-12-30T20:54:17Z,IGO2624,"28.406595,76.999512",8325,280,193
1546203273,2018-12-30T20:54:33Z,IGO2624,"28.387043,76.994072",8825,287,194
1546203288,2018-12-30T20:54:48Z,IGO2624,"28.366791,76.988388",9000,288,193
1546203303,2018-12-30T20:55:03Z,IGO2624,"28.346832,76.982841",9300,307,193
1546203317,2018-12-30T20:55:17Z,IGO2624,"28.327881,76.977501",9575,326,193
1546203333,2018-12-30T20:55:33Z,IGO2624,"28.301247,76.971184",10000,349,189
1546203349,2018-12-30T20:55:49Z,IGO2624,"28.277573,76.967789",10825,352,187
1546203363,2018-12-30T20:56:03Z,IGO2624,"28.253906,76.964508",11700,352,187
1546203379,2018-12-30T20:56:19Z,IGO2624,"28.227694,76.960899",12400,358,187
1546203414,2018-12-30T20:56:54Z,IGO2624,"28.169691,76.952553",14075,368,187
1546203450,2018-12-30T20:57:30Z,IGO2624,"28.109528,76.942383",15725,374,190
1546203485,2018-12-30T20:58:05Z,IGO2624,"28.049469,76.929756",17250,382,190
1546203514,2018-12-30T20:58:34Z,IGO2624,"27.994886,76.922714",18425,396,183
1546203579,2018-12-30T20:59:39Z,IGO2624,"27.874008,76.914505",20800,412,183
1546203640,2018-12-30T21:00:40Z,IGO2624,"27.75668,76.906357",22875,425,183
1546203705,2018-12-30T21:01:45Z,IGO2624,"27.625305,76.897247",24825,442,183
1546203771,2018-12-30T21:02:51Z,IGO2624,"27.492004,76.887924",26450,457,183
1546203794,2018-12-30T21:03:14Z,IGO2624,"27.441559,76.884445",27050,462,183
1546203842,2018-12-30T21:04:02Z,IGO2624,"27.338837,76.877609",28425,462,183
1546203931,2018-12-30T21:05:31Z,IGO2624,"27.142548,76.864235",30475,468,183
1546203996,2018-12-30T21:06:36Z,IGO2624,"27.001877,76.854652",32050,464,183
1546204034,2018-12-30T21:07:14Z,IGO2624,"26.922272,76.848999",32700,467,183
1546204123,2018-12-30T21:08:43Z,IGO2624,"26.730528,76.835953",33000,464,183
1546204186,2018-12-30T21:09:46Z,IGO2624,"26.595154,76.826721",33000,459,183
1546204248,2018-12-30T21:10:48Z,IGO2624,"26.460617,76.817619",33000,458,183
1546204288,2018-12-30T21:11:28Z,IGO2624,"26.378685,76.812019",33000,457,183
1546204377,2018-12-30T21:12:57Z,IGO2624,"26.193649,76.799614",33200,453,183
1546204439,2018-12-30T21:13:59Z,IGO2624,"26.059753,76.790703",34750,442,183
1546204499,2018-12-30T21:14:59Z,IGO2624,"25.944122,76.782616",35525,445,183
1546204562,2018-12-30T21:16:02Z,IGO2624,"25.811913,76.773758",36400,446,183
1546204651,2018-12-30T21:17:31Z,IGO2624,"25.626205,76.761528",37000,435,183
1546204714,2018-12-30T21:18:34Z,IGO2624,"25.498444,76.75293",37000,437,183
1546204776,2018-12-30T21:19:36Z,IGO2624,"25.375534,76.744637",37000,436,183
1546204796,2018-12-30T21:19:56Z,IGO2624,"25.33429,76.74189",37000,436,183
1546204965,2018-12-30T21:22:45Z,IGO2624,"24.987938,76.737328",37000,462,170
1546204980,2018-12-30T21:23:00Z,IGO2624,"24.957047,76.743164",37000,463,170
1546205069,2018-12-30T21:24:29Z,IGO2624,"24.769363,76.779327",37050,464,169
1546205129,2018-12-30T21:25:29Z,IGO2624,"24.640366,76.804657",37050,460,169
1546205191,2018-12-30T21:26:31Z,IGO2624,"24.512779,76.829468",37000,457,169
1546205251,2018-12-30T21:27:31Z,IGO2624,"24.385529,76.854195",36950,455,169
1546205314,2018-12-30T21:28:34Z,IGO2624,"24.257034,76.87912",36975,453,169
1546205324,2018-12-30T21:28:44Z,IGO2624,"24.234211,76.883514",36975,453,169
1546205412,2018-12-30T21:30:12Z,IGO2624,"24.053192,76.918488",36975,454,169
1546205475,2018-12-30T21:31:15Z,IGO2624,"23.921082,76.944023",37025,455,169
1546205536,2018-12-30T21:32:16Z,IGO2624,"23.794968,76.968384",37050,450,169
1546205598,2018-12-30T21:33:18Z,IGO2624,"23.669403,76.992493",37000,447,169
1546205658,2018-12-30T21:34:18Z,IGO2624,"23.546309,77.016029",36950,447,169
1546205723,2018-12-30T21:35:23Z,IGO2624,"23.41396,77.041374",36975,449,169
1546205783,2018-12-30T21:36:23Z,IGO2624,"23.288082,77.065376",37000,451,169
1546205844,2018-12-30T21:37:24Z,IGO2624,"23.16362,77.089119",37000,453,169
1546205907,2018-12-30T21:38:27Z,IGO2624,"23.031813,77.114204",37025,456,169
1546205969,2018-12-30T21:39:29Z,IGO2624,"22.90242,77.138802",37025,456,169
1546206031,2018-12-30T21:40:31Z,IGO2624,"22.774891,77.162987",37000,457,170
1546206094,2018-12-30T21:41:34Z,IGO2624,"22.640076,77.188492",37000,458,170
1546206154,2018-12-30T21:42:34Z,IGO2624,"22.515688,77.211967",37000,458,170
1546206219,2018-12-30T21:43:39Z,IGO2624,"22.381851,77.23719",37025,456,170
1546206278,2018-12-30T21:44:38Z,IGO2624,"22.255234,77.261002",37000,454,170
1546206340,2018-12-30T21:45:40Z,IGO2624,"22.129723,77.284546",36975,454,170
1546206405,2018-12-30T21:46:45Z,IGO2624,"21.995499,77.309746",36975,455,170
1546206465,2018-12-30T21:47:45Z,IGO2624,"21.870941,77.333015",37000,456,170
1546206525,2018-12-30T21:48:45Z,IGO2624,"21.743013,77.356926",37000,457,170
1546206589,2018-12-30T21:49:49Z,IGO2624,"21.611023,77.381554",37025,458,170
1546206651,2018-12-30T21:50:51Z,IGO2624,"21.47905,77.411812",37025,461,166
1546206717,2018-12-30T21:51:57Z,IGO2624,"21.345154,77.443825",37025,457,167
1546206780,2018-12-30T21:53:00Z,IGO2624,"21.215624,77.47406",37000,455,167
1546206842,2018-12-30T21:54:02Z,IGO2624,"21.08444,77.504524",36975,455,167
1546206903,2018-12-30T21:55:03Z,IGO2624,"20.958563,77.533913",36975,455,167
1546206968,2018-12-30T21:56:08Z,IGO2624,"20.828201,77.564362",37000,457,167
1546207027,2018-12-30T21:57:07Z,IGO2624,"20.701641,77.594238",37025,459,167
1546207091,2018-12-30T21:58:11Z,IGO2624,"20.570297,77.625275",37025,459,167
1546207152,2018-12-30T21:59:12Z,IGO2624,"20.443602,77.655014",37025,458,167
1546207215,2018-12-30T22:00:15Z,IGO2624,"20.31321,77.685677",37000,458,167
1546207277,2018-12-30T22:01:17Z,IGO2624,"20.181107,77.716553",37000,458,167
1546207341,2018-12-30T22:02:21Z,IGO2624,"20.048538,77.747597",37000,458,167
1546207401,2018-12-30T22:03:21Z,IGO2624,"19.923519,77.776764",37000,458,167
1546207462,2018-12-30T22:04:22Z,IGO2624,"19.796906,77.806351",37000,458,167
1546207522,2018-12-30T22:05:22Z,IGO2624,"19.672302,77.835289",37000,458,167
1546207584,2018-12-30T22:06:24Z,IGO2624,"19.543076,77.865303",37025,458,167
1546207645,2018-12-30T22:07:25Z,IGO2624,"19.41745,77.894417",37000,459,167
1546207706,2018-12-30T22:08:26Z,IGO2624,"19.291946,77.923233",37000,459,168
1546207766,2018-12-30T22:09:26Z,IGO2624,"19.163269,77.947701",37025,459,169
1546207831,2018-12-30T22:10:31Z,IGO2624,"19.029282,77.973648",37025,458,169
1546207891,2018-12-30T22:11:31Z,IGO2624,"18.90152,77.998512",37000,457,169
1546207952,2018-12-30T22:12:32Z,IGO2624,"18.774656,78.023254",37000,454,169
1546208014,2018-12-30T22:13:34Z,IGO2624,"18.647141,78.048004",37000,453,169
1546208076,2018-12-30T22:14:36Z,IGO2624,"18.520248,78.072594",36975,452,169
1546208137,2018-12-30T22:15:37Z,IGO2624,"18.391624,78.097565",37000,453,169
1546208199,2018-12-30T22:16:39Z,IGO2624,"18.263979,78.122284",37025,454,169
1546208263,2018-12-30T22:17:43Z,IGO2624,"18.134903,78.147194",37025,454,169
1546208324,2018-12-30T22:18:44Z,IGO2624,"18.004166,78.172348",37000,455,169
1546208388,2018-12-30T22:19:48Z,IGO2624,"17.873173,78.197693",36975,456,169
1546208451,2018-12-30T22:20:51Z,IGO2624,"17.74411,78.222466",36975,458,169
1546208513,2018-12-30T22:21:53Z,IGO2624,"17.609129,78.248405",37025,459,169
1546208577,2018-12-30T22:22:57Z,IGO2624,"17.479155,78.273369",37025,459,169
1546208638,2018-12-30T22:23:58Z,IGO2624,"17.348465,78.298355",37025,458,169
1546208699,2018-12-30T22:24:59Z,IGO2624,"17.220795,78.322739",37000,456,169
1546208762,2018-12-30T22:26:02Z,IGO2624,"17.090836,78.347557",36975,456,169
1546208801,2018-12-30T22:26:41Z,IGO2624,"17.008186,78.363319",36950,458,169
1546208900,2018-12-30T22:28:20Z,IGO2624,"16.805328,78.401909",37025,460,169
1546208971,2018-12-30T22:29:31Z,IGO2624,"16.652985,78.415688",37050,453,186
1546209031,2018-12-30T22:30:31Z,IGO2624,"16.527283,78.403976",37000,452,184
1546209094,2018-12-30T22:31:34Z,IGO2624,"16.393837,78.391869",37000,449,185
1546209158,2018-12-30T22:32:38Z,IGO2624,"16.262878,78.379601",36975,449,185
1546209217,2018-12-30T22:33:37Z,IGO2624,"16.137566,78.368027",36975,448,185
1546209281,2018-12-30T22:34:41Z,IGO2624,"16.006382,78.355911",37000,449,185
1546209343,2018-12-30T22:35:43Z,IGO2624,"15.880877,78.344337",37000,449,185
1546209405,2018-12-30T22:36:45Z,IGO2624,"15.747179,78.331932",37000,450,185
1546209466,2018-12-30T22:37:46Z,IGO2624,"15.622373,78.320503",37025,451,185
1546209529,2018-12-30T22:38:49Z,IGO2624,"15.488022,78.308189",37000,452,185
1546209589,2018-12-30T22:39:49Z,IGO2624,"15.362549,78.296669",37000,454,185
1546209654,2018-12-30T22:40:54Z,IGO2624,"15.22882,78.284355",37025,454,185
1546209714,2018-12-30T22:41:54Z,IGO2624,"15.101173,78.272682",37025,453,185
1546209777,2018-12-30T22:42:57Z,IGO2624,"14.974274,78.261063",37000,452,185
1546209839,2018-12-30T22:43:59Z,IGO2624,"14.839829,78.248848",36975,451,185
1546209899,2018-12-30T22:44:59Z,IGO2624,"14.714836,78.237404",36850,448,185
1546209960,2018-12-30T22:46:00Z,IGO2624,"14.588493,78.225983",34700,442,185
1546210023,2018-12-30T22:47:03Z,IGO2624,"14.460617,78.214371",32800,422,184
1546210084,2018-12-30T22:48:04Z,IGO2624,"14.345584,78.20401",30650,411,185
1546210126,2018-12-30T22:48:46Z,IGO2624,"14.265002,78.191284",28875,409,200
1546210132,2018-12-30T22:48:52Z,IGO2624,"14.254714,78.186424",28600,407,205
1546210138,2018-12-30T22:48:58Z,IGO2624,"14.244333,78.180153",28375,405,211
1546210145,2018-12-30T22:49:05Z,IGO2624,"14.234929,78.173172",28150,403,216
1546210206,2018-12-30T22:50:06Z,IGO2624,"14.145447,78.103653",26050,397,216
1546210270,2018-12-30T22:51:10Z,IGO2624,"14.051048,78.03064",23750,393,217
1546210335,2018-12-30T22:52:15Z,IGO2624,"13.959014,77.959129",21825,379,217
1546210396,2018-12-30T22:53:16Z,IGO2624,"13.874405,77.893539",20000,369,217
1546210460,2018-12-30T22:54:20Z,IGO2624,"13.789145,77.827393",18225,352,217
1546210525,2018-12-30T22:55:25Z,IGO2624,"13.705124,77.762459",15450,341,217
1546210557,2018-12-30T22:55:57Z,IGO2624,"13.663035,77.729858",13900,355,217
1546210590,2018-12-30T22:56:30Z,IGO2624,"13.622302,77.698448",13375,337,217
1546210623,2018-12-30T22:57:03Z,IGO2624,"13.581619,77.667038",12400,335,217
1546210654,2018-12-30T22:57:34Z,IGO2624,"13.541813,77.636238",11600,330,217
1546210665,2018-12-30T22:57:45Z,IGO2624,"13.529896,77.626984",11375,327,217
1546210680,2018-12-30T22:58:00Z,IGO2624,"13.509972,77.611664",11075,320,216
1546210692,2018-12-30T22:58:12Z,IGO2624,"13.497263,77.601929",10925,314,216
1546210704,2018-12-30T22:58:24Z,IGO2624,"13.483337,77.591179",10775,304,217
1546210714,2018-12-30T22:58:34Z,IGO2624,"13.470978,77.581566",10625,295,217
1546210727,2018-12-30T22:58:47Z,IGO2624,"13.459183,77.572441",10525,287,217
1546210736,2018-12-30T22:58:56Z,IGO2624,"13.448502,77.564468",10400,282,215
