Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546288606,2018-12-31T20:36:46Z,IGO2624,"28.569574,77.075661",1675,156,285
1546288612,2018-12-31T20:36:52Z,IGO2624,"28.570784,77.070435",1800,163,285
1546288619,2018-12-31T20:36:59Z,IGO2624,"28.572098,77.064972",1925,171,284
1546288631,2018-12-31T20:37:11Z,IGO2624,"28.574615,77.054199",2150,186,284
1546288643,2018-12-31T20:37:23Z,IGO2624,"28.577499,77.04184",2400,202,284
1546288649,2018-12-31T20:37:29Z,IGO2624,"28.57901,77.03508",2475,215,284
1546288660,2018-12-31T20:37:40Z,IGO2624,"28.582031,77.021294",2825,230,283
1546288666,2018-12-31T20:37:46Z,IGO2624,"28.583405,77.014954",3000,236,283
1546288678,2018-12-31T20:37:58Z,IGO2624,"28.586565,77.000801",3500,245,284
1546288684,2018-12-31T20:38:04Z,IGO2624,"28.588614,76.99192",3925,247,284
1546288691,2018-12-31T20:38:11Z,IGO2624,"28.5905,76.983582",4325,246,284
1546288697,2018-12-31T20:38:17Z,IGO2624,"28.592245,76.975815",4650,251,284
1546288709,2018-12-31T20:38:29Z,IGO2624,"28.594711,76.961395",5075,260,278
1546288731,2018-12-31T20:38:51Z,IGO2624,"28.585215,76.927559",5600,299,237
1546288741,2018-12-31T20:39:01Z,IGO2624,"28.574799,76.917503",5775,318,215
1546288747,2018-12-31T20:39:07Z,IGO2624,"28.565617,76.91275",5975,326,201
1546288754,2018-12-31T20:39:14Z,IGO2624,"28.556717,76.91011",6200,332,193
1546288761,2018-12-31T20:39:21Z,IGO2624,"28.547104,76.90863",6475,336,186
1546288768,2018-12-31T20:39:28Z,IGO2624,"28.533051,76.907997",6975,337,181
1546288774,2018-12-31T20:39:34Z,IGO2624,"28.523392,76.90789",7400,335,180
1546288782,2018-12-31T20:39:42Z,IGO2624,"28.513733,76.90773",7850,331,181
1546288793,2018-12-31T20:39:53Z,IGO2624,"28.495697,76.906937",8625,327,182
1546288805,2018-12-31T20:40:05Z,IGO2624,"28.476889,76.90564",9250,330,183
1546288818,2018-12-31T20:40:18Z,IGO2624,"28.457794,76.903976",9675,339,184
1546288829,2018-12-31T20:40:29Z,IGO2624,"28.440346,76.902359",10150,344,184
1546288842,2018-12-31T20:40:42Z,IGO2624,"28.419525,76.90023",10750,345,185
1546288855,2018-12-31T20:40:55Z,IGO2624,"28.400436,76.898277",11350,346,185
1546288866,2018-12-31T20:41:06Z,IGO2624,"28.38121,76.896324",11925,348,185
1546288879,2018-12-31T20:41:19Z,IGO2624,"28.361067,76.894333",12500,349,184
1546288910,2018-12-31T20:41:50Z,IGO2624,"28.306368,76.888733",13750,362,185
1546288944,2018-12-31T20:42:24Z,IGO2624,"28.250519,76.883011",15100,368,185
1546288978,2018-12-31T20:42:58Z,IGO2624,"28.192932,76.877151",16275,377,185
1546289007,2018-12-31T20:43:27Z,IGO2624,"28.141296,76.871864",17400,382,185
1546289041,2018-12-31T20:44:01Z,IGO2624,"28.081375,76.865791",18475,391,185
1546289105,2018-12-31T20:45:05Z,IGO2624,"27.965515,76.855911",20800,396,182
1546289165,2018-12-31T20:46:05Z,IGO2624,"27.852577,76.850525",22475,407,182
1546289228,2018-12-31T20:47:08Z,IGO2624,"27.73019,76.844772",24125,417,182
1546289291,2018-12-31T20:48:11Z,IGO2624,"27.606995,76.839005",25700,424,182
1546289354,2018-12-31T20:49:14Z,IGO2624,"27.482487,76.833153",27125,431,182
1546289418,2018-12-31T20:50:18Z,IGO2624,"27.354675,76.827339",28600,433,182
1546289481,2018-12-31T20:51:21Z,IGO2624,"27.226681,76.821213",29675,441,182
1546289542,2018-12-31T20:52:22Z,IGO2624,"27.103043,76.815628",31100,437,182
1546289608,2018-12-31T20:53:28Z,IGO2624,"26.969852,76.809433",32575,430,182
1546289672,2018-12-31T20:54:32Z,IGO2624,"26.844255,76.803574",33725,428,182
1546289731,2018-12-31T20:55:31Z,IGO2624,"26.725826,76.798187",34850,421,182
1546289795,2018-12-31T20:56:35Z,IGO2624,"26.604446,76.792564",35000,413,182
1546289843,2018-12-31T20:57:23Z,IGO2624,"26.510696,76.788216",35000,418,182
1546289923,2018-12-31T20:58:43Z,IGO2624,"26.358032,76.781273",35000,417,182
1546290037,2018-12-31T21:00:37Z,IGO2624,"26.136108,76.771164",35000,417,182
1546290100,2018-12-31T21:01:40Z,IGO2624,"26.015717,76.765671",35000,415,182
1546290153,2018-12-31T21:02:33Z,IGO2624,"25.912216,76.760956",35000,415,182
1546290242,2018-12-31T21:04:02Z,IGO2624,"25.736938,76.770073",35000,427,175
1546290303,2018-12-31T21:05:03Z,IGO2624,"25.616859,76.780289",35000,427,175
1546290317,2018-12-31T21:05:17Z,IGO2624,"25.589113,76.782616",35000,427,175
1546290520,2018-12-31T21:08:40Z,IGO2624,"25.184509,76.816917",35025,431,175
1546290534,2018-12-31T21:08:54Z,IGO2624,"25.157761,76.819206",35025,431,175
1546290623,2018-12-31T21:10:23Z,IGO2624,"24.979523,76.83416",35000,432,175
1546290685,2018-12-31T21:11:25Z,IGO2624,"24.856522,76.844543",35000,432,175
1546290745,2018-12-31T21:12:25Z,IGO2624,"24.734926,76.854706",35000,432,175
1546290806,2018-12-31T21:13:26Z,IGO2624,"24.612762,76.864876",35000,433,175
1546290867,2018-12-31T21:14:27Z,IGO2624,"24.491272,76.875053",35025,431,175
