Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546894722,2019-01-07T20:58:42Z,IGO2624,"28.547369,77.063438",1525,167,280
1546894733,2019-01-07T20:58:53Z,IGO2624,"28.548615,77.054092",1800,174,275
1546894757,2019-01-07T20:59:17Z,IGO2624,"28.538012,77.032684",2125,219,212
1546894764,2019-01-07T20:59:24Z,IGO2624,"28.53154,77.029236",2175,234,201
1546894778,2019-01-07T20:59:38Z,IGO2624,"28.516598,77.024284",2525,254,193
1546894788,2019-01-07T20:59:48Z,IGO2624,"28.505007,77.021591",2850,264,190
1546894803,2019-01-07T21:00:03Z,IGO2624,"28.486038,77.017807",3600,270,189
1546894813,2019-01-07T21:00:13Z,IGO2624,"28.474136,77.015427",4175,270,189
1546894822,2019-01-07T21:00:22Z,IGO2624,"28.461594,77.01284",4750,271,190
1546894832,2019-01-07T21:00:32Z,IGO2624,"28.449326,77.010254",5300,270,190
1546894848,2019-01-07T21:00:48Z,IGO2624,"28.430708,77.006241",6075,274,190
1546894863,2019-01-07T21:01:03Z,IGO2624,"28.41124,77.002068",6700,284,190
1546894878,2019-01-07T21:01:18Z,IGO2624,"28.391373,76.997841",7300,293,190
1546894893,2019-01-07T21:01:33Z,IGO2624,"28.370609,76.993477",7950,299,190
1546894908,2019-01-07T21:01:48Z,IGO2624,"28.349396,76.989021",8525,309,190
1546894923,2019-01-07T21:02:03Z,IGO2624,"28.327835,76.984528",9000,320,190
1546894939,2019-01-07T21:02:19Z,IGO2624,"28.305529,76.979858",9500,329,190
1546894954,2019-01-07T21:02:34Z,IGO2624,"28.282347,76.97506",10025,338,190
1546894968,2019-01-07T21:02:48Z,IGO2624,"28.258804,76.970161",10525,345,190
1546894984,2019-01-07T21:03:04Z,IGO2624,"28.235001,76.965248",11000,353,190
1546894998,2019-01-07T21:03:18Z,IGO2624,"28.211029,76.960251",11400,363,190
1546895009,2019-01-07T21:03:29Z,IGO2624,"28.193161,76.956589",11750,367,190
1546895028,2019-01-07T21:03:48Z,IGO2624,"28.158829,76.949509",12325,379,190
1546895065,2019-01-07T21:04:25Z,IGO2624,"28.096836,76.936768",13725,384,190
1546895100,2019-01-07T21:05:00Z,IGO2624,"28.035461,76.924263",15125,386,190
1546895135,2019-01-07T21:05:35Z,IGO2624,"27.972775,76.911407",16375,390,190
1546895168,2019-01-07T21:06:08Z,IGO2624,"27.910721,76.89875",17475,398,190
1546895205,2019-01-07T21:06:45Z,IGO2624,"27.84494,76.885277",18550,404,190
1546895269,2019-01-07T21:07:49Z,IGO2624,"27.724604,76.860672",20625,411,190
