Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549486212,2019-02-06T20:50:12Z,IGO2624,"28.557724,77.12693",1925,145,103
1549486220,2019-02-06T20:50:20Z,IGO2624,"28.556585,77.131668",2100,150,105
1549486227,2019-02-06T20:50:27Z,IGO2624,"28.555376,77.13652",2250,156,105
1549486238,2019-02-06T20:50:38Z,IGO2624,"28.552826,77.146317",2550,168,106
1549486246,2019-02-06T20:50:46Z,IGO2624,"28.550766,77.154396",2725,182,105
1549486254,2019-02-06T20:50:54Z,IGO2624,"28.548998,77.160378",2775,192,110
1549486260,2019-02-06T20:51:00Z,IGO2624,"28.54422,77.168076",2850,203,129
1549486267,2019-02-06T20:51:07Z,IGO2624,"28.539917,77.171768",2975,212,144
1549486273,2019-02-06T20:51:13Z,IGO2624,"28.53392,77.174995",3125,222,158
1549486282,2019-02-06T20:51:22Z,IGO2624,"28.524466,77.176857",3400,235,176
1549486303,2019-02-06T20:51:43Z,IGO2624,"28.501095,77.170769",4400,254,197
1549486313,2019-02-06T20:51:53Z,IGO2624,"28.490204,77.166809",4875,259,197
1549486319,2019-02-06T20:51:59Z,IGO2624,"28.48288,77.164169",5200,263,197
1549486330,2019-02-06T20:52:10Z,IGO2624,"28.468643,77.159096",5825,269,197
1549486342,2019-02-06T20:52:22Z,IGO2624,"28.454086,77.153969",6375,278,197
1549486354,2019-02-06T20:52:34Z,IGO2624,"28.438856,77.148689",6700,294,196
1549486368,2019-02-06T20:52:48Z,IGO2624,"28.422134,77.142982",7050,310,196
1549486381,2019-02-06T20:53:01Z,IGO2624,"28.405106,77.137161",7625,315,196
1549486390,2019-02-06T20:53:10Z,IGO2624,"28.388489,77.131416",8425,311,196
1549486403,2019-02-06T20:53:23Z,IGO2624,"28.372005,77.125748",9250,307,196
1549486414,2019-02-06T20:53:34Z,IGO2624,"28.35548,77.120041",9950,308,196
1549486428,2019-02-06T20:53:48Z,IGO2624,"28.338821,77.114304",10550,310,196
1549486439,2019-02-06T20:53:59Z,IGO2624,"28.322475,77.108673",11175,311,197
1549486454,2019-02-06T20:54:14Z,IGO2624,"28.301247,77.101349",11825,318,197
1549486466,2019-02-06T20:54:26Z,IGO2624,"28.283661,77.095238",12475,317,196
1549486499,2019-02-06T20:54:59Z,IGO2624,"28.237331,77.079323",14325,314,196
1549486533,2019-02-06T20:55:33Z,IGO2624,"28.192154,77.063759",15675,322,196
1549486565,2019-02-06T20:56:05Z,IGO2624,"28.142212,77.046593",17050,328,196
1549486597,2019-02-06T20:56:37Z,IGO2624,"28.097813,77.031395",18175,334,196
1549486661,2019-02-06T20:57:41Z,IGO2624,"28.001125,76.998276",20625,341,196
1549486723,2019-02-06T20:58:43Z,IGO2624,"27.904404,76.965088",22950,341,196
1549486776,2019-02-06T20:59:36Z,IGO2624,"27.819626,76.940575",24250,364,186
1549486783,2019-02-06T20:59:43Z,IGO2624,"27.808445,76.939583",24425,366,184
1549486789,2019-02-06T20:59:49Z,IGO2624,"27.798344,76.938736",24600,366,184
1549486857,2019-02-06T21:00:57Z,IGO2624,"27.684849,76.929543",26425,372,184
1549486919,2019-02-06T21:01:59Z,IGO2624,"27.574722,76.920723",27750,383,184
1549486978,2019-02-06T21:02:58Z,IGO2624,"27.466286,76.912117",29200,386,184
1549487042,2019-02-06T21:04:02Z,IGO2624,"27.351488,76.902977",30550,390,183
1549487106,2019-02-06T21:05:06Z,IGO2624,"27.23941,76.894241",32475,374,183
1549487165,2019-02-06T21:06:05Z,IGO2624,"27.138062,76.886314",34500,350,183
1549487232,2019-02-06T21:07:12Z,IGO2624,"27.036142,76.878044",36300,327,184
1549487295,2019-02-06T21:08:15Z,IGO2624,"26.937872,76.870071",36975,332,183
1549487358,2019-02-06T21:09:18Z,IGO2624,"26.841927,76.862465",37000,344,183
1549487420,2019-02-06T21:10:20Z,IGO2624,"26.744293,76.854912",37000,342,184
1549487482,2019-02-06T21:11:22Z,IGO2624,"26.642578,76.846878",37000,343,184
1549487548,2019-02-06T21:12:28Z,IGO2624,"26.536684,76.838699",36975,345,183
1549487621,2019-02-06T21:13:41Z,IGO2624,"26.420883,76.829567",37000,346,183
1549487684,2019-02-06T21:14:44Z,IGO2624,"26.321136,76.821693",37000,345,183
1549487708,2019-02-06T21:15:08Z,IGO2624,"26.283142,76.818741",37000,345,183
1549487797,2019-02-06T21:16:37Z,IGO2624,"26.139967,76.807693",37000,347,183
1549487870,2019-02-06T21:17:50Z,IGO2624,"26.020979,76.79834",37000,347,183
1549487895,2019-02-06T21:18:15Z,IGO2624,"25.979324,76.795105",37000,347,183
1549487974,2019-02-06T21:19:34Z,IGO2624,"25.852459,76.785294",37000,349,183
1549488098,2019-02-06T21:21:38Z,IGO2624,"25.652435,76.769814",37000,348,183
1549488161,2019-02-06T21:22:41Z,IGO2624,"25.549311,76.761841",36975,351,183
1549488222,2019-02-06T21:23:42Z,IGO2624,"25.450012,76.754303",37000,354,183
1549488285,2019-02-06T21:24:45Z,IGO2624,"25.345366,76.746239",37025,355,184
1549488346,2019-02-06T21:25:46Z,IGO2624,"25.245346,76.738586",37025,356,183
1549488407,2019-02-06T21:26:47Z,IGO2624,"25.145378,76.730896",37000,355,183
1549488471,2019-02-06T21:27:51Z,IGO2624,"25.038712,76.729332",36975,375,173
1549488530,2019-02-06T21:28:50Z,IGO2624,"24.933701,76.743874",37000,375,172
1549488595,2019-02-06T21:29:55Z,IGO2624,"24.823654,76.758934",37000,375,172
1549488654,2019-02-06T21:30:54Z,IGO2624,"24.71826,76.773445",37000,375,172
1549488717,2019-02-06T21:31:57Z,IGO2624,"24.613052,76.787849",36975,378,172
1549488778,2019-02-06T21:32:58Z,IGO2624,"24.501699,76.803085",37000,381,172
1549488842,2019-02-06T21:34:02Z,IGO2624,"24.39473,76.817627",37000,381,173
1549488900,2019-02-06T21:35:00Z,IGO2624,"24.28849,76.832161",37000,382,173
1549488966,2019-02-06T21:36:06Z,IGO2624,"24.177475,76.847176",37000,385,172
1549489025,2019-02-06T21:37:05Z,IGO2624,"24.068161,76.86203",37000,385,172
1549489089,2019-02-06T21:38:09Z,IGO2624,"23.956341,76.877197",37000,386,172
1549489149,2019-02-06T21:39:09Z,IGO2624,"23.847885,76.891838",36975,386,172
1549489211,2019-02-06T21:40:11Z,IGO2624,"23.737545,76.906784",37000,388,173
1549489270,2019-02-06T21:41:10Z,IGO2624,"23.628939,76.921501",37025,389,172
1549489332,2019-02-06T21:42:12Z,IGO2624,"23.519402,76.936241",37000,390,173
1549489394,2019-02-06T21:43:14Z,IGO2624,"23.404278,76.951698",37000,393,172
1549489457,2019-02-06T21:44:17Z,IGO2624,"23.294174,76.966469",37000,395,172
1549489520,2019-02-06T21:45:20Z,IGO2624,"23.177582,76.982101",37000,400,172
1549489580,2019-02-06T21:46:20Z,IGO2624,"23.064606,77.008415",37025,412,166
1549489640,2019-02-06T21:47:20Z,IGO2624,"22.95314,77.037148",37025,411,166
1549489704,2019-02-06T21:48:24Z,IGO2624,"22.834431,77.067619",37000,407,166
1549489768,2019-02-06T21:49:28Z,IGO2624,"22.718098,77.097527",37000,406,166
1549489831,2019-02-06T21:50:31Z,IGO2624,"22.600786,77.12748",36975,405,166
1549489894,2019-02-06T21:51:34Z,IGO2624,"22.484894,77.157082",36950,407,166
1549489930,2019-02-06T21:52:10Z,IGO2624,"22.418564,77.174011",36975,408,166
1549490021,2019-02-06T21:53:41Z,IGO2624,"22.251434,77.217056",37000,411,166
1549490082,2019-02-06T21:54:42Z,IGO2624,"22.139008,77.246025",37025,410,166
1549490146,2019-02-06T21:55:46Z,IGO2624,"22.020279,77.276459",37000,411,166
1549490206,2019-02-06T21:56:46Z,IGO2624,"21.907196,77.305496",37000,414,166
1549490270,2019-02-06T21:57:50Z,IGO2624,"21.788589,77.335907",37000,416,166
1549490334,2019-02-06T21:58:54Z,IGO2624,"21.667366,77.36689",37000,419,166
1549490394,2019-02-06T21:59:54Z,IGO2624,"21.551834,77.395584",37025,417,167
1549490455,2019-02-06T22:00:55Z,IGO2624,"21.436562,77.422333",37025,418,167
1549490516,2019-02-06T22:01:56Z,IGO2624,"21.323532,77.44883",37000,415,167
1549490579,2019-02-06T22:02:59Z,IGO2624,"21.201874,77.477234",36975,415,167
1549490642,2019-02-06T22:04:02Z,IGO2624,"21.082993,77.504997",37000,417,167
1549490704,2019-02-06T22:05:04Z,IGO2624,"20.966629,77.532135",37000,417,167
1549490766,2019-02-06T22:06:06Z,IGO2624,"20.850933,77.559082",37000,418,167
1549490834,2019-02-06T22:07:14Z,IGO2624,"20.718613,77.590256",37000,420,167
1549490900,2019-02-06T22:08:20Z,IGO2624,"20.592428,77.616859",37000,420,168
1549490961,2019-02-06T22:09:21Z,IGO2624,"20.475311,77.641411",37000,423,168
1549491023,2019-02-06T22:10:23Z,IGO2624,"20.358536,77.665932",37025,424,168
1549491083,2019-02-06T22:11:23Z,IGO2624,"20.241331,77.690468",37000,424,168
1549491147,2019-02-06T22:12:27Z,IGO2624,"20.117615,77.716454",37000,426,168
1549491206,2019-02-06T22:13:26Z,IGO2624,"19.99954,77.741104",37000,428,168
1549491270,2019-02-06T22:14:30Z,IGO2624,"19.874872,77.767075",37000,430,168
1549491333,2019-02-06T22:15:33Z,IGO2624,"19.75621,77.791832",36975,434,168
1549491395,2019-02-06T22:16:35Z,IGO2624,"19.630005,77.818024",37025,435,168
1549491454,2019-02-06T22:17:34Z,IGO2624,"19.511078,77.842796",37000,434,168
1549491519,2019-02-06T22:18:39Z,IGO2624,"19.384258,77.868996",37000,437,168
1549491580,2019-02-06T22:19:40Z,IGO2624,"19.265488,77.893654",37025,436,168
1549491641,2019-02-06T22:20:41Z,IGO2624,"19.142807,77.91906",37025,435,168
1549491703,2019-02-06T22:21:43Z,IGO2624,"19.017288,77.944954",37000,433,169
1549491765,2019-02-06T22:22:45Z,IGO2624,"18.899977,77.969124",36975,432,169
1549491828,2019-02-06T22:23:48Z,IGO2624,"18.772142,77.995392",36975,434,168
1549491889,2019-02-06T22:24:49Z,IGO2624,"18.651527,78.020256",37000,434,168
1549491950,2019-02-06T22:25:50Z,IGO2624,"18.530685,78.04496",36975,436,169
1549492014,2019-02-06T22:26:54Z,IGO2624,"18.404022,78.071007",37025,438,169
1549492072,2019-02-06T22:27:52Z,IGO2624,"18.284134,78.095528",37025,437,168
1549492134,2019-02-06T22:28:54Z,IGO2624,"18.161657,78.120491",37000,439,168
1549492195,2019-02-06T22:29:55Z,IGO2624,"18.040833,78.145226",37025,438,169
1549492257,2019-02-06T22:30:57Z,IGO2624,"17.918747,78.169991",37025,436,169
1549492319,2019-02-06T22:31:59Z,IGO2624,"17.793091,78.195625",36950,437,169
1549492381,2019-02-06T22:33:01Z,IGO2624,"17.671089,78.220451",37000,441,169
1549492442,2019-02-06T22:34:02Z,IGO2624,"17.545166,78.245979",37025,441,169
1549492503,2019-02-06T22:35:03Z,IGO2624,"17.421616,78.270988",37025,438,169
1549492565,2019-02-06T22:36:05Z,IGO2624,"17.299883,78.295586",37000,438,169
1549492625,2019-02-06T22:37:05Z,IGO2624,"17.179405,78.319916",37000,438,169
1549492686,2019-02-06T22:38:06Z,IGO2624,"17.056961,78.344231",37000,437,171
1549492747,2019-02-06T22:39:07Z,IGO2624,"16.934074,78.349197",37000,430,179
1549492809,2019-02-06T22:40:09Z,IGO2624,"16.809128,78.349915",37000,431,179
1549492872,2019-02-06T22:41:12Z,IGO2624,"16.686789,78.350616",37025,431,179
