Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549581715,2019-02-07T23:21:55Z,IGO2624,"28.56855,77.080025",1450,165,285
1549581721,2019-02-07T23:22:01Z,IGO2624,"28.569489,77.076225",1625,165,285
1549581734,2019-02-07T23:22:14Z,IGO2624,"28.572273,77.064728",1900,177,285
1549581745,2019-02-07T23:22:25Z,IGO2624,"28.574787,77.054176",2150,190,284
1549581752,2019-02-07T23:22:32Z,IGO2624,"28.576263,77.047806",2275,197,285
1549581765,2019-02-07T23:22:45Z,IGO2624,"28.579376,77.034546",2500,210,284
1549581771,2019-02-07T23:22:51Z,IGO2624,"28.580793,77.028267",2625,224,284
1549581782,2019-02-07T23:23:02Z,IGO2624,"28.583954,77.013947",3125,230,284
1549581793,2019-02-07T23:23:13Z,IGO2624,"28.587078,76.999832",3900,228,284
1549581800,2019-02-07T23:23:20Z,IGO2624,"28.588707,76.992561",4225,229,284
1549581806,2019-02-07T23:23:26Z,IGO2624,"28.590384,76.985023",4525,232,284
1549581814,2019-02-07T23:23:34Z,IGO2624,"28.591827,76.978561",4775,235,284
1549581820,2019-02-07T23:23:40Z,IGO2624,"28.593502,76.97113",5025,239,284
1549581830,2019-02-07T23:23:50Z,IGO2624,"28.596992,76.95562",5650,242,284
1549581843,2019-02-07T23:24:03Z,IGO2624,"28.600388,76.940796",6375,242,284
1549581856,2019-02-07T23:24:16Z,IGO2624,"28.603958,76.92511",6875,250,284
1549581866,2019-02-07T23:24:26Z,IGO2624,"28.607374,76.91011",7375,259,284
1549581879,2019-02-07T23:24:39Z,IGO2624,"28.610046,76.894211",7700,260,276
1549581899,2019-02-07T23:24:59Z,IGO2624,"28.602905,76.865211",8150,278,235
1549581906,2019-02-07T23:25:06Z,IGO2624,"28.597691,76.858681",8250,285,222
1549581912,2019-02-07T23:25:12Z,IGO2624,"28.591825,76.853836",8375,291,212
1549581918,2019-02-07T23:25:18Z,IGO2624,"28.583679,76.849739",8475,299,200
1549581924,2019-02-07T23:25:24Z,IGO2624,"28.574741,76.847801",8600,307,186
1549581930,2019-02-07T23:25:30Z,IGO2624,"28.565384,76.847427",8750,315,180
1549581953,2019-02-07T23:25:53Z,IGO2624,"28.534195,76.850845",8975,329,172
1549581970,2019-02-07T23:26:10Z,IGO2624,"28.506264,76.854591",9000,331,173
1549581981,2019-02-07T23:26:21Z,IGO2624,"28.488667,76.856529",9000,333,174
1549581995,2019-02-07T23:26:35Z,IGO2624,"28.469376,76.858398",9000,334,175
1549582006,2019-02-07T23:26:46Z,IGO2624,"28.451097,76.860031",9000,335,175
1549582017,2019-02-07T23:26:57Z,IGO2624,"28.431639,76.861588",9000,335,176
1549582044,2019-02-07T23:27:24Z,IGO2624,"28.390068,76.860405",9550,340,182
1549582056,2019-02-07T23:27:36Z,IGO2624,"28.371002,76.859398",10125,343,182
1549582072,2019-02-07T23:27:52Z,IGO2624,"28.345459,76.858078",10700,350,182
1549582085,2019-02-07T23:28:05Z,IGO2624,"28.326664,76.857117",11300,350,182
1549582096,2019-02-07T23:28:16Z,IGO2624,"28.306412,76.856125",11900,351,182
1549582108,2019-02-07T23:28:28Z,IGO2624,"28.287142,76.855072",12525,351,182
1549582143,2019-02-07T23:29:03Z,IGO2624,"28.232437,76.851952",14100,351,182
1549582174,2019-02-07T23:29:34Z,IGO2624,"28.180023,76.849838",15850,343,181
1549582207,2019-02-07T23:30:07Z,IGO2624,"28.126923,76.847672",17100,349,182
1549582242,2019-02-07T23:30:42Z,IGO2624,"28.071213,76.845299",18200,357,182
1549582304,2019-02-07T23:31:44Z,IGO2624,"27.965698,76.840805",20250,369,182
1549582365,2019-02-07T23:32:45Z,IGO2624,"27.861694,76.83651",22400,368,182
1549582430,2019-02-07T23:33:50Z,IGO2624,"27.749451,76.831696",23775,384,182
1549582489,2019-02-07T23:34:49Z,IGO2624,"27.641182,76.827179",25150,393,182
1549582552,2019-02-07T23:35:52Z,IGO2624,"27.52252,76.822319",26575,401,181
1549582612,2019-02-07T23:36:52Z,IGO2624,"27.416103,76.81794",29175,371,182
1549582676,2019-02-07T23:37:56Z,IGO2624,"27.30455,76.813194",30150,381,182
1549582739,2019-02-07T23:38:59Z,IGO2624,"27.190884,76.808487",30950,391,182
1549582800,2019-02-07T23:40:00Z,IGO2624,"27.081392,76.804047",32025,392,182
1549582863,2019-02-07T23:41:03Z,IGO2624,"26.969061,76.799561",33950,370,181
1549582923,2019-02-07T23:42:03Z,IGO2624,"26.867624,76.795227",35000,365,182
1549582988,2019-02-07T23:43:08Z,IGO2624,"26.756882,76.790703",35000,374,181
1549583041,2019-02-07T23:44:01Z,IGO2624,"26.665401,76.786934",35000,374,182
1549583234,2019-02-07T23:47:14Z,IGO2624,"26.331619,76.773445",35000,369,182
1549583296,2019-02-07T23:48:16Z,IGO2624,"26.226601,76.769028",34975,369,182
1549583360,2019-02-07T23:49:20Z,IGO2624,"26.117901,76.764748",35000,370,182
1549583419,2019-02-07T23:50:19Z,IGO2624,"26.016083,76.760643",35050,365,182
1549583481,2019-02-07T23:51:21Z,IGO2624,"25.912628,76.756393",35000,361,182
1549583540,2019-02-07T23:52:20Z,IGO2624,"25.811028,76.757851",34975,365,175
1549583605,2019-02-07T23:53:25Z,IGO2624,"25.702423,76.767326",34975,364,175
1549583665,2019-02-07T23:54:25Z,IGO2624,"25.601028,76.776123",34975,366,175
1549583725,2019-02-07T23:55:25Z,IGO2624,"25.497345,76.785072",35025,366,175
1549583789,2019-02-07T23:56:29Z,IGO2624,"25.390522,76.794327",35000,365,175
1549583850,2019-02-07T23:57:30Z,IGO2624,"25.288013,76.803299",35050,362,175
1549583913,2019-02-07T23:58:33Z,IGO2624,"25.182404,76.812492",35000,357,175
1549583974,2019-02-07T23:59:34Z,IGO2624,"25.083801,76.821083",35000,353,175
1549584035,2019-02-08T00:00:35Z,IGO2624,"24.983469,76.829674",34975,352,175
