Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550004982,2019-02-12T20:56:22Z,IGO2624,"28.537407,77.110023",1600,162,104
1550004988,2019-02-12T20:56:28Z,IGO2624,"28.536383,77.114548",1775,163,104
1550004994,2019-02-12T20:56:34Z,IGO2624,"28.535032,77.120094",1900,169,105
1550005001,2019-02-12T20:56:41Z,IGO2624,"28.533005,77.125504",1975,176,115
1550005008,2019-02-12T20:56:48Z,IGO2624,"28.530075,77.13015",2075,185,130
1550005017,2019-02-12T20:56:57Z,IGO2624,"28.524046,77.135223",2200,196,151
1550005024,2019-02-12T20:57:04Z,IGO2624,"28.515293,77.137268",2350,213,178
1550005047,2019-02-12T20:57:27Z,IGO2624,"28.492903,77.132858",2750,247,195
1550005056,2019-02-12T20:57:36Z,IGO2624,"28.481873,77.129303",3050,257,195
1550005066,2019-02-12T20:57:46Z,IGO2624,"28.468975,77.125153",3550,264,195
1550005074,2019-02-12T20:57:54Z,IGO2624,"28.461136,77.12265",3850,268,195
1550005085,2019-02-12T20:58:05Z,IGO2624,"28.447281,77.118317",4375,274,195
1550005097,2019-02-12T20:58:17Z,IGO2624,"28.431381,77.113358",4725,290,195
1550005103,2019-02-12T20:58:23Z,IGO2624,"28.423233,77.110764",4850,296,195
1550005111,2019-02-12T20:58:31Z,IGO2624,"28.415771,77.108444",5000,304,195
1550005122,2019-02-12T20:58:42Z,IGO2624,"28.398214,77.102913",5400,316,195
1550005132,2019-02-12T20:58:52Z,IGO2624,"28.381577,77.097717",6000,319,195
1550005146,2019-02-12T20:59:06Z,IGO2624,"28.362991,77.091911",6550,324,195
1550005157,2019-02-12T20:59:17Z,IGO2624,"28.346077,77.08654",6950,333,195
1550005169,2019-02-12T20:59:29Z,IGO2624,"28.327148,77.080658",7375,340,195
1550005181,2019-02-12T20:59:41Z,IGO2624,"28.30958,77.07518",7925,343,195
1550005193,2019-02-12T20:59:53Z,IGO2624,"28.290115,77.069145",8525,343,195
1550005205,2019-02-12T21:00:05Z,IGO2624,"28.272995,77.063759",9050,345,195
1550005217,2019-02-12T21:00:17Z,IGO2624,"28.253723,77.057785",9675,345,195
1550005229,2019-02-12T21:00:29Z,IGO2624,"28.235321,77.052032",10375,342,195
1550005241,2019-02-12T21:00:41Z,IGO2624,"28.216461,77.046112",11000,340,195
1550005254,2019-02-12T21:00:54Z,IGO2624,"28.198599,77.04055",11475,344,195
1550005266,2019-02-12T21:01:06Z,IGO2624,"28.178768,77.034355",11825,352,195
1550005278,2019-02-12T21:01:18Z,IGO2624,"28.160566,77.028755",12300,355,195
1550005311,2019-02-12T21:01:51Z,IGO2624,"28.107834,77.01226",14000,348,195
1550005344,2019-02-12T21:02:24Z,IGO2624,"28.054567,76.995689",15200,356,195
1550005377,2019-02-12T21:02:57Z,IGO2624,"28.002008,76.979424",16325,363,195
1550005410,2019-02-12T21:03:30Z,IGO2624,"27.94693,76.962296",17400,371,195
1550005441,2019-02-12T21:04:01Z,IGO2624,"27.895451,76.946289",18375,377,195
1550005505,2019-02-12T21:05:05Z,IGO2624,"27.791473,76.914192",21100,364,195
1550005567,2019-02-12T21:06:07Z,IGO2624,"27.688019,76.882172",22925,369,195
1550005630,2019-02-12T21:07:10Z,IGO2624,"27.582899,76.849838",24575,375,195
1550005690,2019-02-12T21:08:10Z,IGO2624,"27.480331,76.818275",26025,382,195
1550005733,2019-02-12T21:08:53Z,IGO2624,"27.406952,76.800186",26925,393,185
1550005739,2019-02-12T21:08:59Z,IGO2624,"27.395573,76.799347",27025,397,183
1550005745,2019-02-12T21:09:05Z,IGO2624,"27.385145,76.798874",27100,400,182
1550005810,2019-02-12T21:10:10Z,IGO2624,"27.25914,76.79454",28225,414,181
1550005876,2019-02-12T21:11:16Z,IGO2624,"27.134125,76.790291",29250,426,181
1550005936,2019-02-12T21:12:16Z,IGO2624,"27.013472,76.786194",30175,436,181
