Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550263579,2019-02-15T20:46:19Z,IGO2624,"28.568344,77.079025",1700,149,283
1550263591,2019-02-15T20:46:31Z,IGO2624,"28.570496,77.069458",1975,163,284
1550263598,2019-02-15T20:46:38Z,IGO2624,"28.571856,77.063438",2150,171,284
1550263607,2019-02-15T20:46:47Z,IGO2624,"28.573856,77.055038",2375,182,284
1550263618,2019-02-15T20:46:58Z,IGO2624,"28.576509,77.043777",2750,200,284
1550263625,2019-02-15T20:47:05Z,IGO2624,"28.57814,77.037033",2925,210,285
1550263631,2019-02-15T20:47:11Z,IGO2624,"28.579863,77.029724",3125,219,285
1550263637,2019-02-15T20:47:17Z,IGO2624,"28.581253,77.023987",3350,228,285
1550263648,2019-02-15T20:47:28Z,IGO2624,"28.584936,77.008453",3800,245,285
1550263655,2019-02-15T20:47:35Z,IGO2624,"28.586838,77.000267",4050,253,284
1550263661,2019-02-15T20:47:41Z,IGO2624,"28.588335,76.993752",4300,258,284
1550263673,2019-02-15T20:47:53Z,IGO2624,"28.592012,76.977646",4925,265,284
1550263680,2019-02-15T20:48:00Z,IGO2624,"28.594107,76.968384",5275,268,284
1550263691,2019-02-15T20:48:11Z,IGO2624,"28.597641,76.952942",5925,272,284
1550263702,2019-02-15T20:48:22Z,IGO2624,"28.601212,76.937149",6500,276,284
1550263715,2019-02-15T20:48:35Z,IGO2624,"28.605606,76.917923",7200,281,284
1550263726,2019-02-15T20:48:46Z,IGO2624,"28.609451,76.90097",7550,274,284
1550263738,2019-02-15T20:48:58Z,IGO2624,"28.61268,76.88475",7850,271,281
1550263763,2019-02-15T20:49:23Z,IGO2624,"28.60524,76.851006",8275,276,235
1550263773,2019-02-15T20:49:33Z,IGO2624,"28.596527,76.841339",8425,283,218
1550263779,2019-02-15T20:49:39Z,IGO2624,"28.590134,76.837112",8525,286,209
1550263785,2019-02-15T20:49:45Z,IGO2624,"28.582306,76.833893",8625,291,196
1550263812,2019-02-15T20:50:12Z,IGO2624,"28.543579,76.837273",9000,335,169
1550263819,2019-02-15T20:50:19Z,IGO2624,"28.53331,76.839401",9000,342,169
1550263829,2019-02-15T20:50:29Z,IGO2624,"28.515341,76.843277",9000,347,169
1550263842,2019-02-15T20:50:42Z,IGO2624,"28.494719,76.847748",9000,348,169
1550263854,2019-02-15T20:50:54Z,IGO2624,"28.476929,76.851532",9000,348,169
1550263866,2019-02-15T20:51:06Z,IGO2624,"28.456238,76.855865",9000,348,169
1550263878,2019-02-15T20:51:18Z,IGO2624,"28.437738,76.859596",9000,349,169
1550263890,2019-02-15T20:51:30Z,IGO2624,"28.417786,76.861671",9000,347,177
1550263911,2019-02-15T20:51:51Z,IGO2624,"28.384048,76.860085",9000,346,182
1550263923,2019-02-15T20:52:03Z,IGO2624,"28.365417,76.859032",9000,346,182
1550263936,2019-02-15T20:52:16Z,IGO2624,"28.345551,76.857971",9000,346,182
1550263947,2019-02-15T20:52:27Z,IGO2624,"28.326618,76.85701",9050,345,182
1550263961,2019-02-15T20:52:41Z,IGO2624,"28.30674,76.856041",9275,345,182
1550263972,2019-02-15T20:52:52Z,IGO2624,"28.288118,76.855072",9725,346,182
1550263984,2019-02-15T20:53:04Z,IGO2624,"28.268148,76.853996",10425,347,182
1550263995,2019-02-15T20:53:15Z,IGO2624,"28.250273,76.853027",11200,344,182
1550264009,2019-02-15T20:53:29Z,IGO2624,"28.229462,76.851898",11875,346,182
1550264020,2019-02-15T20:53:40Z,IGO2624,"28.21047,76.850822",12500,348,182
1550264055,2019-02-15T20:54:15Z,IGO2624,"28.154747,76.847588",13650,371,182
1550264086,2019-02-15T20:54:46Z,IGO2624,"28.096298,76.844398",15400,374,182
1550264120,2019-02-15T20:55:20Z,IGO2624,"28.038025,76.841179",16750,386,182
1550264153,2019-02-15T20:55:53Z,IGO2624,"27.978241,76.837906",18100,395,182
1550264216,2019-02-15T20:56:56Z,IGO2624,"27.860117,76.82972",20600,405,183
1550264277,2019-02-15T20:57:57Z,IGO2624,"27.744461,76.821587",22750,415,183
1550264339,2019-02-15T20:58:59Z,IGO2624,"27.620773,76.812881",24525,434,183
