Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550781886,2019-02-21T20:44:46Z,IGO2624,"28.570644,77.069359",2125,169,285
1550781892,2019-02-21T20:44:52Z,IGO2624,"28.572006,77.063965",2250,177,285
1550781899,2019-02-21T20:44:59Z,IGO2624,"28.573252,77.058914",2400,184,285
1550781911,2019-02-21T20:45:11Z,IGO2624,"28.576185,77.045715",2700,206,279
1550781944,2019-02-21T20:45:44Z,IGO2624,"28.562027,77.012314",3625,256,218
1550781950,2019-02-21T20:45:50Z,IGO2624,"28.553839,77.007484",3950,263,203
1550781956,2019-02-21T20:45:56Z,IGO2624,"28.545914,77.005341",4300,264,190
1550781962,2019-02-21T20:46:02Z,IGO2624,"28.538361,77.004547",4700,263,184
1550781968,2019-02-21T20:46:08Z,IGO2624,"28.53224,77.00425",5100,263,182
1550781974,2019-02-21T20:46:14Z,IGO2624,"28.525164,77.004036",5450,264,181
1550781981,2019-02-21T20:46:21Z,IGO2624,"28.517303,77.003914",5800,265,180
1550782002,2019-02-21T20:46:42Z,IGO2624,"28.490891,77.004547",7075,269,177
1550782013,2019-02-21T20:46:53Z,IGO2624,"28.474731,77.005394",7675,276,177
1550782026,2019-02-21T20:47:06Z,IGO2624,"28.459618,77.006294",7975,291,176
1550782037,2019-02-21T20:47:17Z,IGO2624,"28.442301,77.007378",8275,307,176
1550782049,2019-02-21T20:47:29Z,IGO2624,"28.424704,77.008507",8600,321,176
1550782061,2019-02-21T20:47:41Z,IGO2624,"28.407293,77.009583",8850,325,176
1550782073,2019-02-21T20:47:53Z,IGO2624,"28.388626,77.010712",9250,325,176
1550782085,2019-02-21T20:48:05Z,IGO2624,"28.370087,77.011887",9800,329,176
1550782099,2019-02-21T20:48:19Z,IGO2624,"28.351988,77.013031",10475,331,176
1550782109,2019-02-21T20:48:29Z,IGO2624,"28.334299,77.014587",11300,327,174
1550782121,2019-02-21T20:48:41Z,IGO2624,"28.314886,77.016693",11925,330,174
1550782150,2019-02-21T20:49:10Z,IGO2624,"28.273129,77.012169",13025,333,192
1550782156,2019-02-21T20:49:16Z,IGO2624,"28.264069,77.009827",13300,334,192
1550782191,2019-02-21T20:49:51Z,IGO2624,"28.208954,76.996307",15025,342,192
1550782223,2019-02-21T20:50:23Z,IGO2624,"28.156815,76.983475",16700,346,192
1550782257,2019-02-21T20:50:57Z,IGO2624,"28.106232,76.970848",17900,356,192
1550782289,2019-02-21T20:51:29Z,IGO2624,"28.055777,76.958206",19250,359,192
1550782351,2019-02-21T20:52:31Z,IGO2624,"27.950382,76.93187",21575,373,192
1550782416,2019-02-21T20:53:36Z,IGO2624,"27.84145,76.904617",23800,381,192
1550782476,2019-02-21T20:54:36Z,IGO2624,"27.731541,76.876991",25500,397,192
1550782540,2019-02-21T20:55:40Z,IGO2624,"27.620224,76.849159",26900,410,192
1550782600,2019-02-21T20:56:40Z,IGO2624,"27.501526,76.819839",28575,414,192
1550782663,2019-02-21T20:57:43Z,IGO2624,"27.388321,76.791481",29975,417,192
1550782725,2019-02-21T20:58:45Z,IGO2624,"27.268936,76.758934",31000,423,193
1550782789,2019-02-21T20:59:49Z,IGO2624,"27.14653,76.726135",31000,432,193
1550782848,2019-02-21T21:00:48Z,IGO2624,"27.02861,76.694778",31000,432,193
1550782912,2019-02-21T21:01:52Z,IGO2624,"26.905792,76.661926",31000,432,193
1550782976,2019-02-21T21:02:56Z,IGO2624,"26.7822,76.629059",31000,432,193
1550783039,2019-02-21T21:03:59Z,IGO2624,"26.658232,76.5961",31000,433,193
1550783066,2019-02-21T21:04:26Z,IGO2624,"26.602974,76.581467",31000,434,193
1550783163,2019-02-21T21:06:03Z,IGO2624,"26.409256,76.545273",32000,454,175
1550783170,2019-02-21T21:06:10Z,IGO2624,"26.395817,76.547188",32150,457,172
1550783256,2019-02-21T21:07:36Z,IGO2624,"26.2164,76.570091",33000,454,173
1550783275,2019-02-21T21:07:55Z,IGO2624,"26.176277,76.575027",33000,452,173
1550783364,2019-02-21T21:09:24Z,IGO2624,"25.991278,76.598106",33000,453,173
1550783416,2019-02-21T21:10:16Z,IGO2624,"25.88118,76.611862",33025,451,173
1550783520,2019-02-21T21:12:00Z,IGO2624,"25.664948,76.638397",33000,450,173
1550783581,2019-02-21T21:13:01Z,IGO2624,"25.540094,76.653732",32975,452,173
1550783587,2019-02-21T21:13:07Z,IGO2624,"25.526314,76.655449",33000,452,173
1550783619,2019-02-21T21:13:39Z,IGO2624,"25.458206,76.663765",32975,454,173
1550783680,2019-02-21T21:14:40Z,IGO2624,"25.332184,76.679688",33000,457,172
1550783770,2019-02-21T21:16:10Z,IGO2624,"25.144318,76.707001",33000,455,172
1550783834,2019-02-21T21:17:14Z,IGO2624,"25.008041,76.726379",33000,453,172
1550783895,2019-02-21T21:18:15Z,IGO2624,"24.881985,76.744217",32975,451,172
1550783956,2019-02-21T21:19:16Z,IGO2624,"24.75499,76.761993",33000,450,172
1550784019,2019-02-21T21:20:19Z,IGO2624,"24.624178,76.780495",33675,454,172
1550784041,2019-02-21T21:20:41Z,IGO2624,"24.579908,76.786766",34025,453,172
1550784161,2019-02-21T21:22:41Z,IGO2624,"24.335815,76.82119",36625,428,172
1550784221,2019-02-21T21:23:41Z,IGO2624,"24.217173,76.837601",37000,424,172
1550784293,2019-02-21T21:24:53Z,IGO2624,"24.074661,76.857399",37000,429,172
1550784358,2019-02-21T21:25:58Z,IGO2624,"23.949358,76.874916",37000,423,172
1550784418,2019-02-21T21:26:58Z,IGO2624,"23.833023,76.89119",36975,421,172
1550784479,2019-02-21T21:27:59Z,IGO2624,"23.713715,76.907806",36950,420,172
1550784543,2019-02-21T21:29:03Z,IGO2624,"23.590347,76.924896",36975,423,172
1550784604,2019-02-21T21:30:04Z,IGO2624,"23.469589,76.941597",37000,426,172
1550784667,2019-02-21T21:31:07Z,IGO2624,"23.344597,76.95887",37025,428,172
1550784689,2019-02-21T21:31:29Z,IGO2624,"23.303213,76.964569",37025,428,172
1550784815,2019-02-21T21:33:35Z,IGO2624,"23.054672,77.010918",37000,442,166
1550784874,2019-02-21T21:34:34Z,IGO2624,"22.93503,77.041626",37050,438,166
1550784938,2019-02-21T21:35:38Z,IGO2624,"22.814209,77.072784",37000,439,166
1550784998,2019-02-21T21:36:38Z,IGO2624,"22.69368,77.103645",36975,439,166
1550785059,2019-02-21T21:37:39Z,IGO2624,"22.570633,77.135063",37000,442,166
1550785120,2019-02-21T21:38:40Z,IGO2624,"22.444277,77.167206",37025,446,166
1550785184,2019-02-21T21:39:44Z,IGO2624,"22.321844,77.198639",37025,447,166
1550785244,2019-02-21T21:40:44Z,IGO2624,"22.198746,77.230392",37025,447,166
1550785305,2019-02-21T21:41:45Z,IGO2624,"22.077164,77.261848",37000,446,166
1550785366,2019-02-21T21:42:46Z,IGO2624,"21.952927,77.293816",37000,445,166
1550785428,2019-02-21T21:43:48Z,IGO2624,"21.832254,77.324776",36975,447,166
1550785489,2019-02-21T21:44:49Z,IGO2624,"21.708239,77.356567",36975,449,166
1550785549,2019-02-21T21:45:49Z,IGO2624,"21.584923,77.387901",37000,449,166
1550785610,2019-02-21T21:46:50Z,IGO2624,"21.460876,77.416557",37000,448,167
1550785674,2019-02-21T21:47:54Z,IGO2624,"21.33252,77.446472",37050,444,167
1550785733,2019-02-21T21:48:53Z,IGO2624,"21.212318,77.474922",36975,439,167
1550785762,2019-02-21T21:49:22Z,IGO2624,"21.151062,77.48922",36950,437,167
1550785849,2019-02-21T21:50:49Z,IGO2624,"20.97821,77.529144",37000,446,167
1550785912,2019-02-21T21:51:52Z,IGO2624,"20.851959,77.558716",37000,447,167
1550785974,2019-02-21T21:52:54Z,IGO2624,"20.728781,77.5877",37025,450,167
1550786037,2019-02-21T21:53:57Z,IGO2624,"20.599319,77.618309",37025,450,167
1550786099,2019-02-21T21:54:59Z,IGO2624,"20.470963,77.648575",37000,449,167
1550786163,2019-02-21T21:56:03Z,IGO2624,"20.341885,77.678886",36975,446,167
1550786222,2019-02-21T21:57:02Z,IGO2624,"20.222479,77.706795",36975,446,167
1550786288,2019-02-21T21:58:08Z,IGO2624,"20.091015,77.737556",37000,449,167
1550786349,2019-02-21T21:59:09Z,IGO2624,"19.962578,77.767525",37000,452,167
1550786412,2019-02-21T22:00:12Z,IGO2624,"19.839203,77.796295",37025,454,167
1550786474,2019-02-21T22:01:14Z,IGO2624,"19.70723,77.827103",37000,456,167
1550786537,2019-02-21T22:02:17Z,IGO2624,"19.577133,77.857162",37025,457,167
1550786599,2019-02-21T22:03:19Z,IGO2624,"19.446991,77.887428",37025,455,167
1550786661,2019-02-21T22:04:21Z,IGO2624,"19.320669,77.91674",37000,455,167
1550786725,2019-02-21T22:05:25Z,IGO2624,"19.191101,77.947311",36950,459,167
1550786787,2019-02-21T22:06:27Z,IGO2624,"19.056976,77.974289",37000,458,170
1550786849,2019-02-21T22:07:29Z,IGO2624,"18.926056,77.998909",37025,460,169
1550786913,2019-02-21T22:08:33Z,IGO2624,"18.793854,78.024605",37000,461,169
1550786975,2019-02-21T22:09:35Z,IGO2624,"18.659592,78.050552",37025,460,169
1550787038,2019-02-21T22:10:38Z,IGO2624,"18.52684,78.076256",37025,457,169
1550787102,2019-02-21T22:11:42Z,IGO2624,"18.396011,78.100975",36975,455,169
1550787165,2019-02-21T22:12:45Z,IGO2624,"18.263626,78.120888",37000,447,176
1550787226,2019-02-21T22:13:46Z,IGO2624,"18.140987,78.130501",36975,448,175
1550787290,2019-02-21T22:14:50Z,IGO2624,"18.006821,78.141464",36975,449,175
1550787352,2019-02-21T22:15:52Z,IGO2624,"17.874847,78.151917",37000,452,175
1550787413,2019-02-21T22:16:53Z,IGO2624,"17.749786,78.161705",37025,454,175
1550787476,2019-02-21T22:17:56Z,IGO2624,"17.61676,78.172401",37000,455,175
1550787536,2019-02-21T22:18:56Z,IGO2624,"17.490654,78.182045",37000,456,175
1550787598,2019-02-21T22:19:58Z,IGO2624,"17.357025,78.192543",37000,457,175
1550787661,2019-02-21T22:21:01Z,IGO2624,"17.228052,78.202988",37025,456,175
1550787721,2019-02-21T22:22:01Z,IGO2624,"17.097799,78.213142",37000,455,175
1550787783,2019-02-21T22:23:03Z,IGO2624,"16.96829,78.223343",36975,454,175
1550787845,2019-02-21T22:24:05Z,IGO2624,"16.837898,78.233597",37000,454,175
1550787906,2019-02-21T22:25:06Z,IGO2624,"16.711601,78.2435",36975,457,175
1550787967,2019-02-21T22:26:07Z,IGO2624,"16.580185,78.24968",37025,457,179
1550788029,2019-02-21T22:27:09Z,IGO2624,"16.447186,78.251884",37025,458,178
1550788090,2019-02-21T22:28:10Z,IGO2624,"16.318794,78.255173",37025,458,178
1550788152,2019-02-21T22:29:12Z,IGO2624,"16.185974,78.258461",37000,457,178
