Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550955373,2019-02-23T20:56:13Z,IGO2624,"28.568436,77.079865",1875,149,285
1550955379,2019-02-23T20:56:19Z,IGO2624,"28.569489,77.075539",2025,155,285
1550955386,2019-02-23T20:56:26Z,IGO2624,"28.570724,77.070465",2150,162,285
1550955398,2019-02-23T20:56:38Z,IGO2624,"28.573334,77.059319",2450,180,284
1550955409,2019-02-23T20:56:49Z,IGO2624,"28.575859,77.048897",2775,196,285
1550955416,2019-02-23T20:56:56Z,IGO2624,"28.577591,77.041466",3050,204,284
1550955428,2019-02-23T20:57:08Z,IGO2624,"28.580383,77.028999",3575,216,283
1550955439,2019-02-23T20:57:19Z,IGO2624,"28.583313,77.015114",3950,233,283
1550955446,2019-02-23T20:57:26Z,IGO2624,"28.585075,77.006996",4125,243,284
1550955458,2019-02-23T20:57:38Z,IGO2624,"28.587496,76.992081",4575,258,277
1550955479,2019-02-23T20:57:59Z,IGO2624,"28.57963,76.965958",5725,267,232
1550955491,2019-02-23T20:58:11Z,IGO2624,"28.566193,76.955109",6525,273,204
1550955498,2019-02-23T20:58:18Z,IGO2624,"28.559519,76.95298",6925,276,192
1550955505,2019-02-23T20:58:25Z,IGO2624,"28.548019,76.951149",7450,278,186
1550955512,2019-02-23T20:58:32Z,IGO2624,"28.539734,76.950127",7800,280,186
1550955519,2019-02-23T20:58:39Z,IGO2624,"28.531494,76.949158",8200,280,185
1550955540,2019-02-23T20:59:00Z,IGO2624,"28.504349,76.945915",9600,275,186
1550955550,2019-02-23T20:59:10Z,IGO2624,"28.489784,76.944092",10250,277,186
1550955562,2019-02-23T20:59:22Z,IGO2624,"28.474365,76.942116",10600,289,186
1550955575,2019-02-23T20:59:35Z,IGO2624,"28.457245,76.939735",10850,306,187
1550955589,2019-02-23T20:59:49Z,IGO2624,"28.438808,76.937149",11075,324,187
1550955599,2019-02-23T20:59:59Z,IGO2624,"28.421631,76.934723",11400,336,187
1550955611,2019-02-23T21:00:11Z,IGO2624,"28.40181,76.931976",11925,342,186
1550955625,2019-02-23T21:00:25Z,IGO2624,"28.382767,76.929436",12575,345,186
1550955657,2019-02-23T21:00:57Z,IGO2624,"28.328852,76.922554",14125,354,185
1550955689,2019-02-23T21:01:29Z,IGO2624,"28.274479,76.919106",16000,354,182
1550955724,2019-02-23T21:02:04Z,IGO2624,"28.220665,76.917061",17325,367,180
1550955755,2019-02-23T21:02:35Z,IGO2624,"28.16713,76.921478",18650,375,174
1550955817,2019-02-23T21:03:37Z,IGO2624,"28.054846,76.931114",20800,396,179
1550955881,2019-02-23T21:04:41Z,IGO2624,"27.939583,76.925949",23625,389,184
1550955942,2019-02-23T21:05:42Z,IGO2624,"27.823929,76.916786",25400,408,183
1550956018,2019-02-23T21:06:58Z,IGO2624,"27.677727,76.913116",27575,426,175
1550956081,2019-02-23T21:08:01Z,IGO2624,"27.551514,76.926842",28675,450,171
1550956144,2019-02-23T21:09:04Z,IGO2624,"27.420431,76.930389",29850,443,183
1550956171,2019-02-23T21:09:31Z,IGO2624,"27.368107,76.920303",30525,427,193
1550956235,2019-02-23T21:10:35Z,IGO2624,"27.246918,76.887764",32300,417,193
1550956288,2019-02-23T21:11:28Z,IGO2624,"27.14028,76.868431",33275,435,182
