Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551143982,2019-02-26T01:19:42Z,IGO2624,"28.56926,77.131104",2100,163,91
1551143992,2019-02-26T01:19:52Z,IGO2624,"28.569077,77.14045",2450,165,91
1551144002,2019-02-26T01:20:02Z,IGO2624,"28.568985,77.149483",2625,176,91
1551144017,2019-02-26T01:20:17Z,IGO2624,"28.568665,77.164322",3000,192,91
1551144028,2019-02-26T01:20:28Z,IGO2624,"28.568457,77.175026",3200,205,91
1551144037,2019-02-26T01:20:37Z,IGO2624,"28.568178,77.186226",3400,222,91
1551144048,2019-02-26T01:20:48Z,IGO2624,"28.567886,77.196861",3625,236,91
1551144057,2019-02-26T01:20:57Z,IGO2624,"28.56752,77.211014",3850,248,91
1551144068,2019-02-26T01:21:08Z,IGO2624,"28.567154,77.224625",4050,254,91
1551144078,2019-02-26T01:21:18Z,IGO2624,"28.56514,77.23822",4275,257,107
1551144089,2019-02-26T01:21:29Z,IGO2624,"28.559612,77.249825",4500,258,122
1551144098,2019-02-26T01:21:38Z,IGO2624,"28.550858,77.259506",4750,259,142
1551144107,2019-02-26T01:21:47Z,IGO2624,"28.540421,77.265053",4975,261,163
1551144113,2019-02-26T01:21:53Z,IGO2624,"28.534241,77.266319",5125,266,173
1551144133,2019-02-26T01:22:13Z,IGO2624,"28.50901,77.26049",5650,294,199
1551144141,2019-02-26T01:22:21Z,IGO2624,"28.500961,77.257019",5775,301,201
1551144152,2019-02-26T01:22:32Z,IGO2624,"28.485443,77.250099",6075,316,201
1551144163,2019-02-26T01:22:43Z,IGO2624,"28.468323,77.242447",6575,324,201
1551144174,2019-02-26T01:22:54Z,IGO2624,"28.451471,77.235069",7175,326,200
1551144189,2019-02-26T01:23:09Z,IGO2624,"28.43434,77.227692",7675,333,200
1551144199,2019-02-26T01:23:19Z,IGO2624,"28.416641,77.220154",8275,336,200
1551144211,2019-02-26T01:23:31Z,IGO2624,"28.399155,77.212708",8925,336,200
1551144223,2019-02-26T01:23:43Z,IGO2624,"28.381178,77.205132",9675,333,200
1551144235,2019-02-26T01:23:55Z,IGO2624,"28.363953,77.197807",10425,330,200
1551144248,2019-02-26T01:24:08Z,IGO2624,"28.346821,77.190536",11025,331,200
1551144260,2019-02-26T01:24:20Z,IGO2624,"28.329643,77.183212",11575,333,200
1551144271,2019-02-26T01:24:31Z,IGO2624,"28.312046,77.17572",12150,333,200
1551144306,2019-02-26T01:25:06Z,IGO2624,"28.26416,77.155396",13975,327,200
