Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551214086,2019-02-26T20:48:06Z,IGO2624,"28.537266,77.111046",1975,162,104
1551214097,2019-02-26T20:48:17Z,IGO2624,"28.535156,77.120064",2300,164,105
1551214107,2019-02-26T20:48:27Z,IGO2624,"28.531494,77.12825",2500,179,124
1551214116,2019-02-26T20:48:36Z,IGO2624,"28.525314,77.134483",2625,196,146
1551214122,2019-02-26T20:48:42Z,IGO2624,"28.520647,77.136681",2650,211,162
1551214146,2019-02-26T20:49:06Z,IGO2624,"28.492905,77.133743",3125,258,194
1551214157,2019-02-26T20:49:17Z,IGO2624,"28.48114,77.130203",3525,264,194
1551214168,2019-02-26T20:49:28Z,IGO2624,"28.468918,77.12677",4075,263,193
1551214177,2019-02-26T20:49:37Z,IGO2624,"28.45701,77.123703",4700,261,192
1551214188,2019-02-26T20:49:48Z,IGO2624,"28.444674,77.120789",5175,263,191
1551214202,2019-02-26T20:50:02Z,IGO2624,"28.426071,77.116524",5625,278,191
1551214217,2019-02-26T20:50:17Z,IGO2624,"28.406548,77.112228",5975,297,190
1551214233,2019-02-26T20:50:33Z,IGO2624,"28.384598,77.107491",6350,314,190
1551214247,2019-02-26T20:50:47Z,IGO2624,"28.362974,77.102806",6750,327,190
1551214264,2019-02-26T20:51:04Z,IGO2624,"28.339737,77.097824",7425,331,190
1551214278,2019-02-26T20:51:18Z,IGO2624,"28.317122,77.092735",8175,331,192
1551214294,2019-02-26T20:51:34Z,IGO2624,"28.294264,77.085785",8950,331,196
1551214308,2019-02-26T20:51:48Z,IGO2624,"28.272711,77.078568",9775,328,196
1551214323,2019-02-26T20:52:03Z,IGO2624,"28.250885,77.071365",10600,325,196
1551214338,2019-02-26T20:52:18Z,IGO2624,"28.228363,77.063965",11300,326,196
1551214354,2019-02-26T20:52:34Z,IGO2624,"28.206001,77.056595",11800,333,196
1551214369,2019-02-26T20:52:49Z,IGO2624,"28.18364,77.049232",12350,338,196
1551214398,2019-02-26T20:53:18Z,IGO2624,"28.138,77.034233",13600,341,196
1551214433,2019-02-26T20:53:53Z,IGO2624,"28.084034,77.016533",15025,343,196
1551214464,2019-02-26T20:54:24Z,IGO2624,"28.037436,77.001236",16325,342,196
1551214500,2019-02-26T20:55:00Z,IGO2624,"27.984552,76.983894",17850,336,196
1551214535,2019-02-26T20:55:35Z,IGO2624,"27.930771,76.966225",18725,348,196
