Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551301147,2019-02-27T20:59:07Z,IGO2624,"28.568481,77.079285",1850,154,283
1551301156,2019-02-27T20:59:16Z,IGO2624,"28.569992,77.07238",2050,163,284
1551301168,2019-02-27T20:59:28Z,IGO2624,"28.572556,77.061378",2350,180,284
1551301177,2019-02-27T20:59:37Z,IGO2624,"28.574694,77.052124",2625,194,284
1551301187,2019-02-27T20:59:47Z,IGO2624,"28.577255,77.041359",2925,210,285
1551301202,2019-02-27T21:00:02Z,IGO2624,"28.581116,77.024826",3500,228,284
1551301213,2019-02-27T21:00:13Z,IGO2624,"28.584183,77.011734",3875,244,284
1551301223,2019-02-27T21:00:23Z,IGO2624,"28.587296,76.998421",4325,254,284
1551301232,2019-02-27T21:00:32Z,IGO2624,"28.590057,76.986374",4950,256,284
1551301243,2019-02-27T21:00:43Z,IGO2624,"28.59201,76.972008",5650,258,272
1551301263,2019-02-27T21:01:03Z,IGO2624,"28.586658,76.945175",6725,271,247
1551301278,2019-02-27T21:01:18Z,IGO2624,"28.574753,76.928276",7375,291,222
1551301284,2019-02-27T21:01:24Z,IGO2624,"28.568436,76.923576",7500,301,213
1551301293,2019-02-27T21:01:33Z,IGO2624,"28.554352,76.917923",7725,322,193
1551301303,2019-02-27T21:01:43Z,IGO2624,"28.540106,76.91507",8075,333,188
1551301313,2019-02-27T21:01:53Z,IGO2624,"28.5233,76.912804",8300,349,186
1551301334,2019-02-27T21:02:14Z,IGO2624,"28.489643,76.909248",8950,371,185
1551301349,2019-02-27T21:02:29Z,IGO2624,"28.463854,76.906502",9825,372,185
1551301364,2019-02-27T21:02:44Z,IGO2624,"28.436829,76.903343",10575,377,186
1551301379,2019-02-27T21:02:59Z,IGO2624,"28.410873,76.89991",11275,383,186
1551301394,2019-02-27T21:03:14Z,IGO2624,"28.384995,76.896812",12175,383,185
1551301429,2019-02-27T21:03:49Z,IGO2624,"28.322475,76.890671",13975,389,184
1551301465,2019-02-27T21:04:25Z,IGO2624,"28.256332,76.884224",15700,396,185
1551301500,2019-02-27T21:05:00Z,IGO2624,"28.193527,76.877838",17125,407,185
1551301529,2019-02-27T21:05:29Z,IGO2624,"28.13608,76.871933",18725,405,185
1551301591,2019-02-27T21:06:31Z,IGO2624,"28.020584,76.860085",21175,417,185
1551301656,2019-02-27T21:07:36Z,IGO2624,"27.890991,76.846878",23750,424,185
1551301717,2019-02-27T21:08:37Z,IGO2624,"27.774307,76.834961",25875,427,185
1551301783,2019-02-27T21:09:43Z,IGO2624,"27.641006,76.821121",27200,452,185
1551301847,2019-02-27T21:10:47Z,IGO2624,"27.503061,76.807266",29025,455,185
