Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551559514,2019-03-02T20:45:14Z,IGO2624,"28.558168,77.122681",1750,149,105
1551559525,2019-03-02T20:45:25Z,IGO2624,"28.555935,77.13221",2075,158,104
1551559531,2019-03-02T20:45:31Z,IGO2624,"28.55477,77.137383",2200,167,104
1551559537,2019-03-02T20:45:37Z,IGO2624,"28.553606,77.142548",2300,174,104
1551559543,2019-03-02T20:45:43Z,IGO2624,"28.552349,77.148254",2425,182,104
1551559555,2019-03-02T20:45:55Z,IGO2624,"28.54965,77.160271",2625,200,104
1551559561,2019-03-02T20:46:01Z,IGO2624,"28.548113,77.166893",2675,212,104
1551559567,2019-03-02T20:46:07Z,IGO2624,"28.546623,77.173462",2750,226,104
1551559574,2019-03-02T20:46:14Z,IGO2624,"28.544949,77.180733",2925,235,104
1551559585,2019-03-02T20:46:25Z,IGO2624,"28.541502,77.196083",3225,253,104
1551559591,2019-03-02T20:46:31Z,IGO2624,"28.539688,77.204048",3450,260,104
1551559598,2019-03-02T20:46:38Z,IGO2624,"28.537825,77.212181",3725,266,104
1551559609,2019-03-02T20:46:49Z,IGO2624,"28.534101,77.228607",4425,269,104
1551559620,2019-03-02T20:47:00Z,IGO2624,"28.530376,77.245033",5200,269,104
1551559634,2019-03-02T20:47:14Z,IGO2624,"28.526276,77.262779",5800,276,104
1551559646,2019-03-02T20:47:26Z,IGO2624,"28.520737,77.279152",6175,281,115
1551559656,2019-03-02T20:47:36Z,IGO2624,"28.513292,77.290329",6475,286,132
1551559663,2019-03-02T20:47:43Z,IGO2624,"28.503708,77.298378",6700,293,147
1551559671,2019-03-02T20:47:51Z,IGO2624,"28.495834,77.301971",6850,299,161
1551559681,2019-03-02T20:48:01Z,IGO2624,"28.483219,77.303627",7075,306,179
1551559702,2019-03-02T20:48:22Z,IGO2624,"28.45253,77.299805",7650,321,187
1551559718,2019-03-02T20:48:38Z,IGO2624,"28.425339,77.296005",8075,325,186
1551559732,2019-03-02T20:48:52Z,IGO2624,"28.40744,77.293839",8375,326,185
1551559743,2019-03-02T20:49:03Z,IGO2624,"28.3883,77.291565",8725,334,185
1551559755,2019-03-02T20:49:15Z,IGO2624,"28.369585,77.28936",8925,342,186
1551559767,2019-03-02T20:49:27Z,IGO2624,"28.350824,77.285805",8975,342,192
1551559774,2019-03-02T20:49:34Z,IGO2624,"28.341702,77.282249",9075,339,199
1551559781,2019-03-02T20:49:41Z,IGO2624,"28.329208,77.274559",9275,338,212
1551559790,2019-03-02T20:49:50Z,IGO2624,"28.318098,77.264801",9550,337,218
1551559797,2019-03-02T20:49:57Z,IGO2624,"28.31065,77.257904",9725,330,219
1551559806,2019-03-02T20:50:06Z,IGO2624,"28.300278,77.248306",10025,323,219
1551559818,2019-03-02T20:50:18Z,IGO2624,"28.286041,77.235046",10450,320,219
1551559831,2019-03-02T20:50:31Z,IGO2624,"28.272491,77.222374",10825,316,219
1551559841,2019-03-02T20:50:41Z,IGO2624,"28.258759,77.209488",11250,315,219
1551559853,2019-03-02T20:50:53Z,IGO2624,"28.244385,77.197815",11600,320,212
1551559860,2019-03-02T20:51:00Z,IGO2624,"28.237152,77.193375",11725,321,208
1551559868,2019-03-02T20:51:08Z,IGO2624,"28.224064,77.186821",12000,322,203
1551559874,2019-03-02T20:51:14Z,IGO2624,"28.219986,77.184814",12100,322,203
1551559881,2019-03-02T20:51:21Z,IGO2624,"28.207211,77.178688",12450,326,203
1551559916,2019-03-02T20:51:56Z,IGO2624,"28.160248,77.155876",13825,334,203
1551559946,2019-03-02T20:52:26Z,IGO2624,"28.116482,77.134743",15300,333,203
1551559979,2019-03-02T20:52:59Z,IGO2624,"28.069061,77.111824",16600,339,203
1551560011,2019-03-02T20:53:31Z,IGO2624,"28.019852,77.088478",17800,347,200
1551560017,2019-03-02T20:53:37Z,IGO2624,"28.010994,77.085892",18025,353,193
1551560024,2019-03-02T20:53:44Z,IGO2624,"27.999435,77.084564",18250,362,183
1551560044,2019-03-02T20:54:04Z,IGO2624,"27.96365,77.092194",19050,384,162
1551560050,2019-03-02T20:54:10Z,IGO2624,"27.95787,77.094284",19200,385,162
1551560114,2019-03-02T20:55:14Z,IGO2624,"27.84024,77.123703",20925,394,173
1551560174,2019-03-02T20:56:14Z,IGO2624,"27.73061,77.12001",23100,378,183
1551560240,2019-03-02T20:57:20Z,IGO2624,"27.61772,77.102417",24250,401,187
1551560299,2019-03-02T20:58:19Z,IGO2624,"27.503946,77.086044",25650,410,187
1551560361,2019-03-02T20:59:21Z,IGO2624,"27.390564,77.069351",27275,410,187
1551560422,2019-03-02T21:00:22Z,IGO2624,"27.267288,77.050957",28400,423,187
1551560484,2019-03-02T21:01:24Z,IGO2624,"27.149231,77.033493",29750,428,187
1551560544,2019-03-02T21:02:24Z,IGO2624,"27.02944,77.015854",30975,421,187
