Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551646132,2019-03-03T20:48:52Z,IGO2624,"28.559052,77.119797",1575,163,105
1551646140,2019-03-03T20:49:00Z,IGO2624,"28.557796,77.124779",1800,160,105
1551646152,2019-03-03T20:49:12Z,IGO2624,"28.555298,77.135376",2100,171,104
1551646158,2019-03-03T20:49:18Z,IGO2624,"28.554213,77.140015",2225,177,104
1551646165,2019-03-03T20:49:25Z,IGO2624,"28.552917,77.145782",2350,184,104
1551646176,2019-03-03T20:49:36Z,IGO2624,"28.549942,77.158516",2600,201,104
1551646187,2019-03-03T20:49:47Z,IGO2624,"28.547182,77.170609",2725,224,104
1551646195,2019-03-03T20:49:55Z,IGO2624,"28.545364,77.178535",2875,236,104
1551646201,2019-03-03T20:50:01Z,IGO2624,"28.54355,77.1866",3000,245,104
1551646208,2019-03-03T20:50:08Z,IGO2624,"28.541977,77.193535",3150,255,104
1551646219,2019-03-03T20:50:19Z,IGO2624,"28.538177,77.210327",3600,269,104
1551646231,2019-03-03T20:50:31Z,IGO2624,"28.534515,77.226494",4250,273,104
1551646237,2019-03-03T20:50:37Z,IGO2624,"28.532612,77.234802",4525,277,104
1551646243,2019-03-03T20:50:43Z,IGO2624,"28.530487,77.244026",4750,284,104
1551646255,2019-03-03T20:50:55Z,IGO2624,"28.526413,77.261673",5050,300,104
1551646266,2019-03-03T20:51:06Z,IGO2624,"28.520275,77.280952",5375,316,116
1551646273,2019-03-03T20:51:13Z,IGO2624,"28.516159,77.288345",5600,319,125
1551646279,2019-03-03T20:51:19Z,IGO2624,"28.51008,77.296249",5900,320,134
1551646285,2019-03-03T20:51:25Z,IGO2624,"28.502975,77.302917",6200,319,143
1551646291,2019-03-03T20:51:31Z,IGO2624,"28.494205,77.308533",6525,321,154
1551646297,2019-03-03T20:51:37Z,IGO2624,"28.487503,77.311218",6800,321,163
1551646308,2019-03-03T20:51:48Z,IGO2624,"28.472931,77.313324",7250,322,179
1551646330,2019-03-03T20:52:10Z,IGO2624,"28.438385,77.301071",8500,325,203
1551646338,2019-03-03T20:52:18Z,IGO2624,"28.429916,77.296791",8750,328,204
1551646348,2019-03-03T20:52:28Z,IGO2624,"28.413071,77.288345",9275,334,203
1551646361,2019-03-03T20:52:41Z,IGO2624,"28.395538,77.279572",9800,339,203
1551646373,2019-03-03T20:52:53Z,IGO2624,"28.378849,77.271317",10350,341,203
1551646385,2019-03-03T20:53:05Z,IGO2624,"28.359623,77.261894",10850,348,203
1551646397,2019-03-03T20:53:17Z,IGO2624,"28.342073,77.25322",11425,351,203
1551646409,2019-03-03T20:53:29Z,IGO2624,"28.323578,77.24408",12200,344,203
1551646443,2019-03-03T20:54:03Z,IGO2624,"28.276428,77.220894",14050,339,203
1551646474,2019-03-03T20:54:34Z,IGO2624,"28.226856,77.19635",15200,352,203
1551646505,2019-03-03T20:55:05Z,IGO2624,"28.18091,77.173622",16375,357,203
1551646539,2019-03-03T20:55:39Z,IGO2624,"28.129807,77.148422",17650,363,203
1551646573,2019-03-03T20:56:13Z,IGO2624,"28.078674,77.12339",19300,354,203
1551646634,2019-03-03T20:57:14Z,IGO2624,"27.983276,77.076172",20875,377,203
1551646693,2019-03-03T20:58:13Z,IGO2624,"27.887009,77.029083",22975,374,203
1551646757,2019-03-03T20:59:17Z,IGO2624,"27.783306,76.978035",24075,396,203
1551646817,2019-03-03T21:00:17Z,IGO2624,"27.678286,76.926689",25325,409,203
1551646880,2019-03-03T21:01:20Z,IGO2624,"27.568514,76.873131",26700,417,203
1551646947,2019-03-03T21:02:27Z,IGO2624,"27.455154,76.818169",28725,403,203
1551647004,2019-03-03T21:03:24Z,IGO2624,"27.344696,76.779922",29775,427,193
1551647050,2019-03-03T21:04:10Z,IGO2624,"27.257917,76.756508",30475,432,193
1551647137,2019-03-03T21:05:37Z,IGO2624,"27.085907,76.710503",32275,430,193
1551647200,2019-03-03T21:06:40Z,IGO2624,"26.961639,76.677162",33400,430,193
1551647246,2019-03-03T21:07:26Z,IGO2624,"26.873383,76.659744",34600,437,183
1551647253,2019-03-03T21:07:33Z,IGO2624,"26.859756,76.659111",34775,439,181
1551647314,2019-03-03T21:08:34Z,IGO2624,"26.736374,76.662598",35000,435,178
1551647378,2019-03-03T21:09:38Z,IGO2624,"26.603952,76.666878",35000,438,178
1551647441,2019-03-03T21:10:41Z,IGO2624,"26.47961,76.671051",35000,436,178
1551647504,2019-03-03T21:11:44Z,IGO2624,"26.351578,76.675453",34975,437,178
1551647564,2019-03-03T21:12:44Z,IGO2624,"26.227903,76.67955",34975,439,178
1551647613,2019-03-03T21:13:33Z,IGO2624,"26.127777,76.682915",35000,439,178
1551647775,2019-03-03T21:16:15Z,IGO2624,"25.797342,76.693848",35025,439,178
1551647783,2019-03-03T21:16:23Z,IGO2624,"25.780655,76.694435",35000,439,178
1551647910,2019-03-03T21:18:30Z,IGO2624,"25.524406,76.702965",35000,440,178
1551647983,2019-03-03T21:19:43Z,IGO2624,"25.374115,76.707764",35000,440,178
1551648046,2019-03-03T21:20:46Z,IGO2624,"25.242392,76.712143",35000,440,178
1551648089,2019-03-03T21:21:29Z,IGO2624,"25.155712,76.714935",35000,441,178
1551648178,2019-03-03T21:22:58Z,IGO2624,"24.975136,76.732559",35025,459,167
1551648239,2019-03-03T21:23:59Z,IGO2624,"24.847071,76.775208",35025,468,161
1551648302,2019-03-03T21:25:02Z,IGO2624,"24.7157,76.822365",34975,467,161
1551648364,2019-03-03T21:26:04Z,IGO2624,"24.591499,76.866829",35000,467,161
1551648426,2019-03-03T21:27:06Z,IGO2624,"24.461243,76.912384",34975,463,164
1551648488,2019-03-03T21:28:08Z,IGO2624,"24.332716,76.934196",34975,447,177
1551648549,2019-03-03T21:29:09Z,IGO2624,"24.203384,76.939949",35000,453,177
1551648611,2019-03-03T21:30:11Z,IGO2624,"24.076073,76.945602",35050,455,177
1551648673,2019-03-03T21:31:13Z,IGO2624,"23.940653,76.951508",35050,453,177
1551648735,2019-03-03T21:32:15Z,IGO2624,"23.812408,76.957146",35025,452,177
1551648796,2019-03-03T21:33:16Z,IGO2624,"23.686384,76.962547",35000,450,177
1551648856,2019-03-03T21:34:16Z,IGO2624,"23.558086,76.968094",34975,450,177
1551648919,2019-03-03T21:35:19Z,IGO2624,"23.43314,76.973572",35025,448,177
1551648981,2019-03-03T21:36:21Z,IGO2624,"23.30447,76.979118",35025,447,177
1551649039,2019-03-03T21:37:19Z,IGO2624,"23.179617,76.985474",35000,450,174
